artist,title,lyric
  SOUL`d OUT  ,"Love, Peace & Soul",A ha love peace & soul A ha love peace & soul A ha love peace & soul A ha a ha Love peace & soul A ha love peace & soul A ha love peace & soul A ha love peace & soul A ha a ha Love peace & soul Love peace & soul everybody let's dance C'mon A yo here we go 미츠메루키미 키니낫테시요가나이 오나지타이요 노마시타타시카니데아이 후레아이토모니소다치 이마코코니이키루리유 가킷토아루 without a doubt 지유노츠바사데 fly 에가이타 one vision 히토리히토리가슈진코 코로바나이요미세루에가오 코코로노 hero 스토리토 and your 미라이조 In this world 탓타히토리노지분오신지테미요 Mr Diggy comer rapper 요이와이이카 사코에오소로에테 1 2 3 Everybody say Ho Ho A yo 소다소다 콧카라마다마다소노만마 It's just begun 호라민나노타노시이지칸 소랴토키니마요이야켕카 닷테아루케도데모 이자토낫타라타가이니 다스케아우토모노왓 히토리쟈나이 so put your hands up 아이토키보 유메니미치타세카이가 소오키나오 키나미라이에토츠나갓테룬다 Kid's 'n jump one for all all for one C'mon Love peace & soul everybody let's dance 타카나루코도 후레루솟토마못테 이카나캬이케나이모노 와카루다로  That's right Gotta keep you right 카라다오나가레루 아츠이모노와나니카 say what what 소레와 LPS yeah don't forget tha ward Looking forward 미라이니무캇테 shout loud Family 카라노 love 모라에바솟코피스사인 check it 아토와코레데칸빼키 This funky funky trank 키이테 Your body and soul 치카라즈요쿠유라시 dancin' 다카스리키즈난테무시다로 Word up my friend Yes 손나 feelin' 데젠신 다네 나이신노도키도키 타노신쟈우노모칸진요 A yo Have some fun 노세이신 데메쿠루츠기노페지데 pick it up what 아타라시이코토바다라케다 let's go to tha next stage 카나리후에타 ward gage 스게츠라이토키코소 나카마타치노테오토레 Universe 키즈나파와 for tha kids Jump Jump Jump Never give up 야쿠소쿠시요 이츠모이루요토 키미오마모리타인다 다카라나카나이데카오오 아게테오모이츠타왓타나라 Love peace & soul everybody let's dance 코노츠요이지분오 이마무네니싯카리 키잔데아오이다소라 So gotta be tuff A ha love peace & soul A ha love peace & soul A ha love peace & soul A ha a ha Love peace & soul A ha love peace & soul A ha love peace & soul A ha love peace & soul A ha a ha Love peace & soul 아이토키보 유메니미치타세카이가 소오키나오 키나미라이에토츠나갓테룬다 Kid's 'n jump one for all all for one C'mon Love peace & soul everybody let's dance 타카나루코도  야쿠소쿠시요 이츠모이루요토 키미오마모리타인다 다카라나카나이데카오오 아게테오모이츠타왓타나라 Love peace & soul everybody let's dance 코노츠요이지분오 이마무네니싯카리 키잔데아오이다소라 아이토키보 유메니미치타세카이가 소오키나오키나 미라이에토츠나갓테룬다 Kid's 'n jump one for all all for one C'mon Love peace & soul everybody let's dance 타카나루코도 후레루솟토마못테 이카나캬이케나이모노 야쿠소쿠시요 이츠모이루요토 키미오마모리타인다 다카라나카나이데카오오 아게테오모이츠타왓타나라 Love peace & soul
  amazarashi  ,ひろ / Hiro (히로),히로 오마에니 하나시타이 코토가 야마호도 아룬다 키이테 쿠레루카 난도모 쿠지케소니나 낫타 코토 짓사이 쿠지케테 시맛타 코토 오마에노 스키닷타 세븐 스타오 스우노모 카타미가 세마쿠 낫타시 카노죠모 킨엔시나캬네떼 이우 몬다카라 마이루요나 아노 히토 오나지 키모치데 이루캇테 이우토 소토와 이이키레나이 이마노 보쿠데 츠마리사 오마에니 시캇테 호시인다요 돈나 쿠라야미데모 테라스요나 츠요이 코토바 즛토 사가시테 아루이테 코코마데 키챳타요 모무리닷테 이우나 아키라메탓테 이우나 손나 코토 보쿠가 유루사네요 호카니 스스무베키 미치난테 나이 보쿠라니와사 오니아이노 지분 지신오 이키나캬나 이츠모 미오쿠루 가와 소레데모 오이카케타 마니 아와나캇타 유메오 니쿤다 데모 오마에노 이나이 세카이데모 난토카 나루 몬다 소레가 카나시이 오마에와 마다 쥬큐사이노마마 야리타이 코토오 야리츠즈케루 코토데 우시나우 모노가 아루노와 쇼가 나이카 야리타이 코토모 와카라나쿠 낫타라 소노 고니 오욘데 바카미타이다나 돈나니 테오 노바시테모 토도카나이토 오못테타 유메노 싯뽀니 후레타케도 이마사라 마욧테 시마우노와 보쿠노 요와사카 히노 쿠레타 카에리미치 토호모 나이 카랏뽀니 오소와레테 타치스쿠무 토카이노 세키바쿠니 모무리닷테 나이타 아리카메탓테 나이타 데모 손나 모노 킷토 지분 시다이데사 호카니 스스무베키 미치난테 나이 보쿠라니와사 오니아이노 이이콰케오 에란데타다케 이츠모 미오쿠루 가와 소레데모 오이카케타 아키라메카케타 유메오 츠칸다 데모 오마에노 이나이 세카이쟈 요로코비모 콘나 몬카 소레가 카나시이 오마에와 마다 쥬큐사이노마마 코토시모 보쿠와 토시오 톳테 오마에와 에이엔니 쥬큐사이데 쿠다라나이 오토나니 낫테 시마우노가 쿠야시인다요 쿠야시인다요 나아 히로 보쿠와 쿄모 싯빠이시챳테사 스이마셍 스이마셍 난테 아타마오 사게테 이마니 미테로떼 아이소와라이데 코코로노 나카 이마니 미테로떼 나아 콘나 후니 캇코와루이 오토나니 낫테 시맛타요 다라시노 나이 닌겐니 낫테 시맛타요 오마에가 미타라 젯타이 젯타이 유루사나이다로 다카라 보쿠와 콘나 우타오 우타와나쿠챠 이케나인다요 가키미타잇테 이와레타 무보닷테 이와레타 소레나라 보쿠모 스테타 몬쟈나이요나 다레모 아루카나이 미치오 에란다 보쿠라다카라 히토노 이우 코토니 미미오 카스 히마와 나이요나 이츠모 미오쿠루 가와 난토카 토비놋타 미노호도 시라즈노 유메오 이키테 이루 데모 오마에노 이나이 세카이쟈 마욧테바카리다 데모 소레모 가키라시쿠테 와루카나이노카모나 보쿠와 우타우요 카와라즈니 쥬큐사이노마마
  Do As Infinity  ,Week!,ラッシュに飛びこむんでく Monday 랏슈니토비콘데루 Monday 러시아워에 뛰어드는 걸로 시작되는 Monday  氣に入らないス-ツで Tuesday Wednesday 키니이라나이스츠데 Tuesday Wednesday 맘에 들지 않는 복장의 Tuesday Wednesday  コピ-につまづいている Thursday 코비니츠마즈이테이루 Thursday 하루종일 복사만 해댄 Thursday  切りぬけただけの Friday ずっと 키리누케타다케노 Friday 즛토 겨우 빠져나온 Friday 언제나  待ち續けてても 마치츠즈케테테모 기다림에 지쳐도  幸福のメ-ル 시아와세노메루 행복의 메일  どどくはずもない 토도쿠하즈모나이 올 리가 없어  Your Sunny Day Carry the day 口ずさんで Your Sunny Day Carry the day 쿠치즈산데 Your Sunny Day Carry the day 흥얼거리면  何だかほら かるくなるよ 난다카 호라 카루쿠나루요 왠지 기분이 가벼워져  探して 夢見て 答え出して 사가시테 유메미테 코타에다시테 찾아봐 꿈꿔봐 답을 내봐  時どき um でも大丈夫 토기도키 um 데모 다이죠부 때론 um 뭐 괜찮아  選んだのは 私だもの 에란다노와 와타시다모노 내가 결정한 일이니까  あえないまま 過ぎてく Weekday 아에나이마마 스기테쿠 Weekday 만나지도 못한채 지나가버린 Weekday  空白になったまんまの Saturday 쿠우하쿠니낫타맘마노 Saturday 약속 없는 Saturday  突然 彼氏のTEL Sunday 토츠젠 카레시노 TEL Sunday 갑자기 그에게서 온 TEL Sunday  口ゲンカ だらけ BADな Holiday 쿠치겡카다라케 BADな Holiday 말다툼만 잔뜩 한 BAD Holiday  泣きむしだけれど 나키무시다케레도 울보지만  淚でこの街 透き通ってみえる 나미다데 코노마치 스기토옷테미에루 눈물로 얼룩진 이 거리  Your Sunny day Have a nice day 溢れ出して Your Sunny day Have a nice day 아후레다시테 Your Sunny day Have a nice day 넘쳐나  夢の途中 あるいてみて 유메노토츄우 아루이테미테 꿈꾸며 걸어봐  負けないで 泣かないで たよらないで 마케나이데 나카나이데 타요라나이데 지지 마 울지 마 기대지 마  理想を今 イメ-ジして 리소우오 이마 이메지시테 지금 바로 너의 꿈을 상상해봐  いつかは ほら つよくなれる 이츠카와 호라 츠요쿠나레루 언제가는 강해질 거야  負けないで 泣かないで たよらないで 마케나이데 나카나이데 타요라나이데 지지 마 울지 마 기대지 마  誰のせいでもない It''s your life 다레노세이데모나이 It''s your life 그 누구의 탓도 아냐 It''s your life  探して 夢見て 答え出して 사가시테 유메미테 코타에다시테 찾아봐 꿈꿔봐 답을 발견하는 거야  選んだのは私だもの 에란다노와 와타시다모노 그 누구도 아닌 내가 선택한 길이야  Your Sunny day Carry the day  何だからほら かるくなるよ 난다카라 호라 카루쿠나루요 왠지 기분이 산뜻해졌어  探して 夢見て 答え出して 사가시테 유메미테 코타에다시테 찾아봐 꿈꿔봐 답을 발견하는 거야  時どき um でも大丈夫 토키도키 um 데모 다이죠부 때론 um 뭐 괜찮아  選んだのは 私だもの 에란다노와 와타시다모노 결정한 건 바로 나니까
  Jazztronik  ,I Like It,"I`ve been thinkin`  `bout you for quite a while  You`re on my mind everyday and every night  My every thought is you, the things you do  Seems so satisfying to me,  I must confess it, girl      Ooh...and I like it  You send chills up my spine every time  I take a look at you  Ooh...and I like it  Girl, you`re blowin`  my mind with the things you say to me      I like the way you comb your hair  And I like those stylish clothes you wear  It`s just the little things you do  That show how much you really care    Like when I`m all alone with you  You know exactly what to do  You put that fire inside of me  And make it more than just a dream      Girl,  let me run this by you just one more time  You`re on my mind every day and every night  My every thought is you, the things you do  Seems so satisfying to me,  I must confess it, girl      Ooh...and I like it  You send chills up my spine every time  I take a look at you  Ooh...and I like it  Girl, you`re blowin`  my mind with the things you say to me      I like the way you comb your hair  And I like those stylish clothes you wear  It`s just the little things you do  That show how much you really care    Like when I`m all alone with you  You know exactly what to do  `Cause you put that fire inside of me  And make it more than just a dream      I like it, I like it  I really, really like it  I`m for it, adore  So come let me enjoy it    I like it, I like it  I really, really like it  I`m for it, adore  So come let me enjoy it (I like it)      I like it (I like), I like it (That`s right)  I really (I like), really like it (Uh, uh)  I`m for it (I`m for it), adore (I like)  So come let me enjoy it (Ooh...ooh...ooh...)      Ooh....and I like  Ooh, I like it, ooh...  Ooh....and I like  I`m just tryin` to satisfy you, girl,  you know I really like it      Say baby,  I like everything little thing you do  The way you comb your hair  And every little thing you do  It shows how much you care    Say baby, every time I take one look one you  I get chills up and down my spine  And I like it, I like it, and I like it,"
  Porno Graffitti  ,アゲハ蝶 / Agehachou (호랑나비),히라리히라리토마이 아소부요우니 스가타미세타아게하쵸우 나츠노요루노만나카 츠키노시타 요로코비토시테노이에로 우레이오 오비타부루니 요노하테니니테이루 싯코쿠노하네 타비비토니타즈네테미타 도코마데이쿠노카토 이츠니나레바오에루노카토 타비비토와코타에타 오와리나도와나이사 오와라세루코토와 데키루케도 소우 쟈아 오키오츠케테토 미오쿳타노와즛토마에데 코코니이마다카에라나이 카레가보쿠지신다토 키즈이타노와 이마사라낫테닷타 아나타니 아에타소레다케데요캇타 세카이니히카리가미치타 유메데아에루다케데 요캇타노니 아이사레타이토네갓테시맛타 세카이가효우죠우오카에타 요노하테데와 소라토우미가마지루 시진가탓타히토히라노 코토노하니코메타 이미오츠이니시루코토와나이 소우소레와토모니 데키루나라아나타니 토도케바이이토오모우 모시코레가기쿄쿠나라 난테히도이스토리다로우 스스무코토모 모도루코토모데키즈니 타다히토리부타이니 탓테이루다케나노다카라 아나타가 노조무노나라코노미나도 이츠데모사시다시테이이 후리소소구히노코노타테니나로 타다소코니히토리키리 노콧타보쿠노오모이오 스쿠이아게테코코로노 스미니오이테 아나타니 아에타소레다케데요캇타 세카이니히카리가미치타 유메데아에루다케데 요캇타노니 아이사레타이토네갓테시맛타 세카이가효우죠우오카에타 요노하테데와 소라토우미가마지루 코오야니사이타아게하쵸우 유라구소노케시키노무코우 치카즈쿠코토 와데키나이오아시스 츠메타이미즈오쿠다사이 데키타라아이시테쿠다사이 보쿠노카타데 하네오야스메테오쿠레
  2PM  ,Only One,하나사나이 콧치오 무이테 타메라와나이데 코레이죠오 아이세나이 쿠라이 무네가 쿠루시쿠 나루 No 모우 가망가 데키나이 Lady 아이마이사와 츠미다요 키라이나라 오모이키리 키즈츠케테 쿠레 호시이모노와 모우 키미다케 다이야모 메이요모 이라나이 나이 나리타이노와 키미노 Only One 다레요리 키미오 아이스 혼키데 Only One 키미나시쟈 히루모 요루모 무나시쿠 스기루 코미아게루 아츠이 오모이 오토오 타테테이루요 So 오모우 타비 세츠나이 Crazy 아이시스기타 하츠다네 소노 에가오 히카리요리 마부시이 사사루 아라와세나이 코노 키모치와 요아케모 야미모 코에테 You 타도리츠이타 보쿠노 Only One 키미코소 보쿠노 스베테 잇쇼우노 Only One 히로이 세카이 키미니 데아에타 키세키 아후레루 오모이 One And Only 키미노 소바니 즛토 이타이 사이고노 Love I Can't See Nobody Baby 도우시타라 키미니 토도쿠다로우 히토리데 캉가에테 이루요 노조무나라 이마 스구 톤데 이쿠요 I Give You All My Love Sho No 모우 가망가 데키나이 Lady 아이마이사와 츠미다요 키라이나라 오모이키리 키즈츠케테 쿠레 호시이모노와 모우 키미다케 다이야모 메이요모 이라나이 나이 나리타이노와 키미노 Only One 다레요리 키미오 아이스 혼키데 Only One
  비투비  ,Dear Bride,아이스루 히토오 소노테데 귯토 다키시메 나가라 이키테 유쿠토 키메타 키미에 혼토니 코코로카라 오메데토 이키가 츠마루 호도니 우츠쿠시 쿠시로이 텐시 보쿠노 테오니깃 테호시이케도 소노 토나리니와호카노 히토 스키나 히토가 데키타토 미타 코토나이 카오데 와랏타 키노오노 코토미타이니 이마모 오보에테이루요 세카이이 치키레이다 토키가 스로니 나가레테쿠 마바타키와 이마다케 스코시 가만시요 아이스루 히비오 코노메데 즛토 미테키타케레도 카케가에나이 히비오 무네오 핫테 유우요 키미와 혼토니 우츠쿠시이 다레요리모 스테키다요 아이스루 히토오 소노테데 귯토 다키시메 나가라 소노테오 하나스노요 이키테 유쿠토 키메타 키미에 혼토니 코코로카라 오메데토 I always said you were my first love but you probably go around saying he's your first love my love for you is like your wedding bouquet thrown away yet I still congratulate 하지메테 미타나키가오 시아와세노 나미다데 요캇타 도은나 호우세키요리모 스고쿠 카가야이테루요 아우타비니 카왓테쿠 키미오 미루노가 스키닷타 타마니 쇼죠니나루 키미모 스키닷타 아이스루 이미오 미츠케테 잇포 후미다스세나카 히카리가 사시테루요 호소이 카타니시로이 하네가 보쿠니와미에루요 쥰파쿠 소노 하네가 아이스루 히토오미츠메테 솟토 우나즈키 나가라 호호에무 요코가오오 토와오 치카이 키스오 카와스 텐시니 코코로카라 오메데토 I wish you well I truly do Cause as long as you are happy I am too and just like Bruno Mars said I hope he does all things I should have done for you when I was your man take you out to dine hug you tight make sure that you smile bright like you always did from eye to eye but if he doesn't hey just remember my heart's always open for you my dear bride 카미사마 도우카 후타리오 즛토 마못테 쿠다사이 야메루토키모 스코야카데모 요리소이 아에루요니 아이스루 히토오소노테데 귯토 다키시메 나가라 소노테오 하나스노요 이키테 유쿠토 키메타 키미에 혼토니 코코로카라 오메데토 Since you're gonna go you gotta promise me you're gonna live the rest of your life happily 혼토니 코코로카라 오메데토 It's true I hated that guy standing next to you but your smile made me realize how big a fool I was but now I see if I want you to live happily I gotta let you be 이키가 츠마루호도니 우츠쿠시 쿠시로이텐시 모키미노 테오니기레나이 타다 시아와세니
  Uehara Rena  ,さよならのこと / Sayonarano Koto (안녕이라는것),"忘れられない 無邪？な？  와스레 라레나이 무쟈키나 코에  잊어지지 않는 천진난만한 목소리    今も色褪せずに  이마모 이로 아세즈니  지금도 퇴색하지 않은 채    ？しい日？が ？していた 小さな想いを  타노시이 히비가 카쿠시테 이타 치이사나 오모이오  즐거운 날들이 숨기고 있었던 수줍은 마음을    でもね このしあわせ 疑いもしないで  데모네 코노 시아와세 우타가이모 시나이데  하지만 , 이 행복을 의심도 하지 않고    「さよなら」なんて言葉の意味を習わなかった  「사요나라」나은테 코토바노 이미오 나라와 나카앗타  「이별」이라는 말의 의미를 알려고 하지도 않았어    もう夢じゃなくて そうこの世界に  모오 유메쟈 나쿠테 소오 코노 세카이니  이제는 꿈이 아닌 , 이 세계에    あの時のように素直に  아노 토키노 요오니 스나오니  그때 처럼 솔직하게    ただ泣いて泣いた日？はどこにもない  타다 나이테 나이타 히비와 도코니모 나이  그저 울고 울었던 날들은 어디에도 없어    ねえ僕たちにはたどり着けない場所に  네에 보쿠타치니와 타도리 츠케나이 바쇼니  우리에게는 닿을 수 없는 장소에    答えがあったのかな  코타에가 아앗타노 카나  대답이 있었던 걸까    君と出？わなければつらくないのに  키미토 데아와 나케레바 츠라쿠 나이노니  너와 만나지 않았더라면 괴롭지 않았을 텐데    ？人たちの ささやか？  코이비토 타치노 사사야카 코에  연인들의 속삭이는 목소리는    街をあたためてく  마치오 아타타 메테쿠  거리를 따스하게 했어    ？しい日？は ？していた 深い悲しみも  타노시이 히비와 카쿠시테 이타 후카이 카나시미모  즐거운 나날 속에 감추고 있었던 깊은 슬픔도    でもね このしあわせ  데모네 코노 시아와세  그렇지만 이 행복은    まわりが見えなくて  마와리가 미에나쿠테  나의 주변에선 보이지 않아서    「さよなら」のこと置き去りのままはしゃぎすぎてた  「사요나라」노 코토 오키자리노 마마 하샤기스기 테타  「이별」에 대해선 내버려 둔채 너무 들떠 있었어    まだ夢の中で そう信じたくて  마다 유메노 나카데 소오 시은지타쿠테  아직 꿈 속에선 그렇게 믿고 싶었지만    夢からもう？めているのに  유메카라 모오 사메테 이루노니  이제는 꿈에서 깨어나있어    ただ笑って笑った日？はどこにもない  타다 와라앗테 와라앗타 히비와 도코니모 나이  하염없이 웃고 웃었던 날들은 이제 어디에도 없어    でもあの場所には間違いじゃない  데모 아노 바쇼니와 마치가이 쟈나이  하지만 그 장소임이 틀림없어    確かに笑顔の僕らがいた  타시카니 에가오노 보쿠라가 이타  제대로 미소짓는 우리들이 있었어    君と出？わなければつらくないのに  키미토 데아와 나케레바 츠라쿠 나이노니  너와 만나지 않았더라면 괴롭지 않았을 텐데    また冬が？る  마타 후유가 쿠루  다시 겨울이 와    僕たちのためじゃない ？する人たちに  보쿠타치노 타메쟈 나이 코이스루 히토타치니  우리들을 위해서가 아닌 사랑하는 사람들에게    もう夢じゃなくて そうこの世界に  모오 유메쟈 나쿠테 소오 코노 세카이니  이제는 꿈이 아닌 , 이 세계에    あの時のように素直に  아노 토키노 요오니 스나오니  그때 처럼 솔직하게    ただ泣いて泣いた日？はどこにもない  타다 나이테 나이타 히비와 도코니모 나이  그저 울고 울었던 날들은 어디에도 없어    ねえ僕たちにはたどり着けない場所に  네에 보쿠타치니와 타도리 츠케나이 바쇼니  우리에게는 닿을 수 없는 장소에    答えがあったのかな  코타에가 아앗타노 카나  대답이 있었던 걸까    君に出？えないなんてイヤだと？付いた  키미니 데아에 나이 나은테 이야다토 키즈이타  너와 만날 수 없다는 걸 깨달았던    冬  후유  겨울"
  보아 (BoA)  ,So Real (ArmySlick`s Scratch Build Vocal),쟈난데손나카오시테타노 모요시테난데모나이나라시 메킷타키미노헤야와마루데 PRISM 맛쿠라나파라다이스 나이트쟈키레나이야미오 카케 네무이메오사마세 리아루나키미데인쟈나이 유메난카미나이데이 키미와키미데이이 신코큐시테토비다소 잇사이갓사이 부치깃테 멘도나코토와아토데  도스루노 햐쿠만넨맛테이루노 쿄마데모쿠효니모나이노 아시타모쿄토오나지데모이이노 소난데이와케나이 Cry 키코에테루키미노코에 제츠보난다 아나타 우마레타히오모이다소 잇쇼켄메닷타쟈나이 켓코간밧테타쟈나이 무네니다이테루키모치와 크레이지닷테 펑키닷테 젠젠돈돈시테레바이 와타시모히토리다요 키미다케쟈나이요 데모키즈리가메오토지나케랴 히토리니난카나라나이  다레니모나라나쿠테이 도아오케리야붓테사오의데 리아루나키미오이키로 나이테모 와랏테모 Yeah 키미와키미시카이나이 신코큐시테토비다소 잇사이갓사이 부치깃테멘도 나코토와아토데
  Nakashima Mika  ,初戀 / Hatsukoi (첫사랑),사비시쿠나이데스카 코고에테나이데스카 보쿠노이노리와키미노모토에 토도이테마스카 츠라이토키와이츠모 키미오오못테이룬다요 코노무네노나카 히토츠니낫테 칸지루코토데 후미다세탄다요 아이죠웃테 츠나갓테룬다네 아이죠웃테 키에나인다네 아리가토우 고멘네 아리가토우 사요나라 즛토 키미노모노다요 이츠모소바니이루요 소노테가코고에테시마와 나이요우니 난도데모보쿠와 키미노나마에오 츠부야이테 아루이테이루요 사이쇼카라야리나오 세바이이노니 킷토마지와루코토와나인다네 아리가토우 고멘네 아리가토우 사요나라 즛토 스키닷탄다요 코노요루오코에테 보쿠라노오모이가츠나 갓테루나라 키미오칸지테루 타다소레다케데 츠요쿠나레타키가시타요 츠요쿠나레타키가시타요
