artist,title,lyric
  PARTYNEXTDOOR  ,Not Nice,"Oh oh oh oh Oh oh oh oh  You've got some vacation time You and your girlfriend too bad mind Bad, bad, bad, when you're both combined I don't know why you look so nice  Girl you're not nice, you're rude Want me to feel like I'm new Want me to watch you do you Don't, girl, you look so nice But you're not nice, you're rude Look what you're putting me through I'd never do this to you  I need to hold the corner and then slow whine it One timing I need to hold the corner and then slow whine it One timing  Gyal yuh look so nice, don't take mine chance Yuh wind up yo sexy body, need a one time dance Gyal yuh look so nice, don't take mine chance Yuh wind up yo sexy body, need a one time dance  Right now we're just taking time Other things are on your mind And you want bad, bad, bad when I treat you right I don't care how you look so nice  Girl you're not nice, you're rude Want me to feel like I'm new Want me to watch you do you Don't, girl, you look so nice But you're not nice, you're rude Look what you're putting me through I'd never do this to you  I need to hold the corner and then slow whine it One timing I need to hold the corner and then slow whine it One timing Gyal yuh look so nice, don't take mine chance Yuh wind up yo sexy body, need a one time dance Gyal yuh look so nice, don't take mine chance Yuh wind up yo sexy body, need a one time dance  I need to hold the corner I need to, I need to, I need to, I need to  I need to hold the corner and then slow whine it One timing I need to hold the corner and then slow whine it One timing  Cause girl you're not nice, you're rude Want me to feel like I'm new Want me to watch you do you Don't, girl, you look nice But you're not nice, you're rude Look what you're putting me through I'd never do this to you  Do this to you, do this to you Oh oh oh oh Oh oh oh oh You look so nice But you're not nice, not nice, not nice"
  Sam Ock  ,Rollercoaster,I wish i could say that I'm a honest human being but what you're really seeing is the truth but times go and change I really don't know what I'm feeling the one thing that I know is that I'm with you I know there's pain 'cause life it ain't so easy and people go and leave you all alone and I can't complain I've been blessed with many things and in the end I know that I'll be home i'll go home let the bad times roll 'cause I'm with you and you're with me let the bad times roll 'cause we're together and that's all that matters to me and I gotta say fellowship in pain is a kind that never fades away which is why i don't fight it I let it come the peace I receive when it's over is a different one from the lack of better words it's intimate a bad time will show me all my pride and it'll murder me you've heard of it right the sound of a soul cry so much louder when there's someone else by its side so my brothers and my sisters when you see it coming the wave of pain stand firm stop your running I think we all agree that it can't be stopped but if we all hold our breath then how can we not share in this connection this empathy so much stronger than our good times though anything personally I think that it's a better day when the light shines and i see the darkness run away let the bad times roll 'cause I'm with you and you're with me let the bad times roll 'cause we're together and that's all that matters to me sometimes they say about the things you're keeping you don't know what you got until it's gone but i'm here to stay of course until i'm leaving 'til life it calls it quits and then i fall i know there's a way to eternity in heaven for i will say that jesus is my truth a smile on my face yes that's what i'll be keeping when all is through ill come home back to you i'll come home back to you let the bad times roll 'cause I'm with you and you're with me let the bad times roll 'cause we're together and that's all that matters to me
  dvsn  ,Can`t Wait,"Perfect timing, something unpredictable You remind me, of someone that I never know  And nobody wants you like I do Nobody feels you like I could Nobody sees you quite the way I do, way I do And nobody treats you like I would And we both know that  Life's too short, let's not waste Any time, we can wait Cause we might find, that there's no time Cause life's too short  There's some situations that turn into relationships, damn Too impatient, I can't sit back and wait for it  Cause nobody wants you like I do Nobody feels you like I could Nobody sees you quite the way I do, way I do And nobody treats you like I would And we both know that  Life's too short, let's not waste Any time, we can wait Cause we might find, that there's no time Cause life's too short You know that Life's too short, let's not waste Any time, we can wait Cause we might find, that there's no time Cause life's too short"
  Alberta Hunter  ,My Handy Man Ain't Handy No More,"Now whoever said a good man is hard to find Positively absolutely sure was blind Cause I just found the best man that ever was And here’s just a few of the things that he does.  He shakes my ashes, Greases my griddle, Churns my butter, And he strokes my fiddle, My man, is such a handy man.  Now he threads my needle, And he creams my wheat, Heats my heater, And he chops my meat (he’s a mess), My man, is such a handy man.  Now I don’t care if you believe it or not, He’s a mighty nice man to have around, Cause when my furnace gets too hot, He’s right there to turn my damper down, For everything, that man of mine’s got a scheme And honey it’s amazing the way he handles my machine My man, is such a handyman (oh that man is a mess).  He flaps my flapjacks, Cleans off the table, Feeds the horses in my stable, My man, is such a handyman.  And do you know, sometimes he’s up way before dawn, Busy cleaning the rough edges off my lawn, My man, is such a handyman.  Now, he never has a single word to say, While he’s working hard (poor soul), And I’d give anything if you could see the way, he handles my front yard.  Now my ice never gets a chance to melt away, Cause he sees that I get a nice fresh piece everyday, My man, is such a handyman."
  KIMM CHAAN  ,BLUE (Feat. AGER),여기 서서 널 기다려 걸어오는 너는 왜 뭐 그리 예쁜지 괜히 불안해지지 나 Yeah 무심한 척해도 난 I care a little for you Baby 나 애써 모른 척해 남자들 너를 탐내 Oh no 괜히 억울해 내겐 배려도 없게 아름다운 걸 Yeah 다 너를 바라볼 때 난 너란 별을 향해 You know 환하게 비춰줘 계속 내게만 네가 나 아닌 하늘에 빛난다면 난 I’m feel so blue 네가 너무 예뻐서 난 불안해 So blue 내 맘 같지 않은 걸 넌 Everyday 마냥 좋진 않아 너가 너무 예쁜 게 남자라면 한번 쳐다볼 걸 너가 지나갈 때 아마도 머릿속에서 계속 너가 생각이 나서 잠을 못 이룰 거야 물론 나는 그렇지 않아 오해하지 말아줘 너랑 있을 때면 난 어린아이가 돼 다른 사람은 절대 모를 거야 아마도 너를 두고선 그 누구도 볼 수 없어 Because I'm serious for our love 그러니 내게 와줘 Do it All night I’m feel so blue 네가 너무 예뻐서 난 불안해 So blue 내 맘 같지 않은 걸 넌 Everyday So blue
  브라운 아이드 소울  ,Gone,또렷해져 모두 잊어버리려 지워버리려 할수록 가득해져가는 너의 빈자리 지나온 날들 너 아니면 아무것도 아니었다는 걸 바보처럼 나만 몰랐나봐  허전해져 많이 보고 싶어 니 얼굴을 떠올려 봐도 흐릿해져가는 너의 모습에 사랑을 몰라 눈 가린 듯 모르는 척 니 맘을 버린 뒤 바보 같은 내 맘은 같은 맘을 주었더라면 곁에 있을까 더디기만 한 사랑은 이제야 조금 늦은 내 맘이 너를 불러도 희미해진 니 맘은 날 떠나고 Gone my love 사랑 모두 주었던 넌 나를 잊었고 이제야 난 그 사랑이 아파와  같은 맘을 주었더라면 곁에 있을까 더디기만 한 사랑은 이제야 조금 늦은 내 맘이 너를 불러도 희미해진 니 맘은 날 떠나고 Gone my love 사랑 모두 주었던 넌 나를 잊었고 이제야 난 그 사랑이 아파와 Love is gone 떠나간 사랑도 못 다한 말들도 다 나의 것인걸 혼자서 보냈던 아팠던 시간들 이제 내가  많이 늦은 내 맘이 너를 잡아도 멈춰버린 니 맘은 날 지우고 많이 사랑했었던 넌 나를 잊었고 이제서야 그 사랑이 내게 와
  하루종일  ,시차증,love love love love love love love love 그땐 네가 떠나가던 그땐 내겐 무슨 말이 필요해 그땐 시간이 멈추던 그땐 으음 한땐 우리 사랑했던 한땐 내겐 무슨 말이 필요해 그땐 아무것도 필요 없던 그 땐 으음 24 hours I’m sick 그냥 멈춰져 있어 그대로 지구 어딘가엔 아마 that day that time 아직 흘러가고 있어 그래도 그래 이게 무슨 핑계가 돼 이렇게 너와 나의 공간은 서로 똑같은데 으음 난 다른 시간에 멈춰져 있어 그대로 oh 하루 또 하루를 replay 또 난 replay If somebody know tell me oh What’s the date today 며칠이 지나고 또 지난 지 알 수도 없이 밤을 걸어 난 이 시간이 그저 숫자에 지나지 않는 날을 지나 난 낮과 밤의 온도차를 모르는 날을 계속 보내 난 멀어져 한 번을 다 돌면 온전히 돌아오게 될까 127 degrees 같은 곳에 우린 서 있는데 네가 내게서 멀어질수록 시간이 더디게 가 그 격차는 점점 벌어지고 가는 길은 점점 멀어져 으음 난 난 다른 시간에 멈춰져있어 그대로 oh 매일 또 매일을 regret 또 난 regret If somebody know tell me oh What’s going on with me 며칠이 지나고 또 지난 지 알 수도 없이 밤을 걸어 난 이 시간이 그저 숫자에 지나지 않는 날을 지나 난 낮과 밤의 온도차를 모르는 날을 계속 보내 난 멀어져 한 번을 다 돌면 온전히 돌아오게 될까 아마 너의 시간은 계속 흘러가겠지만 어둔 밤 속에 혼자 이렇게 난 멈춰져있어 그대로 네가 멀어질수록 이 시차는 점점 커져 1hour plus 또 1hour 좁혀지지가 않아 며칠이 지나고 또 지난 지 알 수도 없이 밤을 걸어 난 이 시간이 그저 숫자에 지나지 않는 날을 지나 난 낮과 밤의 온도차를 모르는 날을 계속 보내 난 멀어져 한 번을 다 돌면 온전히 돌아오게 될까 그땐 네가 떠나가던 그땐 내겐 무슨 말이 필요해 그 때 시간이 멈추던 그땐 으음 한땐 우리 사랑했던 한땐 내겐 무슨 말이 필요해 그땐 아무 것도 필요 없던 그땐 으음 love love love love love love love love
"  88rising ,  NIKI  ",Indigo,You know I'm your type right Right Mark you calendar tonight's gonna be your life's high light Light Boy we gon' roll up we gon' roll out look This is the land of fast bet you ain't used to that naw First one will not be last she can stay in your past honey I don't stop for no one but I pause for you you you you So let's go out on town and get real high It'd be psycho to psychoanalyze Leave all of your inhibitions behind Tonight let's test all the borderlines like How far out does the indigo go Boy let's find out take the longer way home Have my body all super-imposed Right on top of yours oh As far as the indica goes I'm hatin' that you're still in your clothes Baby touch me slow all adagio Know you like a little attitude Attitude A little spunk a little gumption Well baby have a lot of gratitude 'Cause I can be sweet or poised or a little too feisty to function yeah So shut up and just hop in we gon' ride in style If thrill was a sport I'd be the poster child I listen to none but I'm all ears for you You and you yeah So let's drive by the city skyline I'm so over this overthinking mind Leave all of your inhibitions behind Tonight let's test all the borderlines like How far out does the indigo go Boy let's find out take the longer way home Have my body all super-imposed Right on top of yours oh As far as the indica goes I'm hatin' that you're still in your clothes Baby touch me slow all adagio Like oh oh oh oh Baby go slow slow slow slow Under the indigo go Steady and slow slow slow slow Under the indigo indigo
"  88rising ,  Rich Brian ,  Yung Bans ,  Yung Pinch ,  Higher Brothers ,  Don Krez  ",Red Rubies,"Aye, aye, aye Red rubies and they bleed Pop some percs, I might OD Aye, yuh, aye  Hook: Yung Bans Red rubies and they bleed Perkys make me sleep Pop ten percs, I might OD Tryna fight away the demons  Verse 1: Yung Bans I’m tryna fight em' away I mix the Sprite with the lean That nigga ride with it, uh That nigga ride with the thing That nigga ride with the cling That nigga ride with that 30 Choppa it doin’ so dirty Freaky lil bitch, she a squirter Fuck the lil hoe and I work her They give me head like a turtle Dive in the pussy, it's surfing All of the addies and perkys I sip the lean with no mercy I am so high, I'm on Mercury Slim in the cut and he lurkin’  Hook: Yung Bans Red rubies and they bleed Perkys made me sleep Pop ten percs I might OD Tryna fight away the demons  Verse 2: Rich Brian & Don Krez Rubies dancin’ they help me take yo bitch But you still hit me up but I'd rather choose to ignore you What’s the need for college at this point We gon be on this fuckin' all night To stay up she can’t afford a coffee Pussy ring, I could see the future change I’m alone, she can see I’m not the same She want me to wait for her, then I said “No Thanks” We really in the jungle 'cause I’m only seein' snakes Don’t know who to trust, I need a break I can feel my soul running away Hope the rubies don’t rot in my day Pray to God that I won’t ever fail  Hook: Yung Bans Red rubies and they bleed Perkys made me sleep Pop ten percs I might OD Tryna fight away the demons  Verse 3: MaSiWei Red ruby jello on my strawberry I eat her out, make me stomach ache She wit me and oh, and she on my dick I’m feeling like she wants to suck my dick Red like a block Haters suck Pussy so rich, she want me to stay Because she know what’s up She kinda cute She dreamin’ Chanel I'm making her drip You be hating but You just be look like a joke Be who you wanna be Working, never sleep She don’t even speak Chinese But she can still look at me  Hook: Yung Bans Red rubies and they bleed Perkys made me sleep Pop ten percs I might OD Tryna fight away the demons  Verse 4: Yung Pinch Is this real or am I dreamin’ I need to know now You cut me deep, I can’t stop bleeding I’ve been on the deep end, fighting all these demons Don’t think you can help me But that’s just what they tell me Look, I’ve been on my own Ever since a youngin Supposed to be nobody’s son Just living like “Fuck it” fuck it Count up all these hundreds Stack bands in my pocket yeah Took off like a rocket yeah No way that you can stop it But they don’t want to see us win They think that shit's obnoxious They think that shit's obnoxious But I ain’t got no option I ain't got no option But I ain’t got no option I ain't got no option We ain’t go no option  Outro: Yung Pinch Yeah they bad, yeah I just want to go to sleep, yeah yeah Oh no not me, yeah yeah"
  The-Dream  ,Forever,저 해와 달과 별 모두 빛을 잃고 세상의 구원자 죽으셨네 십자가에 달려 보혈 흘리셨네 모든 저주 그가 지셨네 하늘도 외면한 마지막 숨소리 어둠 속에 주가 누이셨네 무덤 속의 전투 죽음과 싸웠네 어둠의 권세는 무너졌네 온 땅 흔들리고 돌문이 열렸네 이길 수 없는 완전한 사랑 사망아 어디 있느냐 부활하신 주님 사망 권세 이겼네 영원히 영광 받으실 영원히 높임 받으실 영원히 승리하실 주 사셨네 주 사셨네 온 땅 흔들리고 돌문이 열렸네 이길 수 없는 완전한 사랑 사망아 어디 있느냐 부활하신 주님 사망 권세 이겼네 영원히 영광 받으실 영원히 높임 받으실 영원히 승리하실 주 사셨네 주 사셨네 영원히 영광 받으실 영원히 높임 받으실 영원히 승리하실 주 사셨네 주 사셨네 찬양 할렐루야 찬양 할렐루야 찬양 할렐루야 승리한 어린 양 찬양 할렐루야 찬양 할렐루야 찬양 할렐루야 승리한 어린 양 찬양 할렐루야 찬양 할렐루야 찬양 할렐루야 승리한 어린 양 찬양 할렐루야 찬양 할렐루야 찬양 할렐루야 승리한 어린 양 찬양 할렐루야 찬양 할렐루야 찬양 할렐루야 승리한 어린 양 찬양 할렐루야 찬양 할렐루야 찬양 할렐루야 승리한 어린 양 영원히 영광 받으실 영원히 높임 받으실 영원히 승리하실 주 사셨네 주 사셨네 영원히 영광 받으실 영원히 높임 받으실 영원히 승리하실 주 사셨네 주 사셨네
