artist,title,lyric
  김용임  ,거문고 사랑,거문고 여섯 줄이 띵까 띵까 슬피 울면 가신 님은 소식 없고 찬바람만 몰아치네 이 내 가슴 애끓는 가슴 거문고 울어울어 잠 못들어 기나긴 밤 이 내 간장 다 녹는다 울지마라 거문고야 네가 울면 나도 운다 까만 밤을 지새우는 이 심정을 누가 아리 이 내 가슴 애끓는 가슴 거문고 울어울어 한숨으로 지새는 밤 이 내 청춘 다 늙는다 잠 못들어 기나긴 밤 이 내 간장 다 녹는다
  나훈아  ,갈무리,내가 왜 이런지 몰라 도대체 왜 이런지 몰라 꼬집어 말할 순 없어도 서러운 맘 나도 몰라 잊어야 하는 줄은 알아 이제는 남인줄도 알아 알면서 왜 이런지 몰라 두 눈에 눈물 고였잖아 이러는 내가 정말 싫어 이러는 내가 정말 미워 이제는 정말 잊어야지 오늘도 사랑 갈무리 이래선 안되는 줄 알아 지난간 꿈인 줄도 알아 그런 줄 뻔히 알면서도 마음을 잡지 못하잖아 이러는 내가 정말 싫어 이러는 내가 정말 미워 다시는 생각 말아야지 오늘도 사랑 갈무리
  조용필  ,"어제, 오늘 그리고",바람 소리 처럼 멀리 사라져 갈 인생길  우린 무슨 사랑 어떤 사랑 했나  텅빈 가슴속에 가득 채울 것을 찾아서  우린 정처없이 떠나가고 있네  여기 길 떠나는 저기 방황하는 사람아  우린 모두 같이 떠나가고 있구나  끝없이 시작된 방황속에서 어제도 오늘도  나는 울었네 어제 우리가 찾은 것은 무엇인가  잃은 것은 무엇인가 버린 것은 무엇인가  오늘 우리가 찾은 것은 무엇인가  잃은 것은 무엇인가 남은 것은 무엇인가  어떤 날은 웃고 어떤 날은 울고 우는데  어떤 꽃은 피고 어떤 꽃은 지고 있네  오늘 찾지못한 나의 알 수 없는 미련에  헤어날 수 없는 슬픔으로 있네  여기 길 떠나는 저기 방황하는 사람아  우린 모두 같이 떠나가고 있구나  끝 없이 시작된 방황속에서 어제도 오늘도  나는 울었네 어제 우리가 찾은 것은 무엇인가  잃은 것은 무엇인가 버린 것은 무엇인가  오늘 우리가 찾은 것은 무엇인가  잃은 것은 무엇인가 남은 것은 무엇인가      끝 없이 시작된 방황속에서 어제도 오늘도  나는 울었네 어제 우리가 찾은 것은 무엇인가  잃은 것은 무엇인가 버린 것은 무엇인가  어제 우리가 찾은 것은 무엇인가  잃은 것은 무엇인가 버린 것은 무엇인가
  김추자  ,님은 먼 곳에,사랑한다고 말할걸 그랬지 님이아니면 못산다 할 것을 사랑한다고 말 할걸 그랬지 망설이다가 가버린 사람 마음주고 눈물 주고 꿈도 주고 멀어져 갔네 님은 먼 곳에 영원히 먼곳에 망설이다가 님은 먼 곳에  사랑한다고 말할걸 그랬지 망설이다가 가버린 사람 마음주고 눈물주고 꿈도 주고 멀어져 갔네 님은 먼 곳에 영원히 먼곳에 망설이다가 님은 먼 곳에
"  박현빈 ,  윤수현  ",천태만상,천태만상 인간세상 사는법도 가지가지 귀천이 따로있나 재판한다 판사 변호한다 변호사 범인잡는 형사 계룡산에 부채도사 연구한다 박사 운전한다 기사 트럭 택시 기차 전차 버스 봉고 도저 기중기 요리한다 요리사 소개한다 중계사 파마한다 미용사 간호한다 간호사 얼럴러리여 천태만상 인간세상 사는법도 가지가지 귀천이 따로있나 술판다 술장수 밥판다 밥장수 옷판다 옷장수 고기채소 과일장수 놀고먹는 백수 운동한다 선수 축구 야구 농구 배구 씨름 골프 복싱 태권도 말을탄다 기수 집짓는다 목수 돌깎는다 석수 고라니잡는 포수 얼럴러리여 천태만상 인간세상 사는법도 가지가지 귀천이 따로있나 천태만상 인간세상 사는법도 가지가지 귀천이 따로있나 설교한다 목사님 염불한다 스님 가르친다 선생님 병고친다 의사님 재롱둥이 연예인 나라지키는 군인 육군 공군 해군 해병대 특전사 카츄샤 순경 의경 공무보는 공무원 업무보는 회사원 경비보는 경비원 청소하는 미화원 얼럴러리여 천태만상 인간세상 사는법도 가지가지 귀천이 따로있나 농사짓는 농부 고기잡는 어부 공사장에 잡부 알바 도우미 파출부 약초캐는 심마니 오일장에 할머니 달래 냉이 취나물 콩나물 고사리 더덕 단감 곶감 이고 지고 오셔서 한푼두푼 벌어서 손주 용돈 주면서 고생고생 하는 데 백수가 웬말이냐 천태만상 인간세상 사는법도 가지가지 귀천이 따로있나
  노지훈  ,오늘 밤에,오늘 밤에 아무도 모르게 너랑 둘이서 둘이서 사랑을 할거야 오늘 밤에 아무도 모르게 둘이서 하는 불장난 이 밤이 무서워 난 네가 없으면 내 곁에 좀 더 머물러요 리듬 속 너와 내가 춤을 출 때면 그 순간이 행복할거야 Baby 너랑 나랑 우리 둘이 영원하도록 사랑의 맹세를 난 약속할거야 오늘 밤에 아무도 모르게 너랑 둘이서 둘이서 사랑을 할거야 오늘 밤에 아무도 모르게 뚜뚜 뚜루 뚜뚜 뚜두르 꿈이라면 깨지 않게 해줘 떠나가지마 가지마 가지마 가지마 오늘 밤에 아무도 모르게 둘이서 하는 불장난 뚜뚜 뚜루 뚜뚜 뚜두르
  심수봉  ,장미빛 우리 사랑,언젠간 떠나갈 인생이지만 되도록 오래 남아줘요 때론 바라보며 때론 기다리며 이대로 이렇게 지켜줘요 단하나 당신 내사랑 당신 영원히 내곁에 있어줘요 오늘은 웬지 울고싶어요 당신에 품이 슬퍼져요 불타는 사랑 그윽한 눈길 부드러운 음성 그대사랑 장미빛 정열 장미빛 순결 장미빛 향기 우리 사랑 나는 태우리  빛나는 햇살 눈부신 아침 눈뜨면 내곁에 당신이 있고 이별에 종착 눈물에 종착 방황에 종착 나에사랑 장미빛 정열 장미빛 순결 장미빛 향기 우리사랑 나는 찾았네 랄라라 랄라 랄라라 랄라 랄라라 랄라 랄라라 라 랄라라 랄라
  강진  ,연하의 남자,부를 땐 누나라고 누나라고 말하지만 내 마음은 설레이고 있어요 처음 본 순간부터 내 마음을 뺏겼어요 내 영혼을 흔들었어요 이제부턴 동생 아닌 남자로 봐 주세요 당신을 사랑합니다 내 사랑을 받아주세요 조건없이 다 드릴게요 당신에게 빠져 버린 당신에게 빠져 버린 나는 나는 연하의 남자 부를 땐 누나라고 누나라고 말하지만 내 마음은 설레이고 있어요 처음 본 순간부터 내 마음을 뺏겼어요 내 영혼을 흔들었어요 이제부턴 동생 아닌 남자로 봐 주세요 당신을 사랑합니다 내 사랑을 믿어주세요 행복하게 해드릴게요 당신에게 빠져 버린 당신에게 빠져 버린 나는 나는 연하의 남자 당신에게 빠져버린 당신에게 빠져 버린 나는 나는 연하의 남자
  김보화  ,너와 나의 고향,미워도 한 세상 좋아도 한 세상 마음을 달래며 웃으며 살리라 바람따라 구름따라 흘러온 사나이는 구름 머무는 고향 땅에서 너와 함께 살리라  미움이 변하여 사랑도 되겠지 마음을 달래며 알뜰히 살리라 정처없이 흘러온 길 상처만 쓰라린데 구름 머무는 정든 땅에서 오손도손 살리라
  나미  ,당신의 모든 것이 다 좋아요,바람 한점 없는데  나는 온 몸이 흔들려  이런 마음을 아시나요  당신의 모든 것이 다 좋아요    비도 내리지 않는데 나는 온 몸이 젖어요  이런 마음을 아시나요  당신의 모든 것이 다 좋아요    우리는 xxx 만나서  우리는 이렇게 불꽃처럼 타올라요    그냥 바라만 보아도  나는 손끝이 떨려요  이런 마음을 아시나요  당신의 모든 것이 다 좋아요
