artist,title,lyric
  이장희  ,겨울 이야기,제 연인의 이름은 경아였습니다. 나는 언제든 경아가 아이스크림 먹는 것을 보고 싶어 했습니다. 제가 경아의 화난 표정을 본 적이 있을까요? 경아는 언제든 저를 보면 유충처럼 하얗게 웃었습니다. 언젠가 저는 경아의 웃음을 보며 얼핏 그 애가 치약 거품을 물고 있는 듯한 착각을 받았습니다 .부드럽고 상냥한 아이스크림을 핥는 풍요한 그 애의 눈빛을 보고 싶다는 나의 자그마한 소망은 이상하게도 추위를 잘 타는 그 애를 볼 때마다 내 가슴을 아프게 했습니다.  우리가 만난 것은 이른 겨울이었고 우리가 헤어진 것은 늦은 겨울이었으니 우리는 발가벗은 두 나목처럼 온통 겨울에 열린 쓸쓸한 파시장을 종일토록 헤매인 두 마리의 길 잃은 오리새끼라 불러도 좋을 것입니다. 거리는 얼어붙어 쌩쌩이며 찬 회색의 겨울바람을 겨우내내 불어 제꼈으나 난 여늬 때의 겨울처럼 발이 시려서 잠 못 이루는 밤을 지내본 적은 없었습니다. 그것은 경아도 마찬가지 였습니다.  우리는 모두 봄이건 여름이건 가을이건 겨울이건 언제든 추워하던 가난한 사람들이었습니다 우리에게 따스한 봄이라는 것은 기차를 타고 가서 저 이름 모를 역에 내렸을 때나 맞을 수 있는 요원한 것이었습니다. 마치 우리는 빙하가 깔린 시베리아의 역사에서 만난 길 잃은 한 쌍의 피난민 같은 사람들이었습니다. 우리가 서로서로에게 줄 수 있는 것은 열아홉살의 뜨거운 체온 뿐 그 외엔 아무 것도 없었습니다. 왜냐하면 우린 그 외엔 아무 것도 가진 것이 없었기 때문입니다. 또 우리가 그 겨울을 춥지 않게 지낼 수 있었다는 것은 나의 체온엔 경아의 체온이 경아의 체온엔 나의 체온이 합쳐져서 그 주위만큼의 추위를 녹였기 때문입니다. 경아는 내게 너무 황홀한 여인이었습니다. 경아는 그 긴 겨울의 골목입구에서부터 끝까지 외투도 없이 내 곁을 동행해 주었습니다 .그리고 봄이 오자 우리는 마치 약속이나 한 듯 헤어졌습니다. 그것 뿐입니다
  Jonas David  ,2151,2151  still i chew on your lines after all these years never found anyone else like this bedding was shared and talk was bliss now everything even your rants are missed  you told me to change now i am everything else  preaching at nights when your church is lit the scientist knows how the clockworks tic fed up using the same new sheets life in a room that noone keeps  she called you a sub no reason to duck out  little do we know about anybody’s heart little do we see what everybody needs little do we know about anybody’s heartache  sleeptalking nights you are known for words tried to arrive now a heart’s in thirds  fed by a mouse in an attics mouth our father never took us out  on every stage you are everyone else
  모그모그  ,혼자 쓰는 이야기,그래 인정 할게 너를 만난 순간 내 맘은 네꺼 나는 너에게 사랑받고 싶었고 관심이 필요했지 한때는 너의 눈에 비친 내 모습에 날아갈 것만 같았어 어느새 날 떠나가는 너의 뒷모습에 아무 것도 할 수 없어 네가 다시 내게 돌아올 거라고 조금은 기대하지만 그게 언제인지 나는 몰라 너는 나쁜 남자 오오 그래 알고있어 운명처럼 내게 스며든 이 사랑은 끝이 정해진 혼자 쓰는 이야기 그래도 난 네가 좋아 한때는 너의 눈에 비친 내 모습에 날아갈 것만 같았어 어느새 날 떠나가는 너의 뒷모습에 아무 것도 할 수 없어 네가 다시 내게 돌아올 거라고 조금은 기대하지만 그게 언제인지 나는 몰라 너는 나쁜 남자 오오 나쁜 남자 오
  Carrie Underwood  ,Good Girl,Hey good girl With your head in the clouds I bet you I can tell you What you’re thinkin' about You'll see a good boy Gonna give you the world But he’s gonna leave you cryin' With your heart in the dirt His lips are dripping honey But he’ll sting you like a bee So lock up all your love and Go and throw away the key Hey good girl Get out while you can I know you think you got a good man Why why you gotta be so blind Won’t you open up your eyes It’s just a matter of time 'til you find He’s no good girl No good for you You better get to getting on your goodbye shoes and go go go Better listen to me He’s low low low Hey good girl You got a heart of gold You want a white wedding And a hand you can hold Just like you should girl Like every good girl does Want a fairytale ending somebody to love But he’s really good at lying Yeah he’ll leave you in the dust 'Cause when he says forever Well it don’t mean much Hey good girl So good for him Better back away honey You don’t know where he’s been Why why you gotta be so blind Won’t you open up your eyes It’s just a matter of time 'til you find He’s no good girl No good for you You better get to getting on your goodbye shoes and go go go Yeah yeah yeah he’s low Yeah yeah yeah Oh He’s no good girl Why can’t you see He’ll take your heart and break it Listen to me yeah Why why you gotta be so blind Won’t you open up your eyes Just a matter of time 'til you find He’s no good he’s no good Won’t you open up your eyes Just a matter of time 'til you find He’s no good girl No good for you You better get to getting on your goodbye shoes
  양희은  ,한사람,한사람 여기 또 그곁에 둘이 서로 바라보며 웃네 먼훗날 위해 내미는 손 둘이 서로 마주잡고 웃네 한사람 곁에 또 한사람 둘이 좋아해 긴 세월 지나 마주앉아 지난일들 얘기하며 웃네 한사람 곁에 또 한사람 둘이 좋아해 한사람 여기 또 그곁에 둘이 서로 바라보며 웃네 둘이 서로 바라보며 웃네
  Fairport Convention  ,Big William,"He never put a foot wrong Until the day Joe met Big William He made him an offer but he often was wrong I'll tell you where to stick it, said Big William to Joe You can put it where the monkey sticks his nuts I wouldn't give you fourpence for your lousy rotten dough And, anyway, you haven't got that much Hey Joe, hear what I say You want my time, I ain't giving away Go make the money you want some other way  I don't want to go to Peru Don't leave ?Delhi, you're any guru? I don't like work and I don't like you I'll tell you where to stick it, said Big William to Joe You can put it where the monkey sticks his nuts I wouldn't give you fourpence for your lousy rotten dough And, anyway, you haven't got that much I'll tell you where to stick it said Big William to Joe You can put it where the monkey sticks his nuts I wouldn't give you fourpence for your lousy rotten dough And, anyway, you haven't got that much"
  조동진  ,흰눈이 하얗게,누구인가 귀익은 발자욱 소리에 가만히 일어나 창문을 열면 저만치 가버린 낯설은 사람 무거운듯 걸쳐입은 검은 외투위에 흰눈이 하얗게 흰눈이 하얗게 흰눈이 하얗게 어린 나뭇가지 끝에 찬바람 걸려 담 밑에 고양이 밤새워 울고 조그만 난롯가 물 끓는 소리에 꿈많은 아이들 애써 잠들면 흰눈이 하얗게 흰눈이 하얗게 흰눈이 하얗게 한겨울 바닷가 거친 물결속에 잊혀진 뱃노래 외쳐서 부르다 얼어붙은 강물위로 걸어서오는 당신의 빈속을 가득 채워줄 흰눈이 하얗게 흰눈이 하얗게 흰눈이 하얗게
  앤드  ,인사,가녀린 눈망울 쇠잔한 소망을 가진 그녀는 어디로 간걸까 인사를 건내던 마지막 미소에 왠지 겁이나 입술을 물었지  돌아올 수 없는 먼곳 그 어딘가로 향기를 남기고 떠났지 고요한 세상은 그대의 빈자리로 희망을 잃은듯 멎어가  떠나간 그대여 우리 함께한 그 시간은 영원의 강으로 데려가 바람이 부는 날 그대의 향기가 날때 언제든 추억할 수 있게 돌아올 수 없는 먼곳 그 어딘가로 향기를 남기고 떠났지 고요한 세상은 그대의 빈자리로 희망을 잃은듯 멎어가  가녀린 눈망울 쇠잔한 소망을 가진 넌 어디로 간걸까 돌아올 수 없는 먼곳 그 어딘가로 향기를 남기고 떠났지 고요한 세상은 그대의 빈자리로 희망을 잃은듯 멎어가
  윤종신  ,왠지 그럼 안될 것 같아 (With Kelly),처음에 보자마자 불안했어요 언젠가 사랑할까 봐 왠지 난 그러면 안될 것만 같은 사람 왜 내게 다가와 버렸나요 저 멀리 돌아가려 길을 찾아도 어느새 그대 앞인 걸 왠지 난 그러면 안될 것만 같은 사람 왜 내겐 참을성이 없는지 힘들어요 내 맘 들키지 않는 건 두근거리는 게 들릴까 봐 내 눈빛이 흔들리는 것도 하나도 예쁘지 않을 텐데 사랑해요 이 흔한 말밖엔 없어 하루 종일 떠올랐던 그대에게 오늘도 결국 말 못하는 건 왠지 그럼 안될 것 같아 저 멀리 돌아가려 길을 찾아도 어느새 그대 앞인 걸 왠지 난 그러면 안될 것만 같은 사람 왜 내겐 참을성이 없는지 힘들어요 내 맘 들키지 않는 건 두근거리는 게 들릴까 봐 내 눈빛이 흔들리는 것도 하나도 예쁘지 않을 텐데 사랑해요 이 흔한 말밖엔 없어 하루 종일 떠올랐던 그대에게 오늘도 결국 말 못하는 건 왠지 그럼 안될 것 같아
  Glen Hansard  ,Fallen From The Sky,You must've fallen from the sky You must've shattered on the runway You've brought so many to the light And now you're by yourself There comes a point in every fight When giving up like seems the only way When everyone one has said goodbye And now you're on your own If you need somewhere to fall apart Some where to fall apart The rules of cain the rights you've made The owls that caw for those to blame The broken glass the fool that asked The moving arrow to stop You must've fallen from the sky You must've come here in the pourin' rain You took so many through the light And now you're on your own If you need somewhere to fall apart Somewhere to fall apart The ruins of man the bloody black The fool that bull the prouder hag The night the makes the rattle ask The wolves that follow the outed man The falling star the way we are The vern The rules that never ever multiply You must've fallen from the sky You must've come here on the wrong way You came among us every time But now you're on your own If you need somewhere to fall apart Somewhere to fall apart The call you seek the basket case The rules of thumb you have to break The raging skull The rag to the bull The nails that drag in either hand Well I will make my worker that I know this place I know this time  You must've fallen from the sky
