artist,title,lyric
  EXO  ,"兩個視線, 一個視線 (What If..)",hu xiang ning wang liang ge shi xian hu xiang ning wang liang ge shi xian zhi sheng yi ge gu dan shi xian Oh kan ni xiao de xing furu ci di xing fu ni de mei liyuan lai shi bei ta zheng fu er wo zhi neng yong xin suanmian qiang di shuo fu shi ta gei ni wei xiaodai ti wo shou hu Oh oh yeah xiang dui ni shuo dezen hui bian cheng shen mai zai xin zhong de jie Oh oh yeah wo yi han zhe shuo bu chu zai jian hu xiang ning wang de liang ge shi xian zhi sheng yi ge shi xianmi le lu de shi xian jin jin suo ding de liang ge shi xian lai bu ji de yi qieshi qu ni de shi xian ku zhe shuo ting bu jian de bao qianwu neng wei liba ai tun cheng yan lei kan zhe ni hu xiang ning wang de liang ge shi xian zhi sheng yi ge shi xian yi ge gu dan mi lu de shi xian wo you yi zhong cuo jiao bu zhi shi cuo jiao huan xiang neng cheng zhe feng zheng fei shang tian na yi zhen fengchui dong shi jian ba ni de xin dai dao wo shen bian Oh oh yeah xue bai de xin wo que yong shen bai se xie man si nian Oh oh yeah chu le nibu zai tou lu gei shui hu xiang ning wang de liang ge shi xian zhi sheng yi ge shi xianmi le lu de shi xian jin jin suo ding de liang ge shi xian lai bu ji de yi qieshi qu ni de shi xian ku zhe shuo ting bu jian de bao qianwu neng wei liba ai tun cheng yan lei kan zhe ni hu xiang ning wang de liang ge shi xian zhi sheng yi ge shi xian yi ge gu dan mi lu de shi xian ba hui yi shou jin xin zhong de chou ti xiang yao yong yuan shou cang ni de mei li ou er tou tou ji nian xing bu xing Oh ba si nian hua cheng xiao xing xing zai mei ge hei ye li ming bu guan duo yuan de ju li wo de xin dou hui shu yu ni wei ni wen rou zhao liang bu ceng li qu Oh hu xiang ning wang de liang ge shi xian zhi sheng yi ge shi xian mi le lu de shi xian jin jin suo ding de liang ge shi xian shuang yan jin bi zhe lai bu ji de yi qieshi qu ni de shi xian ku zhe shuo ting bu jian de bao qian wu neng wei liba ai tun cheng yan lei kan zhe ni ba ai tun cheng yan lei kan ni hu xiang ning wang de liang ge shi xian Girl I'm missing you zhi sheng yi ge shi xian yi ge gu dan mi lu de shi xian wo yan li quan dou shi nizai wo yan li kan tata de shi xian ting liu zai ni shen shang wo de shi xian shi ni wo yan li quan dou shi nizai wo yan li kan tata de shi xian ting liu zai ni shen shang
  AOA  ,HAPPY ENDING,내겐 네가 제일 멋지고 내겐 네가 제일 든든해 난 네가 정말 그래 너는 내가 제일 예쁘고 너는 내가 제일 착하고 넌 나만 바라 보고 사랑해줘 Just want your love Just want your love 내 생각이 순진하다고 놀려댄대도 Just want your love Just want your love 너의 사랑 그 하나면 난 행복하니까 I’ll take it take it take it I’ll make it make it make it 미치도록 우리 사랑하고 사랑하며 살아가 I’ll take it take it take it I’ll make it make it make it 영원토록 우리 아껴주고 아끼면서 살아가 oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh 너밖에 몰라 난 내가 바라보는 단 한 사람 oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh 너 말고 안돼 난 내가 사랑하는 단 한 사람 나는 슬픈 사랑은 싫어 뻔한 이별얘기도 싫어 난 내 사랑은 너 너 Happy ending 결말이 좋아 우리 사랑 얘기가 그래 난 그럴 거라 믿어 널 사랑해 Just want your love Just want your love 뭐가 그리 행복하냐고 놀려댄대도 Just want your love Just want your love 매일 매일 우리 사랑 나 고마우니까 I’ll take it take it take it I’ll make it make it make it 미치도록 우리 사랑하고 사랑하며 살아가 I’ll take it take it take it I’ll make it make it make it 영원토록 우리 아껴주고 아끼면서 살아가 oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh 너밖에 없어 난 나만을 아껴줄 단 한 사람 oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh I’m the one for you and you’re the one for me 난 네가 아니면 안돼 오직 너뿐이야 I won’t go anyway 안 된단 말이야 내가 N이면 나를 당기는 넌 S극 자석의 양극 뗄래야 뗄 수 없는 사이야 맛있는 걸 먹어도 난 네 생각이 먼저 재미있는 영화도 나는 너와 가장 먼저 뭐든지 처음은 너와 함께 하고 싶어 오늘 따라 유독 네 모습이 너무 멋져 I’ll take it take it take it I’ll make it make it make it 바보처럼 서로 사랑하고 사랑하며 살아가 I’ll take it take it take it I’ll make it make it make it 영원토록 우리 아껴주고 아끼면서 살아가 oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh 너는 날 언제나 따스히 안아줄 단 한 사람 oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh 너 아님 안 돼 나 영원히 함께할 단 한 사람
  키 (KEY)  ,Chemicals,거칠어져 왜 숨은 자꾸만 가빠진 채 더욱 더 막혀 와 Every time Every time Every time 가까워져 널 마주본 그 순간에 일어난 이 감정과 Every time Every time Every time 내 온 몸에 네가 퍼질 때 날 맘껏 헤집어 놔 맘껏 헤집어 놔 지금 느낀 모든 게 단번에 날 삼켜 가 내 전불 삼켜 가 I'm crazy for your chemicals I'm crazy for your chemicals 무색해져 내 눈은 너로만 만들어진 세계를 보는 걸 Every time Every time Every time 끝이 없어 난 숨이 멎을 때까지 원하게 될 테니까 Every time Every time Every time 내 온 몸에 가득 퍼질 때 넌 나를 길들여 가 나를 길들여 가 지금 너의 모든 게 커다란 자극 같아 내겐 자극 같아 I'm crazy for your chemicals Crazy for your chemicals crazy for your chemicals na na na Crazy for your chemicals Crazy for your chemicals crazy for your chemicals na na na na I'm crazy for your chemicals Crazy for your chemicals crazy for your chemicals na na na Crazy for your chemicals Crazy for your chemicals crazy for your chemicals na na na na I'm crazy for your chemicals 오직 너만이 숨을 쉴 수 있게 해 숨을 쉬게 해 네가 불어넣는 숨결이 심장까지 퍼지게 더욱 깊숙이 Wanna feel alive Oh oh no Crazy for your chemicals crazy for your chemicals na na na Crazy for your chemicals Crazy for your chemicals crazy for your chemicals na na na na I'm crazy for your chemicals
  GOT7 (갓세븐)  ,하지하지마,하지마 하지 하지 하지 하지마 니가 그럴 때마다 미칠 것 같아 내 눈을 보며 살짝 웃어주면 달려가서 너를 안아버릴 것만 같아 하지마 하지 하지 하지 하지마 니 손길이 닿으면 미칠 것 같아 말할 때마다 내 팔을 살짝 잡아 돌아서서 꽉 안아 버릴 것만 같아 하지마 겨우 참고 있어 네가 아직은 아니라니까 쇼 윈도우 앞에 달라 붙어 바라보고 있는 아이처럼 괴로워하며 하지마 눈을 감고 있어 네가 너무 예뻐 보일 때마다 너는 내가 얼마나 힘든지 아는지 모르는지 하지마 하지 하지 하지 하지마 니가 그럴 때마다 미칠 것 같아 내 눈을 보며 살짝 웃어주면 달려가서 너를 안아버릴 것만 같아 하지마 하지 하지 하지 하지마 니 손길이 닿으면 미칠 것 같아 말할 때마다 내 팔을 살짝 잡아 돌아서서 꽉 안아 버릴 것만 같아 하지마 You’re driving me crazy 하지마 더 이상 못 참을지 몰라 하지마 Please Stop baby stop it 하지마 제발 하지마 제발 하지마 니가 한번 해봐 이게 할 수 있는 일인지 고문도 이런 고문이 없단 말이지 너는 해본 적이 없으니까 모르지만 인내심의 한계까지 매일 다다르지 안 예쁘면 몰라 그렇게 예쁘게 생겨 갖고 안 웃으면 몰라 생글생글 미소로 날 갖고 놀아 미치겠어 돌아 버리겠어 나 매일 만나는데 차라리 안보면 몰라 하지마 하지 하지 하지 하지마 니가 그럴 때마다 미칠 것 같아 내 눈을 보며 살짝 웃어주면 달려가서 너를 안아버릴 것만 같아 하지마 하지 하지 하지 하지마 니 손길이 닿으면 미칠 것 같아 말할 때마다 내 팔을 살짝 잡아 돌아서서 꽉 안아 버릴 것만 같아 하지마 점점 못 참겠어 너는 나를 친구라고 하면서 내 어깨에 팔을 두르고 내 팔짱을 끼고 걸어 미치겠어 난 하지마 심장은 빨리 뛰고 얼굴은 자꾸 빨개지는데 아무렇지 않은 척 하기 이젠 너무나 힘들어 너는 내 맘을 아니 모르니 남자를 고를 때 원래 이리 시간이 걸리니 이만하면 알잖아 왜 유난히 이러니 내가 너의 이상형과 그렇게 많이 다르니 나 정말로 아주 괜찮은 남자야 I’m a good boy 타석에 한 번만 세워주면 만루 포 너는 나에겐 숭례문보다 소중한 국보 그러니 기회를 줘 그게 내겐 가장 큰 축복 하지마 You’re driving me crazy 하지마 더 이상 못 참을지 몰라 하지마 Please Stop baby stop it 하지마 제발 하지마 제발 하지마 하지 하지 하지 하지마 니가 그럴 때마다 미칠 것 같아 내 눈을 보며 살짝 웃어주면 달려가서 너를 안아버릴 것만 같아 하지마 하지 하지 하지 하지마 니 손길이 닿으면 미칠 것 같아 말할 때마다 내 팔을 살짝 잡아 돌아서서 꽉 안아 버릴 것만 같아 하지마
  김현중  ,Beauty Beauty,Come on Ye 매력적인 너야 도도하게 따라가 모든게 완벽하고 모두 나를 보며 Envy You 심심하고 따분해 재미없어 지루해 나를 미칠 듯 자극해 Drive Me Crazy 시크하게 섹시한 너의 완성 Black Shoes Just She 망설이지 말고 내게 다가와줘 Just She 누구보다 튀게 내게 다가와 Hey You Oh Hey You Come on Girl Oh What a Beauty Beauty Beauty Beauty What a Beauty Beauty Hey Don't Stop Me Beauty Girl 눈도 못 떼게 전부 내 스타일 Beauty Beauty Beauty Beauty Beauty Beauty Hey What a Beauty Beauty Beauty Beauty What a Beauty Beauty Beauty Beauty 너는 좀 달라 아찔한 순간 다 숨을 죽여 너를 주목해 See That Beauty Girl Put on Black Shoes That's What I'm Talking About' 매력에 너만의 매력에 색깔은 선명해 높이는 너무 아찔해 매끈한 Blacky Line 타고난 Body Line 솔직히 말해 말해 너무 깊히 빠져들었어 Just She 망설이지 말고 내게 다가와줘 Just She 누구보다 튀게 내게 다가와 Hey You Oh Hey You Oh What a Beauty Beauty Beauty Beauty What a Beauty Beauty Hey Don't Stop Me Beauty Girl 눈도 못 떼게 전부 내 스타일 Beauty Beauty Beauty Beauty Beauty Beauty Hey What a Beauty Beauty Beauty Beauty What a Beauty Beauty Beauty Beauty 너는 좀 달라 아찔한 순간 다 숨을 죽여 너를 주목해 See That Beauty Girl Beauty Girl 날 유혹하는 저 Beauty Girl 날 전부 흔들 Beauty Girl 섹시한 그대는 Beauty Girl Come on Girl Oh What a Beauty Beauty Beauty Beauty What a Beauty Beauty Hey Don't Stop Me Beauty Girl 눈도 못 떼게 전부 내 스타일 Beauty Beauty Beauty Beauty Beauty Beauty Hey What a Beauty Beauty Beauty Beauty What a Beauty Beauty Hey Don't Stop Me Beauty Girl 눈도 못 떼게 전부 내 스타일 Beauty Beauty Beauty Beauty Beauty Beauty Hey What a Beauty Beauty Beauty Beauty What a Beauty Beauty Beauty Beauty 너는 좀 달라 아찔한 순간 다 숨을 죽여 너를 주목해 See That Beauty Girl Beauty Girl She's a Beauty She's a Beauty Beauty Girl
  소나무 (SONAMOO)  ,I (knew it),숨겨줘 아무도 모르게 슈르르 안아줘 이대로 눈에 띄지 않게 잘못도 없어 기다리며 울며 지쳐가는 그 아이 매일 아파했던 아이 너무 기대하게 했대 애타게 만들고 자꾸 헷갈리게 했대 미치게 만들고 그저 바보처럼 너무 순진했던 어린아이처럼 순수했던 아이 네가 울렸던 나잖아 I can't see I confused Get me out of here 다 지나간 얘기 I knew it 영화 같은 건 없잖아 다 뻔한 얘기잖아 I don't want love baby No pain no love 뭐가 그리그리 뻔뻔해 내가 그리그리 만만해 너무나도 잘 알잖아 다 끝난 얘기잖아 I don't want love baby No pain no love oh Please look at my eye 커져 버린 하나의 ice 얼려져 차가워진 너와 내 사이 너로 인해 뒤바뀐 나 아낀다는 말 다신 하지마 일기 속 찢긴 페이지 번진 글씬 너로 새겨진 깨진 조명 어둠 속 엔딩은 no one 미쳐가 혼자 남은 아이는 혹시나 하는 그 맘에 널 기대해봐도 차가운 한마디 말에 무너져 버리고 결국 온통 너로 물들게 해놓고 하얀 먼지처럼 사라졌던 아이 나를 홀렸던 너잖아 I can't see I confused Get me out of here 다 사라진 얘기 I knew it 영화 같은 건 없잖아 다 뻔한 얘기잖아 I don't want love baby No pain no love 잔인했던 너의 마지막 한마디 결국 무너져 버린 끝이 나버린 스토리 네가 전부였던 내게 어떻게 이럴 수 있니 되돌리고 싶어 I knew it 영화 같은 건 없잖아 다 뻔한 얘기잖아 I don't want love baby No pain no love 뭐가 그리그리 뻔뻔해 내가 그리그리 만만해 너무나도 잘 알잖아 다 끝난 얘기잖아 I don't want love baby No pain no love oh
  신화  ,Intro,in the night this so right Shinhwa crew now we're back for more back for more with the microphone I'm on the flow on the flow from side to side front to back Shinhwa crew now we're back for more back for more with the microphone I'm on the flow on the flow from side to side front to back body bumpin' baby yo this time for real
  티아라  ,yayaya,U look at me Right T ARA U Ready Let me seeya LaLaLaLa Love me hey YaYaYaYa Shubidubi ShaLaLaLaLa 우리 둘이 YaYaYaYa Let me seeya LaLaLaLa Love me hey YaYaYaYa Shubidub Su Supa Nova 지글지글 불꽃처럼 뜨거워져 Hot Hot 빙글빙글 어지러워 눈이부셔 Ah Ah Yo ma Yo ma Lova Lova Yo ma Yo ma Supa Nova U Hee U U Hee Let me seeya LaLaLaLa Love me hey YaYaYaYa 니 앞에선 Oh 너무 작아져서 Oh I like U Shubidubi ShaLaLaLaLa 우리 둘이 YaYaYaYa 난 너만보여 U Hee U U U U U U U U Hee Hee Hee Hee Hee Oh Go it Go it Go it Go Go it Go Go it Go 고이접어 내 가슴에 꼭 담아 Ah Ah 우리 둘이 Do it Do Do it Do Do it Do 너를 위해 던져줄래 꽃다발 Ah Ah Ah Ah Ah Go it Go it Ah Ah Ah Do it Do it Ah Ah Ah Go it Go it Go it Go Go it Go Many Many Many 이따만큼 이따만큼 또 두근 두근 두근대 또 떨리네 Go it Go it Go Let me seeya LaLaLaLa Love me hey YaYaYaYa Shubidubi ShaLaLaLaLa 우리 둘이 YaYaYaYa Let me seeya LaLaLaLa Love me hey YaYaYaYa Shubidub Su Supa Nova 이글이글 타오르는 내 눈을봐 Hot Hot 흔들흔들 흐트러진 내 몸을봐 Ah Ah Yo ma Yo ma Lova Lova Yo ma Yo ma Supa Nova U Hee U U Hee Let me seeya LaLaLaLa Love me hey YaYaYaYa 빠져들어 Oh 정말 미치겠어 Oh My good boy Shubidubi ShaLaLaLaLa 우리 둘이 YaYaYaYa 난 너만보여 U Hee U U U U U U U U Hee Hee Hee Hee Hee Oh Go it Go it Go it Go Go it Go Go it Go 고이접어 내 가슴에 꼭 담아 Ah Ah 우리 둘이 Do it Do Do it Do Do it Do 너를 위해 던져줄래 꽃다발 Ah Ah Ah Ah Ah Go it Go it Ah Ah Ah Do it Do it Ah Ah Ah Go it Go it Go it Go Go it Go Many Many Many 이따만큼 이따만큼 또 두근 두근 두근대 또 떨리네 Go it Go it Go Let me seeya LaLaLaLa Love me hey YaYaYaYa U make me go LaLaLa Baby boy U So Hot Hot Hot Ha Ha U & Me 단 둘 Yes We 우리만의 P A R T Y 두근거리는 심장이 계속 외쳐 Oh Go it Go it Go it Go Go it Go Go it Go 고이접어 내 가슴에 꼭 담아 Ah Ah 우리 둘이 Do it Do Do it Do Do it Do 너를 위해 던져줄래 꽃다발 Ah Ah Ah Ah Ah Go it Go it Ah Ah Ah Do it Do it Ah Ah Ah Go it Go it Go it Go Go it Go Let me seeya LaLaLaLa
  서현 (SEOHYUN)  ,달빛 (Moonlight),Ya I know 어둠 속 너와 나 단둘이야 내 눈을 보고 Stop 더 가까이 숨 쉴 수 없게 Just me and you 시간은 멈춰 날 보는 눈길 따스한 온기 가득 채운 이런 설렘 속에 희미한 불빛 사이로 비춰 Now you and me 두 눈을 감아 yeah 날 비추는 Moonlight 부드러운 Moonlight 속삭여줘 I love you in Moonlight 녹아버리는 Love you in Moonlight 날 안아줘 Baby boy 너의 눈빛에 빠져들어 왜 왜 이런지 모르겠어 따스한 네 품 안에 가득히 날 안아줘 shh shh woo 널 보는 눈길 계속된 떨림 가득 채운 이런 설렘 속에 흩어진 불빛 사이로 번져 Now you and me 두 눈을 감아 널 비추는 Moonlight 부드러운 Moonlight 꼭 안아줘 I love you in Moonlight 두근거리는 Love you in Moonlight 널 안아줘 너와 나만의 Moonlight 눈을 뗄 수 조차 없어 이제 모든 걸 다 잊어 I I I oh 이대로 영원히 날 안아줘 I’ll always be there baby 날 비추는 Moonlight 부드러운 Moonlight 속삭여줘 I love you in Moonlight 녹아버리는 Love you in Moonlight 날 안아줘 널 비추는 Moonlight 더 뜨거운 Moonlight 꼭 안아줘 I love you in Moonlight 녹아버리는 Love you in Moonlight 사랑을 줘
  보아 (BoA)  ,EVERYBODY KNOWS,Gimme Gimme Gimme Gimme Gimme love 별이라도 그렇게 보였을까 생각에 잠긴 눈빛 슬픔 어딘가에 멈춘 것 같아 빛을 입은 채로 행복한 얼굴 진지함이 밴 말투 너의 노래는 내게 속삭임 같아 처음 본 순간 I fell in love with you 너의 길을 함께 걷고 있는 걸 꿈을 이뤘을 때 난 더 행복해 지금보다 더 웃게 모든걸 주고 싶어 like that Everybody knows 너는 몰라 나를 몰라 네 곁에 있는데 Everybody knows 너만 몰라 나 얼마나 널 갖고 싶은지 너의 빛이 환해질수록 더 멀어져 손에 닿을 듯 한데 사랑한단 말 너의 고백 너의 진심 그걸 따라갈래 꿈이라면 깰 수 없는 잠이길 네가 불러주는 노래 어쩜 이리 달콤할 수 있을까 지쳐 보이는 너의 뒷모습 네게 힘이 되고 싶어 매일 내게 너 그랬던 것처럼 처음 본 순간 I fell in love with you 사랑이란 말론 I cannot explain 이끄는 대로 난 너를 따라가 지금보다 더 깊게 네게 빠져들어 또 like that Everybody knows 너는 몰라 나를 몰라 네 곁에 있는데 Everybody knows 너만 몰라 나 얼마나 널 갖고 싶은지 너의 빛이 환해질수록 더 멀어져 손에 닿을 듯 한데 사랑한단 말 너의 고백 너의 진심 그걸 따라갈래 My heart is broken 널 갖지 못해서 온전한 나의 별이 돼주길 만날 수 없는 세계를 살아간다 해도 Baby please just stay just stay Gimme Gimme Gimme Gimme Gimme love 꿈속에서 너는 나를 찾아와 Gimme Gimme Gimme Gimme Gimme love 지금보다 더 밝게 빛나줘 Everybody knows 너는 몰라 나를 몰라 네 곁에 있는데 Everybody knows 너만 몰라 나 얼마나 널 갖고 싶은지 너의 빛이 환해질수록 더 멀어져 손에 닿을 듯 한데 사랑한단 말 너의 고백 너의 진심 그걸 따라갈래 너를 따라갈래
