artist,title,lyric
  레코드벨  ,인사,안녕 봄바람이 내 말을 가로채어 그댄 들을 수 없겠지만 진달래 빛 얼룩 속 가려진 탓에 내가 보이지 않겠지만 나 지금도 거리에 있어 달빛 속에도 놀이터에도 그댈 불러요 노래가 되지 못한 나의 이름과 시가 되지 못했던 그 날의 몸짓도 오늘 이곳에서 다시 만나요 이제 꽃을 피울 수 없었던 나의 바람은 오월의 한숨 그 작은 온기에 실어 오늘 우리에게 인사를 건네요 안녕 안녕 안녕 안녕 안녕 나 지금도 거리에 있어 봄비 속에도 광장 속에도 그댈 그댈 불러요 노래가 되지 못한 나의 이름과 시가 되지 못했던 그 날의 몸짓도 오늘 이곳에서 다시 만나요 이제 꽃을 피울 수 없었던 나의 바람은 오월의 한숨 그 작은 온기에 실어 오늘 우리에게 인사를 건네요 안녕 안녕 안녕 안녕 안녕 안녕 안녕 안녕 안녕 안녕 안녕 안녕 안녕 안녕 안녕 안녕 안녕 안녕 안녕 안녕
  인스턴트 로맨틱 플로어  ,Bye Bye Bye,너는 Bye Bye Bye 를 했고 나는 Why Why Why 를 외쳐 너는 Bye Bye Bye 를 했고 나는 Why Why 너는 Bye Bye Bye 를 했고 나는 Why Why Why 를 외쳐 너는 Bye Bye Bye 를 했고 나는 Why Why 아직까지도 발걸음을 못 떼 너 떠나간 그 자리에서 약간의 미소 좀 건방진 말투 내가 알던 넌 없었어 오히려 더 불편한 건 진실이 아닌 거짓 날 떼어내려 했던 궤변 되려 외면 해줬지 널 단념할 수 없어 난 꼭 너 아니면 안돼 너와 나눴던 사랑 다른 사람과는 상상 못해 다시 생각해봐 네 충동적인 감정의 착각 마치 꿈만 같아 단 한번도 상상 못했던 상황 만일 다른 사람 생긴 거라 해도 I forgive you Don't say goodbye I'm not gonna take it anymore 너는 Bye Bye Bye 를 했고 나는 Why Why Why 를 외쳐 너는 Bye Bye Bye 를 했고 나는 Why Why 너는 Bye Bye Bye 를 했고 Don't say goodbye bye 나는 Why Why Why 를 외쳐 Please tell me why why 너는 Bye Bye Bye 를 했고 Don't say goodbye bye 나는 Why Tell me why Why Don't say goodbye 눈을 감아 떠나가는 네 모습 안 보려 눈물 참아 눈 뜨고 네 뒷모습 보면 흘러 내릴 것만 같아 이해할 수 없어 네 이별 통보 내 헌신적 사랑 헌신짝 버리듯 스스럼 없는 네 못된 태도 그 모습에 놀라 비롯된 회고 나의 모든 걸 다 줬을 때쯤에 넌 날 다 가졌다 생각한 후에 정점을 찍은 이 시들한 사랑 그래 그때였던 것 같아 넌 짜증이 늘고 우리 만남은 줄고 나의 불안함은 커졌어 나 모르게 But 가끔 던지는 네 따뜻한 말에 난 또 행복해 하며 잊고 지내 사랑해 라는 말을 들은 지는 꽤 오랜 시간 낯선 단어 이젠 네가 낯설지만 너를 못 비워 난 아직 사랑하고 있어 너는 Bye Bye Bye 를 했고 나는 Why Why Why 를 외쳐 너는 Bye Bye Bye 를 했고 나는 Why Why 너는 Bye Bye Bye 를 했고 Don't say goodbye bye 나는 Why Why Why 를 외쳐 Please tell me why why 너는 Bye Bye Bye 를 했고 Don't say goodbye bye 나는 Why Tell me why Why Don't say goodbye 너는 Bye Bye Bye Don't say goodbye bye bye 나는 Why Why Why Please tell me why why why 너는 Bye Bye Bye Don't say goodbye bye bye 나는 Why Tell me why Why Don't say goodbye 너는 Bye Bye Bye 나도 Bye Bye Bye 너는 Bye Bye Bye Bye Bye Bye
  소소한 프로젝트  ,이름모를 꽃,나 끝이 보이지 않는 저 바다 위 나 홀로 가만히 누워 별을 세보다 넌 항상 빛났고 늘 반짝이네 아름다운 내 꿈을 보네 이 바다를 건너 저 파도를 지나 저 멀리 펼쳐질 네 눈 앞의 찬란한 세상은 그리 멀지 않다고 그 곳에 닿을 때까지 이 노랠 멈추지 않을 거야 난 내 삶을 운항하는 작은 항해사 내 앞의 휘몰아치는 거친 바람도 날 꺾을 수 없어 꼭 견디려 해 아름다운 내 꿈의 항해 이 바다를 건너 저 파도를 지나 저 멀리 펼쳐질 네 눈 앞의 찬란한 세상은 그리 멀지 않다고 그 곳에 닿을 때까지 이 노랠 멈추지 않을 거야 때로는 지쳐있던 순간 무너져 내리는 마음 포기 말자던 나의 다짐과 내 곁의 그대와 아름답게 빛나는 꿈의 항해를 이 바다를 건너 저 파도를 지나 저 멀리 펼쳐질 네 눈 앞의 찬란한 세상은 그리 멀지 않다고 그 곳이 보일 때까지 이 노랠 멈추지 않을 거야
  김한울 (Kim HanOul)  ,치사해,언제부터인진 잘 모르겠어 너가 말걸때마다 긴장된건 너의 눈이 이렇게 커다랬는지 무서운건 아닌데 마주치기가 너무 힘들어 자연스럽게 행동하는 것이 이렇게 어려운건지 몰랐어 너의 목소리가 이렇게 컸는지 어디를 가도 니 목소리 들리면 계속 귀 기울여 나만 널 좋아하게 만들고 눈길 안주는 넌 치사해 날 밤잠 못 이루게 해 놓고 혼자 잘 자는 넌 너무해 나만 널 좋아하게 만들고 남친이 있는 넌 치사해 날 밤잠 못 이루게 해 놓고 꿈에 나오는 넌 너무해 너의 존재감이 이렇게 컸는지 어디를 가도 내 눈에는 너만 보이는 것 같아 나만 널 좋아하게 만들고 눈길 안주는 넌 치사해 날 밤잠 못 이루게 해 놓고 혼자 잘 자는 넌 너무해 나만 널 좋아하게 만들고 남친이 있는 넌 치사해 날 밤잠 못 이루게 해 놓고 꿈에 나오는 넌 너무해
  플라스틱  ,눈꽃,하얀 눈꽃들이 아름답게 피었네 한 폭의 그림 같은 황홀한 세상이 눈앞에 보이네 새하얀 꽃들이 바람에 흩날리네 청정 하늘에도 벚꽃이 피고 지던 저 언덕너머에도 눈꽃이 날리네 눈꽃이 날리네 새하얗게 변해버린 짙은 그리움이 애잔하게 떠오르는 우리 둘의 지난 겨울을 더욱 그립게 하네 하얀 그리움이 눈꽃으로 피었네 사랑이 머물다간 서글픈 계절이 내 앞에 서있네 눈꽃이 날리네 꽃잎이 휘 날리네 기억 저 편에도 아득히 멀어져 간 그 이별의 길목에도 새하얗게 변해버린 짙은 그리움이 애잔하게 떠오르는 우리 둘의 지난 겨울을 더욱 그립게 하네 눈꽃이 날리면 아무도 없는 쓸쓸한 겨울 눈 덮인 하얀 세상에 홀로 이렇게 너를 그리네 새하얗게 변해버린 짙은 그리움이 애잔하게 떠오르는 우리 둘의 지난 겨울을 더욱 그립게 하네
  로코베리  ,애니 (Any),너는 애니 잊고있나요 내 얘기 시간을 멈춰둬요 여기 오 잊지마요 제발 제발 너는 애니 숨겨졌던 나를 꺼내 하얗게 씻어보려해도 나는 여전히 까만색 애니 바람이 불어오는 이곳 나혼자 굿바이 어둠속 너의 그림자도 이젠 굿바이 9월이가 우리들의 바다도 사라져가 파도속 너 나 세이 또 굿바이 너는 애니 듣고 있나요 내 얘기 아무리 잊어보려해도 시간의 벽에 갇혔죠 애니 바람이 불어오는 이곳 나혼자 굿바이 어둠속 너의 그림자도 이젠 굿바이 9월이가 우리들의 바다도 사라져가 파도속 너 나 세이 또 굿바이
  오리엔탈 쇼커스  ,Rosy Cheeked,사르르 녹는 봄바람이 내게로 불어와 고개를 돌려보니 woo 너의 모습이 눈앞에 보이는 you 사랑스러워 따뜻함이 느껴지는 음 봄바람 같아 그대 내게만 보여주는 미소를 지을 때 사랑스러운 얼굴을 어루만질 수밖에 수줍은 두 볼 분홍 빛으로 Rosy cheeked 너의 볼이 장미빛이 될 때 I wanna kiss you on the cheek Rosy cheeked 너의 미소 분홍빛이 될 때 I wanna kiss you on the cheek 너의 따뜻한 볼이 내 볼과 맞닿을 때 너와 나의 볼 사이로 흐르는 너의 멜로디 그대 귀여운 목소리 내게 흘러내리면 나도 모르게 미소가 점점 입가에 번지고 수줍은 두 볼 분홍 빛으로 Rosy cheeked 너의 볼이 장미빛이 될 때 I wanna kiss you on the cheek Rosy cheeked 너의 미소 분홍빛이 될 때 I wanna kiss you on the cheek Rosy cheeked Rosy cheeked 너의 볼이 장미빛이 될 때 I wanna kiss you on the cheek Rosy cheeked 너의 미소 분홍빛이 될 때 I wanna kiss you on the cheek Rosy cheeked Rosy cheeked
  생각의 여름  ,두 나무,또 한 번의 구름을 견디고 돌아오면 여전히 너는 나의 오랜 관객인 너는 익숙히 이렇게 서 있는 것만으로 그렇게 얘기를 하지 누구에게든 으레 그런 장면들이 있다고 견뎌지지 않을 시간들이 견뎌지는 것이라고 익숙히 이렇게 서 있는 것만으로 그렇게 얘기를 하지 누구에게든 으레 그런 장면들이 있다고 견뎌지지 않을 시간들이 견뎌지는 것이라고 누구에게든 으레 그런 장면들이 있다고 견뎌지지 않을 시간들이 견뎌지는 것이라고
  기억  ,청춘,바람 불어와 내 맘 흔들면 지나간 세월에 두 눈을 감아본다 나를 스치는 고요한 떨림 그 작은 소리에 난 귀를 기울여 본다 내 안에 숨쉬는 커버린 삶의 조각들이 날 부딪혀 지날 때 그 곳을 바라보리라 우리의 믿음 우리의 사랑 그 영원한 약속들을 나 추억한다면 힘차게 걸으리라 우리의 만남 우리의 이별 그 바래진 기억에 나 사랑했다면 미소를 띄우리라 내 안에 있는 모자란 삶의 기억들이 날 부딪혀 지날 때 그 곳을 바라보리라 우리의 믿음 우리의 사랑 그 영원한 약속들을 나 추억한다면 힘차게 걸으리라 우리의 만남 우리의 이별 그 바래진 기억에 나 사랑했다면 미소를 띄우리라
  소보  ,좌뇌로 쓴 편지 (Feat. 배창복),시간이 지나면 얘기 할 수 있어 오늘도 이렇게 혼잣말로 중얼거리다가 책상에 앉았어 어떤 말로 시작할까 예쁜말 멋진말 오글거리듯 귀여운 말 써주고 싶지만 뭔가 한가지 빠진 것 같아 정말 모르겠어 몇 시간째 쌓여가는 진심과 종이 쓰레기 더 말하지 않아도 될 만큼의 내 맘을 담고 있는 말을 찾고 있어 숨기지 않아도 돼 써 내려가 간절한 내 목소리로 그대의 눈빛 그대의 미소 그대의 존재가 아무 것도 아닌 나를 살게 해 또 하루가 지나가기 전에 전하고 싶어 조금은 어색한 좌뇌로 쓴 이 편지를 더 말하지 않아도 될 만큼의 내 맘을 담고 있는 말을 찾고있어 숨기지 않아도 돼 써 내려가 간절한 내 목소리로 그대의 눈빛 그대의 미소 그대의 존재가 아무것도 아닌 나를 살게해 또 하루가 지나가기 전에 전하고 싶어 조금은 어색한 좌뇌로 쓴 이 편지를 내 몸을 둘러싼 거짓과 자존심이 너에게 가는 날 가로막고 있지만 이제는 모두 내려놓고 너에게 달려간다 그대의 눈빛 그대의 미소 그대의 존재가 아무것도 아닌 나를 살게해 또 하루가 지나가기 전에 전하고 싶어 조금은 어색한 좌뇌로 쓴 이 편지를 지금 달려간다
