artist,title,lyric
  숨의숲  ,낙엽을 닮은 (Album Ver.),낙엽을 닮은 너의 눈동자를 나는 정말 정말 좋아했었어 가을을 닮은 너의 목소리를 나는 아직 아직 잊지 못했어 같이 걸으면서 들었던 낙엽 소리가 내 귓가에 들려오는 것만 같아 함께 앉아 있던 좁다란 나무 벤치엔 너의 온기가 남아 있는 것만 같아 낙엽을 닮은 너의 눈동자를 나는 정말 정말 좋아했었어 가을을 닮은 너의 목소리를 나는 아직 아직 잊지 못했어 같이 걸으면서 들었던 낙엽 소리가 내 귓가에 들려오는 것만 같아 함께 앉아 있던 좁다란 나무 벤치엔 너의 온기가 남아 있는 것만 같아 낙엽을 닮은 너의 눈동자를 나는 정말 정말 좋아했었어 가을을 닮은 너의 목소리를 나는 아직 아직 잊지 못했어 낙엽을 닮은 너의 눈동자를 나는 정말 정말 좋아했었어 가을을 닮은 너의 목소리를 나는 아직 아직 잊지 못했어 나는 아직 아직 잊지 못했어
  leeSA (리싸)  ,유감,넌 아직도 모르고 있니 흔들리는 마음을 너에겐 좀 어색하지만 내겐 익숙해진 이야긴걸 널 스쳐가는 눈빛 속에 혹시 마주칠까 두려워 망설이는 너 네게 미소 짓는 모습 보며 혹시 나일까 아닐까 고민하겠지 널 유혹하고 있는 것도 아닌데 나 손짓하고 있는 것도 아닐텐데 흔들리는 네 모습이 우습겠지만 날 벗어나려 자꾸 애를 써봐도 눈 감고 나를 보지 않으려 해도 넌 내 안으로 빠져들어 유감일 뿐 야 넌 아직 모른척하며 외면하려 하지만 한 걸음 자꾸 다가서는 날 피하려고 하지도 않는걸 널 스쳐가는 눈빛 속에 혹시 마주칠까 두려워 망설이는 너 네게 미소 짓는 모습보며 혹시 나일까 아닐까 고민하겠지 널 유혹하고 있는 것도 아닌데 나 손짓하고 있는 것도 아닐텐데 흔들리는 네 모습이 우습겠지만 날 벗어나려 자꾸 애를 써봐도 눈 감고 나를 보지 않으려 해도 넌 내 안으로 빠져들어 유감일 뿐야 널 유혹하고 있는 것도 아닌데 나 손짓하고 있는 것도 아닐텐데 흔들리는 네 모습이 우습겠지만 날 벗어나려 자꾸 애를 써봐도 눈 감고 나를 보지 않으려 해도 넌 내 안으로 빠져들어 유감일 뿐야 널 유혹하고 있는 것도 아닌데 나 손짓하고 있는 것도 아닐텐데 흔들리는 네 모습이 우습겠지만 날 벗어나려 자꾸 애를 써봐도 눈 감고 나를 보지 않으려 해도 넌 내 안으로 빠져들어 유감일 뿐야 널 유혹한 것도 아닌데 나 손짓한 것도 아닐텐데 날 벗어나려고 해봐도 눈 감으려고해봐도 넌
  볼빨간사춘기  ,가끔씩 (우지윤의 보컬 스틸),가끔씩 생각이 나면 지금쯤 뭘 하고 있나 며칠째 감지 않은 머리 No no no 가만히 이불 속에서 만지작거리면 깜짝 전화벨 소리에 난 부끄러워 Woo Du ru Du ru ru ru ru ru ru ru ru Du ru ru ru ru ru ru ru ru Du ru ru ru ru ru ru ru ru 머리 식히러 뚝방 가는 길 벌써부터 보고 싶었어 작년 벚꽃에 또 작은 공연에 기억나니 너무 좋아 가끔씩 생각이 나면 지금쯤 뭘 하고 있나 며칠째 비워지지 않은 메시지 하나씩 정리하기엔 머릿속 가득히 앉은 생각들이 많아 난 한숨만 Woo 어두컴컴해 돌아가던 길 발에 붙은 꽃잎 그대로 얼마 동안은 방에만 있겠지 그렇지만 너무 좋아 하나씩 정리하기엔 머릿속 가득히 앉은 생각들이 많아 난 한숨만 Woo Du ru Du ru ru ru ru ru ru ru ru Du ru ru ru ru ru ru ru ru Du ru ru ru ru ru ru ru ru Du ru Du ru ru ru ru ru ru ru ru Du ru ru ru ru ru ru ru ru Du ru ru ru ru ru ru ru ru
  낭만이다  ,긴밤,아직도 그댄 오지를 않네요 창가엔 눈이 쌓여가는데 사람들은 행복해보이고 나는 혼자 쓸쓸해보이고 사람들은 행복해보이고 나는 혼자 또 왜 사람들은 행복해보이고 나는 혼자 쓸쓸해보이고 사람들은 행복해보이고 나는 혼자 또 왜 긴긴밤이 긴긴밤이 누군가에게는 행복이었을까 긴긴밤이 긴긴밤이 누군가에게는 슬픔이었을까 사람들은 행복해보이고 나는 혼자 쓸쓸해보이고 사람들은 행복해보이고 나는 혼자 또 왜 사람들은 행복해보이고 나는 혼자 쓸쓸해보이고 사람들은 행복해보이고 나는 혼자 또 왜 긴긴밤이 긴긴밤이 누군가에게는 행복이었을까 긴긴밤이 긴긴밤이 누군가에게는 슬픔이었을까 거리에 들리는 아련한 목소리 거리에 보이는 그대의 뒷모습 긴긴밤이 긴긴밤이 누군가에게는 행복이었을까 긴긴밤이 긴긴밤이 누군가에게는 슬픔이었을까
  김사랑  ,2,음 우후후 falling falling falling falling you 너의 주머니 속엔 내 손 그리고 따뜻한 커피로 향기 가득한 이 겨울 속에 너 내 맘도 채운 너 왠지 허전한 맘에 괜히 짜증을 내봐도 언제나 내 손 잡아준 내 곁에는 니가 있어서 우우우후후 겨울은 따뜻해지고 내 맘에 너는 눈처럼 내리고 밤새도록 눈도 쌓이고 차가워진 창문 위엔 그림을 그리고 새롭게 시작된 하루 오늘도 나의 소원은 너라고 항상 네 곁에 있겠다고 몇 번이고 내 겨울은 너와 함께라고 with you 가끔 지친 마음에 슬픈 표정을 보여도 언제나 내 손 잡아 준 내 곁에는 니가 있어서 우우우후후 겨울은 따뜻해지고 내 맘에 너는 눈처럼 내리고 밤새도록 눈도 쌓이고 차가워진 창문 위엔 그림을 그리고 새롭게 시작된 하루 오늘도 나의 소원은 너라고 항상 네 곁에 있겠다고 몇 번이고 내 겨울은 너와 함께라고 with you with you 나 내곁에 잠든 널 보며 love you love you I always I love with you 겨울은 따뜻해지고 내 맘에 너는 눈처럼 내리고 yeah yeah 시간이 우릴 지나도 언제나 나의 사람은 너라고 항상 네곁에 있겠다고 몇번이고 내 겨울은 너와 함께라고 with you
  바닐라 유니티  ,좋아좋아 (Live),처음 널 만나는 날 노란 세송이 장미를 들고 룰루랄라 신촌을 향하는 내 마음은 마냥 두근두근 생머리 휘날리며 나를 향해 손을 흔드는 너 머리에서 발끝까지 나를 사로잡네 이야에로 니가 좋아 너무 좋아 내 모든걸 주고 싶어 너에게만은 내 마음 난 꾸미고 싶지 않아 언제까지 죽을 때까지 너와 함께 난 너와 함께 있을 거야 예  여보세요 나의 천사 어떻게 내 마음을 훔쳤나요 괜찮아요 나의 천사 가져간 내 맘 고이  난 꾸미고 싶지 않아 니가 좋아 너무 좋아 내 모든걸 주고 싶어 니가 좋아 너무 좋아 내 모든걸 주고 싶어
  9 (9와 숫자들)  ,Burn,Burn you had to burn 사랑이라 믿고 싶었던 어린 날의 만남을 Burn you had to burn 추억이 될 거라 위로했던 어제의 고난을 But you don’t have to burn yourself that hard Let me feel your heart 흙으로 흙으로 가는 짧은 이 길 더 이상의 흠은 없기를 You don’t have to care for them so much Let them go away 소중한 건 오직 단 한 번의 밝은 너의 미소 Don’t burn it all Run you had to run 기대고 싶었던 어떤 이의 어깨로부터 Turn you had to turn 친구일 거라고 기대했던 사람들에게서 But you don’t have to burn yourself that hard Let me feel your heart 밤으로 한없이 흘러가는 시간 더 이상은 한이 없도록 You don’t have to care for them so much Let them go away 소중한 건 오직 단 한 번의 밝은 너의 미소 You don’t have to burn yourself that hard Let me feel your heart 소중한 건 오직 단 한 번의 밝은 너의 미소 Don’t burn it all You don’t have to burn yourself that hard Let me feel your heart Don’t burn it all
  스카웨이커스 (SKA WAKERs)  ,This Is Ska,쓸데없는 겉치레에 신경 쓰기보다 사상과 철학을 노래하는 것 대안 없는 비난과 욕설보다 소외받는 사람들과 함께하는 것 이것이 스카 이것이 스카 이것이 스카 이것이 스카 허무와 다다 앞에 주저앉기보다 희망과 낭만을 노래하는 것 썩어빠진 세상 앞에 무릎 꿇기보다 사람답게 살기위해 투쟁하는 것 이것이 스카 이것이 스카 이것이 스카 이것이 스카 쓸데없는 겉치레에 신경 쓰기보다 사상과 철학을 노래하는 것 대안 없는 비난과 욕설보다 소외받는 사람들과 함께하는 것 이것이 스카 이것이 스카 이것이 스카 이것이 스카 이것이 스카 이것이 스카 이것이 스카 이것이 스카
  UHF  ,안녕 도쿄,말할 걸 그랬어 그렇게 멈춰 있었어 나에겐 할 수 없는 이야기들이 너무 많았어 아름다운 내 비밀이란건 갇힌 바람처럼 울어야 할 곳 조차 몰랐어 아플 줄은 알았어 이 쯤은 참을 수 있어 힘들 걸 몰랐다면 처음부터 시작도 안했어 안타까운 네 위로마저도 비밀이라면 난 나무 구멍을 찾아가겠어 말할 걸 그랬어 그렇게 멈춰 있었어 나에겐 할 수 없는 이야기들이 너무 많았어 아름다운 내 비밀이란건 갇힌 바람처럼 울어야 할 곳 조차 몰랐어 아플 줄은 알았어 이 쯤은 참을 수 있어 힘들 걸 몰랐다면 처음부터 시작도 안했어 안타까운 네 위로마저도 비밀이라면 난 나무 구멍을 찾아가겠어
  미미시스터즈  ,다이너마이트 소녀 (Feat. 김창완),그리고 더 말을 잇지 못하고 돌아선 길은 밤으로 긴데 어둠은 짙고 갈 길은 없어 다이너마이트 소녀 흐느끼며 걷네 그리고 더 말을 잇지 못하고 천천히 걷네 밤으로 걷네 어둠이 걷힐까 잊을 수 있을까 다이너마이트 소녀 흐느끼며 걷네 아니야 다시는 아니야 아니야 아니야 다시는 아니야 아니야 그리고 더 말을 잇지 못하고 돌아선 길은 밤으로 긴데 어둠은 짙고 갈 길은 없어 다이너마이트 소녀 흐느끼며 걷네  그리고 더 말을 잇지 못하고 천천히 걷네 밤으로 걷네 어둠이 걷힐까 잊을 수 있을까 다이너마이트 소녀 흐느끼며 걷네 아니야 다시는 아니야 아니야 아니야 다시는 아니야 아니야 그리고 더 말을 잇지 못하고 돌아선 길은 밤으로 긴데 어둠은 짙고 갈 길은 없어 다이너마이트 소녀 흐느끼며 걷네 다이너마이트 소녀 흐느끼며 걷네 다이너마이트 소녀 흐느끼며 걷네 다이너마이트 소녀 흐느끼며 걷네 다이너마이트 소녀 흐느끼며 걷네 다이너마이트 소녀 흐느끼며 걷네 다이너마이트 소녀 흐느끼며 걷네
