artist,title,lyric
  Various Artists  ,Move It Like This (Remake Ver.),Can you move it like this I can shake it like that Can you move it like this I can shake it like that Can you move it like this I can shake it like that C'mon ladies rock the party Shake your body everybody C'mon everybody Let's move it all night Gonna take you back to the old school Can you feel the vibe Just dance to the rhythm and let me See ya wind your waistline Jump back and the do the twist And the electric slide yeah move it man Can you move it like this I can shake it like that Can you move it like this I can shake it like that Can you move it like this I can shake it like that C'mon fellas rock the party Shake your body everybody lets get funky do the sound and say here we get on the floor and do it like this Can anyone do the Double Bump Like back in the day We thought we'd bring it to ya Baha Men keep it groovin' yeah yeah Well I can see everybody on the floor Doing the running man Do the mash potato Or walk the Philly Dog if you can Yeah move it man Can you move it like this I can shake it like that Can you move it like this I can shake it like that Can you move it like this I can shake it like that C'mon y'all let's rock the party Shake your body everybody Remember back in the day When we used to dance the Boogaloo Everybody used to rock the beat Solid Gold kickin' up too And everybody rock together with the DJ when he plays Smooth music is kickin' clippin' We rush back and we keep dippin' C'mon baby let's rock let's rock We gonna get up on the dance floor and do the Pee wee Herman So shake it up And do the bus stop And do the Robot And baby do the rock yeah Move it man Can you move it like this LA I can shake it right back Atlanta Can you move it like this New York I can shake it right back Whazzup Can you move it like this Seattle I can shake it right back Dallas and Houston Can you move it like this I can shake it like that Can you move it like this I can shake it like that Can you move it like this I can shake it like that Can you move it like this I can shake it like that C'mon y'all let's rock the party Shake your body everybody Can you move it like this I can shake it like that Can you move it like this I can shake it like that Can you move it like this I can shake it like that
  Zaz  ,Paris Sera Toujours Paris,"Par precaution on a beau mettre Des croisillons a nos fenetres Passer au bleu nos devantures Et jusqu'aux pneus de nos voitures Desentoiler tous nos musees Chambouler les Champs Elysees Emmailloter de terre battue Toutes les beautes de nos statues Voiler le soir les reverberes Plonger dans le noir la ville lumiere Paris sera toujours Paris La plus belle ville du monde Malgre l'obscurite profonde Son eclat ne peut etre assombri Paris sera toujours Paris Plus on reduit son eclairage Plus on voit briller son courage Sa bonne humeur et son esprit Paris sera toujours Paris Pour qu'a ce bruit chacun s'entraine On peut la nuit jouer d'la sirene Nous contraindre a faire le zouave En pyjama dans notre cave On aura beau par des ukases Nous couper l'veau et meme le jazz Nous imposer le masque a gaz Des mots croises a quatre cases Nous obliger dans nos demeures A nous coucher tous a onze heures Paris sera toujours Paris La plus belle ville du monde Malgre l'obscurite profonde Son eclat ne peut etre assombri Paris sera toujours Paris Plus on reduit son eclairage Plus on voit briller son courage Sa bonne humeur et son esprit Paris sera toujours Paris Tic e tac e te tap Stic in ste cap ste cap oump Stic in ste cap pi di dap Stic in stic in ste cap ste cap oump pi di doum Bien que ma foi, depuis octobre La robe soit beaucoup plus sobre Qu'il y ait moins d'fleurs et moins d'aigrettes Que les couleurs soient plus discretes Bien qu'aux galas on elimine Les chinchillas et les hermines Que les bijoux pleins de decence Brillent surtout par leur absence Que la beaute soit moins voyante Moins effrontee moins froufroutante Paris sera toujours Paris La plus belle ville du monde Meme quand au loin le canon gronde Sa tenue est encore plus jolie Paris sera toujours Paris On peut limiter ses depenses Sa distinction son elegance N'en ont alors que plus de prix Paris sera toujours Paris"
  Daniel Skye  ,I Want You,"I'd rather be honest I fell for the way you knew I would fall So what if I want it? You know what you do You painted a target Right on my heart You shot at the mark And, oh, look you caught it You know what you started  [Pre-Chorus] Can't get you close enough Think that I got you then you're gone, you're gone I need to say it once in case tomorrow never comes, oh  [Chorus] I want you You say the word, I'll come through Something in the way you move Don't keep me waiting on you I want you  [Post-Chorus] I want you Don't keep me waiting  [Verse 2] I'm not used to chasing I beg and I steal just to borrow your heart But girl, let's just face it, there's no one like you And everyone knows it I know you don't notice, can't keep my focus I just be open Won't hide what I'm showing, oh  [Pre-Chorus] Can't get you close enough Think that I got you then you're gone (you're gone) You're gone (you're gone)  [Chorus] I want you You say the word, I'll come through (come through) Something in the way you move (you move) Don't keep me waiting on you I want you  [Post-Chorus] I want you Don't keep me waiting on you (Nobody, nobody, nobody, nobody, nobody but you) (Nobody, nobody) Don't keep me waiting on you Don't keep me waiting on you (Nobody, nobody, nobody, nobody, nobody but you) (Nobody, nobody) Don't keep me waiting on you  [Chorus] I want you You say the word, I'll comet rhough (come through) Something in the way you move (Something in the way you move) Don't keep me waiting on you (Don't keep me waiting) I want you, no  [Post-Chorus] I want you Don't keep me waiting on you (Nobody, nobody, nobody, nobody, nobody but you) (Nobody, nobody) Don't keep me waiting on you Don't keep me waiting on you (Nobody, nobody, nobody, nobody, nobody but you) (Nobody, nobody) Don't keep me waiting on you"
  Billy Joel  ,The Longest Time,"Oh, oh, oh For the Longest time Oh, oh, oh For the Longest time If you said goodbye to me tonight There would still be music left to write What else could I do I'm so inspired by you That hasn't happened for the longest time  Once I thought my innocence was gone Now I know that happiness goes on That's where you found me When you put your arms around me I haven't been there for the longest time  Oh, oh, oh For the Longest time Oh, oh, oh For the Longest I'm that voice you're hearing in the hall And the greatest miracle of all Is how I need you And how you needed me too That hasn't happened for the longest time  Maybe this won't last very long But you feel so right And I could be wrong Maybe I've been hoping too hard But I've gone this far And it's more than I hoped for  Who knows how much further we'll go on Maybe I'll be sorry when you're gone I'll take my chances I forgot how nice romance is I haven't been there for the longest time  I had second thoughts at the start I said to myself Hold on to your heart Now I know the woman that you are You're wonderful so far And it's more than I hoped for  I don't care what consequence it brings I have been a fool for lesser things I want you so bad I think you ought to know that I intend to hold you for the longest time"
  Tom Odell  ,Silhouette (Radio Edit),"I keep waking at night in the freezing cold Staring at the shadows coming up the walls Giving me a feeling I can't define  Is there anyone there I say to the dark But all I get back is a beating heart Going out of rhythm and I realize  Oh, something's changed Oh, something's changed  It's just a silhouette, a flick in the blinds It's just a mind trick, I don't know why But it reminds me of someone that I used to know All that I can't forget, is every night right beside me I open my eyes and it reminds me I should have never let you go  Look up there don't you see her face That familiar heart, that familiar shape Are giving me a feeling, I can't define  Oh, something's changed Oh, something's changed  It's just a silhouette, a flick in the blinds It's just a mind trick, I don't know why But it reminds me of someone that I used to know All that I can't forget, is every night right beside me I open my eyes and it reminds me I should have never let you go  I wanna put my arms around you Tell everyone I found you But you're just a shadow in my mind  You know you've got me so enchanted Why you gotta be cold heart Dancing on your own in the cold streetlight  It's just a silhouette, a flick in the blinds It's just a mind trick, I don't know why But it reminds me of someone that I used to know All that I can't forget, is every night right beside me I open my eyes and it reminds me I should have never let you go"
  Jeremy Zucker  ,comethru,I might lose my mind Waking when the sun's down Riding all these highs Waiting for the comedown Walk these streets with me I'm doing decently Just glad that I can breathe yeah I'm trying to realize It's alright to not be fine On your own Now I'm shaking drinking all this coffee These last few weeks have been exhausting I'm lost in my imagination And there's one thing that I need from you Can you come through And there's one thing that I need from you Can you come through Ain't got much to do Too old for my hometown Went to bed at noon Couldn't put my phone down Scrolling patiently It's all the same to me Just faces on a screen yeah I'm trying to realize It's alright to not be fine On your own Now I'm shaking drinking all this coffee These last few weeks have been exhausting I'm lost in my imagination And there's one thing that I need from you Can you come through And there's one thing that I need from you Can you come through And there's one thing that I need from you Can you come through
  Pink  ,My Signature Move,I've got a way of making everything a confrontation And you've got a way of bringing out the worst in me You see it's just if I'm bored I'll find a way to make an accusation I've got a problem with more Sp give me give me everything stop not my fault not at all I can't help you what you want Get in line Take a number Get you when my song is over Ir you leave it up to me I'll make a lie out of truth It's true And then I'll break it up make it bleed Tell you that it's you not me Make a scene at a show just because the wind blows Shoot myself in the foot To make a point I can't prove To get it back to you That's just my signature move You call me crazy and I thinhk It's mean I just don't like it I'm just a sensitive baby and you need to please me right You know I said I would change I did I went and tried a different outfit And if that's not enough you won't be riding dirty tonight stop My my fault not at all I can't hellp you what you want Get in like take a number Get you when my song is over It you leave it up to me I'll make a lie out of truth it's ture And then I'll break it up make it bleed Tell you that it's you not me Make a scane at a show just because the wind blows Shoot myself in the foot to make a point I can't prove To get it back to you That's just my signature move I start fight in my dreams I think I kick off the sheets I don't apologize they would't see it in my eyes I'm not a good best friend If there's a rule I will bend That makes it trouble for you It's all I know how to do I'm not respeonsib stop ha ha yup Not my fault not at all I can't help you what you want Get in line Take a number Get you when my song is over If you leave it up to me I'll make a lie out of truth it's true And then I'll break it up make it bleed Tell you that it's you not me Make a scene at a show just because the wind blows Shoot myself in the foot to make a point I can't prove To get it back to you That's just my signature move
  Pixie Lott  ,Cry Me Out (Bimbo Jones Remix),"I got your emails  You just don't get females now, do you?  What's in my heart  Is not in your head, anyway    Mate, you're too late  And you weren't worth the wait, now were you?  It's out of my hands  Since you blew your last chance when you played me    You'll have to cry me out  You'll have to cry me out  The tears that will fall mean nothing at all  It's time to get over yourself    Baby, you ain't all that  Baby, there's no way back  You can keep talkin'  But baby, I'm walkin' away    When I found out  You messed me about, I was broken  Back then I believed you  Now I don't need ya no more    The pic on your phone  Proves you weren't alone, she was with you, yeah  Now I couldn't care about who, what or where  We're through    You'll have to cry me out  You'll have to cry me out  [ Pixie Lott Lyrics are found on www.songlyrics.com ]  The tears that will fall mean nothing at all  It's time to get over yourself    Baby, you ain't all that  Baby, there's no way back  You can keep talkin'  But baby, I'm walkin' away    Gonna have to cry me out  Gonna have to cry me out  Boy, there ain't no doubt  Gonna have to cry me out    Won't hurt a little bit  Boy, better get used to it  You can keep talkin'  But baby, I'm walkin' away    You'll have to cry me out  You'll have to cry me out  The tears that will fall mean nothing at all  It's time to get over yourself    'Cause baby you ain't all that  Baby, there's no way back  You can keep talkin'  Baby, I'm walkin' away    You'll have to cry me out  You'll have to cry me out"
  Kesha  ,Blow,"Dance Back door cracked We don't need a key We get in for free No VIP sleaze Drink that Kool-Aid Follow my lead Now you're one of us You're coming with me It's time to kill the lights And shut the DJ down This place about to Tonight were taking over No one's getting out This place about to blow Blow This place about to blow Blow This place about to blow Blow This place about to blow Blow This place about to Now what What We're taking control We get what we want We do what you don't Dirt and glitter Cover the floor We're pretty and sick We're young and we're bored It's time to lose your mind And let the crazy out This place about to Tonight we're taking names 'Cause we don't mess around This place about to blow Blow This place about to blow Blow This place about to blow Blow This place about to blow Blow This place about to Blow Go, go, go, go insane Go insane Throw some glitter Make it rain on him Let me see them Hanes Let me, let me see them Hanes Go insane Go insane Throw some glitter Make it rain on him Let me see them Hanes Let me, let me see them Hanes We are taking, over Blow Get used to it, over Blow This place about to blow Blow This place about to blow Blow This place about to blow Blow This place about to blow Blow This place about to"
  Aurora  ,Animal,You are the victim The victim of my love I dangle up on rooftops Before I push you off I stand at the headlights Looking for a corner where I can't be found With a goddess in my right eye Watching every lover on the battleground You're hunting for love Killing for pleasure Lost in a concrete jungle If I am alone Make me a stranger Lost in a concrete jungle He-lay I'm an animal animal Hunting for an animal animal Hunting for love Killing for pleasure Lost in a concrete jungle He-lay Isolation makes me hungry Will you stay here till I sleep You'll return home in the morning But you never really leave I keep the memories alive The weight upon my shoulders felt so divine With a goddess in my right eye Watching every step I take before I die You're hunting for love Killing for pleasure Lost in a concrete jungle If I am alone Make me a stranger Lost in a concrete jungle He-lay I'm an animal animal Hunting for an animal animal Hunting for love Killing for pleasure Lost in a concrete jungle He-lay I become an animal animal Hunting for an animal animal Let me become an animal Let me become an animal 'Cause when you are an animal You lose control You're hunting for love Killing for pleasure Lost in a concrete jungle If I am alone Make me a stranger Lost in a concrete jungle He-lay I'm an animal animal Hunting for an animal animal I become an animal animal Hunting for an animal animal Hunting for love Killing for pleasure Lost in a concrete jungle He-lay I'm an animal animal Hunting for an animal animal I become an animal animal Hunting for an animal animal Ho ho
