artist,title,lyric
  ABBA  ,"My Love, My Life","I've seen it on your face Tells me more than any worn-out old phrase So now we'll go separate ways Never again we two Never again, nothing I can do Like an image passing by, my love, my life In the mirror of your eyes, my love, my life I can see it all so clearly (See it all so clearly) Answer me sincerely (Answer me sincerely) Was it a dream, a lie? Like reflections of your mind, my love, my life Are the words you try to find, my love, my life But I know I don't possess you So go away, God bless you You are still my love and my life Still my one and only I've watched you look away Tell me is it really so hard to say? Oh, this has been my longest day Sitting here close to you Knowing that maybe tonight we're through Like an image passing by, my love, my life In the mirror of your eyes, my love, my life I can see it all so clearly (See it all so clearly) Answer me sincerely (Answer me sincerely) Was it a dream, a lie? Like reflections of your mind, my love, my life Are the words you try to find, my love, my life But I know I don't possess you So go away, God bless you You are still my love and my life Yes I know I don't possess you So go away, God bless you You are still my love and my life Still my one and only"
  Jack Vandervelde  ,My Mind (Acoustic),"You take me to places I've never been You do things that make me a better man And bus stops that turn into hours spent rambling on One look and you got the best of me Four feet take us where we wanna be Three words that would be the death of me Chances are  Pre-Chorus We'll end up in a bar tonight Will drinks turn off the filter I Put in place to hide things we both know It's obvious there'll come a time Board a plane and leave behind The closest thing to home away from home  Chorus My mind will forget nights Like these ones I'm fallin' I'm fallin' before I go again I've tried to pretend time is on our side Fallin' I'm fallin' before I go again  Post-Chorus Fallin' Fallin', no Fallin' I'm fallin' before I go again  Verse 2 We talk late at night like we're Letterman We're deeper right now than I've ever been Over-thinking this would be irrelevant Chances are  Pre-Chorus We'll end up in a bar tonight Will drinks turn off the filter I Put in place to hide things we both know It's obvious there'll come a time Board a plane and leave behind The closest thing to home away from home  Chorus My mind will forget nights Like these ones I'm fallin' I'm fallin' before I go again I've tried to pretend time is on our side Fallin' I'm fallin' before I go again  Post-Chorus Fallin' Fallin', no Fallin' I'm fallin' before I go again  Post-Chorus Fallin' Fallin', no Fallin' I'm fallin' before I go again  Post-Chorus Fallin' Fallin', no Fallin' I'm fallin' before I go again  Post-Chorus Fallin' Fallin', no Fallin' I'm fallin' before I go again  Chorus My mind will forget nights Like these ones I'm fallin' I'm fallin' before I go again I've tried to pretend time is on our side Fallin' I'm fallin' before I go again"
  The Osmonds  ,Long Haired Lover From Liverpool,"I'll be your long haired lover from Liverpool, and I'll do anything you say. I'll be your clown or your puppet or your April Fool, if you'll be my sunshine daisy from L.A.  I'll be your leprechaun and sit upon an old toad stool, I'll serenade you till I'm old and gray. I'll be your long haired lover from Liverpool, you'll be my sunshine daisy from L.A.  (You'll be my lovely daisy on the mountainside, there are lots of other flowers, too.) But all the other flowers hung their heads and cried because the loveliest of all of them was you.  (But you were evidently the exception to the rule) I picked you quickly then I ran away. 'Cause I was your long haired lover from Liverpool, you were my sunshine daisy from L.A.  I'll be your long haired lover from Liverpool, and I'll do anything you ask. I'll be your clown or your puppet or your April Fool, cut my hair, I'll even wear a mask.  I'll be your Valentine, and you'll be mine, and things'll be cool. We'll move along together every day. I'll be your long haired lover from Liverpool, you'll be my sunshine daisy from L.A., you'll be my sunshine daisy from L.A.  I'll be your long haired lover from Liverpool, and I'll do anything you ask. I'll be your clown or your puppet or your April Fool, cut my hair I'll even wear a mask.  I'll be your Valentine, and you'll be mine, and things'll be cool. We'll move along together every day. I'll be your long haired lover from Liverpool, you'll be my sunshine daisy from L.A...."
  Tom Odell  ,Another Love,I wanna take you somewhere so you know I care But it's so cold and I don't know where I brought you daffodils in a pretty string But they won't flower like they did last spring And I wanna kiss you make you feel alright I'm just so tired to share my nights I wanna cry and I wanna love But all my tears have been used up On another love another love All my tears have been used up On another love another love All my tears have been used up On another love another love All my tears have been used up And if somebody hurts you I wanna fight But my hands been broken one too many times So I'll use my voice I'll be so fucking rude Words they always win but I know I'll lose And I'd sing a song that'd be just ours But I sang 'em all to another heart And I wanna cry I wanna learn to love But all my tears have been used up On another love another love All my tears have been used up On another love another love All my tears have been used up On another love another love All my tears have been used up I wanna sing a song that'd be just ours But I sang 'em all to another heart And I wanna cry I wanna fall in love But all my tears have been used up On another love another love All my tears have been used up On another love another love All my tears have been used up On another love another love All my tears have been used up
"  Nicky Romero ,  Anouk  ",Feet On The Ground,"Baby if you're willing to wait a bit longer 'Cause everytime we hang it's getting stronger Walking around for another day Please And wait a little while to my ake's away Can you do that for me It's been a few weeks but it still hurts Like forever And there is only one way for us to be Together Gimme some time to ease my soul Baby after that let the good times roll I almost ain't got no more tears to fall down I gotta be right this time and get my feet on the ground I almost ain't got no more tears to fall down I gotta be right this time and get my feet on the ground Baby if you're willing to wait a bit longer 'Cause everytime we hang it's getting stronger Baby let me be who i wanna be So I can fall to your feet I could do that for ya I almost ain't got no more tears to fall down I gotta be right this time and get my feet on the ground I almost ain't got no more tears to fall down I gotta be right this time and get my feet on the ground I almost ain't got no more tears to fall down I gotta be right this time and get my feet on the ground I almost ain't got no more tears to fall down I gotta be right this time, gotta gotta gotta gotta be right this time Yeah Yeah Yeah Do you feel me baby Yeah He e ey Do you feel me ba ba baby Yeah I gotta be right this time gotta gotta gotta gotta be right this time Do you feel me baby Yeah He e ey Do you feel me ba ba baby Yeah I gotta be right this time gotta gotta gotta gotta be right this time Do you feel me baby Yeah He e ey Do you feel me ba ba baby Yeah I gotta be right this time gotta gotta gotta gotta be right this time"
  Various Artists  ,Bridge Over Trouble`d Water,"Simon & garfunkel---bridge over troubled water  When you're weary, feeling small, When tears are in your eyes, I will dry them all; I'm on your side. when times get rough And friends just can't be found, Like a bridge over troubled water I will lay me down. Like a bridge over troubled water I will lay me down. When you're down and out, When you're on the street, When evening falls so hard I will comfort you. I'll take your part. When darkness comes And pains is all around, Like a bridge over troubled water I will lay me down. Like a bridge over troubled water I will lay me down.  Sail on silvergirl, Sail on by. Your time has come to shine. All your dreams are on their way. See how they shine. If you need a friend I'm sailing right behind. Like a bridge over troubled water I will ease your mind. Like a bridge over troubled water I will ease your mind."
  Sabrina Carpenter  ,Thumbs,Somewhere in the world there is a father and a mother And the father is a son who has a mother The mother has a daughter who gets married to the brother of a mother And they all just tryna multiply with one another 'Cause that's just the way of the world It never ends till the end then you start again That's just the way of the world That's just the way of the world Somewhere in the world they think they're working for themselves They get up everyday to go to work for someone else And somebody works for them and so they think they got it made But they're all just working to get paid the very same And so they keep on twiddling them thumbs Skiddly-dee-da-dum They gonna keep on twiddling them thumbs Skiddly-dee-da-dum-dum And so they keep on twiddling them thumbs Skiddly-dee-da-dum They gonna keep on twiddling them thumbs Skiddly-dee-da-dum-dum Somewhere in the world you got a robber and a bank And the bank robbed the people so the people robbed the bank And the police came to get him but they let him get away 'Cause they're all just working to get paid the very same 'Cause that's just the way of the world It never ends till the end then you start again That's just the way of the world That's just the way of the world And so they keep on twiddling them thumbs Skiddly-dee-da-dum They gonna keep on twiddling them thumbs Skiddly-dee-da-dum-dum And so they keep on twiddling them thumbs Skiddly-dee-da-dum They gonna keep on twiddling them thumbs Skiddly-dee-da-dum-dum Don't believe everything that you hear Let it go through your left and right ear Don't just march to the beat of that drum Don't be one of them people just twiddling them thumbs 'Cause that's just the way of the world It never ends till the end and then you start again That's just the way of the world That's just the way of the world And so they keep on twiddling them thumbs Skiddly-dee-da-dum They gonna keep on twiddling them thumbs Skiddly-dee-da-dum-dum And so they keep on twiddling them thumbs Skiddly-dee-da-dum They gonna keep on twiddling them thumbs Skiddly-dee-da-dum-dum And so they keep on twiddling them thumbs Skiddly-dee-da-dum They gonna keep on twiddling them thumbs Skiddly-dee-da-dum-dum 'Cause that's just the way of the world
  Michael Jackson  ,Keep The Faith,If you call out loud Will it get inside Through the heart of your surrender To your alibis And you can say the words Like you understand But the power's in believing So give yourself a chance 'Cause you can Climb the highest mountain Swim the deepest sea hee All you need is the will to want it And uhh little self esteem So keep the faith Don't let nobody turn you 'round You gotta know when It's good to go To get you dreams Up off the ground Keep the faith baby yea Because it's just A matter of time Before your confidence Will win out Believe in yourself No matter what it's gon' take You can be a winner But you got to keep the faith Gon' keep it brother You got it And when you think of trust Does it lead you home To a place that you Only dream of When you're all alone And you can go by feel 'Stead of circumstance But the power's in believing So give yourself a chance I know that you can Sail across the water Float across the sky high Any road that you take Will get you there If you only try So keep the faith ow Don't let nobody Take you down borother Just keep your eyes On the prize Flat on the ground Keep the faith baby yea Because it's just A matter of time Before your confidence Will win out I told my brother how to Do the thing right Lift up your head and show The world you got pride Go for what you want Don't let 'em get in your way You can be better But you got to keep the faith You got it I know that keepin' the faith Means never givin' up on love But the power that love has To make it right Makes it Makes it right Keep the faith Don't let nobody turn you 'round brother You got to know When it's good to go To get your dreams up Off the ground Keep the faith Baby yea Because it's just a matter of time Before your confidence Will win out Better stand up and act like You wanna do right Don't play the fool For the rest of your life Work on it brother And you'll make it someday Go for what you want And don't forget the faith Look at yourslf And what you doin' right now Stand back a minute Just to check yourself out Straighten out your life And how you're livin' each day Get yourself together 'Cause you got to keep the faith Don't let nobody take you down brother Just keep your eyes on the prize And your feet flat on the ground Keep the faith baby yea Because it's just a matter of time Before your confidence will win out Lift up your mind Before you mind gets blown Some things in life You best just leave them alone Go for what you want Don't let it get in your way You can make it happen But ya gotta keep the faith Gon' keep it brother You got to keep the faith Yeah keep the faith Gon' keep it sister You got to keep the faith Now now I'll show my brotha How to do the thing right Lift up your head And show the world you got pride Go for what you want Don't let 'em get in your way You can be a winner If you keep the faith Straighten out yourself And get your mind track Dust off your butt And get you self respect back You've know me long enough To know that I don't play Take it like you want it But you got to keep the faith keep the faith Don't let nobody take you down Just keep your eyes on the prize And your feet flat on the ground Keep the faith baby yea Because it's just a matter of time Before your confidence will win out But ya gotta I say you gotta keep the faith
  Tana Mongeau  ,Fuck Up,"Chorus Cause I'm a fuck up, and I'm so fucked up And all these voices in my head won't shut the fuck up Cause I'm a fuck up, and I'm so fucked up And it's 5PM and I just woke the fuck up  Verse 1 And I'm sorry but I promise that I hate me more than you do Post another fucking lie on YouTube Pick that shit apart and tell me who's who But that's the life and style that I'm used to Gained some fame and now they wanna use you Shits so fucking crazy, what the views do It's like I gotta lose me or I lose you But that's the life and style that I'm used to  Chorus Cause I'm a fuck up, and I'm so fucked up And all these voices in my head won't shut the fuck up Cause I'm a fuck up, and I'm so fucked up And it's 5PM and I just woke the fuck up  Verse 2 And I'm sorry but I can't even live in the moment Worry bout another Twitter moment Make the whole world my opponent And they wonder why I'm never focused And they wonder why I'm always smoking And they wonder why I'm fucking broken Film me, twist my words, at my lowest Post it when I'm dead and I'm frozen  Chorus Cause I'm a fuck up, and I'm so fucked up And all these voices in my head won't shut the- Cause I'm a fuck up, and I'm so fucked up And it's 5PM and I just woke the fuck up  Outro Cause I'm a fuck up And I'm so fucked up Cause I'm a fuck up Yeah I'm so fucked up"
  Madonna  ,I Don`t Give A (Feat. Nicki Minaj),Wake up ex wife This is your life Children on your own Turning on the telephone Messages manager No time for romantic shit Working out shake my ass I know how to multitask Have you seen the new guy I forgot the password Gotta call the babysitter Trickin on the elevator I could take a helicopter I don't even feel the pressure I'm gonna be ok I don't care what the people say I'm gonna be alright Gonna live fast got an appetite I'm living fast and I like it like that I do ten things all at once If you have a problem I don't give a You're so mad at me Closed out company Oh yes suck it up Didn't have a pre nup models on Gotta get my stockings on buy the dress All of this to impress  I look at the summer print Baby Jesus on the stairs Gotta get my money back All the bottles all of those Standing in the front row I'm gonna be ok I don't care what the people say I'm gonna be alright Gonna live fast got an appetite I'm living fast and I like it like that I do ten things all at once If you have a problem I don't give a I tried to be a good girl I tried to be your wife Diminished myself and swallowed my life I tried to become all That you expect of me And if it was a failure I don't give a Shots fire anything you hear Nicki on that's fire You don't hear them bums on nothing that's fire Tell em catch fire In the Bugatti ten grand 1 tire Ayyo Madonna I say you original Don Dada And I have a in the eyes of Prada The Material Girls ain't nobody hotter See I really can't relate to your Volvo And you can't get these shoes at the Aldo When I let a dude go that's his loss I was cutting them checks I was his boss Yo I don't give a fuck Curse nor bless you never let them stress you I ain't a businesswoman I'm a business woman And I'm known for giving bitches the business woman I'm gonna be ok I don't care what the people say I'm gonna be alright Gonna live fast got an appetite I'm living fast and I like it like that I do ten things all at once If you have a problem I don't give a
