artist,title,lyric
  PARTYNEXTDOOR  ,1942,"Would you get me my sweater Hahaha  Too much talkin' baby I like this About how tonight is the night baby I just wanna touch ya baby I'm not the type for the yippy yappin' Puff, puff, pass, puff, puff, pass shit You can't smoke gas girl, so quit actin' with it When we get wild, wild, you know what I want girl When we get wild, wild, you know what we want  1942 Tequila, that's all we need right now There's only two shot glasses babe And I know what we need right now I know what we need yeah, yeah Oh, get sexy for me I know what we need yeah, yeah I know what we need yeah, yeah I know what we need right now I know what we need yeah, yeah I know what we need yeah, yeah I know what we need right now 1942 Tequila I know what we need We need 1942 Tequila, yeah, yeah A little bit of, a little bit of liquor have you lookin' for a nigga We need 1942 Tequila, yeah, yeah, yeah, yeah, yeah We need 1942 Tequila, yeah, yeah, yeah, yeah, yeah, oh We need 1942 Tequila, oh, oh, yeah  Baby you're so beautiful So what the fuck could I tell you, you don't already know You threw the thing down I threw the towel down I wasn't ready for, wasn't ready for ya Your whip game so crazy, it's ridiculous Your sex games A1 baby, so I'm curious How did you get so good How did you get so good Way, way, way, way, way too good How did you get this way Must be the Tequila  1942 Tequila, that's all we need right now There's only two shot glasses babe And I know what we need right now I know what we need yeah, yeah Oh, get sexy for me I know what we need yeah, yeah I know what we need yeah, yeah What we need right now you get sexy I know what we need yeah, yeah You need it while you get sexy I know what we need yeah, yeah You need it while you get sexy 1942 Tequila, while you get sexy baby I know what we need We need 1942 Tequila, yeah, yeah A little bit of, a little bit of liquor have you lookin' for a nigga I know what we need We need 1942 Tequila, yeah, yeah, yeah, yeah, yeah 1942 Tequila, yeah, yeah, yeah, yeah, yeah, oh Need 19we need 1942 Tequila, oh, oh, yeah"
  Erykah Badu  ,Certainly (Flipped It),"who gave u permission to rearrange me certainly not me who told you that it was alright to love me certainly not me I was not looking for no love affair and now you wanna fix me I was not looking for no love affair and now you want to mold me Was not looking for no love affair now you wanna kiss me Was not looking for no love affair and now you wanna control me hold me You're really trying to get creative with me love and that's alright, but you tried to get a little tricky turned my back and then you slipped me a mickey. The world is mine When I wake up I don't need nobody telling me the time Certainly, certainly, certainly not me Who gave u permission to rearrange me certainly not me Who told you that it was alright to love me certainly not me I was not looking for no love affair Certainly, certainly, certainly not me"
  John Legend  ,So High (Encore),"Baby since the day you came into my life You made me realize that we were born to fly You showed me everyday new possibilities You proved my fantasies of love could really be  Let's go to a place only lovers go To a spot that we've never known To the top of the clouds we?re floating away yeah Ooh this feels so crazy Oh this love is blazing Baby we're so high Walking on cloud 9  (You've got me up so high) So high (My shoes are scraping the sky) So high (You've got me up so high) Oh (My shoes are scraping the sky)  Maybe later we can go up to the moon Or sail among the stars before the night is through And when morning comes we'll see the sun is not so far And we can't get much closer to God than where we are  We?ll go to a place only lovers go To a spot that we've never known To the top of the clouds we?re floating away yeah Ooh this feels so crazy Oh this love is blazing Baby we're so high Walking on cloud 9  (You've got me up so high) So high (My shoes are scraping the sky) So high (You've got me up so high) Oh (My shoes are scraping the sky)  Oohyeah Ooh oh hey  Ooh this feels so crazy Oh this love is blazin' Baby we're so high Walking on cloud 9 You got me up so high You got me up so high You got me up so high My shoes are scraping the sky  You got me up so high You got me up so high You got me up so high My shoes are scraping the sky ooh, ooh Yeah  This is how love?s supposed to be This is how, this is how love's supposed to be, yeah Let's go to the moon baby, ooh Let's go to the moon baby, yeah Let's go, go, let's go to the moon baby So high"
  DPR CREAM  ,Problems,how many problems how many problems how many problems you have baby how many problems how many problems how many problems you have baby 아마 널 만날 때마다 난 놀랄지도 몰라 it’s ok 좀 많이 둔해 i love the rollercoaster ride 너의 걸음걸이도 it’s ok 너의 발에 맞출게 이상해 별게 다 맘에 들어 너의 손목에 새겨진 작은 타투도 예 네가 마신 커피까지 whip a lot extra shot 얼음 많이 i like your 다다다 남과 달라도 나와 같은 건 좀 더 많을 거야 난 원해 더 가까이 네게 다가가 우린 닿을 거야 달에 how many problems how many problems how many problems you have baby how many problems how many problems how many problems you have baby 아마 널 만날 때마다 난 놀랄지도 몰라 it’s ok 좀 많이 둔해 i love the rollercoaster ride 너의 걸음걸이도 it’s ok 너의 발에 맞출게 ima fuh with you ooh 넌 안 뻔하기에 어디다가 놓긴 애매한 퍼즐 같아 너만 4k 다른 건 다 흐릿하게 보여 우린 shoot the moon i like your 다다다 남과 달라도 나와 같은 건 좀 더 많을 거야 난 원해 더 가까이 네게 다가가 우린 닿을 거야 달에 how many problems how many problems how many problems you have baby how many problems how many problems how many problems you have baby how many problems how many problems how many problems you have baby how many problems how many problems how many problems you have baby
  Rihanna  ,Farewell (Album Version),Wherever you`re going I wanna go Wherever you`re heading Can you let me know I don`t mind catching up I`m on my way Just can`t take the thought of you miles away And I know you’re going somewhere to make a better life I hope that you find it on the first try And even though it kills me That you have to go I know it`ll be sadder If you never hit the road So farewell! Somebody is gonna miss you Farewell Somebody is gonna wish that you were here That somebody is me I will write to tell you what`s going on But you won`t miss nothing but the same old song If you don`t mind catching up I`ll spend the day telling you stories about a land far away But I know And I know you’re going somewhere to make a better life I hope that you find it on the first try And even though it kills me That you have to go I know it`ll be sadder If you never hit the road So farewell! Somebody is gonna miss you Farewell Somebody is gonna wish that you were here Farewell Somebody is gonna miss you Farewell Somebody is gonna wish that you were here That somebody is me And I`m gon` try to hold it all in Try to hold back my tears So it don`t make you stay here I`mma try to be a big girl now Cause I don`t wanna be the reason you don`t leave Farewell Somebody is gonna miss you Farewell Somebody is gonna wish that you were here Farewell Somebody is gonna miss you Farewell Somebody is gonna wish that you were here That somebody is me
  멜로우카페  ,Curtain call (Vocal SOLAJ),어두운 무대 위에 우리 시계 바늘은 멈춰 섰지 고장 난 것도 아니었어 각자 수명을 다해 여기에 서있어 그때 우린 몰랐던 거야 숨겨야 할 표정과 몸짓을 서툰 연기도 해내지 못하고 꾸밈없이 흘려보냈지만 Just clap for us 후회는 없어 모든 순간이 한 번의 무대처럼 꿈만 같이 피었다 사라지지만 너의 맘에 기억될 테니까 깊었던 시간 보다 짙은 여운을 따라 한참 걷겠지 그때 우린 몰랐던 거야 숨겨야 할 표정과 몸짓을 서툰 연기도 해내지 못하고 꾸밈없이 흘려보냈지만 Just clap for us 후회는 없어 모든 순간이 한 번의 무대처럼 꿈만 같이 피었다 사라지지만 너의 맘에 기억될 테니까 가까워지다 희미해지고 웃었던 만큼 울었지 아직 이 자릴 떠나기 전에 선명하게 한 번 더 그려볼게 Just clap for us 끝까지 남아 이 모든 얘길 들어줘서 고마워 뒤돌아서서 혼자 걷게 될 길이 생각만큼 어둡지만은 않아 다시 날 불러낼 너의 환호 소릴 듣는다면 눈을 마주 보고 싶어 아무 대사도 없는 첫 장면에서 너의 얼굴을 처음 본 순간처럼
  COMMON GROUND (커먼그라운드)  ,Love Funk,"그대여 날 봐요 웃어요 지금 심장 뛰나요  그제도 어제도 오늘도 나는 미치겠어요  불타는 열정 속 타는 마음을  그대가 알까요 나 사랑에 빠져버렸어요  (I love you, My Darling)    나 좀 도와줘 워 ~  머리가 또 복잡해 (I need you, I want you)  에라 모르겠어 나 그대를 사랑해 예이예  (Back to the Love Funk)    Hey! Ladies & Gentleman  Welcome to the Love Funk World    그대여 날 봐요 웃어요 지금 심장 뛰나요  그제도 어제도 오늘도 나는 미치겠어요  불타는 열정 속 타는 마음을  그대가 알까요 난 사랑해 너만의 사랑 Hey !!"
  Joe  ,All The Things (Your Man Won`t Do),Hey love You say you need someone To be there for you To love you all night long It's kinda funny but I don't think you have to look no further Because I'm right here And I'm ready To do all the things your man won't do Tell me what kind of man Would treat his woman so cold Treat you like you're nothing When you're worth more than gold Girl to me you're like a diamond I love the way you shine A hundred million dollar treasure I'll give the world to make you mine La la la la la I'll put a string a pearls right in your hand Make love on a beach of jet black sand Outside in the rain we can do it all night Out to tour the places he would not And some you never knew would get you hot Nothing is forbidden when we touch Baby I wanna do All of the things your man won't do I'll do them for you Baby I wanna do All of the things your man won't do Every little thing I'll do them for you I'll take you out on a night cruise On a yacht just can't lose cause we got a lot to look forward to 1 2 what ya gonna do What good is a diamond nobody can see it I hear he got you on lock down But I got the master key yeah I'll light a thousand candles all around Show me to the subway I'll go down Nothing can be sweeter than the sound of making love Baby when I start I just can't stop I'll love you from the bottom to the top Nothing is forbidden when we touch Baby I wanna do All of the things your man won't do Every little I'll do them for you Baby I wanna do All of the things your man won't do I'll do them for you  La la la la la I'll light a thousand candles all around Show me to the subway I'll go down Nothing can be sweeter than the sound of making love Baby when I start I just can't stop I'll love you from the bottom to the top Nothing is forbidden when we touch Baby I wanna do All of the things your man won't do I'll do them for you swetty lady I wanna do All of the things your man won't do I'll do them for you Ooh I got a jones in my bones for you There ain't a damn thing that I won't do I'll make your body cream with my sex machine I won't stop until I hear your mother scream Baby I wanna do All of the things your man won't do I'll do them for you Baby I wanna do All of the things your man won't do I'll do them for you Baby I wanna do All of the things your man won't do I'll do them for you Baby I wanna do All of the things your man won't do I'll do them for you sweety Baby I wanna do All of the things your man won't do I'll do them for you
  Miguel  ,Destinado A Morir,"Are you afraid of me 'Cause I'm afraid of you 'Cause I'm afraid of what this could mean I'm afraid of what this could do  Going to hell, I know, I know I don't care, I'm in love I'm going to hell with you With you, with you, with you I don't care, I'm in love, in love  Only you can save me I'm a sinner Save me I'm, save me I'm a sinner Only you can save me I'm a sinner Save me I'm, save me I'm a sinner  These bittersweet notions of forever Blossom and find me in my dreams At least we die, I hope we die together Is I know that's where we'll be  Going to hell, I know, I know I don't care, I'm in love I'm going to hell with you With you, with you, with you I don't care, I'm in love, in love  Only you can save me I'm a sinner Save me I'm, save me I'm a sinner Only you can save me I'm a sinner Save me I'm, save me I'm a sinner  Going to hell, I know, I know I don't care, I'm in love I'm going to hell with you With you, with you, with you I don't care, I'm in love, in love  Only you can save me I'm a sinner Save me I'm, save me I'm a sinner Only you can save me I'm a sinner Save me I'm, save me I'm a sinner"
  Jemere Morgan  ,First Kiss,you were my first kiss you were my first hug your were the first one to show me love your one in a million a diamond just no your my number one Girl Your my number one  see the first time that I laid my eyes on you eyes on yu girl the twinkle In ya eyes mad me smile the slightest thing yu did made me wild I never thought it could happen this way I saw it in da movies but I thought it was fake but u make our love so real you were the one to show me how to love girl you were the one that always held me down girl through the summers and the springs the winter and the fall you was always there to catch me wen I fall through the pain through the struggle through the rain through the thunder  you were my first kiss you were my first hug your were the first one to show me love your one in a million a diamond just no your my number one Girl Your my number one  I remember when we first held each other hand it was such a nice moment for eyes to see that?s when I knew you were the one for me your were the one to show me back to love girl though I was lost until I found ya I thank cupid for bringing you in my life anything you want girl in this life I will get it for you ill try I aint gotta a lot of money I aint got a lot of change but I gotta a lot of love for yah just tell me you?ll love me forever and ever over and over again it?ll be written in da stars Hook you were my first kiss you were my first hug your were the first one to show me love your one in a million a diamond just no your my number one Girl Your my number one  your the reason why I sing this song today my number one girl your the reason why I no how to kiss how to love how to hug your were the one that never let me down girl and never ever leave me in a frown world you have a special place in my heart and anyday you can have me back my sweet love have anybody seen her my sweet love tell me if you see her she?s about 5?4 with a cute face looks so sweet she ill give ya a toothache I never seen a girl with looks just like you my rare diamond I?m here trinna find you  And if you hear this message and hear this song try your best to give me a call  you were my first kiss you were my first hug your were the first one to show me love your one in a million a diamond just no your my number one Girl Your my number one
