artist,title,lyric
  Jane B  ,Workout,확신을 줘 넌 내게 잘 믿지 않는데 의심 많은 난데 babe 수줍은 척을 하네 한 번도 이런 적 없는데 must be call it love 자꾸 커져가 널 향한 마음이 think about baby all day long 예쁜 말도 좋아 네가 좋아 I wanna give you love wanna give my love I will gonna workout we’ll gonna workout 내 마음을 느껴봐 feelin’ my up and down 너를 위한 workout you’ll gonna knocked out 딴 남자와는 달라 그런 널 원해 난 보여 줄래 나에게 아슬아슬하게 갖고 싶어지게 babe 아낌없이 다 줄게 예전엔 받으려 했는데 gonna give you love 자꾸 궁금해 네 모든 것들이 think about baby all day long 웃을 때 더 좋아 네가 좋아 I wanna give you love wanna give my love I will gonna workout we’ll gonna workout 내 마음을 느껴봐 feelin’ my up and down 너를 위한 workout you’ll gonna knocked out 딴 남자와는 달라 그런 널 원해 난 자꾸 궁금해 네 모든 것들이 think about baby all day long 웃을 때 더 좋아 네가 좋아 I wanna give you love wanna give my love I will gonna workout we’ll gonna workout 내 마음을 느껴봐 feelin’ my up and down 너를 위한 workout you’ll gonna knocked out 딴 남자와는 달라 그런 널 원해 난
  우근  ,좋은친구 (Feat. Youngmo),데려다 주네요 늘 그대 돌아 가는 길 오늘은 꼭 말해야지 좋아한다고 말해야지 네 생각이 알고 싶어 넌 이미 알고 있을까 네가 늘 말하던 그 멋진 사람은 너와 어떤 사이인 걸까 친구야 좋은 친구 네가 나를 부르는 말 난 친구야 좋은 친구 네 생각 속 난 그런 사람 가끔씩 보고 싶어 거짓말야 매일 생각했어 네가 내게 연락 줄 땐 작은 일도 맘이 설레 오 너에게 연락이 오네 나 좋은 일 생겼어 내가 늘 말하던 그 좋은 사람과 오늘부터 만나게 됐어 친구야 좋은 친구 네가 나를 부르는 말 난 친구야 좋은 친구 네 생각 속 난 그런 사람 난 친구야 앞으로도 그렇게라도 그렇게라도
  Cosmic Boy  ,"남아 (Feat. THAMA, SOLE, 김승민)",여전히 버릇이 돼버린 듯이 무언갈 찾아봐도 난 같은 패턴 속 같은 생활 또 같은 생각에 남아 함께하지 않아도 미련 따윈 이미 없어도 I just wanna get perfectly alone without your scent TV 속에 함께 보던 시리즈 듣기만 해도 그 순간들이 생각나는 음악들이 나도 모르게 맴돌아 I just wanna get rid of your memories Oh 아직도 넌 짙게 남아 이렇게 날 Baby don't you know 아직도 난 여기 남아 이렇게 널 Baby don't you know Love ain't for the weak 뭔가에 홀린 듯이 무섭게 몰두했다가도 쉽게 저버리지 시간은 모든 상처를 치료한다길래 참을성 있게 기다렸지 난 근데 오늘 내일 할거 같더니 이제야 서서히 구조 장비 없이 잠기는 거 같아 대체 넌 날 어떻게 위로해줄거야 서로 며칠을 낭비하다 이내 멀리 떠나야만 했던 생각들이 생각이 나 하필 yeah 내 얼굴 속 한심함도 너 거야 감정의 너무 많은 변화 이유는 없어 계절이 바뀌고 Oh 아직도 넌 짙게 남아 이렇게 날 Baby don't you know 아직도 난 여기 남아 이렇게 널 Baby don't you know Oh 아직도 넌 짙게 남아 이렇게 날 Baby don't you know 아직도 난 여기 남아 이렇게 널 Baby don't you know
  The Jackson 5  ,Give Love On Christmas Day,People making lists buying special gifts Taking time to be kind to one and all It's that time of year when good friends are near And you wish you could give more than just presents from a store Why don't you give love on Christmas Day Oh even the man who has everything Would be so happy if you would bring Him love on Christmas Day No greater gift is there than love People you don't know smile and nod hello Everywhere there's an air of Christmas joy It's that once of year when the world's sincere And you'd like to find a way to show the things that words can't say Why don't you give love on Christmas Day Oh the man on the street and the couple upstairs All need to know there's someone who cares Give love on Christmas Day No greater gift is there than love What the world needs is love Yes the world needs your love Why don't you give love on Christmas Day Every little child on Santa's knee Has room for your love underneath his tree Give love on Christmas Day No greater gift is there than love What the world needs is love Yes the world needs your love Give love oh give love on Christmas day
  픽스  ,River Boy,내게 아무 말도 하지 마 그 모습 볼 수 없으니까 그런 좋은 말도 하지 마 아무런 도움 안 되니까 남보다 뒤쳐져 걷고 있다 해도 네가 날 대신 할 수 없어 방에 들어가 나오지 않는다 해도 넌 내가 될 순 없으니까 oh oh oh take me away 그저 그대로 흘러 버리길 oh oh oh take me away 결코 멈추지 않는 강물처럼 I'm just a River boy River boy you're taking me I'm just a River boy River boy you're taking me 나 욕심 없는 사람이야 그러니까 괜한 간섭마 언젠가 사랑이 날 찾아온대도 난 그저 생각만 할 뿐이야 oh oh oh take me away 그저 그대로 흘러 버리길 oh oh oh take me away 결코 멈추지 않는 강물처럼 I'm just a River boy River boy you're taking me I'm just a River boy River boy you're taking me
  Yonko (욘코)  ,다,질문은 내가 할게 넌 대답하면 돼 전화는 내가 걸게 넌 받기만 하면 돼 얘기는 내가 다 할 테니 웃기만 하면 돼 그래 넌 그렇게 그냥 있으면 돼 나는 니가 참 좋아 그러니까 너도 날 좋아 하란 건 아냐 그냥 내가 그렇다는 거야 걍 내 맘 넌 하고 싶은 대로 해 나를 걍 재미로 봐도 돼 난 널 즐겁게 해줄 수 있으니 또 나도 그게 좋으니 난 똑똑하진 않아도 니 맘은 잘 알아 아무 걱정도 하지를 마 난 자신 있으니까 가만히 지켜만 봐 내가 다 넌 그냥 내가 다 넌 나만 난 좋고 싫음이 분명해 티가 다 나는걸 어떡해 널 불편하게 할 생각 난 눈곱만큼도 없어 그러니까 너도 내 전화를 돌릴 필요 없어 그래 맞아 내가 다 난 니 생각만 하나 봐 알려줄게 사랑 받는 느낌이 어떤 건지 너도 나를 느끼니 내게 너란 참 중요해 내 하루는 너에 의해 움직이기에 이 세상은 예쁜 너가 살기엔 내가 봤을 땐 너무 위험해 내가 다 넌 그냥 내가 다 넌 나만 질문은 내가 할게 넌 대답하면 돼 전화는 내가 걸게 넌 받기만 하면 돼 얘기는 내가 다 할 테니 웃기만 하면 돼 그래 넌 그렇게 그냥 있으면 돼
  Dilli Jinn  ,어쩌다보니,넌 말을 안 하지 우리는 망가진 기계 같아 모든 게 사라진 넌 정말 작아진 꿈만 같아 발끝을 내려다보니 내 속이 헛헛하다니까 고개를 올려다보니 하늘은 하얗다 보니까 나 어쩌다 보니 지내다 보니 어쩌다 보니까 지내다 보니까 하루하루가 쌓여서 하루하루가 얼어서 매일같이 난 어려서 하루하루를 녹여서 매일이 돼 이제 다시 한번 다시 내일이 돼 이제 다시 두 번 다시 바깥이 유난히 어두운 건 날이 추워서 그래 잠에서 깨기 싫은 건 날이 추워서 바깥이 유난히 어두운 건 네가 없어서 그래 잠에서 깨기 싫은 건 네가 없어서 난 말을 않았지 억지로 멈춰진 시계 같아 모든 게 흩어진 넌 정말 사라질 사막 같아 난 어쩌다 보니 지내다 보니 어쩌다 보니까 지내다 보니까 하루하루가 쌓여서 하루하루가 얼어서 매일같이 난 어려서 하루하루를 녹여서 매일이 돼 이제 다시 한번 다시 내일이 돼 이제 다시 두 번 다시 왜 날 그런 눈으로 보는지 왜 날 넌 안쓰럽다는 듯이 왜 날 그런 눈으로 보는지 난 변해가 너도 그렇듯이 왜 날 그런 눈으로 왜 안쓰럽다는 듯이 왜 날 그런 눈으로 왜 날 어쩌다 보니 지내다 보니 어쩌다 보니 지내다 보니
  Bridge  ,I Might,Your mind's set on leavin' To a house down a one way street Say you're gonna lock up all the doors And throw away the key Oh but don't burn down the bridge darlin' You just might wanna come back 'Cause the grass ain't no greener On the other side of the track Oh you counted me out before I could get to bat All the things are out ta the Chevrolet Tomorrow night be drivin' a Cadillac But don't burn down the bridge darlin' You just might wanna come back 'Cause the grass ain't no greener On the other side of the track Hey All your so called friends Taught you how to cheat an' lie Now it seem like you gonna jump From the fryin' pan to the fire Oh but don't burn down your bridge darlin' You just might wanna come back 'Cause the grass ain't no greener On the other side of the track
  Eddie Shin  ,그때는 왜 몰랐었는지...,처음 네가 울던 그 날도 집 앞에 찾아왔던 그 날도 바쁜 척을 하며 나를 피하던 날도 슬픈 눈을 한 채로 나를 떠나버린 그 날도 그때는 왜 몰랐었는지 그때는 왜 못 잡았는지 손 내밀면 닿을 곳에 네가 있었는데 가슴이 다 잊지 못해서 두 눈이 못 본 척 못해서 너의 이름 불러모던 입술을 닦아봐 처음 너를 울렸던 날도 모질게 널 보냈던 그 날도 오지 않는 전활 한참 기다린 날도  나를 떠나가던 뒷모습만 보던 그 날도 그때는 왜 몰랐었는지 (난 왜 몰랐었는지)  그때는 왜 못 잡았는지 손 내밀면 닿을 곳에 네가 있었는데 가슴이 다 잊지 못해서 두 눈이 못 본 척 못해서 너의 이름 불러보던 입술을 닦아봐 다시 돌아 와주면 날 웃게 해주면 한번만 나에게 져주면 그러면 정말 안되겠니 그때는 왜 몰랐었는지 (난 왜 몰랐었는지)  그때는 왜 못 잡았는지 (못 잡았는지) 손 내밀면 닿을 곳에 네가 있었는데 사랑해 너만을 사랑해 그토록 해주고 싶던 말 (싶던 말) 그 말하나 못했던 날 용서해 주겠니
  Daniel Merriweather  ,Chainsaw,"(Verse 1)  Everyone loves you,  But they don love you like i do.  Everyone knows you,  But they aint seen this side of you.  I'm over the measure,  As one shot turns into four.  And i end up injured,  As love turns into war.    oh woo oh  Who woo oh oh  oh woo oh  Who woo oh oh    (chorus)  When i get over you,  And get the dirt off my shoulder.  Will i look like a fool,  Or just a whole lot older.    Givin myself to you,  is like givin myself to a chainsaw.  You keep cuttin me open why,  Is that the only thing that your good for.  Givin myself to you,  is like givin myself to a chainsaw.  You keep cuttin me open why,  Is that the only thing that your good for.    (Verse 2)  I cant remember,  How we started this thing.  But i know i was better,  Before you pulled the strings.  Something to mention,  Before you kill me so.  I wont be the last one,  The last one thats for sure.    oh woo oh  Who woo oh oh  oh woo oh  Who woo oh oh    [ Daniel Merriweather Lyrics are found on www.songlyrics.com ]  (chorus)  When i get over you,  And get the dirt off my shoulder.  Will i look like a fool,  Or just a whole lot older.    Givin myself to you,  is like givin myself to a chainsaw.  You keep cuttin me open why,  Is that the only thing that your good for.  Givin myself to you,  is like givin myself to a chainsaw.  You keep cuttin me open why,  Is that the only thing that your good for.    (Verse 3)  What you gonna do when you've had enough.  What u gonna say when it's all to late.  What you gonna do when you fall in love,  How you gonna feel when it hurts the same.  What you gonna do when you've had enough.  What u gonna say when it's all to late.  Staring at the things that you broke apart,  And you know you cant put 'em back again.    Givin myself to you,  is like givin myself to a chainsaw.  You keep cuttin me open why,  Is that the only thing that your good for.  Givin myself to you,  is like givin myself to a chainsaw.  You keep cuttin me open why,  Is that the only thing that your good for.    hey ey ey    (Givn myself to you is like givin myself to a chainsaw)  (Givn myself to you is like givin myself to a chainsaw)  (Givn myself to you is like givin myself to a chainsaw)  (Givn myself to you is like givin myself to a chainsaw)  (Givn myself to you is like givin myself to a chainsaw)  (Givn myself to you is like givin myself to a chainsaw)  (Givn myself to you is like givin myself to a chainsaw)  (Givn myself to you)"
