artist,title,lyric
"  코드 쿤스트 (CODE KUNST) ,  BewhY (비와이) ,  YDG ,  SURAN (수란)  ",Beside Me,Don’t never ever let me down 귓가를 맴도네 너와 내가 달라도 있어줘 이대로 beside me Don’t forget don’t ever let me down 완벽은 우릴 편 가를 뿐 그 벽은 허물고 내 옆에 있어줘 beside me 나는 이제 이유 없이 비난을 받는 위치가 됐네 시기로 인해서 거짓된 이유를 만들어 내 미간엔 꽤 주름 짓게 될 일이 있곤 해 계속이 피곤해 너의 미움의 원천이 내 행복의 혹은 자랑스러움의 표현이라는 것이 참 우습게 느껴지네 내가 너라면 내 얼굴은 꽤 많이 붉어지겠지 내 무능력함과 열등감의 표정이 증오라면 내 자신이 이 세상에 대한 겁이 늘어 날것 같아 나는 내가 부족한 것들을 채우기 보다는 남의 티를 내 멋대로만 욕하고 판단하고 매번 바라봐 왔지 늘 사실 그가 가진 티는 내가 가진 생각과 다르지는 않다고 생각했지만 그의 티가 그에게는 자랑임을 우린 절대로 완벽할 수가 없지 그럼으로 아름다운 걸 변화를 원한다면 발견하게 될 걸 어제보다 더 더 나은 널 평생토록 배워야해 서로가 서로를 바로 인정하는 법 틀린 것이 아니지 우린 전부 다 다른 것 Don’t never ever let me down 귓가를 맴도네 너와 내가 달라도 있어줘 이대로 beside side me Don’t forget don’t ever let me down 완벽은 우릴 편 가를 뿐 그 벽은 허물고 내 옆에 있어줘 beside me yeah 넌 내 손바닥 안 네가 밟은 땅은 지구 널 만든 내가 죄다 이 십자가를 지고 마이 무우따 아이가 아 고마해라 아프다 뚧어라 내 손 내가 기름 줄게 이 땅은 숨이 아직 붙어있는 피 주머니 단물 쓴물 쭉 다 빨아먹고 어디 숨었니 진동을 하네 썩은 내가 어찌 판단하리 내가 너를 썩을 대로 썩은 내가 Why do you look at the speck of sawdust in your brother`s eye and pay no attention to the plank in your own eye How can you say to your brother `Let me take the speck out of your eye when all the time there is a plank in your own eye Why do you look at the speck of sawdust in your brother`s eye and pay no attention to the plank in your own eye How can you say to your brother `Let me take the speck out of your eye when all the time there is a plank in your own eye Don’t never ever let me down 귓가를 맴도네 너와 내가 달라도 있어줘 이대로 beside side me Don’t forget don’t ever let me down 완벽은 우릴 편 가를 뿐 그 벽은 허물고 내 옆에 있어줘 beside me yeah 너의 부족함은 어쩌면 나의 거울이고 나 떠나지 않고 너와 어울리며 나 아름답게 살아갈거야 Don’t never ever let me down 귓가를 맴도네 너와 내가 달라도 있어줘 이대로 beside side me Don’t forget don’t ever let me down 완벽은 우릴 편 가를 뿐 그 벽은 허물고 내 옆에 있어줘 beside me yeah
  OLNL (오르내림)  ,소문자 (Feat. Lym en) (Prod. Charming Lips),소문자가 좋아 나랑 닮은 것 같어 자그만 게 담아내는 거는 대문자 같어 소문자가 좋아 나랑 닮은 것 같어 자그만 게 담아내는 거는 대문자 같어 @hiolnl @wybh_korea @areyouchildish @juiceoveralcohol @hiolnl @wybh_korea @areyouchildish @juiceoveralcohol  uh mm uh mm  사소한 거 가사에 썼어 대단한 거 내 거 아니어서 그래서 나는 작은 거에 집중을 해 소문자로 글자를 적어 눈에 띄지 않아도 하는 말 똑같아 대단한 게 뭐 있을까 첫 글자에 대문자 쓰고 뒤엔 소문자 얘넨 앞에선 엄청 대단해 보이지만 난 일부러 그 반대 ONLY 뒤에 대문자로 표기 쟤넨 남들 앞에 선 폼 잡고 뒤에선 소심해 yeah   소문자가 좋아 나랑 닮은 것 같어 자그만 게 담아내는 거는 대문자 같어 소문자가 좋아 나랑 닮은 것 같어 자그만 게 담아내는 거는 대문자 같어 @hiolnl @wybh_korea @areyouchildish @juiceoveralcohol @hiolnl @wybh_korea @areyouchildish @juiceoveralcohol  생각이 너무 길어 난 그냥 여러 의미로 나 고민 끝에 다 결국 던져놔 yeah okay 한꺼번에 밀려와 다시 걱정은 시작 It’s hard to find a solution yeah okay You are just as same as me I can’t tell you how 변한 건 하나도 없어 Just give me a wave 나는 그냥 난대 Lets not pretend to be someone someone  소문자가 좋아 나랑 닮은 것 같어 자그만 게 담아내는 거는 대문자 같어 소문자가 좋아 나랑 닮은 것 같어 자그만 게 담아내는 거는 대문자 같어 @hiolnl @wybh_korea @areyouchildish @juiceoveralcohol @hiolnl @wybh_korea @areyouchildish @juiceoveralcohol  uh mm uh mm
  Roy C.  ,사랑이 떠날 때 (By Flow2s & Lady Luna),"verse1)  단지 당시 당신의 관심에 난 한치의 가치도 없었다는 사실에 확신해, 한심한 방식의 자신에게 잠시 내 다짐을 되묻는 와중에도  당신의 환심에 절실한 자신의 결심과 현실을 잊고선 또 다시 내 이성들을 대신해 지배하는 가슴에 이끌려다니고 또 같은날들이 반복되지    Bridge)  항상 내 멋대로 마음을 따르고  OK 내멋대로 그댈 만나왔다고 니가 필요할때만 널 찾았었다고  고백도 했었고 이별도 말하고 oh 그래도  하지만 이별그후 남은건 후회들뿐 사랑이었어. 라고 깨달아도 늦었어    Chours)  사랑이 떠날땐 심장이 아프지 눈물이 안날땐 마음이 더 서럽지 저린 가슴안에 후회를 담아도 두손을 모으네 다시 사랑할 수 있기를   verse2)  새벽마다 잠을 깨, 눈감은채, 널생각해, 또 밤을새, 난 이렇게 바보같애, 너없이도 어째선지 시간들은 또 흘러가 기억이 흐릿해져갈때마다 불러 난 네 이름을,  사랑과 집착 그 차이가날 비참하게 만들어 가 싫지않은 긴장감으로 채워가던 우리사이가 이렇게 된건 대체 왜지? 고민해봤자 부질없는 넋두리    Bridge)  밤을 가득 채운 널향한 원망들  지나간일들 후회해서 뭐하겠어 라지만 가슴안에 넌 아직도 남아있어  헛된 기도들도 멈출수 없거든 oh 그래서  내잘못들을 매일밤 또 곱씹어 미안해 그저 돌아오기만해    Chours)  사랑이 떠날땐 심장이 아프지 눈물이 안날땐 마음이 더 서럽지 저린 가슴안에 후회를 담아도 두손을 모으네 다시 사랑할 수 있기를    Bridge) - 기다리기도 지친 내맘에 비친 돌아선 니모습이 그리워 미칠것 같아    Chours)  사랑이 떠날땐 심장이 아프지 눈물이 안날땐 마음이 더 서럽지 저린 가슴안에 후회를 담아도 두손을 모으네 다시 사랑할 수 있기를    OK 내멋대로 그댈 만나왔다고 니가 필요할때만 널 찾았었다고 하지만 이별그후 남은건 후회들뿐 사랑이었어. 라고 깨달아도 늦었어 지나간일들 후회해서 뭐하겠어 라지만 가슴안에 넌 아직도 남아있어 내잘못들을 매일밤 또 곱씹어 미안해 그저 돌아오기만해"
  타가  ,Walk With Me,Look at me I’m still walking 남들이 뭐라해도 나는 고집대로 Make me free with your feels 거친 길을 개척 의심 없이 탄탄대로 Only man that I trust is me Just want you all to notice me 줏대 없는 맘과 쓸데없는 생각은 나약함의 시작 Just walk with me 보편화 된 현실의 지정표가 삶의 목표 그속에 꿈을 향해 뻗는 가지는 드물죠 전부는 아니지만 깊은 내면의 상처 눈물을 훔쳐내고 단단히 맘을 다져 숨 막히는 눈치 경쟁 목조이네 날 위한 투자라 생각하기엔 불공평해 삶의 처절한 몸부림 비운의 주인공 늘 기준은 목소리로 매번 숨죽이고 살아 박복 되는 일상과 고민에 또 닳아 없어진 감정이 비열한 거리로 내몰아 어릴 적 일기에 담긴 희망을 목 놓아 울며 찾다 지쳐 잠든다 하 오늘도 어제도 주체 할 수 없어 더 이상 이맘을 지체 할 수 없어 아스팔트처럼 거칠다는 걸 알지만 난 피할 수 없어 내 길을 가겠어 Only one way That’s my way 함께할래 이 길 위에 화려함이 아닌 진심 속에 함께 발을 맞춰 걸어갈래 Look at me I’m still walking 남들이 뭐라해도 나는 고집대로 Make me free with your feels 거친 길을 개척 의심 없이 탄탄대로 Only man that I trust is me Just want you all to notice me 줏대 없는 맘과 쓸데없는 생각은 나약함의 시작 Just walk with me 매일 아침 눈을 뜨면 보여 돈에 찌든 내가 자괴감에 빠져 고개 숙인 내가 때로는 그 사실이 처진 몸을 이끌어줘 욕심과 욕망을 동시에 불 붙여줘 이제는 Turn it on 자신을 믿고 여기로 나와의 싸움에서 승리 I’m a hero 끝까지 duck and roll 그 의지 하나로 다가서 뿌연 미래의 창가로 Go let’s go 난 아직 몰라 아직도 부족해 넌 나를 정말 몰라 여전히 허전해 함께 있다 하지만 난 여전히 불안해 상대를 밟고 서야 하는 걸 다 알기에 Look at me I’m still walking 남들이 뭐라해도 나는 고집대로 Make me free with your feels 거친 길을 개척 의심 없이 탄탄대로 Only man that I trust is me Just want you all to notice me 줏대 없는 맘과 쓸데없는 생각은 나약함의 시작 Just walk with me 동반자는 경쟁자 사회가 만든 모습 이 모순 이치를 조롱하는 먹이 사슬 역겨운 이 법칙에 난 구역질로 토해 내 이 랩을 차가워진 이성으로 다 나열해 갈 길은 달라 능력 따라 허나 고충은 거기서 거기 함께하는 그 누구나 Only one way That’s my way 같이 갈래 이 길 위에 너를 위해 Look at me I’m still walking 남들이 뭐라해도 나는 고집대로 Make me free with your feels 거친 길을 개척 의심 없이 탄탄대로 Only man that I trust is me Just want you all to notice me 줏대 없는 맘과 쓸데없는 생각은 나약함의 시작 Just walk with me Look at me I’m still walking 남들이 뭐라해도 나는 고집대로 Make me free with your feels 거친 길을 개척 의심 없이 탄탄대로 Only man that I trust is me Just want you all to notice me 줏대 없는 맘과 쓸데없는 생각은 나약함의 시작 Just walk with me
  REB  ,십중일이十中一二 (In One Cases Out Of Ten) (Feat. 김박첼라),"VERSE1)  비가 내리고 음악이 흐르면 음악을 잠시 막고 창가 옆  몸을 이끌고 외쳐 잠깐요 돌아가는 소리 지금 멈춰줘  Stop 익숙한 것들 오래 간만에 들려오는 빗소리를  반겨줄 시간이 다가왔어 한번쯤 (흠뻑)  젖어보는건 어때 말려줄 시간은 충분해  기분 낯선건 이해, 하지만 의식 하진마  (나지막하게) 중얼 거리는 소리도  무엇을 말하는지 들어볼 필요가 있어  세상과 낯선 것들 우리와 익숙하지 않는 것들 무너가  적응하는 본능을 버리고 새로운 빛을 찾는 일 come on~    VERSE2)  지구는 돌고 시간이 지나 정보의 과다로 머리는 쥐나  차가워져가는 사횔비난 하늘에 비나이다는 때지난  스타일 어~ 나일 먹~어 갈수록 우리의 앞앞길은  좁고 편해져만 가, 시야는 뿌예 뻔해져만 가지않어  TV로 부터 여행을 떠나, 인기로부터 수신을 꺼놔  뻔하거나 당연한 이 세상의 모든 것들의 실체를 깨놔    자나깨나 Rock this party도  때론 물구나무 서봐 이리로  십중팔구 보단 일이로  소수의 움직임을 주시하기로(x2)"
  Macklemore & Ryan Lewis  ,Ten Thousand Hours,I hope that God decides to talk through him That the people decide to walk with him Regardless of Pitchfork cosigns I've jumped Make sure the soundman doesn't cockblock the drums Let the snare knock the air right out of your lungs And those words be the oxygen Just breathe Hey man regardless I'mma say it Felt like I got signed the day that I got an agent Got an iTunes check shit man I'm paying rent About damn time that I got out of my basement About damn time I got around the country and I hit these stages I was made to slay them Ten thousand hours I'm so damn close I can taste it On some Malcolm Gladwell David Bowie meets Kanye shit This is dedication A life lived for art is never a life wasted Ten thousand Ten thousand hours felt like ten thousand hands Ten thousand hands they carry me Ten thousand hours felt like ten thousand hands Ten thousand hands they carry me Now now now This is my world this is my arena The TV told me something different I didn't believe it I stand here in front of you today all because of an idea I could be who I wanted if I could see my potential And I know that one day I'mma be him Put the gloves on sparring with my ego Everyone's greatest obstacle I beat him celebrate that achievement Got some attachments some baggage I'm actually working on leaving See I observed Escher I love Basquiat I watched Keith Haring You see I studied art The greats weren't great because at birth they could paint The greats were great cause they paint a lot I will not be a statistic just let me be No child left behind that's the American scheme I make my living off of words And do what I love for work And got around 980 on my SATs Take that system What did you expect Generation of kids choosing love over a desk Put those hours in and look at what you get Nothing that you can hold but everything that it is Ten thousand Ten thousand hours felt like ten thousand hands Ten thousand hands they carry me Same shit different day same struggle Slow motion as time slips through my knuckles Nothing beautiful about it No light at the tunnel For the people that put the passion before them being comfortable Raw unmedicated heart no substitute Banging on table tops no subs to toot I'm feeling better than ever man What is up with you Scraping my knuckles I'm battling with some drug abuse I lost another friend got another call from a sister And I speak for the people that share that struggle too Like they got something bruised My only rehabilitation was the sweat Tears and blood when up in the booth It's the part of the show where it all fades away When the lights go to black and the band leaves the stage And you wanted a encore but there's no encore today Cause the moment is now can't get it back from the grave Part of the show It all fades away Lights go to black Band leaves the stage You wanted an encore but there's no encore today Cause the moment is now Can't get it back from the grave Welcome to the Heist Welcome to the Heist
  장치열  ,사랑이 가여워서 운다,세월이 흘러갔어도 가슴에 박혀있었지 너는 가시처럼 박혀버린 나의 사랑 아직도 널 원망해 시간이 흘러갔어도 가끔은 널 볼수있어 그래 너는 내게 그냥 스쳐지나가길 난 바래왔었지 사랑아 나의 사랑아 그렇게 가여운 모습을 하지마 널 두고서 떠나지 못한 내 맘을 난 어떡할까요 사랑아 나의 사랑아 그대로 움직이지 말고 서있어 오늘도 난 가여운 내 사랑아 눈물 흘리고 있잖아  시간이 흘러갔어도 가끔은 널 볼수 있어 그래 너는 내게 그냥 스쳐지나가길 난 바래왔었지 사랑아 나의 사랑아 그렇게 가여운 모습을 하지마 널 두고서 떠나지 못한 내 맘을 난 어떡할까요 사랑아 나의 사랑아 그대로 움직이지 말고 서있어 오늘도 난 가여운 내 사랑아 눈물 흘리고 있잖아
  울랄라세션X플레이더사이렌  ,너 하나면 돼,난 매일 매일 니 생각만 해 처음 만난 그 날부터 돌아오는 주말 니 생일엔 뭘 해 줄 수 있을까 너무 고민돼 넌 내게 말해 비싼 거 안 바래 그저 손으로 쓴 편지 하나면 돼 근데 있잖아 내가 가진 것 중에 너 빼곤 제일 비싼 게 바로 랩인데 근사한 비트로 포장해 들려 드릴게 니 두 귀에 이건 널 위한 트랙 닳지 않는 널 위한 명품 백 2퍼센트 부족한 내게 100퍼센트 사랑 가르쳐준 쌤 always i've got you're back 이 노래로 오늘은 널 울릴래 가진 건 없어도 너 하나면 돼 내가 지쳐 힘들 때 너를 보며 힘을 내 항상 내 곁에 있어 너 너 너 내가 다 갚아줄게 You're love love love 이 세상 다 줘도 너 하나면 돼 네가 지쳐 힘들 땐 내가 꽉 안아줄게 언제나 곁에 있어 너 너 너 내가 널 지켜줄게 My love love love 아무것도 가진 것 없는 내게 넌 날 꿈꾸게 하는 베개 uh 오랜 방황의 끝에 끝에 빛을 밝혀준 등대 등대 난 늘 니 앞에선 말만 앞서 넌 괜찮다며 웃어 날 생각하는 마음만 앞서 그런 널 보면 미안해 마음이 아퍼 걱정 마 내가 다 갚어 줄 테니 내 옆에서 꼼짝 마 너란 골대 지키는 골키퍼 딴 남자에게 절대 안 뺏겨 나란 남자 꼴에 래퍼 비트 위에 뱉은 말 꼭 지켜 이 노랜 우리가 백발이 돼도 같이 듣게 될 러브 레터 가진 건 없어도 너 하나면 돼 내가 지쳐 힘들 때 너를 보며 힘을 내 항상 내 곁에 있어 너 너 너 내가 다 갚아줄게 You're love love love 너 하나면 돼 세상 그 어떤 숫자를 다 더해도 답은 너 하나가 돼 내게 너 하나면 돼 너 하나면 돼 너 하나가 내가 가진 전부 널 빼면 난 0 난 영 안돼 내겐 너 있어야 돼 가진 건 없어도 너 하나면 돼 내가 지쳐 힘들 때 너를 보며 힘을 내 항상 내 곁에 있어 너 너 너 내가 다 갚아줄게 You're love love love 이 세상 다 줘도 너 하나면 돼 니가 지쳐 힘들 땐 내가 꽉 안아줄게 언제나 곁에 있어 너 너 너 내가 널 지켜줄게 My love love love
"  박정민 ,  얀키 (YANKIE)  ",식탁,어떤 이는 깔끔한 하루를 마치고 또 다른 이는 지친 그 몸을 이끌고 일상이란 짐은 잠시 치우고 시간이 되면 모두 하나 되는 이 곳 그래 식탁 time goes tick Tok 그때에 따뜻한 손맛에 담긴 한마디에 뚝딱 고생했네 아들 두 팔 벌려 맞아준 어머니의 품 그 자체가 진수성찬 값 비싼 재룔 가져와도 만들 수 없는 요리 뷔페 부럽지 않아 무한대에 고리 주거니 받거니 상처 진 맘을 나눴지 갚지도 못할 사랑에 값어치 얼핏 보면 뻔한 가족들의 식사 세월이 흘러봐라 뜸해지는 안부 인사 너와 나 우리 모두 다 알자나 Thanks for the unconditional love My love 똑똑히 기억해 그녀가 죽던 날 하신 말이 앙상한 입술로 어렵게 꺼낸 밥이라도 한끼 해주고 싶다는 마지막 툭 던진 그 짧은 숨이 아직도 선명하지 엄마의 사진 속 그 슬픈 눈은 대체 뭘 보고 있는 건데 왜 그렇게 웃고 있어 어깨 위에 걸친 내 손이 한 없이 미안해지게 퍽퍽한 삶의 무겔 진 그 어깨위에 사실 나 당신의 죽음이 슬프지 않아 지옥을 떠나 천국으로 간 것 뿐이잖아 엄마도 엄마의 엄마를 만나 얼마만의 적막한 평화 속에 있을테니 말야 잊어버리고 싶은 기억 지우개로 밀어 지옥으로 밀어 버리고 싶은 불행의 진범 아버질 미워하지 말란 당신의 유언 그것만은 지키지 못하겠어 용서해요 10년만에 왔네 짠내나는 이 곳에 소름돋네 여전한 꼰대와 촌내나는 동네 변한 건 당신이 없다는 것 하나 뿐 당신이 없다는 것 하나 뿐
  Trina  ,Do You Want Me?,"Bathgate, Trina Come on, yo, yo  (Bathgate) Do you see yourself with a rider like me Coppin you nice things Prada and ice blings Do you want me Or a rider that's gon' hold you down, ma Bustin 'em down, ma If you want me  (Trina) I'll be the first to admit, I'm spoiled rotten You need twenty G's just to take me shoe shoppin' I only fuck with real niggas and heavy hitters That'll fly me to Nassau just for conch fritters If you want me, you gotta show me Fly me to the Staples Center to see Jordan play Kobe G.G. Hunter, Tiffany necklace Fly me to Paris, just for breakfast Cavolet Lexus to diamond kisses His and her Fredrick's on our wristses If you want me, you gotta treat me special Every watch that you cop for me, freeze the Bezzle Every whip that you cop for me, make it a drop You need a wife in your life and I'm takin the spot So if you want me, just let me know And we can keep it on the low for sho', uh   (Bathgate) Do you see yourself with a rider like me Coppin you nice things Prada and ice blings Do you want me Or a rider that's gon' hold you down, ma Bustin 'em down, ma If you want me   (Trina) Look, I'll have you in all types of whips's Fives and sixes If you want me I'll be that bitch That'll hold the steel for you Gild and kill for you Do you want me?  (Bathgate) Yo, lil mama I got you anything You can call on Bath You and your man fight I'm there with the four-four mag I'll be your crutch when you need it For slips or falls And I got paper to take you on trips to malls-ac"
