artist,title,lyric
  Earthgang  ,Stuck (Feat. Arin Ray),"[Chorus: Johnny Venus] I'm stuck to you I'm sorry I can't get loose I'm stuck to you I apologize for all the times I blew I'm stuck to you I'm sorry I can't get loose I'm stuck to you I apologize for all the times I blew  [Bridge: Johnny Venus] You pretty black rose, you brutalized soul I pinky promise I won't hurt you no mo' Don't leave me out, out in the cold 'Cause I don't wanna die anymore (Alright! Attention!)  [Verse 1: Johnny Venus] Mister misunderstanding is marryin' miscommunication today at three Don't lose your invitation, they say it's the place you ought to be Filled with the who's whose? Of, who's you? Who's me? And who's anybody? Please dress in your finest (Like casket sharp?) Well gee, just wait and see Who grabbed me by the collar? Made me make 'em holla, I should've reconsidered, I know (Huh) Niggas ain't shit, huh, well you ain't lyin' And I hate, I hate to be E, let go So in this nightlife, said I apologize  [Chorus: Johnny Venus] I'm stuck (I'm stuck) to you I'm sorry I can't get loose I'm stuck (I'm stuck) to you I apologize for all the times I blew I'm stuck to you (I'm stuck, I'm stuck, I'm stuck) I'm sorry I can't get loose I'm stuck to you I apologize for all the times I blew  [Verse 2: Doctur Dot] First time did this verse, spit it half-assed I wasn't in the mood, goons get emotional too You angelic, getting high got me closer to you Summer nights, stargazing, Frank Ocean and 'shrooms Girl you drive me beaucoup cuckoo Fucked around in you even though you down to fuck bitches too There's nothing that you won't do Mama ain't raise no fool, well now I guess that ain't true I'm in and out of symbiotic situation shit too often Never finish how they started, used to fuck you on the carpet The floor is hot lava, Hawaii tickets we always talked about I guess I'm finna go without ya like ""Forgetting Sarah Marshall"" Marshall and Kim in here for a minute Depending who you asking, you ask who you depend in But what we been through ain't nobody business My love for you is infinite  [Bridge: Arin Ray] Fake me in the same clothes Fuck that if I say so Worst part is she can’t clone Love, love is— Everything that we came for Everything that we made for us Everything that we paid for Why is it breaking us down? Love, now why-why Why is it breaking us down? Love  [Chorus: Johnny Venus] I'm stuck to you I'm sorry I can't get loose (Oh, oh, oh, oh) I'm stuck to you I apologize for all the times I blew (Oh, oh, oh, oh) I'm stuck—"
  TRIPPY DOG  ,얼룩말 (Feat. 하빈),행복을 모르는 게 행복이었던 그때 오직 고민은 밀린 학습지 숙제 뭐니 뭐니 해도 필요한 듯 해 돈이 오천원에도 기뻤던 것 같은데 꼼꼼히 채워진 학습지에선 볼 수 없던 문제가 생겼지 해결된 건 하나 군대 춥게 느껴져 유난히 이번 겨울은 불만이 가득해 내 앞에 거울은 저울을 모르는 척 또 애써 봐도 모든 일에 경중을 대충 재고 말어 욕심은 나쁜 거라 배웠다고 어떻게 사람이 배운 것대로 살어 행복이란 뭘까 다는 아니지만 어느 정도 관련 있어 돈과 그래서 난 쫓고 있는 걸까 결과 뭔가 다른 것 같아 예전과 나도 모르게 얼룩말들이 늘어나 머릿 속 어느새 얼룩말들이 뛰어다녀 나도 모르게 얼룩말들이 늘어나 머릿 속 어느새 얼룩말들이 뛰어다녀 사장님 가라사대 엿 같지만 정치짓 다 할 줄도 알아야 해 어떤 형들은 날 너무나 사랑한대 근데 로꼬 얘길 하며 내가 좀 안타깝대 장황하게 늘어놓은 얘기를 들어보면 음악 얘긴 없고 차트 위한 케미뿐 짧게 울다 죽을 매미들 실컷 지껄여라 난 찾을란다 재미를 그래 근데 재밌는 상상을 하며 오는 길에 불현듯 작업비가 걱정이네 담뱃값은 올랐지 엄청 쉽게 반대로 내 공연 페이는 얄밉게 떨어지네 생존이란 뭘까 다는 아니지만 어느 정도 관련 있어 성과 그래서 난 쫓고 있는 걸까 결과 뭔가 다른 것 같아 예전과 나도 모르게 얼룩말들이 늘어나 머릿 속 어느새 얼룩말들이 뛰어다녀 나도 모르게 얼룩말들이 늘어나 머릿 속 어느새 얼룩말들이 뛰어다녀 삶은 축제일까 숙제일까 숙제라면 지금 대체 뭐가 문젠가 화려한 조명이 넘치는 무대 안과 다르게 유난히 쓸쓸한 주택가 삶은 축제일까 숙제일까 숙제라면 지금 대체 뭐가 문젠가 화려한 조명이 넘치는 무대 안과 다르게 유난히 쓸쓸한 주택가 돈 돈 돈 돈 제발 그만 지껄여 난 버틸 수 있다고 어떠한 시련도 믿어 소수라도 알아주겠지 저건 집어치워 쟤네들은 없다고 신념도 빌어먹을 넌 지나치게 과해 직업병 빈털터리 돈 안되는 음악 의미 없어 미련 곰탱이 새끼 느껴야 해 필요성 방세비 걱정만 하다 밑바닥이 지정석 나도 모르게 스며 들어있는 얼룩 아무도 모른 채 변해가고 있는 얼굴 나도 모르게 스며 들어있는 얼룩 아무도 모른 채 변해가고 있는 얼굴
  Dope Boyz  ,Tdc & Me,이렇게 홀로남아 tdc and me 발버둥쳤던 나혼자만 tdc and me 날두고 떠나가나 tdc and me 아련했던 기억들만 tdc and me 이렇게 홀로남아 tdc and me 발버둥쳤던 나혼자만 tdc and me 날두고 떠나가나 tdc and me 아련했던 기억들만 tdc and me 너무도 작고 어렸던 꼬맹이 시절 나는 몰라 몰라 여기가 어떻게 되는 건지 밖에선 어떻게 보는지 우리들이 보기엔 단순히 좋았던 농촌 수영하던 신천 아름답던 산천 하지만 여기는 빌어먹을 기지촌 그같은 사실 아는데 오래 걸리지 않았지 난 분단의 상처 고이 간직한 거대한 미군부대 옆엔 우리 동네 거기서 내가 사네 한번의 아픔을 겪으면서 잃어버린 반쪽 날개 빈 반쪽을 채우려 간곳은 bsd 하지만 그곳은 내게는 냉담 오로지 거기엔 양키 그래도 거기 밖엔 발붙일 곳이 하나도 없었어 그래서 그제서부터 시작하게 됐어 dj 그 일을 하면서 안좋은 꼴들을 너무나 많이도 봤어 그러던 어느날 내 친구들 날보러 놀러 왔어 바로 그때 양색시에게 양키가 욕했지 그리곤 머리 끄댕이를 잡힌채로 질질질 끌려 나갔어 내 눈앞에서 참을수가 없어 우리는 모두 달려나가서 싸워 하지만 어찌된 일인지 여자는 우리에게 욕하며 덤벼 니네가 뭔데 참견 이냐며 원망하는 그녀의 눈빛만 나에겐 너무나 갚진 걸 이렇게 홀로남아 tdc and me 발버둥쳤던 나혼자만 tdc and me 날두고 떠나가나 tdc and me 아련했던 기억들만 tdc and me 이렇게 홀로남아 tdc and me 발버둥쳤던 나혼자만 tdc and me 날두고 떠나가나 tdc and me 아련했던 기억들만 tdc and me 어느덧 우리도 졸업을 했어 그러고 보니 먹고살일 때문에 내가갈길 포기했어 너무 빨리 사람들은 지긋지긋 한곳이라며 모두가 떠나길 바랬지 하루 빨리 될 수 있는한 빨리 또 여기서 멀리 됐어 보수가 적어도 모두 나가길 바랬지 장미빛 서울 나도 따라따라 가면서 벗어 났다고 생각했지 그물 거기서 만난 여자 친구에게 난 해줬지 내 얘기 남의 나라 얘기 같다며 신기해 하는 너를 데려와 설레는 마음으로 친구들과 다같이 찾아간 그곳 tdc 하지만 변한게 없어 그대로 절대로 안변할거야 이대로 이대로 그때 생각 나니 어리고 몰라서 좋았던 때 그때 생각 나니 나니 그래 그때 어리고 몰랐던 때 어른들은 이상한 얘기를 했어 우리 동네 언니들은 출신을 속이고 결혼한다고 빌어먹을 얘기 정말 뭐같은 개같은 얘기 쓰레기 어느새 미끼 때문에 들어간 새끼 발버둥치곤 했지 열받았지 혼 나만은 풀르고 싶던 족쇄 하지만 난 어느새 기다 힘들고 지쳐 쓰러져 모두다 잃은 날 받아 그래 이것은 또 다른 하나의 시작 아픔의 시작 그것이 이곳의 슬픈 슬픔 되물려지는 아픈 아픔 하지만 지금도 부푼 내꿈 tdc and me 이것이 이곳의 슬픈 슬픔 되물려지는 아픈 아픔 하지만 지금도 부푼 내꿈 이렇게 홀로남아 tdc and me 발버둥쳤던 나혼자만 tdc and me 날 두고 떠나가나 tdc and me 아련했던 기억들만 tdc and me 이렇게 홀로남아 tdc and me 발버둥쳤던 나혼자만 tdc and me 날 두고 떠나가나 tdc and me 아련했던 기억들만 tdc and me and me and me tdc and me
  Icey Blouie  ,Ice (Prod by. Bay hardy),I'm just living life i don't check the price I'm just living life i don't check the price Ice ice ice Ice ice ice Ice ice ice Ice ice ice I'm just living life i don't check the price I'm just living life i don't check the pice Ice ice ice Ice ice ice Ice ice ice Ice ice ice Gucci 벨트 내 허리 위 ay Bape 로고 내 젖꼭지 먹고 싶을 때 먹는 스시 돈 자랑이 아냐 I'm just talking about 삶의 질 Ah Money puusy weed 무중력 상태에서 난 기침 Yeah I'm sippin Wine Yeah I'm smoking loud 입이 쩍버러져 wow 병신 같애 니 여잔 빨리 꺼져 she a thot 난 허리에 찼어 칼 I'm just living life i don't check the price I'm just living life i don't check the price Ice ice ice Ice ice ice Ice ice ice Ice ice ice I'm just living life i don't check the price I'm just living life i don't check the price Ice ice ice Ice ice ice Ice ice ice Ice ice ice 난 그냥 길을 걷지 ay 난 그냥 삶을 살지 ay 우 머리는 뜨겁고 가슴은 차갑지 ay 계집엔 널렸고 난 너 필요 없지 ay 하늘을 날아 너네 머리 위 ya 하늘을 날아 내가 대가리 ya 병신이거나 태반이 스니치 가식은 떨지마 비위 상하니깐 I'm just living life i don't check the price I'm just living life i don't check the price Ice ice ice Ice ice ice Ice ice ice Ice ice ice I'm just living life i don't check the price I'm just living life i don't check the price Ice ice ice Ice ice ice Ice ice ice Ice ice ice
  YDG  ,홍콩 가자,천국 여기 있다 내 안에 너 있다 천국 여기 있다 내 안에 너 있다 천국 여기 있다 내 안에 너 있다 천국 여기 있다 내 안에 너 있다 내 기억 저편 어렴풋이 생각이 나 어렴풋이 추억에 젖어 어렴풋이 애기야 홍콩 가자 일단은 아이들을 재워 고개 숙인 자의 지식을 흔들어 깨워 이번에 내게 다양한 skill을 배워 그전에 먼저 내 번호를 외워 지나간 시간들은 전부 잊기로 해 새 날이 오기만을 간절히 기도 해 아픔을 치료해 영혼을 위로해 슬픔은 뒤로 해 영원히 이렇게 내게 속삭여 그저 가벼웁게 받아들여 오늘은 나랑 사귀어 속담엔 작은 고추가 매워 신경 꺼 내 얘긴 아닌데 뭐 날 깨워 불태워 줘 눈을 가린 사랑에 허덕이다 잠이 든 날 깨워 불태워 줘 눈을 가려도 느낄 수 있는 그 사랑을 날 깨워 불태워 줘 눈을 가린 사랑에 허덕이다 잠이 든 날 깨워 불태워 줘 Every body git down 천국 여기 있다 내 안에 너 있다 천국 여기 있다 내 안에 너 있다 천국 여기 있다 내 안에 너 있다 천국 여기 있다 내 안에 너 있다 내 기억 저편 어렴풋이 생각이 나 어렴풋이 추억에 젖어 어렴풋이 애기야 홍콩 가자 깃털처럼 부드러운 구름 위에 나와 뒹구르는 & 구르는 어디엔가 달콤한 음성 마 내 이름 부르는 & 부르는 지긋이 날 누르는 나 역시 눌러 주는 혼자는 불가능 찰떡 궁합 나는 양둥이 스타일 너는 겸둥이 스타일로 내게 다가왔지 그 시선 진작에 알아봤지 네가 원하는 건 나와 같지 전율은 우리 둘을 에워쌌지 같이 Stop that shit 천국 여기 있다 내 안에 너 있다 천국 여기 있다 내 안에 너 있다 천국 여기 있다 내 안에 너 있다 천국 여기 있다 내 안에 너 있다 사정없이 냅다 들이밀어 오늘밤 부디 무사하길 빌어 저기 물 좀 줘 내게 만족한다면 Give it up 사정없이 냅다 들이밀어 오늘밤 부디 무사하길 빌어 저기 물 좀 줘 내게 만족한다면 Give it up 천국 여기 있다 내 안에 너 있다 천국 여기 있다 내 안에 너 있다 천국 여기 있다 내 안에 너 있다 천국 여기 있다 내 안에 너 있다 꿀물 달콤한 꿀물 마셔 꿀물 벌컥 벌컥 꿀물 꿀물 넌 나만의 꿀물 마셔 꿀물 벌컥 벌컥 꿀물
  TAM TAM (탐탐)  ,Baking Soda (Feat. Peppe),787 타고 Fly Beautiful Look at she Like a T What I mean Baby 넌 최고라고 외쳐 Double Tbb 하하 모든 사람들이 부럽지 워우 들이켜 샴페인 오션뷰 맞이하는 것은 Sunshine 우린 미친 듯이 놀아 너는 마치 Baking soda 그때 눈이 Shot Shot You & I Dumbi Dumbi Dum Dum Baking soda You and I Healing in the Ocean Making soda You and I Chilling in the Ocean Bright 이 밤을 밝힐 Shiny light Breaking Slow Down Slow Down Like are perfume in the air Ringga Ringga Ring Ringga Ringga Ring Baking soda soda Ringga Ringga Ring Ringga Ringga Ring Baking soda soda My girl 저길 봐 처음 보는 거 얼만지 물어봐 Say How much 현지인도 너를 쳐다봐 내가 말했잖아 이곳에서 니가 제일 Hot 넌 정말 Sparkling Tumbling 트랜스포머의 범블비 어딜 가나 주인공 네 옆엔 내가 서있지 You & I Loveing in trip 오늘도 탐하는 lips 때마침 눈이 Shot Shot You & I Dumbi Dumbi Dum Dum Baking soda You and I Healing in the Ocean Making soda You and I Chilling in the Ocean Bright 이 밤을 밝힐 Shiny light Breaking Slow Down Slow Down Like are perfume in the air Ringga Ringga Ring Ringga Ringga Ring Baking soda soda Ringga Ringga Ring Ringga Ringga Ring Baking soda soda 넌 Atomic bomb bomb bomb 모든 소녀들에 셀럽이지 넌 넌 널 쳐다보는 눈 Slow Slow 즐기면서 Low Low 하루 종일 뒹굴어 폭발 직전에 Limit Loot at she Like a T picture V 외쳐 Shot Shot You & I Dumbi Dumbi Dum Dum Baking soda You and I Healing in the Ocean Making soda You and I Chilling in the Ocean Bright 이 밤을 밝힐 Shiny light Breaking Slow Down Slow Down Like are perfume in the air Ringga Ringga Ring Ringga Ringga Ring Baking soda soda Ringga Ringga Ring Ringga Ringga Ring Baking soda soda Like are perfume in the air
  원슈타인  ,GOAT ft.버벌진트,Ppab ppabppab ttu bab sseutteu-badi bab ppab ppab-tti-ppab ttu-ppappab ttu-ppabab ttu-ppadi ppap-pap-pab ttu-bab ttu-badi-bab ppab-tti-ppappab ppab-ppab-tti-bab seu-ttu-badubab-ppab tti-bab ppab 내가 길을걸어가면 모든 사람들이말해 원슈 쟤는 노래할때보면 하는짓이 완전 real goat goat 더 콰이엇같은 수염 나도 한번쯤은 가져보길 원해 근데 거울안에 이건 real goat goat 아니면 너넨 상상해 딩고 프리스타일 랩퍼처럼 cd 씹어 먹을 real goat WOAH- WUH- Yeah That shit goat 난 어중이 떠중이 어디에도 속하질 못해 도통 적응이 되지않는 눈빛 im a goat im a goat She's a gone 그녀는 하얀 원피스 파란색도 하늘색도 아닌 어중띤 땡땡이가 마음에들어 그걸 입고 걷지 그중 하나를 건 것같은 에메랄드 귀걸이 어쩔땐 조금 거친 화장으로 라이더자켓 코디하지 역시 사람들은 모두 너가 변했다고 억지 신경쓰지말아 좀 더 드러냈을뿐인데 넌 뭐가 문제야 Seriously 뭐가 문제야 Seriously 쟤가 문제야 Seriously 뭐가 문제야 Seriously WOAH- WUH- 내가 길을걸어가면 모든 사람들이말해 원슈쟤는 노래할때보면 하는짓이 완전 real goat goat 버벌진트같은 수염 나도 한번쯤은 가져보길 원해 근데 거울안에 이건 real goat i'm a goat 보석이나 옷은 많지 않아 하지만 내는 곡마다 drip drip 찾아봐 물 새는 곳 they say i'm goat 안 보였네 맨 첨에는 이제는 활짝 떴네 눈 금지된 사과 깨물고 that's why i'm goat 풀을 피우진 않지만 내 방은 뿌옇지 며칠이면 빽빽해지는 수염이 항상 널 찌를 준비가 된 뿔 역시 the proof that i'm goat ooh yeah i'm goat 내가 여기 있는 건 아냐 우연이 자신 없으면 숙여 저기 숨어 뒤에 but when she comes 난 그냥 조신한 초식동물 먹이사슬 위니까 걘 포식자 뭐가 문제야 Seriously 쟤가 문제야 Seriously 어떤이는 나를보고 떠올리지 666 어떤이는 나를보고 떠올리지 보신 그 사람들이 정의하는 모든것이 나인데 내가 길을걸어가면 모든 사람들이말해 원슈쟤는 노래할때보면 하는짓이 완전 real goat goat 크리스햄 같은 수염 나도 한번쯤은 가져보길 원해 근데 거울안에 이건 real goat real - goat 아니면 너넨 상상해 딩고 프리스타일랩퍼처럼 cd 씹어 먹을 real goat Yeah That shit goat 난 어중이 떠중이 어디에도 속하질 못해 도통 적응이 되지않는 눈빛 im a goat She's a gone
  MSG  ,Sunshine,이런 나른한 날엔 넌 어디로갈까 이런 날 불안하게 하는건 오늘 밤 까맣게 보이지 않는건 저 강물과 같아 가끔 난 내 위치를 헷갈리는 것 같아 젊은 나를 비추는 수면 위 초상화는 빌딩의 빛 혹은 가로등이 오렌지 색보다 조금 어두운 빛으로 비추어 이십대 초중반의 난 아직 아마추어 남은 날이 더 많다고는 해도 흔들리는 모양이 마치 약간 위의 대교 이름은 많아도 성질은 똑같듯이 흔들리지 어떤 이름을 붙인다 해도 It's alright It's alright 답답하긴 해도 흔들리지 약간 위의 대교 흐르는 대로만 가면 돼 It's alright It's alright 좀 까맣긴 해도 흔들리지 약간 위의 대교 흐르는 대로만 가면 돼 이건 나 뿐만 아니라 내 주위에 퍼진 못해도 내 옆에 있는 너에겐 물론 이 노랠 계속 듣는 너에게도 해당되는 수면 위 파문 아무도 말해주지 않지 저 꽉다문 입 안엔 새카맣게 고여버린 피 혹은 이미 바짝 말라버린 침 어쩜 답은 정해져 있지 않다는건지 아님 단지 할말이 없다는건지 아니면 내가 어리숙한건지 난 그저 답답해 바람은 딱딱해 우리중엔 분명히 다른 사람없이 다 똑같을텐데 남은 날이 더 많다고는 해도 흔들리는 마음을 어찌하지는 못하고 까맣게만 보이는 저 강물 위에 흐르는 대로 맡길수 밖에 한치 앞을 알 수 없기에 더 길어져 가는 그림자 수북히 쌓인 미련 위에 허우적대는 나 더는 할 수 없을 거라고 애써 떨어뜨려 날 돌아올 수 없는 강물 속으로 It's alright It's alright 답답하긴 해도 흔들리지 약간 위의 대교 흐르는 대로만 가면 돼 It's alright It's alright 좀 까맣긴 해도 흔들리지 약간 위의 대교 흐르는 대로만 가면 돼 이런 나른한 날에 넌 어디로갈까 이런 날 불안하게 하는건 오늘 밤 지금처럼 멈추는 일 없이 흐르기만 해줘 떨어진 나를 가라앉지 않게만 해줘 이런 날 안아주기엔 비좁은걸까 이런 날 불안하게 하는건 오늘 밤 지금처럼 멈추는 일 없이 흐르기만 해줘 떨어진 나를 가라앉지 않게만 해줘 It's alright It's alright 답답하긴 해도 흔들리지 약간 위의 대교 흐르는 대로만 가면 돼 It's alright It's alright 좀 까맣긴 해도 흔들리지 약간 위의 대교 흐르는 대로만 가면 돼
"  Marshmello ,  Tyga ,  Chris Brown  ",Light It Up,You a real bitch light it up Light it up You a real bitch go n light it up Light it up It's your birthday go n light it up Light it up I'm drunk and I'm throwin' middle fingers up Mello made it right Pass me the kush we gon' light it up Light it up I'm drunk and I'm throwin' middle fingers up Fingers up Slide in my DM you can hit me up Hit me up She wanna be the one she ain't the only one No I got a bop in the trap got a bop on my lap Yeah Bitch I'm a dog but I ain't got to chase the cat Nah They pull up where I'm at get the addy from their friends Yeah I don't keep loose change and I don't top loose ends If a nigga want beef if a bitch want beef We put it on the grill serve that bitch to the street Blah She call me Young Beckham 'cause a nigga go deep Yeah I live by the beat I'ma kill what I eat Ayy If you a real bitch light it up Light it up If you a real bitch go n light it up Light it up light it up It's your birthday go n light it up Light it up ayy I'm drunk and I'm throwin' middle fingers up Fingers up fingers Ooh my niggas gon' light it up Light it up light it up If you a real nigga go n light it up Light it up It's your birthday light it up Light it up It's you a real bitch go n light it up Light it up She can get it running over me Yeah She heard about me and she know I'm a freak Ooh She can top running over me Over me yeah Girl you know ain't no controllin' me No no Close your mouth when I'm facing you Yeah I don't chase When I drink in it straight up Tell your girl she can play with it Ooh Light it up so we stay lit We gon' keep it going like Yeah yeah yeah Yeah yeah yeah yeah yeah yeah I know you see the smoke in the air yeah yeah You see that smoke you see Light it up mami Don't tell nobody Don't mean to push up on you Whiskey keeping you balanced Throw that ass backward while that ass clapping Ooh whoa light it up If you a real bitch light it up Light it up If you a real bitch go n light it up Light it up light it up It's your birthday go n light it up Light it up ayy I'm drunk and I'm throwin' middle fingers up Fingers up fingers Ooh my niggas gon' light it up Light it up If you a real nigga go n light it up Light it up It's your birthday light it up Light it up It's you a real bitch go n light it up Light it up Yeah Mello You a real bitch light it up T-raw C-Breezy If you a real bitch go n light it up You a real bitch light it up If you a real bitch go n light it up
  웻 보이즈 (Wet Boyz)  ,슬래진저 (Slazenger),어제 너 몰래 나는 새 신발을 샀어 이게 slazenger 인 걸 알면 넌 날 떠날걸 이뻐 보이길래 샀다는 핑계를 하고 너 못 보게 표범 로고를 가렸어 너는 왜 내게 사랑한다고 말하는데 왜 나를 피하는 건지 아마 내 모습이 초라한 거겠지 내가 너의 slazenger 인 거니 어제 너 몰래 나는 새 신발을 샀어 이게 slazenger인걸 알면 넌 날 떠날걸 이뻐 보이길래 샀다는 핑계를 대면 너는 내가 평생 옷 잘 입는 줄 알겠지 난 그래 친구들과 너의 얘길 하곤 해 널 많이 사랑한다고 말을 해 그치만 너는 아니잖아 나는 너의 slazenger 이니까 어제 너에게 헤어지잔 말을 들었어 그게 slazenger인걸 알고 날 떠났을까 이뻐 보이길래 샀다는 거짓말을 괜히 해서 사랑한다는 내 맘도 헐값으로 샀을까 나는 왜 네게 사랑한다고 말하는 게 왜 이리 쉬웠던 건지 그렇게 신발 밑창처럼 닳았겠지 내가 너의 slazenger인 거니 어제 너 몰래 나는 새 신발을 샀어 slazenger 보다 훨씬 더 비싼 걸 샀어 이뻐 보이길래 샀다는 핑계를 안대도 너가 지나가다 나를 보면 말 걸지 몰라
