artist,title,lyric
  Pink Floyd  ,High Hopes (Radio Edit),"Beyond the horizon of the place we lived when we were young In a world of magnets and miracles Our thoughts strayed constantly and without boundary The ringing of the division bell had begun Along the Long Road and on down the Causeway Do they still meet there by the Cut There was a ragged band that followed in our footsteps Running before time took our dreams away Leaving the myriad small creatures trying to tie us to the ground To a life consumed by slow decay  [Chorus] The grass was greener The light was brighter With friends surrounded The nights of wonder  [Verse 2] Looking beyond the embers of bridges glowing behind us To a glimpse of how green it was on the other side Steps taken forwards but sleepwalking back again Dragged by the force of some inner tide At a higher altitude with flag unfurled We reached the dizzy heights of that dreamed of world  [Instrumental]  [Verse 3] Encumbered forever by desire and ambition There's a hunger still unsatisfied Our weary eyes still stray to the horizon Though down this road we've been so many times  [Chorus] The grass was greener The light was brighter The taste was sweeter The nights of wonder With friends surrounded The dawn mist glowing The water flowing The endless river For ever and ever  [Instrumental]  [Outro] ""Is that Charlie? Hello Charlie! Great..."""
  Run River North  ,Fight To Keep,I left my heart on the top of a window sill Fell apart when the winds pulled it down On the ground where sun drove the colors deep In the summer heat the colors seem to drown X2 But you pulled up the colors with a simple tune You breath a song and you dusted off the sand You put the pieces on your sleeve Oh you gave my heart to me You look so pretty that I fell upon my knees X2 The ground I saw your face You spoke of love oh you sang of grace But come the night when the light is gone It's in the dark that my deeds are done What I've done in darkness I must turn away This mangled heart is meant for so much more Though the wind it's telling me that it's ok I'll stand my ground till I hear the kingdom come X2 So I will fight to keep the fire burning in the night For I found words to keep me still Oh I'm prone to go and make the same mistakes I hear your voice calling out my name From the ground I saw your face You spoke of love oh you sang of grace But come the night when the light is gone It's in the dark that my deeds are done X2 I will fight to keep the fire burning in the night X15 Fight to keep the fire burning X6
  The Damned  ,Problem Child,"""Stealin' cars lost in bars Treating hard-to-be's like superstars I want to come home at 3AM I love my records Alright and I'm going to play 'em Problem child, problem child We think you live much too wild Problem child, problem child When you get home Your daddy's gonna tan your hide I gave a dose to my sister Only need to be a teen-dream hipster Don't care about my grades at school Or my teacher My Probation lady says, you ain't so cool Problem child, problem child We think you live much too wild Problem child, problem child When you get home Your daddy's gonna tan your hide Gave a dose to my sister Only need to be a teen-dream hipster Don't care about my grades at school Or my teacher My probation lady says, you ain't so cool Problem child, problem child We think you live much too wild Problem child, problem child When you get home Your daddy's gonna tan your hide Problem child, problem child We think you live much too wild Problem child, problem child When you get home Your daddy's gonna tan your hide  """
  로열 파이럿츠  ,Without You,Baby I just don't know how to say it 날 이해할 수 없을 거야 어디로 어디로 가는지 이대로 이대로 끝인지 다 떠나고 나만 남아 지겨워 모든 게 다 지쳐 내가 뭘 하겠어 내가 뭘 알겠어 무너져 버린 내 삶은 아무런 의미가 없어 I'm a Nobody without you without you 머저리 같이 난 그저 뭣도 아닌 그런 사람인데 후회돼 I'm Nobody without you 다시 돌아가고 싶어 yeah yeah yeah yeah yeah yeah 나도 이런 내가 싫어 stay the night stay the night 또 눈을 감아 힘들어 힘들어하겠지 뭐 하러 뭐 하러 사는지 다 떠나고 난 또 남아 지겨워 모든 게 다 지쳐 누가 날 알겠어 나도 모르겠어 무뎌져 버린 내 마음은 아무도 믿을 수 없어 I'm a Nobody without you without you 머저리 같이 난 그저 뭣도 아닌 그런 사람인데 후회돼 I'm Nobody without you 다시 돌아가고 싶어 yeah yeah yeah yeah yeah yeah 나도 이런 내가 싫어 stay the night stay the night 또 눈을 감아 Baby I just don't know how to say it 날 이해할 수 없을 거야
  신해철  ,날아라 병아리,육교 위의 네모난 상자 속에서 처음 나와 만난 노란 병아리 얄리는 다시 조그만 상자 속으로 돌아가 우리 집 앞뜰에 묻혔다 나는 어린 내 눈에 처음으로 죽음을 보았던 1974년의 봄을 아직 기억한다 내가 아주 작을 때 나보다 더 작던 내 친구 내 두 손 위에서 노랠 부르며 작은 방을 가득 채웠지 품에 안으면 따뜻한 그 느낌 작은 심장이 두근두근 느껴졌었어 우리 함께 한 날은 그리 길게 가진 못했지 어느 밤 얄리는 많이 아파 힘없이 누워만 있었지 슬픈 눈으로 날갯짓 하더니 새벽 무렵엔 차디차게 식어 있었네 굿바이 얄리 이젠 아픔 없는 곳에서 하늘을 날고 있을까 굿바이 얄리 너의 조그만 무덤가엔 올해도 꽃은 피는지 눈물이 마를 무렵 희미하게 알 수 있었지 나 역시 세상에 머무르는 것 영원할 수 없다는 것을 설명할 말을 알 순 없었지만 어린 나에게 죽음을 가르쳐 주었네 굿바이 얄리 이젠 아픔 없는 곳에서 하늘을 날고 있을까 굿바이 얄리 너의 조그만 무덤가엔 올해도 꽃은 피는지 굿바이 얄리 이젠 아픔 없는 곳에서 하늘을 날고 있을까 굿바이 얄리 언젠가 다음 세상에도 내 친구로 태어나 줘
  Scar Symmetry  ,Prism And Gate,I`m submerged in filth fragmented chaos In chrysalis state I await my birth Thoughts and memories proceed to haunt me Soon all these fragments will be gone Morphing begins I`m becoming a God Birth is nothing but death`s beginning Now as my soul is yearning Morph to new paradigms Find wisdom in the learning My will always finds a way See the embers burning Sense no dividing line Same being dead or living My will burns through time This being feeds within now To be born be alive Feed inside its presence goes beyond life Fate will follow the mind Birth is nothing but death`s beginning Now as my soul is yearning Morph to new paradigms Find wisdom in the learning My will always finds a way See the embers burning Sense no dividing line Same being dead or living My will burns through time This being feeds within now To be born be alive Feed inside its presence goes beyond life Fate will follow the mind Morphing complete Come forth emerging God Birth is nothing but death`s beginning This being feeds within now To be born be alive Feed inside its presence goes beyond life Fate will follow the mind I am the one within now I`m the transforming tide
  Marilyn Manson  ,Burning Flag,"They wanna sell it, buy it up, dumb it down Good God is hard to find But you're the crowd that wants to see me dead Right now I feel I'm alive for the first time Marching for your death, mouth of sex Add up the violence and what do you get? We are all just stars and we're waiting We are all just scared and we're hating We are all just stars on your burning flag Point a gun at me And hope it will go away If God was alive He would hate you anyway The right wing is left and the left one is gray It's safe for the kids but nothing is safe But you’re rated G rating election day Got a A-B-C and a F-U-C-K F-U-C-K F-U-C-K Marching for your death, mouth of sex Add up the violence and what do you get? We are all just stars and we're waiting We are all just scared and we're hating We are all just stars on your burning flag Point a gun at me And hope it will go away If God was alive He would hate you anyway  We are all just stars and we're wasting We are all just scared and we're hating We are all just stars on your burning flag Stars on your burning flag Stars on your burning flag Stars on your burning flag Stars on your burning flag Stars on your burning flag"
  Seoul Mothers  ,Don`t Forget What Your Mother Said,Close your eyes and reflect on the last day about yourself Who one never talk to you encouraging word She will always ask you to make thing right You will never say anything that comes out of your anger Don't forget what your mother said Don't forget what your mother said Don't forget what your mother said Don't forget what your mother said 내 어머니 말씀은 내 가슴 새겨 두고 정의와 진리는 내 삶의 밑천으로 넘어지고 쓰러져 또 다시 일어서 Don't forget what your mother said Don't forget what your mother said Don't forget what your mother said Don't forget what your mother said She will never ask you to do crime You will make your mother always proud She will never ask you to do crime You will make your mother always proud
  Gogang (고갱)  ,The Last Party,I have been looking for the something I was wandering in the maze with my eyes closed house on a cloud and the words That makes her smile at me But that is not enough to stop her steps my body went out for a drink he said wanna enjoy the last party whenever he's almost satisfied He woke up dreaming You trying to fall again You trying to fall again Run quickly in the working clock the party never be over You danced like a burning flames And you said oh my gosh you'll Run quickly in the working clock the party never be over the ground is closer than sky You know that so well in this world of shams I had been thinking I'm a hero And I don't even know what'll happen today but I don't give a fuck that so let it rest no hurry up Oh let it rest no hurry up Oh just let it rest no hurry up Oh let it rest for a moment no Run quickly in the working clock the party never be over You danced like a burning flames And you said oh my gosh You'll Run quickly in the working clock the party never be over You danced like a burning flames And you will run again run again run again Run quickly in the working clock the party never be over The ground is closer than sky You know that so well you'll find an excuse Because you know the ground is more comfortable Don't You long for the bright lights it's Time to wake up
  Limp Bizkit  ,Full Nelson (Album Version),Why is everybody always picking on me why is everybody always picking on me Does anybody really know a thing about me does anybody really know a thing about me One of these days we'll be in the same place And the same place punk at the very same time YEAH And when it takes it place and you wanna talk shit Then step your ass up AND SAY IT RIGHT TO MY FACE You'll get knock the fuck out Cause your mouth's writing checks that your ass can't cash Knocked straight the fuck out Cause your mouth's writing checks that your ass can't cash  I ain't believing all this shit you've talking about me Don't even know me and still your talking shit about me don't even know me and still your talking shit about me One of these day i'm'a catch you in the act in the act Red handed caught up in the act punk Now that'll be the day the one and only day So step your ass up AND SAY IT RIGHT TO MY FACE You'll get knock the fuck out Cause your mouth's writing checks that your ass can't cash Knocked straight the fuck out Cause your mouth's writing checks that your ass can't cash  So where you at Where you've been Sure in I was in Cause this world's Really stuck can we all get along So where you at Where you've been Sure in I was in Cause this world's Really stuck can we all get along How pathetic are peoples Who purposly rape us with talking We try to ignore them ignore them until they keep talking They think that they're good cheap liers Without us we've got the fortunates ones We got the fire to burn this MOTHER FUCKER DOWN DOWN DOWN BURN THIS MOTHER FUCKER DOWN DOWN DOWN BURN THIS MOTHER FUCKER DOWN DOWN DOWWWWWWN BURN THIS MOTHER FUCKER DOWN DOWWWWWWN BURN THIS MOTHER FUCKER You'll get knock the fuck out Cause your mouth's writing checks that your ass can't cash Knocked straight the fuck out Cause your mouth's writing checks that your ass can't cash That your ass can't cash
