artist,title,lyric
  The Verve  ,Lucky Man,"Happiness More or less It's just a change in me Something in my liberty Oh, my, my Happiness Coming and going I watch you look at me Watch my fever growing I know just where I am  But how many corners do I have to turn? How many times do I have to learn All the love I have is in my mind?  Well, I'm a lucky man With fire in my hands  Happiness Something in my own place I'm standing naked Smiling, I feel no disgrace With who I am  Happiness Coming and going I watch you look at me Watch my fever growing I know just who I am  But how many corners do I have to turn? How many times do I have to learn All the love I have is in my mind?  I hope you understand I hope you understand  Gotta love that'll never die  Happiness More or less It's just a change in me Something in my liberty Happiness Coming and going I watch you look at me Watch my fever growing I know Oh, my, my Oh, my, my Oh, my, my Oh, my, my Gotta love that'll never die No, no I'm a lucky man  It's just a change in me Something in my liberty It's just a change in me Something in my liberty It's just a change in me Something in my liberty Oh, my, my Oh, my, my It's just a change in me Something in my liberty Oh, my, my Oh, my, my"
  넬 (NELL)  ,부서진,난 . . 많이 어지럽고 불안해서 위태로운 모습으로 찢어진 심장을 붙여보려 이런 날 안아줘 아무 말 말아줘 ~ 천마디 말보단 기대 쉴 수 있는 어깨를 내게 줘 ~ 난 . . 많이 모자라고 부족해서 널 채울 수가 없어 괴로운 마음에 다시 혼자 되고 지겨워 이런 날 안아줘 아무 말 말아줘 ~ 천마디 말보단 기대 쉴 수 있는 어깨를 내게 줘 ~ 힘들다 말하는 그 순간 모두 떠나버리죠 타인의 짐까지 짊어지기엔 이 세상이 너무 벅찬 걸 ~~ 이런 날 안아줘 아무 말 말아줘 수많은 말로 날 위로 안 해도 돼 이젠 다 익숙해
  Ben Folds Five  ,Sky High,Shattered at dawn So far for so long Feeling newly baptized thinking I don't want this thing to end and All the blue sky Where our stony paths meet Coffee color sheets Looking down at pale knees With a cigarette and the morning beat Under the blue sky Last night at the bar I was wrong I was only hurting And you were acting too polite And we held on to the pain Through the storms and the rain Like a crumpled empty discarded Newports box Ahh under the blue sky Ahh sky high Ahh Pawn shop billboard We Buy Gold Old dreams just fade and twist It's a heartache that never ended The brightness of air Out walking somewhere and when they ask you Just tell them that you knew me back when Under the blue sky Ahh sky high Ahh put on the blue sky Ahh sky high
  The Neighbourhood  ,Heaven,"There's something 'bout you, baby There's something 'bout the way Ya got me shaking like a seizure No mistaking  [Verse 1] I would die for your heaven I could lie here forever Every night we're together If you'd like, I'll do whatever You really want You remind me of my mom You make me feel like God And I'm watching you fall from above  [Chorus] There's something 'bout you, baby There's something 'bout the way Ya got me shaking like a seizure No mistaking that I need ya There's something 'bout you, baby There's nothing like the way you get me high You got a heart from heaven But you're burning like hell  [Verse 2] Happy I took that chance on you, yeah Bless this, put my hands on you, yeah Letting me put my trust on you, yeah Spending my whole advance on you Yeah, when I'm down you know how to lift me up From the ground, through the clouds to the sun Tell me how did I ever find you, babe? Tell me now that you're never gonna run  [Chorus] There's something 'bout you, baby There's something 'bout the way Ya got me shaking like a seizure No mistaking that I need ya There's something 'bout you, baby There's nothing like the way you get me high You got a heart from heaven But you're burning like hell  [Bridge] When I feel like I'm strangled You treat me like an angel Show me all different angles And I never, ever felt that way, uh When you leave, I don't wanna try And if you stick with me, I'll be fine 'Cause your love's rubbing off on me Tell me how'd you get so heavenly?  [Outro] There's something 'bout you, baby There's nothing like the way you get me high You got a heart from heaven But you're burning like hell"
  Kevin Krauter  ,Full Hand,Sometimes I feel like a guilty pleasure Sometimes it don’t feel like pleasure at all Face in the air like I’m trying to fool ya What a surprise I’m just fooling myself Glued to my phone I’m just trying to hear ya Sweat on the glass burning holes in my hand I don’t wanna believe in a new communion Pour out the wine taste the blood in my breath Till I go and find out It’s so easy Turn and walk away from all the sadness Even if it feels too hard to handle I know it’s just a reason to let it fly Bending my will but the effort is wasted Hung up and dry just a tool in the shed Springing the trap cause it’s testing my patience What a surprise it was all in my head Going to Hell guess they killed me with kindness Drank all my time now I’m eating the chance Is a moment of truth such an inconvenience Peel off the rind bite the fruit in my hands Till I go and find out It’s so easy Turn and walk away from all the sadness Even if it feels too hard to handle I know it’s just a reason to let it fly
  윤한별  ,After Winter,계절의 향기가 코 끝에 닿네요 얼어 붙어 무뎌진 가슴이 녹아가네요 생각이 날까 생각이 날까 주체할 수 없는 포근함에 난 녹아 내려요 그대가 녹아 자꾸 내가 되어요 얼어붙은 채로 그댈 가두던 12월의 약속이 녹아 내려요 내가 나를 놀리듯 그리워지게 하는 눈물짓게 만드는 사랑이 녹아요 계절의 향기가 코 끝에 닿네요 웅크려진 하루를 따스히 녹게하네요 사랑을 하자 사랑을 하자 깊은 마음없는 만남속에 난 녹아 내려요 그대가 녹아 자꾸 내가 되어요 얼어붙은 채로 그댈 가두던 12월의 약속이 녹아 내려요 내가 나를 놀리듯 그리워지게 하는 눈물짓게 만드는 사랑이 녹아요 사랑할 수 없다는거 아니 만날수 조차 없다는거 알아요 언제까지 그댈 잊고 살까요 내 맘 너무 힘든데 녹아 내려요 그대가 자꾸만 녹아 날 울려요 얼어붙은 채로 나를 가두던 12월의 그대가 녹아 내려요 내가 나를 놀리듯 그리워지게 하는 눈물짓게 만드는 사랑이 녹아요
  Kimbra  ,Goldmine,"[Verse 1:] (Move) you can't touch it with your two hands You can't find it with the third eye I've been thirsting in the mud lands For a well, it can't run dry, oh Passed down to me through the wind And in the silence of the white sound It's always hidden in the dark night Dug up from the cold ground  [Pre-Chorus 1:] But it goes over the heart, and over the head Over and above all the words they said Be still my heart Be still my head  [Hook:] Cause I got a goldmine, it's all mine Nobody can touch this gold of mine I got a goldmine, it's all mine Nobody can touch this gold of mine I got a goldmine, it's all mine Nobody can touch this gold of mine It's been through the brimstone, been through the fire Nobody can touch this gold of mine  [Verse 2:] And it's burning in the furnace And the fire in the third eye No you won't find it on the surface It rises out of the war cry  [Pre-Chorus 2:] This goes over the heart, over the head Go and get past all the words they said Be still in your heart Still in your head  [Hook]  [Bridge:] They're all runnin' to the gold rush They're all runnin' to the river Hey, don't speak loud, keep it hushed Cause we about to be delivered, ooh  [Hook]  [Outro:] I got a goldmine [x3]"
  버즈  ,일기 (Acoustic Ver.),12월 9일 목요일 사랑하는 사람과 마지막 하루를 보냈다고 4월에 나눌 인사를 미리 서둘러 하고 세상과도 이별한다고 눈을 감으면 깨어나지 못하면 매일 써오던 일기 내게 전해주라고 혼자 남은 나를 걱정했나요 많이 아파했나요 갚지 못할 그 사랑에 자꾸 눈물이 나죠 사랑했던 날을 모두 더하면 이별보다 길텐데 그댄 벌써 내게 제발 잊으라고만 하네요  3월에 내린 햇살을 만져보고 싶다고 힘없이 눌러쓴 그대 바램 몇일동안 비가 내려 많이 아파하던 밤 멈춰버린 4월 어느날 가지 말라고 제발 눈을 뜨라고 이건 장난이라고 이럼 화낼거라고 혼자 남은 나를 걱정했나요 많이 아파 했나요 갚지 못할 그 사랑에 자꾸 눈물이 나죠 사랑했던 날을 모두 더하면 이별보다 길텐데 그댄 벌써 내게 제발 잊으라고만 하네요  슬픈 나의 바램 시간이 지나도 변치 않는건 그댈 사랑하는 일 안된다고 잊었다고 하지 말아요 영원히 그대곁에 my love
  Testament  ,Over The Wall  ,"I've been a prisoner Trapped in by fear Ordered for the rest of my life Condemned in a jail cell Ain't seen life in years Escape is the only way out  Restart my life Or self destruction To climb this wall Of dark construction Holding the quest for freedom That beckons me  My sanity is all but gone My patience is growing very weak I need to get a hold of myself I stare at the wall For the right time to come Escape must occur on this night  Restart my life Or self destruction To climb this wall Of dark construction Holding the quest for freedom That beckons me  Stand in my way And I'll run you straight through There's no one to stop me now For I'm on the loose And I'm ready to start Torture and hell on this town  Over the wall  The search will not stop And the hounds will not rest Till I am back in my cell For if I am caught, I will try it again Over the wall I will go, I will go  Restart my life Or self destruction To climb this wall Of dark construction Holding the quest for freedom That beckons me  Over the wall"
  Queen  ,It`s Late (2011 Remaster),You say you love me And I hardly know your name And if I say I love you in the candlelight There`s no one but myself to blame But there`s something inside That`s turning my mind away Oh how I could love you If I could let you stay It`s late but I`m bleeding deep inside It`s late is it just my sickly pride Too late even now the feeling seems to steal away So late though I`m crying I can`t help but hear you say It`s late it`s late it`s late But not too late The way you love me Is the sweetest love around But after all this time The more I`m trying The more I seem to let you down Now you tell me you`re leaving And I just can`t believe it`s true Oh you know that I can love you Though I know I can`t be true Oh you made me love you Don`t tell me that we`re through It`s late but it`s driving me so mad It`s late yes I know but don`t try to tell me that it`s Too late save our love you can`t turn out the lights So late I`ve been wrong but I`ll learn to be right It`s late it`s late it`s late But not too late I`ve been so long You`ve been so long We`ve been so long tryin to work it out I ain`t got long You ain`t got long We gotta know what this life is all about Too late much too late You`re staring at me With suspicion in your eye You say what game are you playing What`s this that you`re saying I know that I can`t reply If I take you tonight Is it making my life a lie Oh you make me wonder Did I live my life alright It`s late but it`s time to set me free It`s late yes i know but there`s no way it has to be Too late so let the fire take our bodies this night So late lat the waters take our guilt in the tide It`s late it`s late it`s late it`s late It`s late it`s late It`s all too late
