artist,title,English_clean_lyric
  현철  ,사랑의 이름표,
  서주경  ,똑똑똑,
  이은하  ,버스정류장,hey bus stop hey bus stop hey bus stop hey bus stop hey bus stop hey bus stop hey bus stop hey bus stop hey bus stop hey bus stop
  김수희  ,빗물,
  조용필  ,산유화,
  장윤정  ,그날,
  최백호  ,애비,
  조항조  ,어느 60대 노부부 이야기,
  주현미  ,청풍명월,
  류기진  ,남자가 사는 이유,
  최헌  ,구름 나그네,
  박강성  ,문 밖에 있는 그대,
  계은숙  ,노래하며 춤추며,
  이희진  ,걱정말아요,
  주현미  ,눈물의 부르스,
  조영남  ,그대 그리고 나,
  이미자  ,사연,
  최진희  ,수선화,
  조영구  ,야! 이 사람아,
  현미  ,왜 사느냐고 묻거든,
  장하온  ,커피 한 잔,
  캔  ,내 사랑 간장게장,
  현숙  ,사랑하는 영자씨,
  진주걸스  ,좋아좋아,
  장철웅  ,서울 이곳은 (DJ처리 Remix Ver.),
  박주희  ,가을비 우산속,
  이정근  ,작별,
  홍세민  ,임 그리워,
  레드콕  ,톡톡 (Tok Tok),tok tok talk talk hot hot tok tok talk talk hot hot tok tok talk talk hot hot
  장미화  ,안녕하세요,
  백설희  ,물새우는 강언덕,
  김정연  ,사랑이 뭔데,
  신카나리아  ,나는 열일곱살이예요,
  김정연  ,사랑이 뭔데 (Remix Ver.),
  정광태  ,짜라빠빠,
  김유이  ,오빠의 비타민,
  나비소녀  ,Only You,kiss oh baby kiss oh baby kiss oh baby
  설운도  ,사랑의 트위스트,
  현철  ,사랑이 불로초,
  정수라  ,어부의 딸,
  임성훈  ,후끈 후끈,
  패티김  ,샤레이드,played charade like children posing playing games acting names guessing parts played oh hit made came next closing best bill lovers love left masquerade fate seemed pull strings turned gone darkened wings music box played sad little serenade song heart composing hear still always best bill charade
  임주리  ,사랑한 후에,
  노사연  ,돌고 돌아가는 길,
  남인수  ,울며 헤진 부산항(釜山港),
  김수희  ,남행열차,
  심수봉  ,Quando l`amore Diventa Poesia (사랑이 詩로 변할 때),
  위일청  ,무정부르스,
  정하나  ,비둘기 집,
  미녀와 야수  ,처음처럼,
  이제나  ,불났어요,
  김추자  ,무인도,
  이미자  ,불효자는 웁니다,
  김란영  ,빈잔,
  한명숙  ,노란 셔츠의 사나이,
  박성오  ,라봐 (Larvwa),
  심수봉  ,그때 그 사람,
  서주경  ,당돌한 여자 (DJ처리 Remix Ver.),
  김상희  ,코스모스 피어있는 길,
  이명주  ,짐이 된 사랑,
  현철  ,립스틱 짙게 바르고,
  홍인숙  ,소백산 철쭉,
  소명  ,빠이 빠이야,
  장민호  ,남자는 말합니다(New.ver),
  이대원  ,오빠집에 놀러와,
  이미자  ,황혼의 블루스,
"  최영주 ,  나현재  ",먼데서 오신 손님,
  차명진  ,너에게 가는 지금,
  설운도  ,미련의 부르스 (2013 Ver.),
"  김희재 ,  이찬원  ",러브레터 (MR),love love love love
  태진아  ,사랑하는 이에게,
  안정애  ,대전부르스,
  심수봉  ,비나리,
  고재근  ,사랑해 말도 못하는,
  문주란  ,공항대합실,
  박정식  ,상처,
  최영화  ,애인이 되어주세요,
  김성환  ,바보 같은 사나이 (2014 Ver.),
  김란영  ,그댄 봄비를 무척 좋아하시나요,
  김태화  ,뛰어,
  류기진  ,그사람 찾으러 간다,
  나훈아  ,울고 넘는 박달재,
  김상배  ,굿맨,
  오욱철  ,손맛 (낚시),
  남진  ,가슴 아프게,
  이자연  ,찰랑찰랑,
  이미자  ,동백 에레지,
  김연자  ,GOGO(Soul Ver.),
  송가인  ,아리랑,
  고영준  ,나 믿고,
  신웅  ,길모퉁이 그 찻집,
  김연자  ,그런거야,
  오정태  ,갑질이야 (Feat. 김혜연) (New Ver.),
  장윤정  ,짠짜라 Remix,
  장민호  ,님,
  서진 & 숙희 & 허정 & 민희 & 강서남  ,네박자,
  남진  ,나야 나,
  유지나  ,쓰리랑,
  고영준  ,남자의 길,
  남진  ,울려고 내가 왔나,
  한담희  ,인생이란,
  진송남  ,역에선 가로등,
  박민혁  ,호들갑,
  장윤정  ,가슴으로 울었네,
  권도운  ,너만을 느끼며 (Duet With 정연수),oh love oh love oh love oh love
  윤희상  ,카스바의 여인,
  트롯걸스  ,홍시 (울엄마) (여자 Ver.),
  이애리수  ,황성(荒城)의 적(跡),
  나미애  ,젊은 태양,
  남인수  ,산유화,
  윙크  ,천생연분,
  임현정  ,너무합니다,
  김혜연  ,참아주세요 (앗 뱀이다),
  쎄미  ,내 남자니까,
  김성환  ,인생,
  김트리오  ,낙서,
  남진  ,눈물로 끝난 사랑,
  송창식  ,사모하는 마음 (With 서유석),
  신유  ,이별이 주고 간 슬픔,
  조용필  ,하얀 구름,
  이미자  ,모정(대사),
  강진  ,못난내가,
  남진  ,둥지,
  박경원  ,만리포 사랑,
  한경애  ,옛시인의 노래,
  차중락  ,낙엽따라 가버린 사랑,
  배호  ,안개속으로 가버린 사랑,
  김연숙  ,어머나,
  현철  ,내마음 별과 같이,
  장세정  ,역마차,
  연분홍  ,비비각시,
  이미자  ,사랑했는데,
  정의송  ,해변으로 가요,
  노사연  ,만남,
  나훈아  ,황혼의 블루스,
  김지애  ,갈무리,
  이미자  ,그리움은 가슴마다,
  젠틀맨  ,자꾸땡겨,
  나미애  ,사랑의 다짐,
  박일남  ,낙엽의 탱고,
  조영남  ,화개장터,
  장윤정  ,스타킹,
  장윤정  ,"이따,이따요",
  박상철  ,자옥아 (DJ처리 Remix Ver.),
  추가열  ,하늘눈물,
  박서진  ,가슴 아프게,
  김국환  ,달래강,
  현숙  ,춤추는 탬버린,
  현우빈  ,꼴갑이야,
"  주현미 ,  김준규  ",사랑 (나훈아),
  후니정  ,달링 (Darling),
  윤태화  ,딩동댕 정답입니다,
  조용필  ,생각이 나네,
  신유  ,내 사랑 지금 어디,
  현인  ,인도의 향불,
  정혜림  ,애타는 마음,
  임유경  ,홀로아리랑,
  이미자  ,낙엽을 태우며,
  서울훼미리  ,이제는,
  조은성  ,사랑해 놓고,
  심다은  ,인간아 왜 사니,
  권혜경  ,호반의 벤치,
  김지민  ,맞구요,
  나미  ,영원한 친구,
  김추자  ,왜 아니올까,
  박구윤  ,뿐이고,
  김호중  ,너나 나나 (Inst.),
  성용하  ,사랑향기,
  장윤정  ,단념,
  양진수  ,아! 사루비아,
  조용필  ,나는 너 좋아,
  Various Artists  ,연,
  함중아  ,술전쟁 돈전쟁,
  박미경  ,민들레 홀씨되어,
  패티김  ,못잊어,
  김란영  ,먼지가 되어 (이윤수),
  박현빈  ,구애,
  이용복  ,사랑의 모닥불,
  김란영  ,가인,
  장윤정  ,세월아,
  김용만  ,회전의자,
  양부길  ,순이야,
  나훈아  ,봄비에 젖어,
  김수찬  ,첫정,
  조용필  ,길잃은 철새,
  혜은이  ,새벽비,
  홍자  ,어떻게 살아,
  이미자  ,색소폰 부는 처녀,
  장민호  ,사랑해 누나,
  성진 (Sung Jin)  ,마산항구 (Masan Port),
  문주란  ,잘있거라 공항이여,
  김종환  ,만나고 싶다,
  희자매  ,말도 안돼,
  이박사  ,어머나,
  김흥국  ,정아,
  가수연맹  ,시곗바늘,
  최백호  ,세월이 가면,
  백설희  ,홍콩 아가씨,
  금나와  ,구월에 떠난 사랑,
  김경남  ,친구,
  윤필  ,응원가 (환호의 밤),
  수지니  ,여보세요,
  주현미  ,짝사랑,
  서진 & 숙희 & 허정 & 민희 & 강서남  ,눈물도 없는 여자,
  장윤정  ,몇 미터 앞에 두고,
  이은하  ,아카시아 필때,
  남상규  ,추풍령,
  김용임  ,부초같은 인생,
  한승기  ,계련,
  성동일  ,신라의 달밤,
  이은하  ,겨울장미,
  나훈아  ,과거를 묻지 마세요,
  이순정  ,찰떡,
  조용필  ,일성(一聲),tv
  주병선  ,아리아리요,
  빛나래  ,잊어요,
  송은유  ,더럽게 신나는 트로트 (Feat. 이태검),
  남진  ,사랑은 어디에,
  김채희  ,별,
  태진아  ,당신의 눈물,
  전영록  ,바람아 멈추어다오,
  유성  ,네 모습을 보여줘,
  송가인  ,서울의 달 (Inst.),
  김수희  ,멍에,
  최영철  ,미쳤다,
  최백호  ,봄,
