artist,title,Korean_clean_lyric
  현철  ,사랑의 이름표,이름 붙이다 가슴 확실하다 사랑 도장 찍다 세상 사랑 하다 확실하다 붙잡다 놓치다 깨어지다 유리 같다 사랑 아프다 정주 마음 주다 사랑 주다 이제 이상 남일 없다 사랑 하다 가슴 이름 붙이다 이름 붙이다 가슴 확실하다 사랑 도장 찍다 세상 함께 갈다 없다 확실하다 붙잡다 놓치다 후회 하다 어리석음 쓰라리다 눈물 이다 정주 마음 주다 사랑 주다 이제 이상 남일 없다 사랑 하다 가슴 이름 붙이다 이름 붙이다 가슴 확실하다 사랑 도장 찍다 세상 사랑 하다 확실하다 붙잡다 놓치다 깨어지다 유리 같다 사랑 아프다 정주 마음 주다 사랑 주다 이제 이상 남일 없다 사랑 하다 가슴 이름 붙이다
  서주경  ,똑똑똑,마음 사랑 받다 싶다 남자 멋있다 하나요 여자 예쁘다 자다 하다 남자 이다 모르다 약하다 내숭 뜨다 남자 똑똑하다 하나요 여자 순진하다 하다 남자 이다 모르다 이다 여우 다른 여자 달라 섹시하다 매력 있다 예쁘다 여우 그렇다 나다 당신 좋다 마음 당신 마음 들어가다 그대 마음 사랑 받다 싶다 남자 터프 하나요 여자 토라 자다 하다 여자 남다 알다 애교 넘어오다 다른 여자 달라 솔직하다 마음 착하다 애교 그렇다 나다 당신 좋다 마음 당신 마음 들어가다 그대 마음 사랑 받다 싶다 마음 당신 마음 들어가다 그대 마음 사랑 받다 싶다 행복 기다리다 사랑 받다 싶다
  이은하  ,버스정류장,안녕 눈물 참고 다시 그대 보다 안녕 사랑 그만 이제 일이 사랑 하다 한마디 유리창 적다 사랑 하다 립스틱 마음 해보다 안녕 멀어지다 그대 다시 돌다 보다 안녕 눈물 참고 다시 그대 보다 사랑 하다 한마디 유리창 적다 사랑 하다 립스틱 마음 해보다 안녕 멀어지다 그대 다시 돌다 보다
  김수희  ,빗물,조용하다 내리다 추억 해주다 이렇게 내리다 그날 생각 나다 옷깃 세우다 우산 받치다 사람 오늘 잊다 빗속 혼자 가다 어디 가다 나르다 부르다 다가오다 있다 같다 돌아보다 아무 없다 쓸쓸하다 내리다 빗물 빗물 조용하다 내리다 추억 달래다 이렇게 내리다 생각 나다 어디 가다 나르다 부르다 다가오다 있다 같다 돌아보다 아무 없다 쓸쓸하다 내리다 빗물 빗물 조용하다 내리다 추억 달래다 이렇게 내리다 사람 생각 나다
  조용필  ,산유화,잠자다 추억 구름 따르다 친구여 모습 어딜 가다 그립다 친구여 생각 우리 잃어버리다 찾다 친구여 만나다 조용하다 감다 슬픔 기쁨 외로움 함께 하다 안고 내일 다짐 하다 우리 굳다 세다 약속 어디 잠자다 추억 구름 따르다 친구여 모습 어딜 가다 그립다 친구여 생각 우리 잃어버리다 찾다 친구여 만나다 조용하다 감다 슬픔 기쁨 외로움 함께 하다 안고 내일 다짐 하다 우리 굳다 세다 약속 어디 잠자다 추억 구름 따르다 친구여 모습 어딜 가다 그립다 친구여
  장윤정  ,그날,언덕 손잡다 거닐다 길목 아스라하다 멀어지다 소중하다 생각 돌이키다 그리다 보다 나래 치다 가슴 서럽다 아프다 한숨 그리다 보다 사람 기억 하나요 잠시 미소 보다 잡고 눈물 보다 고요한 세상 한아름 꽃처럼 보이다 던지다 사랑 웃음 소식 마음 한없이 보내다 보다 미소 보다 잡고 눈물 보다 고요한 세상 한아름 꽃처럼 보이다 던지다 사랑 웃음 소식 마음 한없이 보내다 보다
  최백호  ,애비,가뭄 말르다 터지다 논바닥 같다 가슴 라면 알다 비바람 몰아치다 텅빈 벌판 홀로 나무 같다 마음 그렇다 그렇다 그렇다 너무 예쁘다 드레스 모습 자다 살다 하다 행복하다 하다 애비 소원 그것 걸음 마가 엊그제 같다 어느새다 자라 떠나다 버리다 세월 애비 가슴속 남아 있다 그렇다 그렇다 그렇다 울다 곱다 드레스 얼룩 질라 참다 하다 참다 하다 애비 부탁 그것
  조항조  ,어느 60대 노부부 이야기,희다 넥타이 매다 생각나다 여보 그때 기억 막내아들 대학 시험 뜨다 지내다 생각나다 여보 그때 기억 세월 그렇게 오다 인생 그렇게 황혼 크다 딸아이 결혼식 흘리다 눈물 방울 이제 모두 말르다 여보 눈물 기억 세월 흘러가다 희다 머리 늘다 모두 떠나다 여보 잡다 세월 그렇게 오다 인생 그렇게 황혼 달다 오다 멀다 어찌 혼자 가다 홀로 두다 여보 한마디 없다 여보 한마디 없다 여보 안녕하다 자다 가시 여보 안녕하다 자다 가시
  주현미  ,청풍명월,사람 좋다 아보 그대 좋다 아보 그렇게 시작 이제 눈물 남다 내사 좋다 사람 편하다 사람 사랑 해주다 사람 아니다 이제 아니다 모질다 변하다 사람 사랑 하다 정말 미안하다 잊다 정말 죄송하다 이제 그대 흔적 지우 렵니 한때 전부 사랑 정말 싫다 그렇다 안해 이렇게 하다 다시 찾다 그대 닮다 사람 좋다 사람 좋다 여자 되다 아직 부족 하다 그렇다 그렇다 그래서 대다 보내다 사랑 하다 정말 미안하다 잊다 정말 죄송하다 이제 그대 흔적 지우 렵니 한때 전부 사랑 남기다 이별 남기다 그렇다 어떡하다 속절없다 사랑 하다 보다 나다 여자 미련 하다 보다 이제 그대 바라보다 눈물 바라보다 사랑 하다 정말 미안하다 잊다 정말 죄송하다 이제 그대 흔적 지우 렵니 한때 전부 모두 지우 렵니 깨끗하다 잊다
  류기진  ,남자가 사는 이유,살다 묻다 마르다 당신 자다 알다 눈물 젖다 아니다 바라지 마르다 열권 넘다 사연 산전수전 겪다 걸어오다 세월 불타다 열정 야하다 세상 있다 산다 누구 사랑받다 잡고 싶다 남자 살다 이유 살다 묻다 지르다 당신 잘알다 원하다 않다 만나다 하다 열권 넘다 사연 보다 걸어오다 세월 불타다 열정 야하다 세상 여기다 산다 누구 사랑받다 잡고 싶다 남자 살다 이유
