artist,title,English_clean_lyric
  316  ,새벽전화 (Feat. 은지),
  초코와 바닐라  ,Gentle Rain,oh gentle rain oh gentle rain oh gentle rain oh gentle rain gentle rain oh gentle rain oh gentle rain oh gentle rain oh gentle rain oh gentle rain oh gentle rain oh gentle rain oh gentle rain
  보아 (BoA)  ,My Genie,genie genie
  13월 (13TH MONTH)  ,그대여서,
  구구단 (gugudan)  ,소원 들어주기,
  이수 (엠씨더맥스)  ,Song 4,
  김창렬  ,어머니,
"  박학기 ,  송지은  ",이별이야기 (일탈을 꿈꾸는 배추도사 & 토끼라서 행복해요),
  에디스 (Edith)  ,어차피 넌,baby baby baby baby baby baby
  임창정  ,나란 놈이란,
  소찬휘  ,엄마,
  샘김 (Sam Kim)  ,Who Are You,beg life
  플라이드 (Flied)  ,엄마 (Feat. 조수잔),
  최선호  ,혼자 듣는 노래,take back take back take back take back
  스윗소로우 (SWEET SORROW)  ,모험가,
"  Homme (창민, 이현)  ",사랑은 이별을 품고 온다,
  양요섭  ,별,
  변진섭  ,사랑합니다 (원곡가수 팀),
  엠씨더맥스 (M.C the MAX)  ,One Love,
  초묘 (超妙)  ,여기 있을래,
  레인보우  ,너뿐이라고,make love make love make love
  태사비애  ,"행복하라고 (Soul Ver,Duet 타이푼_우재)",
  Big Five  ,매일이 와,
  윤종신  ,나쁜 (Feat. 윤상),
  지아  ,Falling In Love (Duet With 환희),baby baby falling love baby falling love love baby baby falling love baby falling love never say goodbye baby falling love baby falling love
  왁스  ,내게 오는 길,
  솔비  ,없다...,
  김예준  ,Whenever Wherever Whatever,lead girl must take heart love take want thing need give breath breathe n ever yearn love whenever wherever whatever baby whenever wherever whatever baby wish knew could one would love forever day baby thing need n blood would bleed n ever yearn love whenever wherever whatever baby whenever wherever whatever baby thing need give breath n ever yearn love whenever wherever whatever baby whenever wherever whatever
  한경일  ,그리고,
  윤종신  ,수목원에서,
  S.E.S.  ,Remember (English Ver.),never felt like safe warm could stay forever arms even though still remember touch maybe worlds apart belong together still believe everything said still believe baby know got ta try first snow fallen ground really dark night december feel hear calling name baby know long hope remember always place heart hope remember love say never grow old cause hearts still feel like first time met another year gone still miss know time find missing pieces believe chance got ta show believe baby know got ta try first snow fallen ground really dark night december feel hear calling name baby know long hope remember always place heart hope remember first summer became baby colours shining sun make stay least another day cause many things wan na say wan na cause one first snow fallen ground really dark night december feel hear calling name baby know long hope remember always place heart hope remember
  가든 (Garden)  ,몰랐어,
  콘치와 콘치즈  ,너무 좋은 너 (Feat. 기민),thank love feeling destiny open heart want make happy make merry
  비스트  ,The Fact,woh fact
  마리아  ,내 영혼을 그대에게,fall love fall love fall love mad always heart untill sky calls name heart fall love
  효린  ,더 가까이,
  러브 에피소드  ,"우두커니 (Feat. 프로젝트632, 웅열)",
  이문세  ,밤이 머무는 곳에,
  노아(knoah)  ,나의 얘기를,
  소심한 오빠들  ,그 겨울 우리,
  더 데이지 (The Daisy)  ,아프기만 하죠,
  롤링페이퍼 (Rolling Paper)  ,내생에 가장 소중한 선물 (Feat. 정이한 of 더 넛츠),
  최수진  ,Love Love,
  심우석  ,작별 앞에 우린,
  김범수  ,한동안 뜸했었지,oh baby let get party tonight heart darling baby baby baby
  쉬즈  ,바람이 불러주는 노래,
  강예준  ,서글픈 불면증,
  Lion Lee  ,그대는 어디에 (Feat. GAMJAY & Sakana),
  문희준  ,눈물이 마른 뒤 (Love Theme 2),
  윤종신  ,끝 무렵,
  진민호  ,가을바다,
  에이트  ,또 사랑에 속다,
  보이스 메모리  ,일탈하고 싶어 (Feat. 다란),sweet dream
  페이지  ,슬픈 연인들,
  박영미  ,쉽게 말하지만,repeat
  신혜성  ,사랑해 (Live),wan na girl baby love please baby kiss oh baby love baby need girl baby love please baby kiss oh baby love baby need baby love need baby need
  비스트  ,Butterfly,butterfly butterfly butterfly butterfly butterfly butterfly butterfly butterfly butterfly
  김동희  ,그대 가까이,
  김그림  ,Hey,hey need say hey hey need say hey hey need say hey alone
  유리상자  ,내 아픔 아시는 당신께,
  페일그레이  ,가벼운 이야기 (Vocal 김태헌),
  김형중  ,세살차이,
  김정민  ,Yesterday,
  유해인  ,낮잠 (With 박경환 Of 재주소년),
"  성태 (포스트맨) ,  유지  ",숨소리 (수리수리 마수리 & 아이 러브 커피),
  조성모  ,슬픈 기대,
  허영생  ,잊을 수 없다,
  장필순  ,그래도 Merry Christmas,blue blue christmas blue blue christmas blue blue christmas blue blue christmas merry christmas
  신해철  ,째즈 카페,
  신효범  ,너에 대한 나의 바램,
  루바토브 (Rubatov)  ,너에게 닿는 순간 (Feat. 반달),fallin love fallin love fallin love fallin love fallin love fallin love fallin love fallin love
  AOA  ,Without You (Inst.),everyday think oh live without cry everyday live without cry live without cry never cry
  소노뷰 (Sonoview)  ,오늘도,oh oh oh oh oh oh oh
  미림  ,참을 수 없는 (Duet 성유빈),
  황인욱  ,취하고 싶다 (Prod. By 전태익),
  #안녕  ,스무살의 일기,
  이승환  ,그들이 사랑하기까지 (Duet With 강수지),
  김종국  ,토박이,
  진호  ,덩그러니,
  이예준  ,나는 괜찮아요,
  미스에스  ,It`s Not Over (Performed By Block B),please think give one chance block b huh say good bye love know know baby know know say good bye
  포이트리  ,"사랑해, 희망없이 (Feat. 박지혜)",anything candy cry wan na wan na wan na uh anything candy cry wan na wan na wan na uh anything candy cry wan na wan na wan na uh
  한효주  ,왈칵 눈물이 (Feat. 유연-러블리),please let see please cry wan na hear voice sorry sorry girl oh bye
  이선희  ,그 깊은 사랑의 이별,
  곽동현 (KWAK DONG HYUN)  ,사랑이라고 말해,
  최민수  ,사랑했어요,
  지아  ,그런 줄 알았어,
  양하영  ,사랑이 머무는 뜰,
  민채  ,하루 (Jazz Ver.),
  성시경  ,"오, 사랑",
"  강승윤 ,  장재인  ",이 세상 살아가다 보면,
  숨의숲  ,너와의 기억,
  간종욱  ,1초라도,
  폴라로이드 피아노  ,방관 (Feat. 최명준),
  모세  ,기억하나요,
  서은교  ,가을앓이,loving cause cause loving loving cause cause loving
  전영록  ,우리들의 이야기 (Feat.정수라),
  윤상  ,너에게,
  이광조  ,추억 속의 비,
  한요한  ,"Chic (Feat. 기리보이, 케이준, 마수혜)",oh think chance baby show hey boy anything need want know everything close eyes addicted addicted addicted addicted want know everything close eyes let know let know let know oh oh let catch breath baby know hey boy anything need want know everything close eyes addicted addicted addicted addicted want know everything close eyes let know let know let know
  박승화 (유리상자)  ,늘 고마운 사람,
  JK 김동욱  ,사랑이 잊는다고 잊혀지나요,
  이수영  ,굿바이,
  김동완  ,좋을사람,
  김보령  ,I`m Fine,
  란 (RAN)  ,괜찮은거니,
  김태우  ,Brothers＆Me (With JYP & Rain),yeah long time three brothers story brothers brothers brother jyp brothers brothers brothers brothers brothers come thank always together many kind weather brothers
  권혁수  ,달의 몰락,
  이승환  ,이 밤을 뒤로,
  로이킴  ,스쳐간다,
  최효인  ,그대로 안아줘,even know everything okay love even know everything okay even know everything okay
  안예은  ,홀로봄,
  이승철  ,서쪽 하늘,
  민설  ,100%로맨틱,chapa chapa chapa champaign cocktail cafa cafa cafe chocolate milkshake
  포지션  ,우린 그때 똑같은 바보였지,
  플라이 투 더 스카이  ,My Angel,angel angel oh yeh oh uhm angel angel oh babe angel angel angel angel
  김건모  ,Rainy Christmas,alone rainy christmas cause love broke heart dreams feel lonely night rainy christmas alone falling rain die lonely good bye never christmas white cry heart survive never one loved see lonely times rainy christmas place long embrace lonely star rainy christmas shining bright memory die lonely good bye never christmas white cry heart survive never one loved see lonely times rainy christmas place long embrace lonely star rainy christmas shining bright memory loving forever
  동네빵집  ,괜찮아요,
  장연주  ,샬라라 왕자에게,
  이문세  ,사랑 그렇게 보내네 (Piano Ver.),
  비쥬  ,괜찮아,saw saw saw
  메리스윗카페  ,All day,love day love twenty four day day day waiting day day day twenty four day day day waiting day day day love
  황치열  ,친구라는 말,
  핑클 (Fin.K.L)  ,루비(淚悲):슬픈 눈물,cry cry cry cry cry cry cry cry cry cry cry cry
  티노  ,심애 (Duet. 이미나),
  Bro  ,고백했는데 (Remaster Ver.),
  비가  ,Believe,
  Sanctus Chorus  ,그대 있는 곳까지,
  제이세라  ,사랑은 노래를 타고 (Inst.),
  안수지  ,겨울 한 끼,
  톰톰  ,"굿 나잇, 굿 나잇",
  악동클럽  ,별,baby baby baby baby baby
  이승기  ,동경,
  김범수  ,후회가 싫다,
  파니니 브런치 (PANINI BRUNCH)  ,샤르륵,
"  DAVE ,  태사비애  ",남자를 믿지마 (By DAVE),
  성시경  ,허락되지 않은 사랑 (Remix),
  민트소년  ,자장가,
  오롯이 어울리지  ,강수지 (Vocal By 이시영),
  박기영  ,Jesus! Oh What A Wonderful Child,jesus jesus oh wonderful child jesus jesus lowly meek mild new life new hope new joy brings listen angels sing glory glory glory new born king jesus jesus jesus jesus oh wonderful child jesus jesus jesus jesus lowly meek mild new life new hope new joy brings listen angels sing glory glory glory new born king herald angels born lowly manger virgin mary mother joseph earthly father three wise men came afar guided shining star see king jesus lay manger filled hay jesus jesus jesus jesus oh wonderful child jesus jesus jesus jesus lowly meek mild new life new hope new joy brings listen angels sing glory glory glory new born king jesus jesus oh jesus mary baby jesus jesus lamb god jesus jesus jesus jesus oh jesus glory glory glory glory love mighty god glory glory glory glory king king jesus jesus jesus jesus oh jesus jesus jesus oh wonderful child oh jesus jesus lowly meek mild new life new hope new joy brings listen angels sing glory glory glory new born king glory glory glory new born king jesus jesus jesus jesus jesus jesus jesus jesus glory glory glory oh wonderful child
  KCM  ,Espresso,
  김형중  ,옆자리,
  Gray City  ,Rain (Feat. 태동),
  박정은  ,울보처럼,
  유해인  ,혼잣말,
  이문세  ,Solo예찬 (Club Mixed By DJ 김윤성),
  우주히피  ,우리의 저녁,
  타이푼  ,운명,
  김소임  ,For You,
"  라이머 ,  구인회  ",향기로운 멜로디,say goodbye day day
  엠씨더맥스 (M.C the MAX)  ,멀어져,
  태사비애  ,오늘이 바로 그날이죠,day falling love baby baby miss oh love baby baby miss oh love believe day falling love baby baby miss oh love baby baby miss oh love
  먼데이모닝  ,향수 (엄마랑 아빠의 품),
  윤종신  ,여자친구,
