artist,title,Korean_clean_lyric
  316  ,새벽전화 (Feat. 은지),연락 해보다 해보다 말다 망설이다 결국 걸다 취했 안취했 취했 나다 헷갈리다 있다 왠지 오늘밤 어찌 대도 후회 따윈 없다 같다 지내다 말다 이제 이렇다 우리 옳다 않다 잘살다 이상 연락 말다 그저 행복 빌다 지내다 말다 이제 이렇다 우리 옳다 않다 잘살다 이상 연락 말다 그저 행복 빌다 지내다 이상 생각 않다 우린 행복하다 잘살다 이상 찾다 않다 멀리 서로 행복 빌다
  초코와 바닐라  ,Gentle Rain,어제 많이 내리다 책상 가지런하다 놓이다 물건 정리 보다 이제 실감 같다 자연스레 계절 지나가다 익숙해지다 낯설다 그렇다 당연하다 모두 꿈결 느껴지다 오다 이제 시간 같다 돌아가다 힘들다 같다 헷갈리다 않다 해주다 두렵다 같다 당연하다 잊혀지다 나다 기억 남다 않다 떠나다 나다 자리 다른 누군가 오다 그렇다 그땐 다정하다 인사 부탁
  보아 (BoA)  ,My Genie,그대 먼저 떠나다 내다 아무 그대 가슴 사연 모두 남기다 그렇게 슬픔 주다 가버리다 그대 미우다 그대 위해 눈물 흘리다 친구 조금씩 잊혀지다 잊다 노력 미안하다 시간 그대 기억 지우다 보다 버리다 수가 없다 울다 지치다 들다 버리다 이끌다 느낌 뜨다 그대 나르다 깨우다 그대 별빛 아래 밉다 지다 행복하다 그대 모습 나르다 바라보다 그대 떠나다 아니다 지키다 주다 수호천사 램프 요정 지니 소원 들어주다 소망 이루다 해도 바램 나오다 함께 느끼다 있다 머물다 어젯밤 다시 대다 만난 깨우다 온기 뜨다 그대 손길 그대 햇살 아침 열다 주다 그대 시작 꿈결 같다 하루 그대 떠나다 아니다 지키다 주다 수호천사 램프 요정 지니 소원 들어주다 소망 이루다 해도 바램 나오다 함께 느끼다 있다 머물다
  13월 (13TH MONTH)  ,그대여서,대다 만나다 사랑 모든 주다 하루 이제 내다 기대 쉬다 아프다 들다 날다 그대 아무렇다 필요 않다 안다 그대 행복하다 그대 라면 모든 주다 그대 나르다 안다 주다 고맙다 위로 되어다 대다 담다 두다 싶다 예쁘다 그대 미소 시리다 눈물 기억 서다 그대 행복하다 그대 라면 모든 주다 그대 나르다 안다 주다 고맙다 위로 되어다 바라보다 주다 감싸다 모든 그대 이기다 자꾸만 외치다 사랑 그대 행복하다 그대 라면 모든 주다 그대 나르다 안다 주다 고맙다 작다 사람
  구구단 (gugudan)  ,소원 들어주기,그저 남자 사람 친구 생일 기억 장난 치다 다가오다 오늘 소원 들어주다 맑은 얼굴 짓궂다 말투 흔들다 소원 아무 모르다 소원 바보 같다 입술 대신 눈빛 갖다 싶다 선물 다른 친굴 좋아하다 고여 있다 마음 걸다 빗방울 닿다 호수 떨리다 초가 시간 같다 어지럽다 어쩌면 내다 완벽하다 순간 소원 아무 모르다 소원 바보 같다 입술 대신 눈빛 갖다 싶다 좋아하다 소원 같다 사람 바랬 고백 아무리 막다 차오르다 처음 라면 그렇게 믿다 기다리다 사랑 다른 친굴 좋아하다 잠기다 가슴 열다 햇살 닿다 화분
  이수 (엠씨더맥스)  ,Song 4,숨가쁘다 바쁘다 너무 나다 분명하다 잊어버리다 기억 하나 떠오르다 버리다 슬프다 시간 행복하다 순간 내다 아름답다 기억 다시다 변하다 않다 영원하다 알다 때문 절망 나다 이제야 조금씩 깨달 있다 때문 시간 결국 추억 잊어버리다 기억 하나 떠오르다 버리다 슬프다 시간 행복하다 순간 내다 아름답다 기억 다시다 변하다 않다 영원하다 알다 때문 절망 나다 이제야 조금씩 깨달 있다 때문 너무나 비참하다 현실 없이 눈물 결국 나르다 지나가다 내일 내게로 오다 웃다 있다 기억 다시다 변하다 않다 영원하다 알다 때문 절망 나다 이제야 조금씩 달다 있다 때문 누군가 아름답다 기억 남다 위해 오늘 살아가다 시간 결국 추억
  김창렬  ,어머니,사랑 핑계 삼다 당신 정말 힘들다 무겁다 주다 당신 실수 조차 사랑 바라지 않다 베풀다 당신 눈빛 슬프다 보이다 이유 무언가 미안하다 어쩌다 행복하다 보이다 당신 모습 볼때 마음 죄책감 진실하다 사랑 행복하다 인생 모두 내다 진실하다 사랑 행복 드리다 이제 하루 몇번 보채다 내다 자신 죄송하다 이제 당신 쓸쓸하다 마음 채우다 당신 바라보다 슬프다 이유 알다 그동안 힘들다 행복 찾다 잃어버리다 인생 잃어버리다 청춘 이제 다시 없다 행복하다 미소 찾다 당신 모습 있다 내일 아침 당신 뜰때 달라지다 당신 사랑 영원하다
"  박학기 ,  송지은  ",이별이야기 (일탈을 꿈꾸는 배추도사 & 토끼라서 행복해요),이렇게 우린 헤어지다 는걸 서로 마지막 찻잔 서로 향기 되어다 진하다 추억 남다 고프다 우리 서로 눈물 흘리다 서로 같다 후회 않다 그대 모습 마음 아프다 그대 내다 탁자 쓸다 마지막 한마디 서럽다 이렇게 눈물 그대 안녕 우리 서로 눈물 흘리다 서로 같다 후회 않다 그대 모습 마음 아프다 그대 내다 탁자 쓸다 마지막 한마디 서럽다 이렇게 눈물 그대 안녕 그대 안녕
  에디스 (Edith)  ,어차피 넌,기억나다 만날 좋다 따라다니다 장난 언제 먼저 내다 연락 열다 보다 하루 종일 머리 떠나다 않다 미소 때문 오늘 일찍 자기 글렀 불다 당돌하다 표현 힘들다 지치다 숨다 항상 어깨 빌리다 내다 기대다 아무리 아무리 아무리 다가가다 자꾸만 내다 멀어지다 가다 그때 내다 질투 모습 보이다 이제 안다 밤새다 팔베개 차마 전하 고백 닿다 받다 불다 당돌하다 표현 힘들다 지치다 숨기 항상 어깨 빌리다 내다 기대다 가까워지다 같다 어차피 연락 잖다 그냥 있다 알다 가까이 갈다 불다 당돌하다 표현 힘들다 지치다 숨기 항상 어깨 빌리다 내다 기대다
  임창정  ,나란 놈이란,그대 잊다 나로 힘들다 같다 아무리 원망 해도 어느새다 눈물 나다 모르다 그립다 목소리 보고 싶다 일어서다 수도 없다 시간 잊다 오히려 선명하다 얼굴 그대 모습 떠나다 같다 초라하다 어깨 차마 보다 그렇다 보다 그립다 목소리 가끔 힘들다 잔소리 잔인하다 이별 있다 그립다 자다 지내다 행복하다 흔하다 이별 위로 없이 마지막 인사 우리 이별 나르다 떠나다 이유 그대 두다 떠나다 그대 인생 절반 나다 이제 잊다 오히려 선명하다 여전하다 선명하다 목소리
  소찬휘  ,엄마,아직도 귓가 들리다 같다 당신 잔소리 언제 지다 들다 없다 이제 그립다 콩나물 주먹 실갱 당신 모습 희미하다 남아 있다 엄마 뿐이다 어느 세상 닮다 사람 엄마 사랑 세월 많이 변하다 버리다 모습 그때 엄마 살기 싫다 엄마 그땐 너무 힘들다 초라하다 모습 보다 외면 어느새다 닮다 버리다 당신 모든 바라다 모습 당신 보다 엄마 뿐이다 어느 세상 닮다 사람 엄마 사랑 세월 많이 변하다 버리다 모습 하루하루 지나 갈수록 작아지다 모습 떠나다 않다 자꾸만 두렵다 엄마 뿐이다 어느 세상 닮다 사람 엄마 사랑 세월 많이 변하다 버리다 모습 언제 항상 머물다
  샘김 (Sam Kim)  ,Who Are You,감옥 같다 쓸쓸하다 많다 사람 지나가다 모두 나르다 지나가다 감추다 없다 기쁨 미치다 세상 뒤지다 찾다 있다 그대 찾아내다 알아보다 있다 어디 모습 어떻든 알아보다 기억 바라보다 없다 수많다 지다 잊다 않다 말투 표정 하나 담다 갈다 멈추다 구름 모든 두다 있다 시간 느리다 자꾸 멀어지다 붙잡다 있다 찾아내다 알아보다 있다 어디 모습 어떻든 알아보다 기억 바라보다 없다 수많다 지다 잊다 않다 이렇게 안고 있다 자꾸 모두 잊다 버리다 돌아가다 찾아내다 알아보다 있다 어디 모습 어떻든 알아보다 기억 바라보다 없다 수많다 지다 잊다 않다 말투 표정 하나 담다 갈다
  플라이드 (Flied)  ,엄마 (Feat. 조수잔),처음 태어나다 그대 눈물 흘리다 행복하다 그때 기억 언제나 내다 기만 자신 걱정 받다 기만 사랑 익숙하다 고마움 잊다 살다 엄마 이름 무겁다 안고 등뒤 서다 늦다 깨달 미안하다 그대 가슴 바람 불어 대다 안다 처음 배우다 한번 가슴 불다 대다 위해 불다 보다 진심 담다 엄마 이름 무겁다 안고 등뒤 서다 늦다 깨달 미안하다 그대 가슴 바람 불어 대다 안다 모든 걱정 말다 아름답다 모습 그대로 있다 항상 변하다 않다 같다 당신 모습 이제 서다 달다 세월 따르다 가다 다시다 그대 눈물 지나치다 않다 서다 있다 엄마
  최선호  ,혼자 듣는 노래,정말 좋아하다 노래 우리 추억 묻다 노래 다시다 듣다 않다 다짐 그립다 노랗다 듣다 있다 습관 없이 혼자 듣다 노래 차다 아프다 노래 아직도 웃다 있다 이렇게 잊다 써다 보다 귓가 맴도 멜로디 잊다 해도 생각나다 얼굴 우리 추억 노래 무심하다 적신 노래 끝나다 정말 잊다 듣다 않다 사실 정말 듣기 싫다 노래 한때 부르다 노래 불행하다 바랬었는데 하루 가다 노랗다 듣다 있다 습관 없이 혼자 듣다 노래 차다 아프다 노래 아직도 웃다 있다 이렇게 잊다 써다 보다 귓가 맴도 멜로디 잊다 해도 생각나다 얼굴 우리 추억 노래 무심하다 적신 노래 끝나다 정말 잊다 듣다 않다
  스윗소로우 (SWEET SORROW)  ,모험가,아득하다 머나멀다 비밀 나라 숨기다 기억 찾다 깨어나다 시간 새기다 이야기 소중하다 간직 해오다 믿다 따르다 걸어가다 어디 있다 지다 모르다 잊혀지다 트로이아 언덕 너머 멀리 가다 싶다 아무 찾다 거기 잃어버리다 세상 내다 잠들다 시간 뒤틀리다 이야기 숨쉬다 있다 믿다 따르다 걸어가다 어디 있다 모르다 아득하다 세상 너머 멀리 가다 싶다 아무 찾다 거기 잃어버리다 위대하다 비밀 내다 따르다 걸어가다 어디 있다 모르다 잊혀지다 트로이아 언덕 너머 멀리 가다 싶다 찾다 거기 잃어버리다 세상 내다
