artist,title,English_clean_lyric
  마마무 (Mamamoo)  ,Girl Crush,place boyfriend god hey girl crush day crush color lipstick apple hip crush day crush cash money crush thanks boyfriend god hey girl crush day crush color lipstick apple hip crush day crush cash money crush girl cause girl crush day crush color lipstick apple hip crush day crush cash money crush spotlight wan go girl go girl wan go girl go girl wan go girl go girl hot awesome girl cool red girl cool girl highlight awesome girl cool red girl cool girl freakin naughty awesome girl cool red girl cool girl na na na
  세븐틴  ,9-TEEN,youth eh teen eh eh teen teen teen teen teen teen teen teen teen teen teen
  디제이 버디  ,국화꽃 향기 (Feat. 김세찬 & DJ Jenifer),one tear love love keep feel feel back loneliness always loneliness always
  To-Ya  ,봐,love love way ooh know show never well
  신화  ,Move With Me,yo ay yo baby life man man name baby move baby move perfume tomorrow baby move baby move man cloth hug wish keep try waitin heart situation thing everytime word statement baby move baby move baby move baby move baby move baby move change check want want know girl go try let participation let switch get walkin runnin gonn stop facin good patient yo na right even even
  에일리  ,손대지마 (Inst.),bye get go get get get get get get get get let go get get get get let go ta good stupid far away far away
  IN2IT (인투잇)  ,Run Away,baby please way let please way way chitty bang life day run run let run run hear run come run let go run stop run let run run go go let run run bang run run let run try run runway papillon baby runway please chitty away away away away away away away run runway away away far away
  배슬기  ,It`s Groove,building baby self baby girl try world movin damn hm boy dance floor feelin control sorrow floor feelin control groove love love floor feelin control sorrow floor feelin control hu hu hu hu hu hu hu time shody party lady body everybody floor feelin control sorrow floor feelin control floor feelin control sorrow floor feelin control floor let introduce flow make hit let hit let tell give drink hit let hit let get move hit let hit let hit let hit let hit uh uh uh uh uh uh uh uh crown sweet easy oh oh hu sexy baby
  이문세  ,하얀 느낌,
  먼데이 키즈 (Monday Kiz)  ,Can`t Stop Loving You,loving stop love stop love stop
  마마  ,Second Chance,chance chance chance chance chance chance chance chance chance chance chance chance chance chance chance chance chance come come come come second second second second second second second second second second second second second second second second
  MXM  ,LOVE ME NOW,baby baby baby baby baby baby baby wait love love love love love love girl really really really really really really really really really
  영턱스클럽  ,훔쳐보기,baby hey come come
  젝스키스  ,미성년자 관람불가,
  TWICE (트와이스)  ,LIKEY,likey heart heart likey likey heart heart likey heart heart likey heart heart baby heart heart oh likey heart heart likey heart heart likey bb likey likey likey likey likey likey likey likey likey likey bb likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey
  B1A4  ,크리스마스잖아요,friend friend friend friend today friend friend friend friend friend friend friend wan wan wan wan wan wan wan wan wan wan wan good good good good good good good good good good good na na na na na na na na na na na
  서문탁  ,Tamptation,night babe let party tonight wait hurry night feat donnie honey boy none club night life goy life white eye tree girl drop panty astall car bar night babe let party tonight wait hurry feel feel go go tell come get get clap smoke feel saturday much saturday free saturday much
  예성 (YESUNG)  ,Pink Magic,feel day cause pink magic cause pink color feel day cause pink magic cause pink magic feel dream love day feel day cause pink magic cause pink magic cause pink magic pink pink come pink pink pink pink beautiful magic magic magic magic magic magic magic magic magic
  다나 (DANA)  ,Dear My Friend..,friend friend friend uh friend friend forget love forget love sorry happy sorry happy never na always never na always
  김그림  ,잘될 거야,
  M (이민우)  ,비야,day night day night heart soul day night day night heart soul let go let go let go let go let go let go let go let go
  Apink (에이핑크)  ,I Like That Kiss,kiss mind baby heart mind mind baby kiss time blow kiss time blow let know kiss kiss kiss kiss enough
  동방신기 (TVXQ!)  ,Spokes Man - 유노개인기 (Feat. Super Junior - 동해),ho party tvxq super junior ready name mic break say yo right
