artist,title,Korean_clean_lyric
  마마무 (Mamamoo)  ,Girl Crush,이따 거기 보다 이번 장담 하다 찾다 예감 괜찮다 정말로 기대 돼다 비추다 눈꼬린 길다 콧대 높다 화장 진하다 커지다 자신감 근데 눈빛 수상하다 나르다 의심 하다 돼다 갈대 오다 가다 쿨하다 하다 뒤태 나다 충분하다 벌다 요즘 잘나가다 애교 기본 섹시 예쁘다 표현 모르다 눈꼬린 길다 콧대 높다 화장 진하다 커지다 자신감 근데 눈빛 수상하다 나르다 의심 하다 돼다 갈대 오다 가다 쿨하다 하다 뒤태 나다 충분하다 벌다 밀당 감정 솔직하다 다른 여자 고민 달라 시선 의식 외롭다 어떻다 생각 마치 애정결핍 같다 갈대 오다 가다 쿨하다 하다 뒤태 나다 충분하다 벌다
  세븐틴  ,9-TEEN,우리 함께 걷다 우리 발걸음 소중하다 시간 하다 용기 있다 알람 울리다 밀다 시작 하라 뜨다 미네 비비고 느낌 아직도 꼬리 롤러코스터 타다 올라가다 어리다 어리다 변하다 않다 우리 두다 어디 갈다 있다 있다 오늘 선택 후회 없다 순간 믿다 보다 있다 하다 아홉 나다 틀리다 없다 함께 있다 있다 내미다 잡다 종이 울리다 하다 갈다 시간 남다 오늘 하루 있다 싶다 무슨 좋다 핑계 있다 없다 고민 하다 고민 고민 하다 어리다 어리다 변하다 않다 우리 두다 어디 갈다 있다 있다 오늘 선택 후회 없다 순간 믿다 보다 있다 하다 아홉 나다 틀리다 없다 위해 노랗다 불다 순간 지나가다 있다 우리 우리 있다 나다 틀리다 없다 돌아오다 않다 순간 위해 돌아오다 않다 순간 위해
  디제이 버디  ,국화꽃 향기 (Feat. 김세찬 & DJ Jenifer),제발 떠보다 나르다 바라보다 안기다 우리 사랑 결실 보다 보다 숨기 홀로 홀몸 아니다 얼마나 외롭다 시간 보내다 이세 존재 거부 지키다 마지막 결실 보다 기억 하다 영원하다 마지막 가슴속 담다 국화 향기 스치다 느끼다 처음 순간 공간 멈추다 시간 느끼다 있다 향기 국화 향기 알다 없다 이끌다 결심 굳다 심지 어려움 있다 들다 여자 오늘 하루 이렇게 바보 바라다 보지 기다리다 영원하다 느끼다 언제나 인생 여자 란걸 국화 향기 내빰 스치다 느끼다 변하다 없다 흔들리다 않다 깊다 뿌리 소나무 나무 하다 존재 하다 이렇다 위해 마음 열다 주다 사랑 마지막 다짐 믿다 주다 사랑 시간 잠시 자라다 죽음 생명 동시 돼다
  To-Ya  ,봐,보다 보다 나르다 보다 들다 보다 들다 보다 우리 방법 찾다 계속 이렇게 저렇게 멀어지다 이별 오다 어떡하다 없이 살다 따윈 정말 싶다 않다 훤히 알다 있다 아무 욕심 없다 언제 끄다 끄다 사랑 하다 때문 때론 실망 크다 보다 바로 오늘 다투다 이렇다 채우다 사람 찾다 되다 잡다 유리 깨지다 않다 채우다 누구 맘속 들어오다 필요하다 눈물 이윤 부디 이렇다 나르다 지키다 힘들다 하다 우리 하나라 때로는 자신 없다 사랑 하다 때문 때론 상처 크다 보다 바로 요즘 때문 힘들다 모르다 가끔 돌아가다 싶다 하다 잡다 유리 깨지다 않다 채우다 누구 맘속 들어오다 필요하다 눈물 이윤 부디 이렇다 나르다 지키다 힘들다 하다
  신화  ,Move With Me,완전하다 무방비 상태 나르다 가다 돼다 매일 아침 일어나다 믿다 믿다 돼다 하다 서다 먼저 대답 하다 남자 없다 순간 하루 뺏다 싶다 보내다 싫다 벗다 두다 하이힐 오늘 가기 만나다 보고 싶다 허락 하다 주다 싶다 하루 보다 고프다 뿌리다 도도하다 눈빛 버리다 오다 내지 보다 먼저 대답 하다 남자 없다 순간 하루 뺏다 싶다 보내다 싫다 벗다 두다 하이힐 오늘 가기 하루 보다 생각 하루 망치다 원하다 보이다 미소 말투 행동 모두 그립다 기횔 주다 먼저 대답 하다 남자 없다 순간 하루 뺏다 싶다 갖다 싶다 벗다 두다 하이힐 오늘 가기 먼저 대답 하다 남자 없다 없다 순간 하루 뺏다 싶다 보내다 싫다 보내다 싫다 벗다 두다 하이힐 오늘 가기 움직이다 넘다 갈다 남자 없다 작업 아니다 작전 오늘 지나다 대다 반전 끌리다 되다 들다 그냥 즐기다 벗다 두다 하이힐 오늘 가기
  에일리  ,손대지마 (Inst.),사랑 흔하다 빠지다 반복 되다 싸움 따다 사람 만나다 내겐 가다 자다 제발 그냥 가라 원하다 어느새다 잡다 다른 찾다 떠나가다 떠나다 내겐 행운 손대다 소름끼치다 이름 부르다 듣기 싫다 안다 사랑 하다 하다 돼다 필요 없다 꺼지다 손대다 돌아가다 않다 사랑 하다 않다 미안하다 하다 돼다 설명 하다 하다 적당하다 소리 지르다 자다 생각 하다 계산 느리다 눈부시다 놓치다 후회 하다 되다 놓다 보기 싫다 손대다 소름끼치다 이름 부르다 듣기 싫다 안다 사랑 하다 하다 돼다 필요 없다 꺼지다 손대다 돌아가다 않다 사랑 하다 않다 가시 박히다 실컷 퍼붓다 아주 완벽하다 돌아서다 자꾸 눈물 차다 가슴 아프다 사랑 끝나다 아니다 해도 이미 끝나다 나르다 잊다 과거 따윈 치우다 두다 행복하다 바라다 손대다
  IN2IT (인투잇)  ,Run Away,계속 하다 조이다 해주다 벗어나다 수가 없다 계속 하다 빠져들다 하다 수가 있다 어서 잡다 따다 하다 감싸다 이제 같이 가다 영원하다 버티다 위해 달려가다 이제 손잡다 주다 가슴 터지다 어서 빨리 마지막 내주다 여야 어디 가다 멀리 놓다 조이다 이제 벗어나다 그날 세상 구원 해주다 여신 너무나 벅차오르다 깊다 어둠 잡다 우릴 가두다 현실 해주다 찾다 가보다 끝없다 잡다 돌아보다 뛰다 이제 같이 가다 영원하다 버티다 위해 달려가다 이제 손잡다 주다 가슴 터지다 어서 빨리 마지막 내주다 여야 어디 가다 멀리 잡다 절대 놓다 따라가다 보다 돌아보다 나오다 같이 가다 다시 손잡다 주다 놓치다 않다 잡다 하다 힘내다 여야 어디 좋다 멀리 미치다 버리다 같다 굳이 멈추다 멋대로 가다 바치다 모든 매일 있다 힘들다 모르다 두려움 넘어지다 다시 제발 사람 아니다 돼다
  배슬기  ,It`s Groove,배슬기 오늘 느낌 맞다 그린 모습 웃다 모습 귀엽다 아깝다 눈빛 건네다 모르다 하다 있다 언제 오다 사실 나다 기다리다 들다 쉬다 않다 다가오다 자꾸 끌리다 매력 그저 맡기다 조명 불빛 아래 떼다 없다 원하다 끌다 안다 피하 우리 음악 취해 오늘밤 최고 계속 그렇게 흔들다 허리 움직이다 나르다 느끼다 보다
  이문세  ,하얀 느낌,그날 처음 우리 만나다 아름답다 우연히 스치다 순간 사랑 그렇게 시작 하다 아침햇살 빛나다 걸음 멈추다 그대 보다 그대 어깨 꽃잎 쌓이다 가다 그날 우린 밤하늘 보다 우리둘 가슴 쌓이다 함박눈 사랑 그렇게 시작 하다 오래전 보다 같다 그대 눈빛 걸음 멈추다 그대 보다 그대 어깨 흰눈 쌓이다 가다
  먼데이 키즈 (Monday Kiz)  ,Can`t Stop Loving You,보다 차다 달리 되다 알다 보다 없이 따르다 알다 이제 오다 써다 보다 소용 없다 자꾸 작아지다 원망하다 강하다 하나 없다 그대로 남다 위해 전부 바치다 키우다 키우다 강인하다 남자 키우다 키우다 미우다 미우다 이렇게 초라하다 미우다 어떡하다 이렇다 이렇다 모르다 이렇다 이렇다 메이 메이 상처 눈물 오다 이상 멈추다 없다 위해 하다 있다 많다 않다 나르다 위해 작다 무엇 하나 해주다 떠나다 싶다 이제 오다 써다 보다 늦다 하다 보내다 시간 후회 하다 얼마나 외롭다 지치다 가다 알다 마지막 한번 용서 하다 키우다 키우다 강인하다 남자 키우다 키우다 미우다 미우다 이렇게 초라하다 미우다 어떡하다 이렇다 이렇다 모르다 이렇다 이렇다 메이 메이 상처 눈물 오다 이상 멈추다 없다 키우다 키우다 강인하다 남자 키우다 키우다 미우다 미우다 이렇게 초라하다 미우다 어떡하다 이렇다 이렇다 모르다 이렇다 이렇다 메이 메이 상처 눈물 오다 이상 멈추다 없다
  마마  ,Second Chance,다시다 하다 없다 생각 연약하다 생각 따윈 집다 치다 한번 넘어지다 실망 진정하다 기횐 바로 끝나다 끝나다 아니다 포기 하다 그게 진짜 마지막 돌아보다 또다시 일어나다 모든 잊다 하다 걷다 다시 찾아오다 잡다 누구 겪다 생각 하다 슬피 눈물 따윈 아끼다 두다 괴롭다 만큼 강하다 찾아오다 끝나다 끝나다 아니다 누구 하다 실패 하다 수도 있다 돌다 보지 보다 포기 하다 없다 인생 한번 다시 찾아오다 잡다 기회 없이 날리다 그때 준비 돼다 괜찮다 이번 진짜 다시 찾아오다 잡다 다시 찾아오다 잡다
  MXM  ,LOVE ME NOW,비치다 사랑 너무 멀다 아끼다 두다 소중하다 마음 상처 늘다 다른 보다 초점 잃다 시선 이상 두다 없다 사람 모르다 가까이 고개 보다 아프다 혼자 언제나 서다 있다 내다 오다 수많다 시간 충분하다 방황 하다 보지 하다 다른 사람 의미 없다 기다림 이미 있다 아니다 깊다 어둠 벗어나다 없다 없다 아니다 행복하다 없다 모르다 첫걸음 전부 돼다 보기 사랑 하다 없다 애초 하다 나르다 믿다 언제 그렇다 이제 내다 오다 사람 영원하다 지우다 항상 웃다 하다 사람 들다 있다 주다 사람 그게 나야 준비 돼다 오래전 부터 다른 사람 보다 원하다 느끼다 있다 그냥 가다 대로 움직이다 이제 사람 모르다 가까이 고개 보다 아프다 혼자 언제나 서다 있다 내다 오다 수많다 시간 충분하다 방황 하다 보지 하다 다른 사람 바보 계속 참고 있다 사랑받다 하다 않다 눈빛 보다 느끼다 있다 느끼다 있다 원하다 하다 않다 내다 받다 사랑 행복하다 꾸미다 주다 하다 않다 눈빛 보다 느끼다 있다 이렇게 간절하다 모든 바치다 세상 행복 바라다 오늘 아니다 깊다 어둠 벗어나다 없다 없다 아니다 행복하다 없다 모르다
  영턱스클럽  ,훔쳐보기,있다 숨다 보고 있다 마음 준비 돼다 망설이다 내게로 보다 생각 모든 시작 작다 부터 애쓰다 외면 하다 필요 없다 내미다 보다 기대 하다 느낌 들다 투명하다 눈빛 가까이 다가오다 보다 해보다 숨결 느끼다 있다 알다 내다 끌리다 있다 바보 그렇게 보고 있다 만해 어렵다 생각 하다 너와나 하나 되다 있다 가까이 느끼다 싶다 사랑 하고프다 기대 하다 느낌 들다 투명하다 눈빛 가까이 다가오다 보다 해보다 숨결 느끼다 있다 내게로 해주다 마음 꿈속 사랑 나누다 맞추다 미소 짓다 작고 작다 입술 향기 수줍다 다가오다 느낌 느끼다 있다 조그만 관심 싶다 가까이 좀더 가까이 보다 우린 서로 사랑 하다 어렵다 생각 하다 너와나 하나 되다 있다 가까이 느끼다 싶다 사랑 하고프다 기대 하다 느낌 들다 투명하다 눈빛 가까이 다가오다 보다 해보다 숨결 느끼다 있다 기대 하다 느낌 들다 투명하다 눈빛 가까이 다가오다 보다 해보다 숨결 느끼다 있다
