artist,title,English_clean_lyric
  김그림  ,힘이 돼줄게 (My Angel),wan na angel wan na angel wan na angel wan na angel baby angel
  송창식  ,담배가게 아가씨,
  코나  ,마녀! 여행을 떠나다,
  박강수  ,사랑은 받는 것이 아니라면서,
  오연준  ,The Way I Am,oh child world always bright could see used sing song everything changed know go gon na listen story heart du du du du du du du du du du du du gon na sing melody du du du du du du du du du du du du way ok ok oh child world always bright could see used sing song everything changed know go gon na listen story heart du du du du du du du du du du du du gon na sing melody du du du du du du du du du du du du way ok ok gon na listen story heart du du du du du du du du gon na sing melody du du du du du du du du du du du du gon na listen story heart du du du du du du du du du du du du gon na sing melody du du du du du du du du du du du du way ok ok ok
  Buddy Guy  ,Born To Play Guitar,written door bucket blood staying open til hard find great big neon sign tell three things whiskey beer wine hardwood bar rickety stool cigarette machine selling camels kools solve problems one drink time fix anything whiskey beer wine dirty little fire room kept lights low icing long necks til nice cold oh sit order bottle waste mind three ways get high whiskey beer wine corner booth back well dice sit table shoot craps night like good ol days drink troubles good bye solve problems one drink time fix anything whiskey beer wine
  진현  ,"늦은, 밤",
  Buddy Guy  ,Thick Like Mississippi Mud,whiskey women drop knees hey say good whiskey women drop knees man hunting lord since adam got hold eve people think stone crazy think lost mind people think crazy fine nobody wants break rules problem breaking mine around world know know world round around world hey know world around know blues took life turned upside smoke getting thick thick like mississippi mud oh smoke getting thicker thick like mississippi mud many people party ohhh even get drunk around world know know world round around world hey know world around know blues took life turned upside
  어쿠루브  ,잠깐만요 (Inst.),wah
  이적  ,불행아,
  Blake Shelton  ,The Baby,brother said rotten core youngest child got guess tired time came along laugh cried could wrong would always save baby worked factory ohio shrimp boat bayou drove truck birmingham turned cincinnati called home mom daddy said boy man said care always baby loved photograph whole family always point us friends see greg great really loves job ronnie kids bout wife got one kinda crazy one baby got call alabama said come home louisianna come fast fly cause momma really needs says got see might make night whole way drove could see baby looked like sleepin family weepin time got side knew taken heart breakin never got say goodbye softly kissed lady cried like baby
  B.B. King  ,"Niji Baby (Live At Sankei Hall, Tokyo, Japan/1971)",walk bedroom floor hung head cry got ta find baby know cant satisfied got ta find baby declare wouldnt lie know dont find baby believe im gon na lose mind yeah shes fine lookin woman shape dream shes loveliest woman people declare ever seen got ta find baby declare wouldnt lie know dont find baby believe im gon na lose mind walk bedroom floor hung head cry know crazy bout woman cant satisfied got ta find baby declare wouldnt lie know dont find baby believe im gon na lose mind know got got got find baby hey yes say got ta find woman got ta find woman dont find woman think im going mind
  Helen Austin  ,Happy,make happy make happy make happy yes make happy make happy make happy really wait hum little song coming round house round corner long way house following streets signs make happy make happy make happy yes make happy make happy make happy really hear door wait bit answer wait anymore got take chance following signs make happy make happy make happy make happy make happy make happy make happy yes
  조동진  ,행복한 사람,
  SWEETCH  ,"Love Letter (Feat. 희승, 수빈)",understand love oh baby like wan na know understand love oh baby like wan na know oh baby oh baby oh please love wan na know
  Boz Scaggs  ,I’ve Just Got To Forget You,got forget one thing got oh know love half much loved got leave start new one day find someone line help forget easy get mind oh one day fading memory mad time got leave darling got put know good darling got got put
  Buddy Guy  ,Nine Below Zero,pitypeople damn cryin shameoh yes pitypeople know damn cryin shame wait nine zeroand woman put another mani give moneyall lovin everythingyes give moneypeople give lovin everythingwhen goes nine zeroand done put another man lied meshe tell everythingoh yeah oh yeah lied methe little girl tell everythingwell know nine zeroand put another man pitypeople damn cryin shameoh yes pitypeople know damn cryin shameshe waits til got nine zero tomand little girl put another man gon na retire louisianalayin fallin rain swamps tooyes gon na retire louisianaoh yes layin fallin rainyou know nine zero chicagoand love mean thing
  NV  ,굿나잇,okay always good time good night good night good night good night good night good night good night good night good night good night good night good night good night good night good night good night
  강촌사람들  ,사랑합니다.,
  소리새  ,여인,
  Hunter Hayes  ,I`ll Be Home for Christmas,dreamin tonight place love even usually know know long road back promise chorus home christmas count please snow mistletoe presents tree chorus christmas eve find love light gleams home christmas dreams christmas eve find love light gleams home christmas yeah dreams
  예민  ,"기억속에, 그애가 있었네",
  이주아  ,별과 달,
  Suehee  ,Here With Me,keep secrets keep mine cause things rather hear say words spoken vanish air keep words written inside heart mine far apart start lose way say words chase doubts away love everything sweetness smile sparkles joining eyes care things things want love love give freedom space takes cause afraid hold tight might slip away said done want know lonely girl met far apart feeling blue say words chase fears away love everything silly ways laugh tiny hairs finger tops care things things want love love keep secrets keep mine cause things rather hear say
  소리새  ,가을나그네,
  Taylor Swift  ,Better Than Revenge,go stand corner think ha story starts hot summer right wanted came along got along let hear applause took faster say sabotage never saw coming suspected underestimated dealing know pain beating like drum underestimated stealing saint think actress better known things mattress soon gon na find stealing people toys playground make many friends keep mind keep mind nothing better revenge lives life like party list looks like trend think ever present frown little troubling thinks psycho cause like rhyme name things sophistication wear know pushing people get wan na go oh teach prep school amount vintage dresses gives dignity saint think actress better known things mattress soon gon na find stealing people toys playground make many friends keep mind keep mind nothing better revenge ha ha another thing roll eyes honey might heard another thing roll eyes honey might always get last word saint think actress better known things mattress soon gon na find stealing people toys playground make many friends keep mind keep mind nothing better revenge still feel like know cause think oh still feel like know think think let hear applause c mon show much better see deserve applause cause much better took faster say sabotage
  Mora Mora  ,Sweet Beer,hear laughter joke voices buddies talk sound water fountains warm summer veins sisters eating park basement story starts shelters created monsters killed memories taste like sweet beer young anymore kids die sometimes carelessness way goodbye kiss garden power lips mine mommy hands daddy smile great fine young anymore kids die sometimes carelessness way memories taste like sweet beer memories taste like sweet beer memories taste like sweet beer memories taste like sweet beer young anymore kids die sometimes carelessness way yound anymore kids die sometimes carelessness way memories taste like sweet beer memories taste like sweet beer memories taste like sweet beer memories taste like sweet beer
  임지훈  ,친구,
  김광석  ,서른 즈음에,
  Meaghan Smith  ,I Know,hello way smile glows good bye tear eye lookin know know know say shimmers things write note send post might sign bottom line know know know say words needed though ears could misled heart hear instead goes unsaid leave hug kiss little phrase three words say please feel blue cause always knew know know know love
  Bob Dylan  ,"Don`t Think Twice, It`s All Right",use sit wonder babe matter anyhow use sit wonder babe know rooster crows break dawn look window gone reason trav lin think twice right use turnin light babe light never knowed use turnin light babe dark side road still wish somethin would say try make change mind stay never much talkin anyway think twice right use callin name gal like never use callin name gal hear thinkin wond rin way road loved woman child told give heart wanted soul think twice right long honey babe bound tell goodbye good word babe say fare thee well sayin treated unkind could done better mind kinda wasted precious time think twice right
  하이 미스터 메모리  ,아주 오래 전에 아니 그리 멀지 않은 어제,
  도마  ,고래가 보았다고 합니다,
  Jackson Browne  ,Sergio Leone,came round camera american friends money immortal killing never ends set cinecitt ruined streets rome shoot almeria bring bodies home said rich dead got head could see killers faces heard song sang waited darkness viale glorioso gang could see blood approaching knew would since days first assisting force destiny worked walsh wyler chariot sword rode desert quoting hawks ford came see masters left saw stole kurosawa bequeathed peckinpah via tuscolana view miller drive shot eyes bad men kept deaths alive darkness anguish goya van cleef rescued truth beauty meaning belief
  Mokyo  ,I’m an independent man,walking road like alive say love fictional maybe fault everything pretty time feel emotional maybe fault every laugh way laugh sounds like every touch way touch feels like every pain way break hurts like slow death keep walking every face way scream looks like every love way love feels like carry want likes town abandoned entirely living crazy world last one blurry vision like ecstasy magical electrical every laugh way laugh sounds like every touch way touch feels like every pain way break hurts like slow death keep walking every face way scream looks like every love way love feels like carry want likes never loved never fucked saying love tease killing roughly walking dead never loved never fucked saying love tease killing roughly
  강촌사람들  ,슬픈여인,
  MissinCat  ,Back On My Feet,high hoist flag asking loyalty take part great parade eyes bound stars stripes said world sick justice could heal staining blood hands people still preaching love tell fight tell shoot shoot shoot shoot fighting marching guiltless sinners trade lives gold green one knows pay cruel price tell fight tell shoot shoot shoot shoot tell fight tell shoot shoot shoot shoot
  H-Hoya  ,3월 7일 (너였잖아) (Acoustic Ver.),
  김세환  ,첫사랑,
  수경  ,부서진 바람,hoo hoo hoo hoo uh hoo hoo
  Buddy Guy  ,Black Night,black night fallin oh hate alone black night fallin oh hate alone keep crying baby another day gone one talk tell trouble baby gone left someone tell black night fallin oh hate alone keep crying baby another day gone yeah one talk tell trouble brother iraq know know black night fallin oh hate alone keep crying baby another day gone look goodbye baby oh god sure hate go goodbye baby yeah oh god sure hate go
  김광석  ,맑고 향기롭게,
  Joan Armatrading  ,The Weakness In Me,sort person falls quickly love gave affection right start lover loves could break heart yet still get attention come know got troubles enough call know answer phone make lie want make someone else kind unknowing fool make stay strong weakness come pretend passing need see need hold tightly feeling guilty worried waking tormented sleep old love bound new love cuts deep choose lose one fall need come know got troubles enough call know answer phone make lie want make someone else kind unknowing fool make stay strong weakness come pretend passing need see need hold tightly
  플라워디어 (Flour Deer)  ,두달 뒤 부르는 노래,
  Cat Stevens  ,Oh Very Young,oh young leave us time youre dancing earth short though dreams may toss turn vanish away like daddys best jeans denim blue fading sky though want last forever know never know never patches make goodbye harder still oh young leave us time therell never better chance change mind want world see better day carry words love ride great white bird heaven though want last forever know never know never goodbye makes journey harder still oh young leave us time youre dancing earth short oh young leave us time
  예민  ,세발 자전거와 바둑이,
  소리새  ,아직도 못다한사랑,
  Joni Mitchell  ,Harry`s House-Centerpiece ,heatwaves runway wheels set takes baggage carousel takes taxi town yellow schools taxi fishes jonah ticking whale caught light fishnet windows bloomingdale watching high fashion girls skinny black models raveen curls beauty parlor blondes credit card eyes looking chic fancy buy opens suitcase continental suite people twenty stories colored currents street helicopter lands pan roof like dragonfly tomb business men button downs press conference rooms battalions paper minded males talking commodities sales home paper wives paper kids paper walls keep gut reactions hid yellow checkers kitchen climbing ivy bath lost house gardens caught chief staff drifts memory way looked school body oiled shining public swimming pool pretty baby feel love increase building dreams around happiness never cease cause nothing good without baby centerpiece find house garden somewhere along country road piece little cottage outskirts really find release cause nothing good without baby centerpiece shining hair shining skin shining reeled tell like today could harry house harry take home pay
  예민  ,연리지,
  Kenny Wayne Shepherd  ,You Should Know Better,sneaking around behind back door coming back one wrong move surely get caught act fact know better know better come home stuff know tell working hanging friends baby one wrong friend surely get caught act fact know better know better know better gon na learn pretty baby gon na learn comes back get burned play fire know better oh yeah somebody whispers something someone else turns around pretty soon rumour flying getting town sticky little situation putting cause like know story ends one wrong move gets caught act fact know better know better know better
  Adhitia Sofyan  ,Rainbows And Starlight,take ride time machine back days sat empty porch talking bout life look eyes part live different times us spend days separate lines closing eyes stare sky like give call sunny day good time got monday got tuesday never chase rainbows gaze starlight never remember one time back town back empty porch talking bout life got lost gone live different times us spend days separate lines closing eyes stare sky
  Jonathan Rhys Meyers  ,This Time,tonight sky reminds love walking wintertime stars shine angel stairs tell front porch light mystery night sitting watching life pass sidelines waiting dream seep blinds wondered might happen left behind would wind back could get mind time neon lights bars headlights cars started symphony inside things left behind melted mind purity inside sitting watching life pass sidelines waiting dream seep blinds wondered might happen left behind would wind back could get mind time sitting watching life pass sidelines waiting dream seep blinds wondered might happen left behind would wind back could get mind time
  유로  ,가난한 약속,
  Lady Antebellum  ,Love`s Lookin` Good On You,oh baby baby something little bit different eyes tonight look twice bright oh baby baby something changed quite put finger well racking brain wait minute well hold well get chorus love love love looking good good good feel oh everybody sees sweet smile way lighting room yeah shine like diamonds everything oh love love love looking good good good oh baby baby funny need money little love look like million bucks oh baby baby kinda makes think stars sync night met probably red carpet everywhere go throw hey know chorus knew right away first kiss get much better fit like favorite pair jeans keep coming back like two kids candy store know everybody means say chorus telling mighty mighty good babe love love love looking good good good love looking good love love love looking good good good
  조형우  ,후회 (Band Ver.),
  Cyndi Lauper  ,Detour (Feat. Emmylou Harris),headed life crooked road lots things never knowed knowin pine trouble got trail spent next five years jail read detour sign detour muddy road ahead detour paid mind said detour bitter things find read detour sign got right place said face thought worries behind farther go sorrow know read detour sign detour muddy road ahead detour paid mind said detour bitter things find read detour sign let go got stuck mud hopes dropped thud guess heart strings made twine willpower get hole yet read detour sign detour muddy road ahead detour paid mind said detour bitter things find read detour sign read detour sign read detour sign
  iron & wine  ,Waves of Galveston,leave waves galveston cause hit behind seawall gently folded sand papa left heaven mama lost song though baby left houston one stays long verse graveyard pizza parlor gate closes snowbirds fly away like secrets one really wants know climbing moon always shining kind shells keep broken horse tied water tower running sleep chorus bad got soft place fall bad texas leans least us says make music dance shoot pistol wear pants verse leave waves galveston cause place lone star kind offered hand baby left nothing dog left dead never knew burden till hit head chorus bad got soft place fall bad texas leans least us says make music dance shoot pistol wear pants
  허니스트 (HONEYST)  ,1도 기억이 안 나,know like know something woo woo woo baby
  조원선  ,서두르지 말아요 (Duet With 존박),sunshine life
  Ray LaMontagne  ,Such A Simple Thing,tell feeling take pain tell mean leave chorus tell heart wants simple thing heart like paper like flame make see get chains somehow somehow verse take want tired care see much hurt like chorus tell heart wants simple thing heart like paper like flame heart like paper like flame make see get chains somehow somehow interlude chorus tell heart wants simple thing heart like paper like flame heart like paper like flame
  서민영  ,할 말이 없대,du du ru du du ru du ru rup du du ru du du ru du ru rup du du du ru du du ru du ru rup du du du woo
  Rosie Thomas  ,It Don`t Matter To The Sun,matter sun go stay sun gon na rise gon na rise shine another day tomorrow even choose leave cuz matter sun matters gon na stop world walk door old world keeps spinning round spinning round like day cuz makes difference keeps keeping time cuz gon na stop world end mine say still love cuz matter moon life moon keep hanging round hanging round like another night find another place shine lovers dreams cuz matter moon matters cuz matter moon matters
  Olivia Newton John  ,Have You Never Been Mellow,time hurry like day tell point view like mean make frown want slow never mellow never tried find comfort inside never happy hear song never let someone else strong running around head clouds like never time lay back kick shoes close eyes like hard understand need someone hold hand never mellow never tried find comfort inside never happy hear song never let someone else strong
  Hello Saferide  ,Saturday Nights,somebody ordered many drinks last night somebody reckoned dancing bar right somebody woke next someone else thinking people thought killing oh lord forgive saturday nights make things regret rest life lord forbid glimmering saturday lights tell saturday nights girl shouted one girl dropped drink celebrity girl fell asleep tree singing girl know sure somebody promised would stay next week somebody dropped house take peak somebody reckoned well one drink somebody evil twin said well let make two
  Buddy Guy  ,Had A Bad Night,oh bad night last night people know things go right bad bad bad night last night people know things go right know lost money boat standing tell broke got call baby morning said buddy know got ta pay got call baby morning yeah said buddy got ta pay shook head said people know day oh went friend mine broke busted disgusting yes went friend mine broke busted disgusted shook walked away said buddy guy day makes two us
  Taylor Swift  ,Never Grow Up,little hands wrapped around finger quiet world tonight little eyelids flutter cause dreaming tuck turn favorite night light everything funny got nothing regret give honey could stay like oh darling ever grow ever grow stay little oh darling ever grow ever grow could stay simple let nobody hurt wont let one break heart one desert try never grow never grow car way movies mortified mama dropping much wait move someday call shots make drop around block remember getting older lose way dance around pjs getting ready school oh darling ever grow ever grow stay little oh darling ever grow ever grow could stay simple one ever burned nothing ever left scarred even though want try never grow take pictures mind childhood room memorize sounded like dad gets home remember footsteps remember words said little brother favorite songs realized everything someday gon na gone new apartment big city dropped much colder thought would tuck turn nightlight wish never grown wish never grown oh wan na grow wish never grown could still little oh wan na grow wish never grown could still simple oh darling ever grow ever grow stay little oh darling ever grow ever grow could stay simple let nobody hurt let one break heat even throuhg toyu want please try never grow ever grow never grow
  김세환  ,사랑을 노래해요,
  Damien Rice  ,Cheers Darlin`,cheers darlin lover boy cheers darlin got years wait around cheers darlin got wedding bells ear cheers darlin give three cigarettes smoke tears away die mention name lied kissed running rain darlin whisper ear piece cake darlin boy fear biggest mistake cheers darlin lover man cheers darlin hang around eat cheers darlin got ribbon green guitar chrres darlin got beauty queen sit far die comes around take home shy kissed alone darlin whisper ear piece cake darlin boy fear biggest mistake oh darlin got years wait
  심현보  ,"두근두근 오늘은 (Feat. 스윗소로우, 융진, 권순관, 옥상달빛)",
  양희은  ,참 좋다,
"  소년, 소녀  ",구름 위를 걸어 네게 가고 있어 (Vocal 민유),
  은희  ,연가,
  김원중  ,모래시계,
  이연실  ,노을,
  Louis Yoelin  ,Starting New,warm breath takes feel rush little break thought type boast need make reality every little thing work like planned remember every little footstep land every little dream may come true today starting new starting new one life good good shy away every little thing work like planned remember every little footstep land every little dream may come true today starting new want live like regretting things missed finally feet got gon na dance yah every little thing work like planned remember every little footstep land every little dream may come true today starting new oh starting new starting new
  꽃다지  ,민들레처럼,
  동희  ,Good Morning,good morning good morning good morning good morning good day honey good morning good morning good morning good day honey wonderful today good morning good morning good day honey good morning good morning good day honey
  양희은  ,내사랑 그대곁에,
  Phoebe Bridgers  ,Garden Song,someday gon na live house hill skinhead neighbor goes missing plant garden yard gluing roses flatbed see mean thousands grew til went flames except notches door frame chorus know got taller see reflection water bridge huntington hopped fence seventeen knew wanted verse grow gon na look phone see life gon na like recurring dream movies remember seeing screen turns tidal wave dorm room like hedge maze find touch leg insist wake chorus know taller must something water everything growing garden know haunted doctor put hands liver told resentment getting smaller afraid hard work get everything want everything wanted
  우리 동네 사람들  ,종이 비행기,
  장철웅  ,가시나무 (시인과 촌장),
  김성철  ,논현동 삼겹살,
  Ray LaMontagne  ,Part of the Light,tell feeling take pain tell mean leave chorus tell heart wants simple thing heart like paper like flame make see get chains somehow somehow verse take want tired care see much hurt like chorus tell heart wants simple thing heart like paper like flame heart like paper like flame make see get chains somehow somehow interlude chorus tell heart wants simple thing heart like paper like flame heart like paper like flame
  김광석  ,어느 60대 노부부 이야기,
  김정호  ,푸른 하늘 아래로,
  Donovan  ,A Sunny Day,sunny day away afternoon cutting nettles hiding petals pink river drink bluebells wood dells dwells squirrel slinks along branched patterns heightens call coaltit small hover river diving writhing gnattring chiff chaff chattering woodpecker staggering hammering exaggerating find da sunny day away afternoon cutting nettles hiding petals pink river drink bluebells wood dells dwells squirrel slinks along branched patterns heightens call coaltit small hover river
  김세환  ,토요일 밤 (with 윤형주),
  자전거 탄 풍경  ,비온 후 맑음,
  로이킴  ,서울 이곳은 (Acoustic Ver.),
  양병집  ,이대 앞 길,
  제이레빗(J Rabbit)  ,선잠 (나 그대의 사랑이 되리) (Inst.),
  Bob Dylan  ,Blowin` In The Wind (Live Ver.),many roads must man walk call man many seas must white dove sail sleeps sand yes n many times must cannonballs fly forever banned answer friend blowin wind answer blowin wind yes n many years mountain exist washed sea yes n many years people exist allowed free yes n many times man turn head pretend see answer friend blowin wind answer blowin wind yes n many times must man look see sky yes n many ears must one man hear people cry yes n many deaths take til knows many people died answer friend blowin wind answer blowin wind
  안수지  ,왜 (Feat. NY물고기),
