artist,title,Korean_clean_lyric
  김그림  ,힘이 돼줄게 (My Angel),항상 웃음 요즘 달라지다 혹시 힘드다 생기다 내다 해보다 걱정 말다 주다 아무렇다 않다 그렇다 필요없다 있다 편이 잖다 부족하다 약하다 되다 무엇 하다 누구 강하다 힘들다 가끔 내다 기대다 돼다 항상 넓다 하다 어깨 어쩐지 없다 되다 있다 있다 해주다 싶다 약속 하다 모두 변하다 편이 부족하다 약하다 되다 무엇 하다 누구 강하다 힘들다 가끔 내다 기대다 돼다 아프다 힘들다 언제나 있다 돼다
  송창식  ,담배가게 아가씨,우리동네 담배 가게 아가씨 예쁘다 짧다 머리 빗다 정말 예쁘다 동네 청년 도나 아가씨 떼다 집의 꼴뚜기 녀석 딱지 맞다 만화가 용팔이 녀석 딱지 맞다 그렇다 동네 하나 남다 기대 하다 개봉 박두 다음 아침 일찍 담배 하나 사르다 가지 장미 하다 송이 건네다 주다 아가씨 놀라다 눈싸움 하다 벌이다 아가씨 웃다 하루 종일 가슴 설레다 퇴근 시간 기다리다 차려입다 아가 기다리다 점잖다 다가서다 미소 띄다 인사 하다 아가 방귀 이대로 물러나다 대장부 아니다 아가씨 발걸음 소리 맞추다 뒤따르다 걸어가다 틀리다 서다 안되다 번호 붙이다 하나 위대하다 끈기 바로 그때 차다 야단 나다 골목길 어귀 동네 불량 아가씨 포위 돼다 옳다 타구 백마 기사 나가다 자다 자다 자다 자다 자다 하늘빛 노랗다 우리동네 담배 가게 아가씨 예쁘다 그때 백배 예쁘다 나르다 보다 웃다 아가씨 아가씨 정말 사랑 하다 자다 자다 자다 자다 자다 담배 사르다 간다
  코나  ,마녀! 여행을 떠나다,자다 들다 적어도 하루 한번 수정 구슬 닦다 아침 일찍 일어나다 우유 한잔 마시기 레몬 사탕 하루 자다 닦다 잊다 떠나다 그대 위해 새롭다 바람 부다 이제 그대 작다 빗자루 들다 파란 오르다 두렵다 생각 해보다 어떻다 마법 보다 신비롭다 우리 처음 빛나다 약속 믿다 기다리다 그대 내다 돌아오다 그날 그때 다시 시작 해보다 멋지다 세상 새롭다 까맣다 고양이 새롭다 다리다 까맣다 원피스 혹시 잊다 없다 살펴보다 떠나다 그대 위해 새롭다 바람 부다 이제 그대 작다 빗자루 들다 파란 오르다 두렵다 생각 해보다 어떻다 마법 보다 신비롭다 우리 처음 빛나다 약속 믿다 기다리다 그대 내다 돌아오다 그날 그때 다시 시작 해보다 멋지다 세상 새롭다 멋지다 세상
  박강수  ,사랑은 받는 것이 아니라면서,언젠가 당신 하다 혼자 남다 느껴지다 추억 생각 하라 그렇다 누구 외롭다 하다 이렇다 하다 지난 자꾸 뜨다 오르다 애쓰다 잊다 하다 말랬 사랑 받다 아니다 하다 스치다 얼굴 마음 흔들리다 갈대 순간 영원 생각 하다 이렇게 간직 하다 하다 정녕 잊다 않다 순간 영원 언제나 간직 하리 아름답다 그대 모습 당신 내다 들려주다 진정하다 사랑 하다 오로지 주다 하랬 사랑 받다 아니다 하다 스치다 얼굴 마음 흔들리다 갈대 순간 영원 생각 하다 이렇게 간직 하다 하다 정녕 잊다 않다 순간 영원 언제나 간직 하리 아름답다 그대 모습 당신 내다 들려주다 진정하다 사랑 하다 오로지 주다 하랬 사랑 받다 아니다 사랑 받다 아니다
  오연준  ,The Way I Am,
  Buddy Guy  ,Born To Play Guitar,
  진현  ,"늦은, 밤",늦다 돌아오다 지치다 아름답다 밤결 그대 기억 떠오르다 어쩔 없이 그립다 수가 없다 사랑 이해 어리다 주다 수도 없다 만큼 커다랗다 마음 이다 고맙다 고단 사랑 이다 알다 그렇다 이제 바라다 당연하다 그만큼 행복하다 사랑 친절하다 마음 없다 상처 남다 머물다 그저 오다 나인 있다 달빛 차다 아름답다 좋다 우리 하다 처럼 그대 기억 하나요 나르다 용서 하나요
  Buddy Guy  ,Thick Like Mississippi Mud,
  어쿠루브  ,잠깐만요 (Inst.),오늘 다른 사람 같다 알다 표정 얼굴 아니다 잠시 걷다 하다 처음 느끼다 차갑다 공기 슬프다 예감 틀리다 없다 불안하다 느낌 나가다 없다 제발 이르다 헤어지자 그만하다 힘들다 미안하다 가면 어떡하다 잠깐 먼저 들다 잠깐 이대로 갈건 가요 잠깐 어떻다 해보다 이별 정말 거구 사랑 사랑 떨리다 입술 굳다 다물다 담담하다 보내다 하다 사소하다 대화 모닝콜 전화 안다 일도 다시다 하다 눈물 나다 어떡하다 잠깐 먼저 들다 잠깐 이대로 갈건 가요 잠깐 어떻다 해보다 이별 정말 거구 사랑 이유 있다 차다 많이 힘들다 일찍 알다 잊다 있다 모르다 지우다 시간 기대다 자다 지내다 자다 지내다 자다 지내다 우린 이별 정말 거구 우리 사랑
  이적  ,불행아,불행 구름 따르다 강물 따르다 정처 없이 걷다 싶다 바람 삼다 가다 눈앞 뜨다 추억 그립다 소나기 퍼붓다 거리 홀로 외로이 걸다 그립다 부모 형제 다정하다 친구 갈수 없다 신세 홀로 가슴 태우다 묻히다 갈다 인생 깊다 맑다 파란 무언가 찾다 떠돌이 품팔이 마냥 친구 하나 찾아오다 주지 않다 보다 거리 거리 헤메 잠자리 어느 이다 지팡이 짚다 거려 어디 이끌다 그립다 부모 형제 다정하다 친구 갈수 없다 신세 홀로 가슴 태우다 묻히다 갈다 인생 묻히다 갈다 인생
  Blake Shelton  ,The Baby,
  B.B. King  ,"Niji Baby (Live At Sankei Hall, Tokyo, Japan/1971)",
  Helen Austin  ,Happy,
  조동진  ,행복한 사람,있다 당신 있다 당신 행복하다 사람 아직도 남다 찾다 있다 그렇게 아름답다 있다 외롭다 가요 당신 외롭다 가요 당신 행복하다 사람 아직도 바람 느끼다 있다 그렇게 아름답다 마음 있다 아직도 남다 찾다 있다 그렇게 아름답다 있다 아직도 바람 느끼다 있다 그렇게 아름답다 마음 있다
  SWEETCH  ,"Love Letter (Feat. 희승, 수빈)",이렇다 사랑 노래 너무나 많다 자꾸 부르다 어느새다 빠지다 버리다 뒷모습 너무 예쁘다 사실 나다 모르다 걸다 안내 웃다 바랬던 역시 욕심 이다 보다 떨리다 하다 없다 솔직하다 편지 담다 싶다 온통 생각 심장 멈추다 수가 없다 솔직하다 너무나 불다 노래 표현 하다 없다 처음 애매하다 기분 뜨다 있다 보다 마냥 그냥 계속 걸다 안내 나타나다 바랬던 역시 욕심 이다 보다 떨리다 하다 없다 솔직하다 편지 담다 싶다 온통 생각 심장 멈추다 수가 없다 깊다 잠들다 없다 어둠 짙다 홀로 켜다 하얀색 종이 서툴다 글씨 수줍다 보다 미소 지다 사실 너무 좋아하다 하다 벌써 들키다 같다 떨리다 가슴 멈추다 수가 없다 솔직하다 너무 좋아하다 온통 생각 심장 멈추다 수가 없다 놓치다 수가 없다 멈추다 수가 없다
  Boz Scaggs  ,I’ve Just Got To Forget You,
  Buddy Guy  ,Nine Below Zero,
