artist,title,English_clean_lyric
  마마무 (Mamamoo)  ,Girl Crush,place boyfriend god girl crush day crush color lipstick apple hip crush day crush cash money crush thanks boyfriend god girl crush day crush color lipstick apple hip crush day crush cash money crush girl cause girl crush day crush color lipstick apple hip crush day crush cash money crush spotlight girl girl girl girl girl girl hot awesome girl cool red girl cool girl highlight awesome girl cool red girl cool girl freakin naughty awesome girl cool red girl cool girl
  세븐틴  ,9-TEEN,youth teen teen teen teen teen teen teen teen teen teen teen teen
  SHINee (샤이니)  ,떠나지 못해 (Sleepless Night),girl tonight tonight tonight
  신화  ,Move With Me,baby life man man name baby move baby move perfume tomorrow baby move baby move man cloth hug wish keep try waitin heart situation thing everytime word statement baby move baby move baby move baby move baby move baby move change check want want know girl try let participation let switch get walkin runnin gonn stop facin good patient right even even
  세븐틴  ,유행가,change stop rapper something babe get best
  육성재 (비투비)  ,고백 (Inst.),
  MXM  ,LOVE ME NOW,baby baby baby baby baby baby baby wait love love love love love love girl really really really really really really really really really
  AOA  ,진짜 (Really Really),night nothing leave cry cry cold alone
  젝스키스  ,미성년자 관람불가,
  한승연  ,사랑 때문에,
  TWICE (트와이스)  ,LIKEY,likey heart heart likey likey heart heart likey heart heart likey heart heart baby heart heart likey heart heart likey heart heart likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey
  B1A4  ,크리스마스잖아요,friend friend friend friend today friend friend friend friend friend friend friend good good good good good good good good good good good
  예성 (YESUNG)  ,Pink Magic,feel day cause pink magic cause pink color feel day cause pink magic cause pink magic feel dream love day feel day cause pink magic cause pink magic cause pink magic pink pink come pink pink pink pink beautiful magic magic magic magic magic magic magic magic magic
