artist,title,Korean_clean_lyric
  마마무 (Mamamoo)  ,Girl Crush,이따 거기 보다 이번 장담 하다 찾다 예감 괜찮다 정말로 기대 돼다 비추다 눈꼬린 길다 콧대 높다 화장 진하다 커지다 자신감 근데 눈빛 수상하다 나르다 의심 하다 돼다 갈대 오다 가다 쿨하다 하다 뒤태 나다 충분하다 벌다 요즘 잘나가다 애교 기본 섹시 예쁘다 표현 모르다 눈꼬린 길다 콧대 높다 화장 진하다 커지다 자신감 근데 눈빛 수상하다 나르다 의심 하다 돼다 갈대 오다 가다 쿨하다 하다 뒤태 나다 충분하다 벌다 밀당 감정 솔직하다 다른 여자 고민 달라 시선 의식 외롭다 어떻다 생각 마치 애정결핍 같다 갈대 오다 가다 쿨하다 하다 뒤태 나다 충분하다 벌다
  세븐틴  ,9-TEEN,우리 함께 걷다 우리 발걸음 소중하다 시간 하다 용기 있다 알람 울리다 밀다 시작 하라 뜨다 미네 비비고 느낌 아직도 꼬리 롤러코스터 타다 올라가다 어리다 어리다 변하다 않다 우리 두다 어디 갈다 있다 있다 오늘 선택 후회 없다 순간 믿다 보다 있다 하다 아홉 나다 틀리다 없다 함께 있다 있다 내미다 잡다 종이 울리다 하다 갈다 시간 남다 오늘 하루 있다 싶다 무슨 좋다 핑계 있다 없다 고민 하다 고민 고민 하다 어리다 어리다 변하다 않다 우리 두다 어디 갈다 있다 있다 오늘 선택 후회 없다 순간 믿다 보다 있다 하다 아홉 나다 틀리다 없다 위해 노랗다 불다 순간 지나가다 있다 우리 우리 있다 나다 틀리다 없다 돌아오다 않다 순간 위해 돌아오다 않다 순간 위해
  SHINee (샤이니)  ,떠나지 못해 (Sleepless Night),조심 스레 한숨 짓누르다 오다 잠들다 하다 비어 버리다 가슴 바보 같다 하다 아프다 지도 하다 나르다 사랑 하다 기억 힘들다 하나 흘리다 보내다 모습 무너지다 떠나다 하다 소중하다 다시 돌아오다 하다 너무 아름답다 서로 미워하다 시간 너무 그립다 잊다 없다 다시 돌아오다 미련 없이 지우다 버리다 하다 너무 밉다 다시 잡고 있다 너무나도 싫다 생각 하다 한숨 하루 길다 강물 보다 사랑 한단 글씬 떠내려가다 하다 거릴 비추다 불빛 하나 하나 지나다 흐려지다 거치다 괴롭히다 서다 가슴 뛰다 그렇다 알다 사랑 하다 기억 지우다 노력 하다 어느새다 줍다 담다 있다 모습 초라하다 떠나다 하다 소중하다 다시 돌아오다 하다 너무 아름답다 서로 미워하다 시간 너무 그립다 잊다 없다 달이 잠기다 하늘아래 모든 어떻다 예전 같다 않다 잃다 멋대로 혼자 아직 담다 없이 보다 미소 짓다 않다 아무 없다 그래도 여야 떠나다 하다 하루 기대다 쉬다 다시 돌아오다 하다 지겹다 사랑 하다 내겐 서로 미워하다 시간 너무 그립다 잊다 없다 다시 돌아오다
  신화  ,Move With Me,완전하다 무방비 상태 나르다 가다 돼다 매일 아침 일어나다 믿다 믿다 돼다 하다 서다 먼저 대답 하다 남자 없다 순간 하루 뺏다 싶다 보내다 싫다 벗다 두다 하이힐 오늘 가기 만나다 보고 싶다 허락 하다 주다 싶다 하루 보다 고프다 뿌리다 도도하다 눈빛 버리다 오다 내지 보다 먼저 대답 하다 남자 없다 순간 하루 뺏다 싶다 보내다 싫다 벗다 두다 하이힐 오늘 가기 하루 보다 생각 하루 망치다 원하다 보이다 미소 말투 행동 모두 그립다 기횔 주다 먼저 대답 하다 남자 없다 순간 하루 뺏다 싶다 갖다 싶다 벗다 두다 하이힐 오늘 가기 먼저 대답 하다 남자 없다 없다 순간 하루 뺏다 싶다 보내다 싫다 보내다 싫다 벗다 두다 하이힐 오늘 가기 움직이다 넘다 갈다 남자 없다 작업 아니다 작전 오늘 지나다 대다 반전 끌리다 되다 들다 그냥 즐기다 벗다 두다 하이힐 오늘 가기
  세븐틴  ,유행가,무슨 노래 들다 어떻다 가수 요즘 누가 좋다 날씨 기분 따르다 듣다 있다 노래 좋다 오늘 만들다 노래 노래 들다 보다 제목 유행가 제목 유행 하다 하다 하다 그냥 쉬다 따르다 불다 이건 유행가 이건 유행가 절대로 돼다 래야 어디 서든 먹다 생각 이건 유행가 이건 유행가 어딜 어디 서든 생각 유행가 가다 유행가 가다 유행가 가다 유행가 유행가 유행가 포장 자다 하다 내다 싶다 않다 주변 사람 허밍 가산 생각나다 써다 두다 거지 하루 일곱 들다 무조건 알아채다 주다 이건 벚꽃 바람 제목 유행가 제목 유행 하다 하다 하다 그냥 쉬다 따르다 불다 이건 유행가 이건 유행가 절대로 돼다 만해 래야 어디 서든 먹다 생각 이건 유행가 이건 유행가 어딜 어디 서든 생각 유행가 가다 유행가 가다 유행가 가다 유행가 유행가 유행가 아침 노래 알람 되다 저녁 노을 기분 맞추다 노래 되다 언제나 어디서 누굴 만나다 내용 없다 노래 비교 하다 말다 웃기 들리다 모르다 들다 돼다 들다 보다 이건 유행가 이건 유행가 어딜 어디 서든 생각 유행가 가다 유행가 가다 유행가 가다 유행가 유행가 유행가
  육성재 (비투비)  ,고백 (Inst.),처음 느끼다 그대 빠지다 버리다 사랑 하다 되다 그대 마다 마음 숨다 어렵다 항상 표현 싶다 내겐 욕심 대다 사랑 하다 그렇다 힘드다 건가 언제나 대다 원하다 있다 혹시 우린 사랑 하다 없다 힘들다 대다 위해 차다 하다 그대 사랑 하다 없다 떠나가다 하다 시간 다가오다 언제나 대다 원하다 있다 혹시 우린 사랑 하다 없다 힘들다 대다 위해 차다 하다 그대 사랑 하다 잠시 동안 함께 하다 싶다 언제나 대다 원하다 있다 혹시 우린 사랑 하다 없다 힘들다 대다 위해 차다 하다 그대 사랑 하다
  MXM  ,LOVE ME NOW,비치다 사랑 너무 멀다 아끼다 두다 소중하다 마음 상처 늘다 다른 보다 초점 잃다 시선 이상 두다 없다 사람 모르다 가까이 고개 보다 아프다 혼자 언제나 서다 있다 내다 오다 수많다 시간 충분하다 방황 하다 보지 하다 다른 사람 의미 없다 기다림 이미 있다 아니다 깊다 어둠 벗어나다 없다 없다 아니다 행복하다 없다 모르다 첫걸음 전부 돼다 보기 사랑 하다 없다 애초 하다 나르다 믿다 언제 그렇다 이제 내다 오다 사람 영원하다 지우다 항상 웃다 하다 사람 들다 있다 주다 사람 그게 나야 준비 돼다 오래전 부터 다른 사람 보다 원하다 느끼다 있다 그냥 가다 대로 움직이다 이제 사람 모르다 가까이 고개 보다 아프다 혼자 언제나 서다 있다 내다 오다 수많다 시간 충분하다 방황 하다 보지 하다 다른 사람 바보 계속 참고 있다 사랑받다 하다 않다 눈빛 보다 느끼다 있다 느끼다 있다 원하다 하다 않다 내다 받다 사랑 행복하다 꾸미다 주다 하다 않다 눈빛 보다 느끼다 있다 이렇게 간절하다 모든 바치다 세상 행복 바라다 오늘 아니다 깊다 어둠 벗어나다 없다 없다 아니다 행복하다 없다 모르다
  AOA  ,진짜 (Really Really),시냇물 밤하늘 귀뚜라미 소리 가슴 설레다 하다 자꾸 눈물 걸다 많이 보고 싶다 노래 불다 보고 싶다 오늘 따르다 생각 자꾸만 바보 같다 이렇다 보다 아무 소용없다 자꾸 찾다 어떡하다 진짜 좋다 진짜 너무 사랑 하다 진짜 너무 보고 싶다 그대 어디 가다 진짜 너뿐이야 진짜 필요하다 돌아오다 주다 진짜 너무 좋다 진짜 너무 사랑 하다 비다 버리다 거리 그렇다 우두커니 서다 있다 걷다 골목길 리도 어둡다 함께 모르다 나르다 밝히다 되어다 내다 가장 친하다 친구 되어다 없다 세상 너무 어둡다 외로워 보고 싶다 오늘 따르다 생각 자꾸만 바보 같다 이렇다 보다 아무 소용없다 자꾸 찾다 어떡하다 진짜 좋다 진짜 너무 사랑 하다 진짜 너무 보고 싶다 그대 어디 가다 진짜 너뿐이야 진짜 필요하다 돌아오다 주다 미워하다 말다 사랑 해주다 예전 모습 바라보다 미워하다 말다 사랑 해주다 사랑 필요하다 진짜 너무 좋다 진짜 너무 사랑 하다
  젝스키스  ,미성년자 관람불가,아직도 모르다 철부지 생각 있다 우린 이미 알다 있다 감추다 하다 모르다 세상 이렇다 어찌 모르다 있다 어떻다 우릴 이해 있다 답답하다 정말 이렇다 우릴 가두다 없다 제발 이르다 이렇게 우리 가리다 숨다 없다 제발 그렇다 세상 점점 넓어지다 가다 세상 점점 복잡하다 그렇다 단순하다 기준 이렇다 상처 받다 혼자 살아가다 방법 자꾸 가르치다 려고 하다 친구 누르다 이기다 라면 대체 대체 누구 믿다 살아가다 개구리 되다 싫다 가리다 싫다 벌써 자라나다 날개 없다 도대체 우릴 아직 맘대로 만들다 싶다 안달 나다 무얼 원하다 알다 모르다 자꾸 기대하다 있다 모르다 세상 바라보다 누가 만들다 건지다 자르다 어떻다 누구 이렇다 우리 하다 없다 답답하다 정말 이렇다 우릴 가두다 없다 제발 이르다 이렇게 우리 가리다 숨다 없다 제발 그렇다 세상 점점 넓어지다 가다 세상 점점 복잡하다 그렇다 단순하다 기준 이렇다 상처 받다
  한승연  ,사랑 때문에,어쩌다가 만나다 어쩌다가 사랑 알다 어쩌다가 이렇게 돼다 버리다 어쩌다가 가슴 사랑 때문 울다 사랑 때문 아프다 바라다 보다 그저 눈물 짓다 가슴 닳다 닳다 멈추다 하다 그게 돼다 잊다 하다 그게 돼다 되다 사랑 몹쓸 사랑 어쩌 이렇다 밀치다 내다 이렇다 하다 하다 이렇다 가슴 닫다 이렇다 이렇게 되다 사랑 때문 울다 사랑 때문 아프다 바라다 보다 그저 눈물 짓다 가슴 닳다 닿다 멈추다 하다 그게 돼다 잊다 하다 그게 돼다 되다 사랑 몹쓸 사랑 어쩌 사랑 하다 사랑 하다 눈물 같다 비우다 지우다 자꾸 차오르다 사랑 하다 하다 다가가다 갈수록 더하다 아픔 두렵다 사랑 때문 사랑 때문 눈물 나다 아니다 사랑 아니다 안되다 잊다 기다리다 쉬다
  TWICE (트와이스)  ,LIKEY,설레다 자꾸 드러내다 싶다 자꾸만 사소하다 하나 전부 작다 화면 제일 예쁘다 보이 고프다 아직 감추다 이렇다 마음 부린다 정말 귀찮다 절대 대충 하다 수가 없다 매일 가슴 뛰다 이건 몰다 돼다 그렇다 크림 파파 립스틱 맘마 카메라 담다 보다 예쁘다 보다 웃다 누르다 앙증맞다 근데 좋다 표현 하다 부족하다 근데 좋다 잠도 자도 지각 하다 돼다 좋다 설레다 참다 지퍼 올리다 다시 한번 허리 라차 입다 세상 예쁘다 너무나도 많다 많다 크림 파파 립스틱 맘마 카메라 담다 보다 예쁘다 보다 웃다 누르다 앙증맞다 근데 좋다 표현 하다 부족하다 근데 좋다 잠도 자도 지각 하다 돼다 좋다 그저 바라보다 있다 아무 하다 없다 다가오다 알아주다 이상 감추다 싶다 않다 오늘 따르다 기분 척해 보다 슬프냬 아무 반응 없다 삐지다 눈치 없이 친구 나오다 부르다 잠깐 잠깐 연락 이제야 는걸 하루 종일 기분 오다 가다 울다 다시 신나다 춤추다 설레다
