artist,title,Korean_clean_lyric
  이영훈  ,무얼 기다리나 (Feat. 조원선),그냥 생각 없이 이렇다 없이 쉬다 없이 웃다 떠들다 당신 없다 생각 주위 온통 그대로 당신 무얼 기다리다 아무 찾다 않다 남아 있다 이상 닿다 않다 마음 그저 별일 없이 이렇다 걱정 없이 쉬다 없이 지나가다 하루 당신 없다 생각 주위 온통 그대로 당신 무얼 기다리다 아무 찾다 않다 남아 있다 이상 닿다 않다 마음 당신 무얼 기다리다 아무 찾다 않다 그렇다 남아 있다 이상 닿다 않다 마음 마음 마음 마음 마음 마음
  이호석  ,찾고 있니,오랜 시간 간직 해오다 먼지 덥다 빛바랜 사진 맑은 웃음 지다 잡다 놓다 자다 찾다 있다 작다 소녀 약속 작다 조각 빨리 빨리 변하다 시절 돌아가다 없다 벌린 나르다 마주 앉다 함께 이미 멀어지다 세상 자리 찾다 있다 작다 소녀 약속 작다 조각 빨리 빨리 변하다 시절 돌아가다 없다 벌린 나르다 기억 추억 약속 작다 조각 빨리 빨리 변하다 시절 돌아가다 없다 벌린 나르다 찾다 있다 작다 소녀 약속 작다 조각
  토마스쿡 (thomascook)  ,두 번째 인생,아무렇다 끌리다 항상 반대 반대 그저 도망치다 이리 저리 바보 벌써 절반 지나다 되다 인생 인생 인생 인생 걸음 멈추다 돌아보다 마치 처음처럼 만나다 되다 내일 조금씩 보이다 이제 불안하다 청춘 지나가다 인생 인생 인생 인생 인생 인생 인생 인생 인생 인생 인생 인생
  Allegrow  ,어디쯤 있나요,오다 길이 왠지 더욱 쓸쓸하다 그대 모습 그리다 익숙하다 꺼지다 집안 밝히다 누군가 내다 있다 없다 주말 익숙하다 그대 생각 없다 전화기 그저 바라다 보다 누군가 내다 있다 계절 기다리다 혹시 대다 마주 있다 되다 밤새다 그대 목소리 듣다 싶다 언제 그대 안다 되다 아끼다 오다 작다 마음 들다 주다 지다 도시 그대 어디 있다 하릴없다 친구 술자리 그대 생각 늦다 저녁 모두 행복하다 사람 그게 바로 나다 걷다 마주치다 연인 모습 그대 모습 그리다 연락 친구 결혼 인사 그게 바로 나다 계절 기다리다 혹시 대다 마주 있다 되다 밤새다 그대 목소리 듣다 싶다 언제 그대 안다 되다 아끼다 오다 작다 마음 들다 주다 지다 도시 그대 어디 있다 우연 거리 대다 마주 보다 오늘 작다 기대 언젠가 우리 서로 알아보다 되다 잡다 놓다 않다
  이어스 (Ears)  ,The Grateful Breeze,
  르 메리무스  ,사랑은 타이밍이지 (Feat. 오경록 Of 와러서커스),아마도 늦다 울적하다 내리다 바라보다 외로움 보다 끄다 불다 사람 없다 핸드폰 만지다 아무 연락 받다 않다 마침 전화 오다 반갑다 고민 없이 나가다 이렇다 사랑 작일 끄다 사랑 타이밍 내다 설레임 고프다 그렇다 사랑 거지 사랑 타이밍 사랑 타이밍 사랑 타이밍 사랑 타이밍 한참 고민 외롭다 나다 모르다 아무나 좋아하다 그렇다 걸다 의심 마음 자꾸만 커지다 가다 지치다 힘들다 눈물나다 마침 달려오다 주다 넓다 어깨 빌리다 역시 흑기사 사랑 타이밍 내다 설레임 고프다 그렇다 사랑 거지 사랑 타이밍 사랑 타이밍 사랑 타이밍 사랑 타이밍 나아 좋다 이대로 영원하다 나다 좋다 이대로 영원하다 데리다 가다 힘들다 어느새다 익숙해지다 버리다 사이 없다 삶다 힘들다 그래서 매일 보다 우리 사이 좋아하다 되다 신기하다 내다 다가오다 우리 서로 사랑 신기하다 이대로 영원하다 함께 하자
  낭만유랑악단  ,어디가나요,그대 어디가 나다 같이 가다 싶다 무슨 이유 있다 어디가 그대 무얼 찾다 나다 같이 찾다 싶다 무슨 이유 있다 어디가 때로는 멀어지다 기도 가끔 가깝다 기도 돌아서다 짓다 미소 착각 어디 괜찮다 그대 어디가 그대 자다 모르다 나오다 함께 걸다 보다 무슨 이유 있다 어디가 때로는 멀어지다 기도 가끔 가깝다 기도 돌아서다 짓다 미소 착각 어디 괜찮다 그대 어디가 그대 바라보다 걷다 기분 좋다 힘들다 말다 나르다 바라보다 어디 괜찮다 그대 어디가
  바스켓 노트  ,가슴에 묻다,눈물 참다 돌이키다 없다 아픔 되다 가슴 내버리다 두기 막히다 견디다 수가 없다 해보다 거리 헤매다 더욱 생각 아프다 어디 있다 떠나다 자다 있다 기도 사실 보내다 잊다 없다 혼자 가슴 사랑 사랑 사랑 남아 한번 돌아오다 끄다 보다 없이 하루 살다 돌아가다 늦다 후회 가끔 생각 나다 많이 좋아하다 때론 미우다 취해 보다 거리 해메 더욱 생각 아프다 어디 있다 떠나다 자다 있다 기도 사실 보내다 잊다 없다 혼자 가슴 사랑 사랑 사랑 남아 한번 돌아오다 끄다 보다 떠나다 자다 있다 기도 사실 보내다 잊다 없다 혼자 가슴 사랑 사랑 사랑 남아 한번 돌아오다 끄다 보다 기다리다 기다리다
  헤이즈문 (Haze Moon)  ,Save Me,
  헤이달리 (Hey Dali)  ,모래편지,사랑 몰래 파도 들리다 보다 없다 귓가 담기다 고백 차다 행복하다 우리 웃음 소리 사랑 마음 미안하다 쓰다 나다 파도 다시 같다 사랑 여전하다 그립다 남다 이름 사랑 다시 듣다 싶다 나르다 어지럽히다 파도 녹다 보다 지우다 있다 귓가 남다 고백 차다 목소리 사랑 마음 미안하다 쓰다 나다 파도 다시 같다 사랑 여전하다 그립다 사랑 지우다 이름 남겨지다 기억 모두 파도 따르다 이제 마음 편하다 있다 그래도 남다 이름
