artist,title,English_clean_lyric
  Various Artists  ,Move It Like This (Remake Ver.),mon lady party body everybody everybody night school vibe dance rhythm waistline jump twist slide man fella party body everybody sound floor anyone bump day men everybody floor man mash potato man mon let party body everybody day boogaloo everybody beat gold everybody rock music clippin mon baby rock let rock dance floor pee wee herman bus stop robot baby rock move man atlanta york whazzup seattle dallas houston mon let party body everybody move shake move shake move shake shake let move take feel let see wind move move shake move shake move shake mon shake get think bring baha keep see run walk move move shake move shake move shake rock shake remember use dance use rock kickin let get shake move shake move shake move shake move shake move shake move shake move shake rock shake move shake move shake move shake mon old electric funky double groovin dog solid smooth kickin dippin new back back back well philly back together back right back right back right back
  Zaz  ,Paris Sera Toujours Paris,precaution beau mettre fenetres bleu devantures jusqu pneus voitures musees champ elysees battue toutes beautes statue soir reverberes dans serum toujours ville monde malgre profonde son paris serum reduit son eclairage briller son courage humeur son esprit paris serum pour bruit chacun entraine peut nuit jouer contraindre faire pyjama dans aura beau par couper veau meme jazz imposer masque gaz croises case dans coucher heures serum toujours ville monde malgre profonde son paris serum reduit son eclairage briller son courage humeur son esprit paris serum tac tap ste cap ste cap oump ste cap dap ste cap ste cap oump doum bien que foi depuis octobre robe soit beaucoup ait fleurs moins aigrette aux gala elimine hermines pleins brillent surtout par leur absence que beaute soit moins moins serum toujours ville monde meme quand loin canon gronde tenue encore paris serum paris peut limiter distinction son elegance alors paris serum paris tous par nos nos aux tous plonger noir paris belle obscurite eclat etre assombri paris voit bonne paris nous nous nous mots quatre nous obliger nos nous onze belle obscurite eclat etre assombri paris voit bonne paris stic stic stic stic sobre que soient bien que voyante froufroutante belle est jolie ont que lumiere
  Daniel Skye  ,I Want You,way target right heart mark look pre chorus case tomorrow chorus word something way chorus verse beg steal heart let face one everyone notice focus chorus chorus word something way chorus nobody nobody nobody nobody nobody nobody word something way something way post chorus nobody nobody nobody nobody nobody nobody fell know fall paint catch start get get say come keep wait keep wait use chase borrow keep win hide show get get come come keep wait keep wait keep wait keep wait keep wait comet come keep wait keep wait keep wait keep wait keep wait keep wait honest enough girl open pre enough nobody nobody nobody nobody rhough nobody nobody nobody nobody rather close never close
  Billy Joel  ,The Longest Time,time time goodbye music time innocence happiness arm time time voice hall miracle time chance romance time thought start heart woman wonderful care consequence fool thing time say leave write inspire happen think find hear need happen win hop hop forget say hold hop know hold long long long long long long great long last right wrong hard much sorry nice long second less bad long still else maybe long maybe far far maybe far
  Tom Odell  ,Silhouette (Radio Edit),night freezing staring shadow wall feeling define anyone dark heart rhythm something something silhouette flick blind mind trick someone forget night eye face heart shape feeling something something silhouette flick blind mind trick someone forget night eye arm everyone shadow mind heart streetlight silhouette flick blind mind trick someone forget night eye wake come give change change use know let look give define change change use know let put find get enchant get dance use know let cold beating open familiar familiar open cold cold open back right never right never right never
  Jeremy Zucker  ,comethru,mind sun high walk street coffee week imagination thing thing bed noon phone screen coffee week imagination thing thing thing lose wake rid wait glad breathe try realize alright shake drink exhaust lose come come get put scroll try realize alright shake drink exhaust lose come come come comedown fine last old hometown fine last decently much patiently
  Pink  ,My Signature Move,way everything confrontation way way accusation problem everything stop fault help line number get song lie truth break scene show wind foot point signature baby outfit tonight fault number get song lie truth ture break scane show wind foot point signature move fight dream sheet apologize eye friend rule trouble yup fault help line number get song lie truth break scene show wind foot point signature move get make get bring bore make get give give get take make bleed tell make make prove get move call please say change try win rid stop hellp get take make bleed tell make prove get see bend respeonsib stop get take make bleed tell make make prove get bad true crazy mean sensitive different dirty like good true back right enough back best back
  Pixie Lott  ,Cry Me Out (Bimbo Jones Remix),email female heart head mate wait hand chance tear nothing time way talkin baby pic phone care lott lyric www songlyrics tear nothing time way talkin baby doubt bit get talkin baby tear nothing time way baby get get play cry cry fall get keep find mess break believe cry cry find fall get keep cry cry cry win hurt boy use keep walkin cry cry fall get keep walkin cry cry late last mean pixie mean little good mean talkin anyway back away alone back away back
  Kesha  ,Blow,dance door key vip sleaze kool aid lead time light place one place blow place blow place blow place blow place control dirt glitter floor time mind crazy place name mess place blow place blow place blow place blow place glitter hanes hanes glitter hanes hanes get place blow place blow place blow place blow place crack follow come kill shut tonight take get blow blow blow blow take bore lose let tonight take blow blow blow blow blow rain let see let let see rain let see let let see take use blow blow blow blow free sick young insane insane blow back pretty insane insane
  Aurora  ,Animal,victim victim love rooftop push headlight corner goddess eye lover battleground love killing pleasure jungle stranger jungle animal animal animal love killing pleasure jungle isolation till home morning memory weight shoulder goddess eye step love killing pleasure jungle stranger jungle animal animal animal love killing pleasure jungle animal animal let cause animal love killing pleasure jungle stranger jungle animal animal animal animal animal love killing pleasure jungle animal animal animal animal animal look find watch hunt lose make lose lay hunt hunt lose lay stay return leave felt watch hunt lose make lose lay hunt hunt lose lay hunt let become become control hunt lose make lose lay hunt hunt hunt lose lay hunt hunt right concrete concrete animal concrete hungry divine right concrete concrete animal concrete animal animal animal animal concrete concrete animal animal animal concrete animal animal animal alone never really alone alone
