artist,title,Korean_clean_lyric
  Various Artists  ,Move It Like This (Remake Ver.),
  Zaz  ,Paris Sera Toujours Paris,
  Daniel Skye  ,I Want You,
  Billy Joel  ,The Longest Time,
  Tom Odell  ,Silhouette (Radio Edit),
  Jeremy Zucker  ,comethru,
  Pink  ,My Signature Move,
  Pixie Lott  ,Cry Me Out (Bimbo Jones Remix),
  Kesha  ,Blow,
  Aurora  ,Animal,
  Pitbull  ,Fireball (Feat. John Ryan),
  Julie London  ,End of the World,
"  Ed Sheeran ,  Travis Scott  ",Antisocial,
  Above Envy  ,Followed,
  Hilary Duff  ,Sleigh Ride,
  Pentatonix  ,God Rest Ye Merry Gentlemen,
  MKTO  ,Superstitious,
  Morten Harket  ,Can`t Take My Eyes Off You,
  Billy Joel  ,An Innocent Man,
  Patti Labelle And Her Blue Belles  ,Danny Boy,
  Jessie J  ,Said Too Much,
  The Real McCoy  ,One More Time,
  Melanie C.  ,If That Were Me,
  Ella Henderson  ,Hard Work,
  Al Jarreau  ,Ain`t No Sunshine / Al Jarreau,
  Natalie Imbruglia  ,Starting Today,
  Dusky Grey  ,Joy Ride,
  Niykee Heaton  ,Devil,
  Justin Bieber  ,Be Alright (Acoustic Version),
  Justin Bieber  ,Christmas Eve (Album Version),
  Christina Perri  ,Sea Of Lovers,
  Fiona Apple  ,Paper Bag,
"  Maria Lynn ,  Toniia  ",All or Nothing,
  Jennifer Lopez  ,Ain`t It Funny (Remix) (Feat. Ja Rule & Caddillac Tah),
  The Swell Season  ,Falling Slowly,
  Gwen Stefani  ,Cheer For The Elves,
  Linda Perry  ,Life In A Bottle,
  Ant Saunders  ,MISCOMMUNICATIONS,
  Bread  ,If (Lp Ver.),
  ABBA  ,King Kong Song,
  Hall & Oates  ,Out Of Touch,
  Vitamin C  ,As Long As You`re Loving Me,
  Sasha Sloan  ,at least i look cool,
  Blue  ,Sorry Seems To Be The Hardest Word (Featuring Elton John),
  Celine Dion  ,Ave Maria,
  Busted  ,Year 3000,
  Anne-Marie  ,Peak,
  New Kids On The Block  ,Single (Feat. Ne-Yo),
  Foy  ,Give Me The Night (Feat. Scott Quinn),
  Mark Ronson  ,L.S.F. (Feat. Kasabian),
  Terror Jr  ,Sad Sad Girl,
  James TW  ,Ex,
  The Bangles  ,Hazy Shade Of Winter,
  Eva Cassidy  ,You Take My Breath Away,
  Pet Shop Boys  ,Leaving,
  Toto  ,I`ll Be Over You,사람 꿈꾸다 사람 차라리 감다 버리다 기도 사람 운명 그냥 지나치다 버리다 도해 당위 없다 변명 없다 그게 우리 사랑 아니다 이유 묻다 말다 시간 걸리다 그걸 알다 그래도 알다 당신 잊다 있다 거란 마음 이상 아프다 않다 기대 조차 않다 되다 영원 있다 당신 잊다 되다 추억 사라지다 우리 맺다 약속 이유 무엇 그대로 않다 당신 안다 언젠가 늘다 잊다 노력 겁니다 언젠가 늘다 언젠가 늘다 당신 잊다 되다
  Megan Nicole  ,Nothing,
  Chris Garneau  ,Not Nice,
  Dean Martin  ,You Belong To Me,
  Sia  ,Move Your Body (Alan Walker Remix),
  Olivia Newton John  ,Xanadu,
  Gus Dapperton  ,Coax & Botany,
"  Sean Paul ,  J. Balvin  ",Contra La Pared,차다 차다 채다 차다 채다 차다 차다 채다 차다 채다 차다 채다 채다 차다 차다 채다 차다 채다
  I Monster  ,Dear John (영국 리버풀 `어크로스 더 유니버스` 불멸하는 이야기),
  Modern Talking  ,No Face No Name No Number,
  Keane  ,Silenced By The Night,
  Idina Menzel  ,Silent Night,
  Kelly Clarkson  ,Dance With Me,
  The Dark Tenor  ,River Flows On The Edge (Feat. 이루마),
  Firehouse  ,I Live My Life For you,
  OMI  ,Cheerleader (Felix Jaehn Remix Radio Edit),
  Liam Payne  ,Remember,
  Crash Test Dummies  ,Mmm Mmm Mmm Mmm,
  Pixie Lott  ,Ain’t Got You,
  Michael Bolton  ,Lean On Me,
  The Real Group  ,Come Sunday,
  Crystalyne  ,Air I Breathe,
  Sarah Connor  ,Sweet Thang,
  Cher Lloyd  ,Dirty Love,
  Janet Jackson  ,I Get Lonely,
  Fantasia  ,Even Angels,
  Sophia Black  ,Vibration,
  Naughty Boy  ,One Way (Feat. Mic Righteous & Maiday),
  Taylor Swift  ,Wildest Dreams (Karaoke Ver.),
  Maisie Peters  ,Stay Young,
  Saint Saviour  ,Mercy,
  Carla Bruni  ,Crazy (Feat. Willie Nelson),
  Gazebo  ,For Anita,
  Lighthouse Family  ,My Salvation,
  Ella Henderson  ,Missed,
  Little Mix  ,Wings,
  PRETTYMUCH (프리티머치)  ,Phases,
  MKTO  ,God Only Knows,
  Meg Mac  ,Give Me My Name Back,
  Juice  ,Not In Love,
  Alessia Cara  ,Ready,
  Madjo  ,Leaving My Heart,
  Leona Lewis  ,Here I Am,
  Tuck & Patti  ,As Time Goes By,
  Virginia To Vegas  ,Emotions,
  Dido  ,Life For Rent,
  HONNE  ,Warm on a Cold Night,
  Caecillia  ,February Rain,
  Shaggy  ,Letter To My Kids,
  Forever In Your Mind  ,Compass,
  Miley Cyrus  ,Fly On The Wall,
  Sweetbox  ,Trying To Be Me,
  Janet Jackson  ,If,
  Charlotte Cardin  ,Faufile,
  Nathan Sykes  ,Kiss Me Quick,
  St. Vincent  ,Digital Witness,
  Rachael Yamagata  ,Elephants (Album Ver.),
  Chris James  ,Summertime Madness,
  Diana Vickers  ,The Boy Who Murdered Love,
  Papa Winnie  ,Rootsie & Boopsie You Are My Sunshine,
  Four Of Diamonds  ,Stupid Things (Feat. Saweetie),
  Diana Vickers  ,Remake Me &amp; You,
  Leo Sayer  ,Easy To Love,
  Emilia  ,Big Big World,
  5 Seconds Of Summer  ,Lie To Me (Acoustic),
  Justin Bieber  ,Running Over (Feat. Lil Dicky),
  Jamie Cullum  ,Boyfriend,
  Scissor Sisters  ,Only The Horses,
  Harper  ,Bad Luck,
  Westlife  ,World Of Our Own,
  D`Sound  ,Talkin` Talk,
  Lemar  ,If There`s Any Justice,
  Olivia O`Brien  ,Empty,
  Destiny`s Child  ,Emotion (The Neptunes Remix),
  Theophilus London  ,Figure It Out (Feat. Devonte Hynes & The Force MD`s) (Bonus Track),
  Brittany Howard  ,Stay High,
  Perry Como  ,I Love You And Don`t You Forget It,
  Billy Raffoul  ,Mental Health (Can`t Do This By Yourself),
  Ed Sheeran  ,Way To Break My Heart (feat. Skrillex),
  Ne-Yo  ,Mad (Ultimix),
  Lenka  ,Skipalong,
  Michael Jackson  ,Black Or White (Single Ver.),
  ABBA  ,"One Man, One Woman",
  Anne Sila  ,Le Monde Tourne Sans Toi (Radio Edit.),
  Cuckoolander  ,Mother Nature,
  Sweetbox  ,Pride,
  Little Mix  ,Turn Your Face,
  Michael Jackson  ,Shake Your Body (Down To The Ground) (Single Edit),
  Ina Wroldsen  ,Haloes (Acoustic),
  Glenn Miller  ,In The Mood (인 더 무드),
  GOSTO  ,I Knew You Better Before,
  Pink  ,Today`s The Day,
  Karoline Kruger  ,You Call It Love,
  Ariana Grande  ,7 rings,
  Michael Jackson  ,A Place With No Name,
"  Tony Bennett ,  Amy Winehouse  ",Body And Soul,
  Boy In Space  ,On A Prayer (feat. SHY Martin),
  Jamie Cullum  ,Bury A Friend,
  Eva Cassidy  ,Imagine,
  Blue System  ,"Thank God, It`s Friday Night",
  Jacob Sartorius  ,Selfish,
  Janet Jackson  ,SloLove,
  Celine Dion  ,Encore Un Soir (Album Ver.),
  Blue  ,Best In Me,
"  Daryl Hall ,  John Oates  ",You Make My Dreams,
  Michael Jackson  ,Slave To The Rhythm,
  Human Nature  ,Stand By Me,
  Modern Talking  ,Cheri Cheri Lady,
  Pentatonix  ,Hallelujah,
  Jake Bosci  ,Abbot Kinney,
  Kilo Kish  ,BOTH SIDES,
  Melanie C.  ,I Turn To You (Hex Hector Radio Mix),
  J.Fla  ,Stressed Out,
"  Bea Miller ,  Snakehips  ",NEVER GONNA LIKE YOU,
  Louis Yoelin  ,Shy Girl,
  ABBA  ,"My Love, My Life",
  Jack Vandervelde  ,My Mind (Acoustic),
  The Osmonds  ,Long Haired Lover From Liverpool,
  Tom Odell  ,Another Love,
"  Nicky Romero ,  Anouk  ",Feet On The Ground,
  Various Artists  ,Bridge Over Trouble`d Water,
  Sabrina Carpenter  ,Thumbs,
  Michael Jackson  ,Keep The Faith,
  Tana Mongeau  ,Fuck Up,
  Madonna  ,I Don`t Give A (Feat. Nicki Minaj),
  Zara Larsson  ,So Good (Feat. Ty Dolla $ign) (GOLDHOUSE Remix),
  Ben Folds  ,Still Fighting It,
  C-Note  ,I Like,
  Harry Styles  ,She,
  Sabrina Carpenter  ,Diamonds Are Forever,
  The Ludvig  ,I`m in Love With You,
  Frank Walker  ,Stitch Em Up (feat. Justin Jesso),
  Vazquez Sounds  ,Let It Be,
  Lapsley  ,Brownlow,
  Barry Manilow  ,Looks Like We Made It,
  Yonezu Kenshi  ,Petrichor,코레 메카 레나 이건 일지 모르다 후카 리노 타치 메타 바쇼 깊다 안개 토리 아루키 츠즈케타 혼자 계속 걷기 시작 도코 크다 와카 마마 어디 가다 모르다 이마 나다 아테 나쿠 갈다 곳도 없이 미모 미츠 카라즈 의미 찾다 헤매다 코코 유레루 비다 코노 우미 마음 흔들리다 바다 레인 코토오 하우 스이테키 하지케테 오다 이쿠 우비 기다 물방울 터지다 떨어지다 가다 므나 시사 마다 츠놋테 이쿠 공허하다 아직 쌓이다 있다 마타 보쿠 다이지 코토오 와스 레테 사마요 보우 레이 다시 소중하다 잃다 헤매다 망령 이츠마데 탓테모 에나 아무리 시간 지나다 노래 없다 마치 가이사 와카 나이 잘못 조차 모르다 코코 이마 쿠우쿄 메다 카이토 소우 이콘 여기다 공허하다 세계 믿다 보쿠 아루이테쿤닷테 걸어가다 있다 사케 카레 타마마 소릴 지르다 지치다 코레 메카 레나 이건 일지 모르다 토스 레바 이츠 메루 노카 언제 깨다 걸다 모시 메누 유메 혹시 깨다 없다 꾸다 소레 유메토 요베루 로우 그것 있다 타이 카라 다니다 카에루 아메 후리 무겁다 막히다 내리다 킷토 마다 코코 유레루 타룬다 쿠우 분명 아직 마음 흔들리다 공기 이산보 츠보미 키오 츠키 믓테 이루 태산목 꽃봉오리 내쉬다 잠들다 있다 므나 시사 마다 츠놋 이쿠 공허하다 아직 쌓이다 가다 쵸시테 도우 모나 사마요 보우 레이 무섭다 주저 어쩔 수가 없이 헤매다 망령 레카 세이 마이타이 누군가 버리다 싶다 소레스 도우 카시 코코 이마 쿠우쿄 메다 그것 어렵다 여기다 공허하다 카이토 소우 이콘 타다 타다 소우 모이 콘데 세상 믿다 그냥 그렇게 믿다 므나 시사 노시 카카 공허하다 짓눌리다 마타 보쿠 다이지 코토오 와스 레테 사마요 보우 레이 다시 소중하다 잃다 헤매다 망령 이츠마데 탓테모 에나 아무리 시간 지나다 노래 없다 마치 가이사 와카 나이 잘못 조차 모르다 코코 이마 쿠우쿄 메다 카이토 소우 이콘 여기다 공허하다 세계 믿다 보쿠 아루이테쿤닷테 걸어가다 있다 사케 카레 타마마 소릴 지르다 지치다 아루키 츠즈케 타마마 계속 걷다
  Why Don`t We  ,Come To Brazil,
  Nico & Vinz  ,Our Love,
  Mariah Carey  ,Petals,
  Arin Ray  ,Who Came Up Missin,
  Justin Bieber  ,One Less Lonely Girl (Album Version),
  Atomic Kitten  ,The Tide Is High (Get The Feeling),
  Debbie Gibson  ,Electric Youth ,
  Smokey Robinson  ,Speak Low (Album Ver.),
  Olly Murs  ,Love Me Again,
  Motley Crue  ,Shout At The Devil,
  Sara Bareilles  ,Machine Gun,
  Thirty Seconds To Mars  ,Walk On Water,
  Halsey  ,Angel On Fire,
  Paul Simon  ,Loves Me Like A Rock,
  Ava Max  ,My Way,
  Danny & The Veetos  ,Alright,
  Carla Bruni  ,Dolce Francia (Live),
  Conor Maynard  ,Another One,
  Katy Perry  ,California Gurls (Feat. Snoop Dogg),
  Simon & Garfunkel  ,April Come She Will,
  YUNGBLUD  ,Die A Little,
"  Zac Efron ,  Zendaya  ",Rewrite The Stars,
  Foxes  ,Wicked Love,
  Putochinomaricon  ,No Quiero Salir,
  Tom Odell  ,Half As Good as You (feat. Rae Morris),
  MGMT  ,Congratulations,
  Adam Lambert  ,Time For Miracles,
  Avril Lavigne  ,Goodbye,
  Human Nature  ,Walk the Tightrope,
  Ashley Tisdale  ,Hot Mess,
"  Lewis Capaldi ,  Delta Jack  ",Bruises (Delta Jack Remix),
  Avonlea  ,Big Kid,
  Christina Aguilera  ,Oh Holy Night,
  Tim Kamrad  ,Heartbeat,
  Mariah Carey  ,Emotions (Club Mix),
  Ewan McGregor  ,El Tango De Roxanne,
  Sabrina  ,Treasure,
  Alesso  ,Heroes (we could be) (Feat. Tove Lo),
  Ria Mae  ,Bend,
  Madonna  ,Get Together (Album Ver.),
  Jennifer Lopez  ,I`m Real (Murder Remix Feat. Ja Rule-Clean Version),
  Why Don`t We  ,Friends,
  N Sync  ,Girlfriend,
  Iselin  ,Lost,
"  Liberty ,  City  ",I Met Her In Miami,
  Kylie Minogue  ,No More Rain,
  Stacey Kent  ,If I Had You,
  Mabel  ,Thinking Of You (Feat. AJ Tracey) (Cadenza Remix),
  Royal Estate  ,Pacing,
  Bazzi  ,Who Am I?,
  Shirley Bassey  ,Big Spender,
  Machine Gun Kelly  ,why are you here,
  Eric Benet  ,The Last Time,
  C21  ,When Your Love Is Too Far,
  Leona Lewis  ,Alive,
"  M.I.L.K. ,  Benny Sings  ",Prisoner,
  Stefanie Heinzmann  ,Falling,
  Pixie Lott  ,Gravity,
  Julia Kedhammar  ,Everywhere,
  Luke McMaster  ,"Good Morning, Beautiful (Feat. Jim Brickman)",
  Tommee Profitt  ,In The End (Mellen Gi Remix) (Feat. Fleurie),
  Bahari  ,California,
  Peabo Bryson & Roberta Flack  ,Tonight I Celebrate My Love,
  Enrique Iglesias  ,Takin` Back My Love (Feat. Sarah Connor),
  Jae Jin  ,All Caught Up,
  Guy Sebastian  ,Small Talk,
  Angel Olsen  ,New Love Cassette,
  Sharleen Spiteri  ,The Sound Of Silence,
  Feng Suave  ,Noche Oscura,
  Eric Benet  ,Cracks Of My Broken Heart,
  Portrait  ,I Can Call You,
  Pet Shop Boys  ,Suburbia,
  N Sync  ,Pop,정말 사람 우리 대해 듣다 지겹다 가수 인기 인기 언제 사라지다 끄다 이야기 너희 두다 가지다 우리 유행 아니다 우리 타고나다 음악 있다 마지막 지키다 나가다 너희 우리 이르다 저러다 달다 우리 우리 좋아하다 자다 있다 어디 한번 똑같이 해주다 우리 주위 시기 질투 느끼다 지겹다 그냥 일이 우린 우리 너희 정말 모르다 이렇다 전혀 중요하다 않다 타다 걸리다 보석 따위 정말 중요하다 너희 존중 문제 깨닫다 거지 전혀 중요하다 않다 입다 장소 이유 따위 정말 중요하다 노래 너희 우리 매번 그렇게 만들다 거지 너희 한번 궁금하다 생각 보다 없다 음악 너희 이렇게 신나다 건지다 너희 서서히 흔들리다 시작 멈추다 해도 멈추다 없다 이미 음악 완전하다 빠지다 이렇다 바로 이렇다 노래 지겹다
  Jess Glynne  ,Gave Me Something,
  Michael Jackson  ,The Way You Make Me Feel,
  George Ezra  ,Paradise,
  Lindsay Lohan  ,Rumors,
  Demis Roussos  ,When Forever Has Gone,
  Lana Del Rey  ,Dark Paradise,
  J.Fla  ,Bohemian Rhapsody,
  Ricky Martin  ,Vida (Spanish Ver.),미신 빠지다 검다 고양이 부두교 마법 인형 불길하다 예감 들다 완전하다 사로자다 같다 새롭다 자극 찾다 촛불 밝히다 새롭다 스릴 즐기다 매일 밤낮 새롭다 중독 빠져들다 당신 벗기다 빗속 춤추다 만들기 당신 광란 생활 만들다 당신 고통 없애다 총알 머리 박히다 고통 섞이다 뜨겁다 열정 살다 당신 밀다 당기다 겁니다 뜨겁다 열정 살다 입술 악마 붉다 피부 모카 랍니 당신 완전하다 지치다 뜨겁다 열정 살다 뜨겁다 열정 뉴욕 허름 싸구려 호텔 보다 마음 가져가다 버리다 가져가다 버리다 나다 모르다 사이 수면제 먹이다 틀림없다 그냥 말다 비싸다 프랑스 샴페인 주문 일단 매력 나다 당신 이상 같다 사람 없다 당신 미치다 버리다 당신 벗기다 빗속 춤추다 만들기 당신 광란 생활 만들다 당신 고통 없애다 총알 머리 박히다 고통
"  Jermaine Jackson ,  Pia Zadora  ",When The Rain Begins To Fall (서울패밀리 `이제는` 원곡),
  Andreas Johnson  ,Glorious,
  Black Coast  ,Trndsttr (Feat. M. Maggie) (Lucian Remix),
  Elias  ,Scars,
  The Moody Blues  ,For My Lady,보트 폭풍 바다 항해 눈물 채우다 대양 헤치다 드디어 항구 보이 당신 발견 인생 기꺼이 드리다 우아하다 여인 위해 아낌없이 전부 드리다 여인 인생 미풍 흘러가다 한숨 내쉬다 고개 숙이다 당신 나지막하다 울음소리 들다 있다 우리 외롭다 당신 행동 효과 있다 하나 당신 사랑 태양 항해 느끼다 나누다 모두
  Laura Doggett  ,Searching,
  Prince  ,Life `O` The Party,
  HRVY  ,Told You So,
  BØRNS  ,Seeing Stars,
  Mariah Carey  ,Can`t Take That Away,
"  Topic ,  Vigiland ,  Christopher  ",Let Us Love,
"  WENGIE ,  민니 ((여자)아이들)  ",EMPIRE - Korean Ver.,이루다 모두 보다 아무 넘다 없다 이루다 나르다 보다 나르다 보다 아무 넘다 없다 들다 보다 느끼다 보다 내려놓다 모두 보라 왕관 빛나다 자리 소장 따르다 보다 매일 불다 이제 그리다 이루다 모두 보다 아무 넘다 없다 이루다 나르다 보다 나르다 보다 아무 넘다 없다 들다 보다 느끼다 보다 내려놓다 모두 보라 왕관 빛나다 모든 벗다 비추다 마시다 원한 기대다 차갑다 돌아서다 바로 입술 불다 이루다 모두 보다 아무 넘다 없다 이루다 나르다 보다 나르다 보다 아무 넘다 없다 들다 보다 느끼다 보다 내려놓다 모두 보라 왕관 빛나다
  Angel Olsen  ,Lark,
  Miss Li  ,Tuck You In,
  Lukas Graham  ,Funeral,
  Blue  ,When Summer`s Gone,
