artist,title,English_clean_lyric
  PARTYNEXTDOOR  ,Not Nice,vacation time girlfriend mind girl girl corner whine timing corner whine gyal chance sexy body time dance gyal chance sexy body time dance time thing mind girl girl corner whine timing corner whine gyal chance sexy body time dance gyal chance sexy body time dance corner corner whine timing corner whine timing cause girl girl get combine feel watch put hold slow hold slow time take care feel watch put hold slow hold slow time hold hold slow hold slow feel watch put bad bad bad bad nice nice rude new nice nice rude nice mine nice mine bad bad bad right nice nice rude new nice nice rude nice mine nice mine nice rude new nice nice rude nice nice nice nice never right never never
  Sam Ock  ,Rollercoaster,honest truth time thing pain cause life people complain thing end home home let time cause time cause matter fellowship pain kind peace lack word time pride murder sound soul cry louder someone side brother sister wave pain firm breath share connection time anything day shine darkness time cause time cause matter thing course life fall way eternity heaven jesus truth smile face yes home home time cause time cause matter say see feel bless let get fight let come intimate show right come stop run stop run let let keep get stay leave say keep come come let let human easy many bad bad different good bad heard much much strong good good light bad bad til ill bad bad really really alone together never away else personally away together sometimes back back together
  dvsn  ,Can`t Wait,something someone nobody nobody see way way nobody treat life let time cause time life situation relationship wait nobody nobody see way way nobody treat life let time cause time life life let time cause time life time feel nobody waste wait find cause sit cause feel nobody waste wait find cause waste wait find cause perfect unpredictable short impatient short short short short never short damn back
  Alberta Hunter  ,My Handy Man Ain't Handy No More,man cause man thing ash grease churn butter man man needle wheat heat heater meat mess man man care man cause furnace everything man scheme honey way machine man handyman man mess flapjack table horse man handyman way dawn edge lawn man handyman word soul anything way ice chance cause piece man handyman say find find shake thread cream turn get amaze know clean say work see melt good hard sure blind best griddle fiddle handy handy mighty nice hot damp mine stable busy rough single hard poor front nice fresh everyday positively absolutely ever right sometimes never yard never away
  KIMM CHAAN  ,BLUE (Feat. AGER),everyday love night feel everyday little blue blue serious blue blue blue
  브라운 아이드 소울  ,Gone,love love love
  하루종일  ,시차증,love love love love love love love hour day time replay replay somebody date today regret somebody hour hour love love love love love love love love tell tell sick regret
"  88rising ,  NIKI  ",Indigo,type mark life light boy look land bet naw honey stop one town inhibition let borderline indigo let way home body top indica hatin clothes adagio attitude spunk gumption lot gratitude cause hop style thrill sport poster child none ear drive city skyline mind inhibition let borderline indigo let way home body top indica hatin clothes adagio baby slow indigo slow slow slow indigo indigo roll use stay let get psychoanalyze leave test find take impose touch slow poise function shut overthinking test find take impose touch slow right tonight high light fast last past real high psycho tonight boy long little attitude little little sweet little feisty let tonight boy long slow slow steady slow right first far right far still well baby ride far right far still slow
"  88rising ,  Rich Brian ,  Yung Bans ,  Yung Pinch ,  Higher Brothers ,  Don Krez  ",Red Rubies,aye aye aye ruby percs aye hook yung ban ruby perkys pop percs fight demon ban fight sprite lean ride ride thing ride cling ride choppa lil lil hoe dive pussy addies perkys mercy mercury slim cut hook yung ban ruby perkys pop percs fight demon krez ruby need college point fuckin night coffee pussy change thanks jungle cause snake break soul ruby rot day pray hook yung ban ruby perkys pop percs fight demon masiwei ruby jello strawberry dick dick block hater pussy chanel drip joke ban ruby perkys pop percs fight demon yung pinch dreamin bleeding end demon youngin son hundred band pocket rocket way option option option option option pinch surf lurkin make take hit ignore stay afford ring see see want wait say trust feel run god win make make stomach wit feel suck red want stay kinda make hat look work sleep speak look hook make know cut stop fight help look suppose live count take stop see win get get get get want sleep red aye red sleep ten yung nigga dirty freaky squirter turtle lean high red sleep ten rich brian choose future seein red sleep ten red rich cute chinese yung red sleep ten real deep deep nobody obnoxious obnoxious bad away away away still rather alone really away ever away never even still away ever outro
  The-Dream  ,Forever,
  샘김 (Sam Kim)  ,그 여름밤,day day day day sunny next next sunny right right
"  헨리 (HENRY) ,  박정현 ,  하림 ,  임헌일  ",I LUV U (아말피 밤바다 버스킹 Ver.),side
