artist,title,Korean_clean_lyric
  PARTYNEXTDOOR  ,Not Nice,
  Sam Ock  ,Rollercoaster,
  dvsn  ,Can`t Wait,
  Alberta Hunter  ,My Handy Man Ain't Handy No More,
  KIMM CHAAN  ,BLUE (Feat. AGER),서서 기다리다 걸어오다 그리다 예쁘다 괜히 불안하다 무심하다 애쓰다 모르다 남자 타다 괜히 억울하다 내겐 배려 없다 아름답다 바라보다 비추다 계속 내다 아니다 빛나다 너무 예쁘다 불안하다 같다 않다 마냥 좋다 않다 너무 예쁘다 남자라면 한번 쳐다보다 지나가다 아마도 머릿속 계속 생각 나서다 이루다 물론 그렇다 않다 오해 말다 있다 어리다 다른 사람 절대 모르다 아마도 두다 없다 그렇다 내다 오다 너무 예쁘다 불안하다 같다 않다
  브라운 아이드 소울  ,Gone,모두 잊어버리다 지우다 버리다 빈자리 지나 아니다 아니다 바보 모르다 보다 많이 보고 싶다 얼굴 떠올리다 보다 모습 사랑 모르다 가리다 모르다 버리다 바보 같다 같다 주다 있다 더디다 사랑 이제야 늦다 불다 희미하다 떠나다 사랑 모두 주다 나르다 잊다 이제야 사랑 아프다 같다 주다 있다 더디다 사랑 이제야 늦다 불다 희미하다 떠나다 사랑 모두 주다 나르다 잊다 이제야 사랑 아프다 떠나가다 사랑 다한 혼자 보내다 아프다 시간 이제 많이 늦다 잡다 멈추다 버리다 지우다 많이 사랑 나르다 잊다 이제 서다 사랑 내다 오다
  하루종일  ,시차증,그땐 떠나가다 그땐 내겐 무슨 필요하다 그땐 시간 멈추다 그땐 우리 사랑 내겐 무슨 필요하다 그땐 필요 없다 그냥 멈추다 있다 그대로 지구 어딘가 아마 아직 흘러가다 있다 그래도 그렇다 무슨 핑계 이렇게 공간 서로 똑같다 다른 시간 멈추다 있다 그대로 하루 하루 며칠 지나다 지난 지다 수도 없이 걸다 시간 그저 숫자 지나다 않다 지나 온도 모르다 계속 보내다 멀어지다 돌다 오다 돌아오다 같다 우린 서다 있다 내다 멀어지다 시간 더디다 가다 격차 점점 가다 길다 점점 멀어지다 다른 시간 멈추다 그대로 매일 매일 며칠 지나다 지난 지다 수도 없이 걸다 시간 그저 숫자 지나다 않다 지나 온도 모르다 계속 보내다 멀어지다 돌다 오다 돌아오다 아마 시간 계속 흘러가다 어둔 혼자 이렇게 멈추다 그대로 멀어지다 시차 점점 커지다 좁히다 않다 며칠 지나다 지난 지다 수도 없이 걸다 시간 그저 숫자 지나다 않다 지나 온도 모르다 계속 보내다 멀어지다 돌다 오다 돌아오다 그땐 떠나가다 그땐 내겐 무슨 필요하다 시간 멈추다 그땐 우리 사랑 내겐 무슨 필요하다 그땐 아무 필요 없다 그땐
"  88rising ,  NIKI  ",Indigo,
"  88rising ,  Rich Brian ,  Yung Bans ,  Yung Pinch ,  Higher Brothers ,  Don Krez  ",Red Rubies,
  The-Dream  ,Forever,해오다 모두 잃다 세상 구원 죽다 십자가 달다 보혈 흘리다 모든 저주 지다 외면 마지막 숨소리 어둠 주가 무덤 전투 죽음 싸우다 어둠 권세 무너지다 흔들리다 돌문 열리다 이기다 없다 완전하다 사랑 사망 어디 있다 부활 주님 사망 권세 이기다 영원하다 영광 받다 영원하다 높이다 받다 영원하다 승리 사다 사다 흔들리다 돌문 열리다 이기다 없다 완전하다 사랑 사망 어디 있다 부활 주님 사망 권세 이기다 영원하다 영광 받다 영원하다 높이다 받다 영원하다 승리 사다 사다 영원하다 영광 받다 영원하다 높이다 받다 영원하다 승리 사다 사다 찬양 할렐루야 찬양 할렐루야 찬양 할렐루야 승리 어리다 찬양 할렐루야 찬양 할렐루야 찬양 할렐루야 승리 어리다 찬양 할렐루야 찬양 할렐루야 찬양 할렐루야 승리 어리다 찬양 할렐루야 찬양 할렐루야 찬양 할렐루야 승리 어리다 찬양 할렐루야 찬양 할렐루야 찬양 할렐루야 승리 어리다 찬양 할렐루야 찬양 할렐루야 찬양 할렐루야 승리 어리다 영원하다 영광 받다 영원하다 높이다 받다 영원하다 승리 사다 사다 영원하다 영광 받다 영원하다 높이다 받다 영원하다 승리 사다 사다
