artist,title,Korean_clean_lyric
  Lil Twist  ,Little Secret (Feat. Bow Wow),
  양홍원  ,Rhyme Travel (Prod. By Tiger JK) (Feat. Tiger Jk),한계 마주 떠나다 분명 우리 가끔 넘어지다 눈물 흘리다 있다 그건 마치 같다 이름 붙이다 어둠 걷다 이제 제대로 보이다 터널 내리다 줄기 눈부시다 눕다 만큼 걔넨 쉬다 근데 빠르다 소외 되다 모든 래퍼 왼발 다음 양쪽 마천 망가지다 남다 친구 안전하다 근데 여전하다 말다 현재 변하다 미래 변하다 과거 영원하다 기억 떠나다 않다 한계 마주 거울 째다 시작 되다 이기다 자다 존재 않다 한계 마주 거울 째다 시작 되다 이기다 자다 존재 않다 중학교 우린 똑같다 있다 같다 착각 우리 먼저 가을 패딩 걸치다 벗다 던지다 검은색 그린 도깨비 용이 없다 우린 왜인 그게 보이다 따라가다 거리 없이 마음 편하다 역시 아니다 그건 아빠 무너지다 깨달음 엄마 배달 전의 아예 다른 괜찮다 그만하다 오다 응원 모습 보다 희다 아프다 생각 해보다 다시 있다 그것 처음 꿈꾸다 현재 모습 한계 마주 거울 째다 시작 되다 이기다 자다 존재 않다 한계 마주 거울 째다 시작 되다 이기다 자다 존재 않다 한계 마주 거울 째다 시작 되다 이기다 자다 존재 않다 한계 마주 거울 째다 시작 되다 이기다 자다 존재 않다
  VMC  ,"VISTY LOOP (Feat. Don Mills, Brasco, Deepflow, Rocky L, 넉살)",파리 맘대로 비주류 세우다 기준 필요 없다 비누 풀리다 광대 대다 피하 불다 자꾸 귀찮다 엄연하다 기업 기업 사무실 달력 곡해 실컷 실컷 합정 대학 누군가 놓다 실패하다 인정 완전 대박 그만 해주다 꼴값 없다 몸빵 희다 대신 손가락 겁나다 바쁘다 오빠 거기 침대 여친 아프다 보다 이제 그만 파고 제발 시계 돌아가다 지구 돌아가다 빼박빼박 섭리 거스 없다 해보다 해보다 부르다 자연 느끼다 먹이사슬 그렇다 심지 붙이다 뭉치다 폭탄 덩어리 순서 도려내다 버리다 목젖 잡다 흩다 뿌리다 외치다 뱃살 배짱 이건 계산 없이 두다 패싸움 와이키키 브로스 반전 되다 성공 장마 시즌 어서 비명 지르다 우린 래퍼 분리 김성모 패턴 파악 패거릴 모두 버리다 걔네 들다 타고 색깔 잃다 갈다 우린 보다 어디 가다 래퍼 치다 맞다 자의식 과잉 싸다 가다 의식 아니다 같다 다시 듣다 오다 보다 앨범 장르 유명인 장래희망 벌써 이루다 같다 부럽다 변절 되다 유명하다 성공 가지다 없다 유일하다 무기 정공 빨다 들다 갈다 우린 스타일 올라오다 무대 군대 전역 짜다 투리 동안 보여주다 회사 이어지다 그때 날기 전의 누에 모기 래퍼 무대 스튜디오 여기다 무법 지대 듯이 뱉다 보다 세우다 핏대 그렇다 보다 나오다 속이다 껍데기 어서 나오다 보다 거리 인터넷 소매 나오다 없다 제발 빠지다 나오다 혹은 같다 걔넨 이름 조차 빌리다
  BRADYSTREET  ,whereyougoin?,시간 이르다 시간 이르다 다른 남자 전부 강간범 아직 시간 이르다 시간 이르다 시간 이르다 복잡하다 생각 비우다 놓다 힘드다 시간 지나 오늘 즐기다 되다 내일 걱정 어차피 힘들다 생각 내려놓다 시간 이르다 시간 이르다
  YDG  ,탄띠,이등병 어디 일등병 어디 상병 어디 병장 병장 초병 경계 바로 땅개 군대 가다 오다 아빠 세대 우리 고유 세대 전방 군기 쎄다 가면 완전 천리 행군 배고프다 라면 끄다 라면 끄다 라면 끄다 라면 끄다 먹다 어디 가다 탄피 탄피 쏘다 탄피 라따 리또 하나 탄띠 탄띠 탄띠 탄띠 어디 가다 탄피 탄피 쏘다 탄피 라따 리또 하나 탄띠 탄띠 탄띠 탄띠 이등병 어디 일등병 어디 두려움 따위 부디 부디 부딛히다 유혹 따위 뿌리 뿌리 뿌리치다 양동 구리 들다 흔들다 끼다 부리 부리 치다 고무신 사출 휴가 잘리다 가버리다 가버리다 행복하다 살길 삽질 전역 살길 길이 길이 어디 가다 탄피 탄피 쏘다 탄피 라따 리또 하나 탄띠 탄띠 탄띠 탄띠 어디 가다 탄피 탄피 쏘다 탄피 라따 리또 하나 탄띠 탄띠 탄띠 탄띠 선임 후임 선임 후임 선임 후임 선임 구씨 들어가다 작년 오다 위문 열차 죽지 않다 오다 죽지 않다 오다 구씨 들어가다 작년 오다 위문 열차 죽지 않다 오다 죽지 않다 오다 어디 가다 탄피 탄피 쏘다 탄피 라따 리또 하나 탄띠 탄띠 탄띠 탄띠 어디 가다 탄피 탄피 쏘다 탄피 라따 리또 하나 탄띠 탄띠 탄띠 탄띠 이등병 어디 일등병 어디 상병 어디 전방 힘차다 함성 발사
  타피  ,비는 오는데 너는 안와 (Feat. 스트링거),부슬비 오다 동네 방안 있다 창문 바라보다 창밑 물밖 보이다 불빛 보다 전혀 리지 않다 핸드폰 에어 플레인 모든 많이 바쁘다 그러면 한숨 끄다 음악 눈감다 에이 오다 피곤하다 정신 새다 진동 민감하다 이유 안해 매일 기분 좋다 나쁘다 파도치다 헤엄 싶다 무척 저을 힘들다 웃다 있다 따라가다 되다 북극성 비다 오다 오다 길이 험하다 오다 빠지다 보다 비다 오다 오다 길이 험하다 오다 빠지다 보다 비다 오다 오다 길이 험하다 오다 빠지다 보다 비다 오다 오다 길이 험하다 오다 빠지다 보다 약속 잡다 벌써 답답하다 하루 겨우 쉬다 그만 안녕하다 아쉽다 벌써 바지 주머니 넣다 같다 않다 농담 보다 창작 공장 돌아가다 기분 좋다 소란하다 따다 볼때 어느새다 돌아보다 자꾸 주다 어미 같이 미소 감추다 조커 따라다니다 막내 조카 목화 덥다 콜라 아이스크림 가지 고르다 나다 결국 손해 모르다 이미 노예 비다 오다 오다 길이 험하다 오다 빠지다 보다 비다 오다 오다 길이 험하다 오다 빠지다 보다 비다 오다 오다 길이 험하다 오다 빠지다 보다 비다 오다 오다 길이 험하다 오다 빠지다 보다 오다 핸드폰 연락 오다 계속 보다 기다리다 가끔 오다 기다리다 문제 원래 오다 핸드폰 연락 오다 계속 보다 기다리다 가끔 오다 기다리다 문제 원래 오다 핸드폰 연락 오다 계속 보다 기다리다 가끔 오다 기다리다 문제 원래 오다 핸드폰 연락 오다 계속 보다 기다리다 가끔 오다 기다리다 문제 원래 비다 오다 오다 길이 험하다 오다 빠지다 보다 비다 오다 오다 길이 험하다 오다 빠지다 보다 비다 오다 오다 길이 험하다 오다 빠지다 보다 비다 오다 오다 길이 험하다 오다 빠지다 보다
  엘큐 (LQ)  ,엘자객 Remix,영등포 니아 술판 널리 퍼지다 모두 들이키다 준비 모두 미치다 준비 이제 준비 어제 쉬다 오늘 늘어지다 있다 없다 이틀 나가다 억울하다 먼지 쌓이다 같다 얼굴 털다 우울함 걷다 전화 걸다 아무 번호 그래도 여자 별로 없다 그냥 놀다 거리 작업 되다 되다 상상 은행 들르다 자고 지갑 채우다 이루다 세종대왕 제왕 만들다 제발 역시 미치다 동네 구나 아름답다 사람 모이다 놀다 오다 해주다 좋다 남다 모르다 영등포 니아 자객 시간 오늘 행차 영등포 니아 자객 시간 오늘 행차 받다 받다 괴씸 자식 마시다 버리다 받다 받다 괴씸 자식 마시다 버리다 받다 받다 괴씸 자식 마시다 버리다 받다 받다 괴씸 자식 마시다 버리다 생산 전혀 없다 파괴 숫놈 없다 암담하다 그래서 한번 발악 해보다 초면 모두 보다 힘빠지다 용다 들이다 남다 자리 독기 남지 않다 평균 나이 필요없다 그냥 계속 채우다 마음 비우다 오늘밤 이렇게 때우다 폭탄 잭콕안 레몬 원샷 원샷 가다 열쇠 구멍 찾다 이건 나다 죽다 버리다 우린 매번 우리 잔인하다 그래도 보내다 확실하다 내일 되어다 버리다 미치다 달리다 영등포 니아 자객 시간 오늘 행차 영등포 니아 자객 시간 오늘 행차 받다 받다 괴씸 자식 마시다 버리다 받다 받다 괴씸 자식 마시다 버리다 받다 받다 괴씸 자식 마시다 버리다 받다 받다 괴씸 자식 마시다 버리다
  MC 스나이퍼  ,그대만이 그대니라,그대 대니 그대 어디 그대 부디 돌아오다 그대 어디 그대 부디 돌아오다 정처 없이 불다 바람 노을 범람 겨울 소린 소란 마음 쏟아지다 깊다 행선 지르다 잃다 길이 막히다 사랑 아래 실수 없다 사람 보다 그리움 진하다 파란 걸리다 그대 짙다 향기 맴돌다 제발 돌아보다 사랑 대다 지키다 대다 키우다 대다 그대 어깨 넘다 불편하다 기다림 지치다 감정 유희 쓰러지다 겨울비 눈부시다 장미 소리 없이 있다 그대 없다 울다 소리치다 사랑 불꽃 어서 나르다 태우다 어째서 그대 모르다 그대 잊다 한참 아프다 채물 사랑 쓸쓸하다 기분 달래 쏟아지다 사랑 시르다 써다 멎다 같다 죽다 같다 없다 삶다 사형수 같다 눈물 멈추다 않다 시름 다가 사랑 지켜보다 이대로 않다 고프다 전화 늦다 안타깝다 서른 살의 수채화 눈물 비화 시련 노래 슬프다 사랑 찬가 사랑 대다 지키다 대다 키우다 대다 밤길 재촉 기억 쉬다 아픔 시간 젖다 날개 어가 어둠 가다 고프다 죽지 하나 사랑 조각 사랑 불꽃 어서 나르다 태우다 어째서 그대 모르다 그대 잊다 한참 아프다 채물 사랑 쓸쓸하다 기분 달래 쏟아지다 사랑 시르다 써다 지나치다 사랑 열망 미치다 잔인하다 단절 되다 사랑 이해 있다 떨리다 눈물 바람 날다 시간 발목 잡다 애쓰다 시간 날리다 사이 작렬 기억 파편 편의 장편소설 같다 기억 위로 날개 펴다 이렇다 나르다 삼키다 돌이키다 없다 깊다 방황 안녕 어째서 대다 모르다 그대 잊다 한참 아프다 채물 사랑 쓸쓸하다 기분 달래 쏟아지다 사랑 시르다 써다 어째서 대다 모르다 그대 잊다 한참 아프다 채물 사랑 쓸쓸하다 기분 달래 쏟아지다 사랑 시르다 써다
  릴러말즈 (Leellamarz)  ,Black hole (Feat. oceanfromtheblue),멈추다 없다 오늘 우린 서로 빠지다 없다 저기 깊다 참을성 어리다 한발 먼저 다가가다 맞춤 벗다 오늘 걱정 이불 치우다 두다 얘기 들어주다 새우다 멈추다 없다 오늘 우린 서로 빠지다 없다 저기 깊다 짧다 사이 밤새다 사이 확실하다 해주다 좋다 관계 정선 종점 함께 해주 혹시 그게 아니다 일어나다 떠나다 다른 필요하다
  Rob Black  ,"Influencer (Feat. Big2, Stepherd)",
  M.O.P.  ,Downtown Swinga `96,
"  윤하 (YOUNHA) ,  칸토  ","All-Day, Everyday (Dunkin Ver.)",싱그럽다 햇살 함께 하루 시작 매일 나르다 이끌다 향기롭다 커피 제일 좋아하다 던킨 베이글 행복 느끼다 오늘 나르다 사랑 해주다 치다 어깨 펴다 주위 있다 행복 멀리 있다 않다 걱정 일상 작다 즐거움 보다 리얼 바디 커피 함께 즐기다 있다 베이글 치아바타 잉글리쉬 머핀 로움 바로 언제나 가까이 기다리다 함께 있다 즐거움 행복하다 매일 만들다 바쁘다 일상 매일 반복 되다 생활 로움 필요하다 브리또 매일 신선하다 맛있다 샐러드 기분 좋다 나르다 밝다 빛나다 막히다 도로 멈추다 넣다 내일 행복 찾다 힐링 단어 붙이 멀다 찾다 떠나다 이제 그렇다 필요 없다 행복 주위 가깝다 있다 리얼 바디 커피 베이글 머핀 여유 즐기다 바로 던킨 언제나 가까이 기다리다 함께 있다 즐거움 행복하다 매일 만들다 치다 어깨 펴다 주위 있다 행복 멀리 있다 않다 걱정 행복하다 매일 만들다
  제리케이 (Jerry.k)  ,Childish Ego (Feat. Soul One),있다 과자 채운 가방 차표 안녕 이제 가보다 있다 과자 채운 가방 차표 안녕 이제 가보다 닮다 명의 나가다 빌다 거울 보다 설레다 미소 엎드리다 혼자 울다 개다 들다 함께 있다 확인 모습 감정 매력 강점 약점 모순 이를테면 아직도 얼굴 피다 여드름 열정 증거 걸다 전부 샤워 왼쪽 고개 꺾다 거울 보이다 얼굴 그게 자존심 그렇다 나다 제법 잘나다 다만 그렇게 생기다 보이 기르다 바라지 누군가 어리다 크다 사람인 보다 아직 꼬마 아직도 어리다 떼다 어렵다 떠나다 버리다 래야 진짜 되다 있다 이별 때론 애기 변하다 모습 자기 모르다 맞다 틀리다 옛날 자기 그렇다 어리다 굳다 팔베개 해주다 안기다 냄새 맡다 만지다 좋다 보다 인척 아직도 나다 모르다 서다 나르다 모르다 거울 서다 보다 여전하다 모르다 있다 힘껏 주먹질 그리다 놀라다 다섯 조각 거울 다섯 명의 모습 다른 각도 있다 얼굴 나르다 노려보다 이기다 배다 강하다 아직도 어리다 떼다 어렵다 떠나다 버리다 래야 진짜 되다 있다 작별인사 오늘 항상 없이 살다 꼬마 멀리 보내다 졸업식 항상 지고 살아가다 없다 뛰어가다 다리 주저 앉다 무릎 굽히다 없다 계단 오르다 위해 굽히다 안다 있다 미니미 그때 다시 만나다 있다 과자 채운 가방 차표 안녕 이제 가보다
  Black Eyed Peas  ,Love You Long Time (Album Version),
  마일드 비츠  ,Deal With Us (Bigdeal Anthem 2007) (Bonus Track) (Remastered),박살 내버리다 준비 매일 써다 내려가다 복수 백서 주다 박스 벗다 던지다 새롭다 변하다 보다 분명 보다 직하다 동대문 의상 시선 묶다 대중 새롭다 힙합 알리다 끄다 벗다 던지다 힙합 그건 지키다 끄다 고수 뭔갈 알다 친구 다시 감다 뜨다 강간 사건 범인 껍데기 마이크 뺏다 팔이 랩퍼 앨범 내놓다 생떼 써다 이빨 깔다 방면 뚫리다 가리다 방법 유일하다 내다 꽂다 나오다 차이 실력 고작 꼬마 작품 공장 대상 미만 대중성 핑계 날로 먹다 티나 펀치 라인 없다 앨범 따위 먹다 스타일 정신 잃다 허락 너희 소리 기회 스타일 정신 잃다 허락 너희 소리 기회 빅딜 이렇다 나름 정의 우리 스타일 전부 거기 거기 닥치고 니넨 꺼지다 멍청하다 문제 어딜 가도 트랙 마치 지다 다섯 점수 받다 따윈 진짜 좋다 건지다 싶다 우리 모두 주목 진흙 진주 중심 준비 되다 않다 자다 무릎 꿇다 멈추다 않다 행진 승리 부르다 낮다 실력 등단 평화 거만하다 몸가짐 거리 헤매다 두다 호흡 멈추다 심폐 실첸 이미 시체 음악 생활 제대로 포부 있다 건지다 없이 무너지다 실력 대답 사랑 있다 어딘 힙합 어린이 듣기 특긴 거리 거닐다 물리 치다 수백 수천 주저 노랗다 심장 새기다 두다 잃어버리다 소리 내다 스타일 정신 잃다 허락 너희 소리 기회 스타일 정신 잃다 허락 너희 소리 기회 어긋나다 운명 조각 맞추다 거짓 되다 규정 규칙 바로 예견 되다 아주 나쁘다 이제 도려내다 모두 추다 오다 면도칼 같다 목소리 무기 조용하다 등뒤 다가가다 찌르다 버리다 킬러 뱉다 무대 세상 뜨겁다 덥다 사랑 존경 가지다 껍데기 벗기다 바로 꺼지다 묶다 때리다 뭐라다 목소리 황폐 위로 들다 대략 공백 깨다 다시 나선 컴백 애초 나다 온통 뜨내기 어이없다 플레이 불행 쓰레기 썩다 빠지다 트랙 난무 바닥 판도 뒤엎어 아니다 사공 많다 가능성 따위 없다 돌아가다 소꿉장난 놀이 않다 힘드다 소리 해대 면서 현실 도피 비극 같다 현실 무너지다 변치 않다 같다 어김없이 변질 거치다 없다 우리 역시 전진 없다 부딪히다 포기 없다 굳다 마르다 차디차다 고통 금고 지키다 영혼 자리 온통 탄식 목청소리 울리다 퍼지다 오늘 혼돈 맞이 벼랑 뜨다 밉다 현실 귓가 넌지시 유혹 질문 던지다 이름 지니다 집행 권한 견디다 자신 없다 여기다 당장 떠나다 지켜보다 위선 절벽 느끼다 절망 끝내 나가다 욕망 대다 선악과 불길 점화 거치다 노래 스타일 정신 잃다 허락 너희 소리 기회 스타일 정신 잃다 허락 너희 소리 기회
  M.O.P.  ,Lifestyles Of A Ghetto Child,
"  Sirenz ,  Moeazy  ",Impact,
  정크야드 (JNKYRD)  ,The Judge (Feat. Lizabett Russo),허구 계속 촌스럽다 세련 데헷 그렇다 느낌 느낌 느낌 기준 대해 시끄럽다 토론 위해 애매하다 대답 무슨 말다 같다 도시 커다랗다 런웨이 끄다 매일 심사 위원 심사 위원 시각 시각 변화 평가 문항 늘다 대충 평가자 평가 평가 받다 평가자 가짜 진짜 구별 보다 까다롭다 잘나가다 보이다 르포 보다 나오다 사람 마음 저울 달리다 투시 경이 외국 단어 하나 건너 넘치다 수식어 아빠 오빠 찔리다 빌리다 아마 크다 잘살다 같다 함께 곁들이다 스토리 텔링 예쁘다 뿌리다 천사 편집 귀하다 그건 유행 유행 유명하다 그건 미워하다 손가락 유리 사진 찾기 위해 마지막 코스 어김없이 등장 저울 코스프레 병과 비교 비교 비교 핑계 항상 이기다 이기다 이기다
