artist,title,English_clean_lyric
  The Unlikely Candidates  ,Your Love Could Start A War,know got ta love name written streets force nature fires running feet ohhh love love could start war love fighting would would die revelation ohhh love love could start love could start war dawn break thumb knees play game pressure getting stronger sleep burn sky constellation swear could die revelation ohhh love love could start war love fighting would die revaltation ohhh love love could start love could start war burn cry standing fear take life know end run dancin want fly hear singing tomorrow never dies would die revelation ohhh love love could start war love could start war fighting ohhh love love could start war love fighting would die revelation ohhh love fighting ohhh love love could start war love fighting would die revelation oh love love could start war
  Nirvana  ,Polly,polly wants cracker think get first think wants water put blow torch seed let clip dirty wings let take ride cut want help please got rope told promise true let take ride cut want help please polly wants cracker maybe would like food asked untie chase would nice seed let clip dirty wings let take ride cut want help please got rope told promise true let take ride cut want help please polly said polly says back hurts bored caught guard amazes instinct seed let clip dirty wings let take ride cut want help please got rope told promise true let take ride cut want help please
  신해철  ,매미의 꿈 (Crom`s flat Mix) Part 5 당신을 위로하고 싶은 마음에서 나온 가벼운 성의,
  Oh Wonder  ,All About You,walk around town like born golden crown speaking angels loud one understands ya got sharpest bite killer sharker might control water like desert matter full sick full sick cause say enough sipping silver cup brought blame hand feeds ya counting green night blessings never find seek undermine seek never die full sick full sick cause every time get stars eyes planets align centre pushing til walls wide mind centre see cover see another fooling mirror heart truth full sick full sick cause
  The Beatles  ,Taxman (Remastered 2009),hrmm let tell one nineteen cos taxman yeah taxman five per cent appear small thankful take cos taxman yeah taxman drive car tax street try sit tax seat get cold tax heat take walk tax feet taxman cos taxman yeah taxman ask want aahh mr wilson want pay aahh mr heath cos taxman yeah taxman advice die taxman declare pennies eyes taxman cos taxman yeah taxman working one taxman
  Wallows  ,Remember When,thought saw shadow door trick light seen never tell real anymore anymore anymore remember ran pool decorations room find right words use knew knew seemed long seemed long moments stay turn wrong look around gone oh oh oh oh oh oh oh oh oh oh oh oh places return faces remind still see place know close eyes remember felt like two alive let one people seek lost romance would go given chance oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh
  Simple Plan  ,I`d Do Anything,another day going thinking time waiting wrote letter head cuz many things left unsaid gone think straight could one last chance make understand yeah anything hold arms try make laugh somehow put past anything fall asleep remember cuz know forget together broke rules dreaming droping school leave place never come back maybe years miss fear waiting could one last chance make understand let leave yeah anything hold arms try make laugh somehow put past anything fall asleep remember cuz know forget close eyes see close eyes try sleep forget na na na na na na anything na na na na na na na anything hold arms try make laugh somehow put past anything fall asleep fall asleep yeah anything fall asleep anything nothing anything fall asleep anything cuz know forget
  Pop Evil  ,Monster You Made,take good look still recognize different inside world trying change admit want change admit go like anymore erase monster become forgive damage done say begging mercy monster made better alone see torn mistakes stop believing could ever make things change much take know hurts long wait cant go like anymore erase monster become forgive damage done say begging mercy monster made used invincible indestructible human see beauty take good look see changed erase monster become forgive damage done say begging mercy monster made far away pain hear angels calling far away pain see demons falling far away pain hear angels calling far away pain see demons falling erase erase erase monster made
  이다오  ,커피 한잔 할래요,
  Jon McLaughlin  ,For You From Me,unexpected understatement year sure thought standing door way say name throws windows past closing everything see give away easily never stopped look whats behind everything want holding us together tonight tonight unexpected used chasing dreams catching sudden winner end used every door open closing always making sure supposing believe really give away easily never stopped look whats behind everything want holding us together tonight never fall defy laws world new ones way feel stupid real give away easily never stopped look whats behind everything want holding us together tonight give away easily never stopped look whats behind everything want holding us together tonight tonight
