artist,title,Korean_clean_lyric
  The Unlikely Candidates  ,Your Love Could Start A War,
  Nirvana  ,Polly,
  신해철  ,매미의 꿈 (Crom`s flat Mix) Part 5 당신을 위로하고 싶은 마음에서 나온 가벼운 성의,마음대로 하나 없다 세상 돌아가다 꼴다 헤이 달리 내겐 없다 그냥 이대로 살다 죽다 빨리 오다 엄마 먹다 어제 먹다 엄마 화나다 크다 나다 인제 끝나다 이제 가수 엄마 화나다 디게 화나다 빨리 먹다 가다 도망가다 빨리 가다 공원 가다 있다 삼천원 꾸다 맨날 보다 꾸다 진짜 하나 없다 이천원 남다 단말 이제 쥐구멍 있다 매미 있다 정말 신경질 진짜 사람 음악 이해 않다 마음대로 하나 없다 세상 돌아가다 꼴다 젠장 명곡 생각 않다 차다 정말 과연 뜻대로 거유
  Oh Wonder  ,All About You,
  The Beatles  ,Taxman (Remastered 2009),
  Wallows  ,Remember When,
  Simple Plan  ,I`d Do Anything,
  Pop Evil  ,Monster You Made,
  이다오  ,커피 한잔 할래요,언제나 그렇다 걸음 하루 재촉 거리 취한 거리 언제 아래 지나다 소녀 머릿결 눈동자 고개 숙이다 발걸음 소녀 그림자 밟다 수줍다 커피 한잔 나오다 어설프다 나르다 바라보다 소녀 아무 없다 시간 멈추다 그때 기억 나르다 초라하다 없이 보다 슬픔 느끼다 대다 거리 서서 마주 보다 나오다 소녀 들다 내다 표현 손짓 나다 아무 벙어리 소년 커피 나오다 어설프다 나르다 바라보다 소녀 아무 없다 커피 나오다 어설프다 나르다 바라보다 소녀 아름답다 소녀
  Jon McLaughlin  ,For You From Me,
"  Crosby, Stills & Nash  ",Lady Of The Island,
  브이  ,여름아 부탁해 (Rock Ver.),여름 부탁 우리 함께 나누다 우리 모두 무덥다 여름 불다 불다 뜨겁다 태양 파도 뜨겁다 태양 우리 답답하다 도시 벗어나다 여름 부탁 사랑 이루다 해주다 많이 힘겹다 지난 추억 버리다 다시 찾아오다 해변 비키 입다 그녈 만난 인생 달라지다 한여름 황홀하다 도시 거리 뜨겁다 태양 검다 그을리다 사귀다 싶다 기다 머리 부신 그대 좋다 대해 정말 싶다 않다 그대 가지다 있다 담배 끊다 바다 별빛 흔들리다 파도 노랫소리 그대 느끼다 싶다 뜨겁다 태양 여름 후회 없이 놀다 보다 거치다 없이 하이 모두 잊다 버리다 대로 모두 던지다 버리다 바다로 가다 우리 함께 기다리다 이대로 나르다 떠나다 아직 사랑 헤어지다 안되다 그대 살다 어디 생각 화장 그대 얼굴 만지다 보고 싶다 모래 단둘 앉다 투명하다 그대 바라보다 무릎 머릴 기대다 바다 사랑 물결 지루하다 기다리다 이대로 포기 없다 나르다 떠나가다 여름 모래 적다 보다 그대 이름 주말 다시 만나다 함께 있다 기다 머리 부신 그대 좋다 대해 정말 싶다 않다 그대 가지다 있다 담배 끊다 바다 별빛 흔들리다 파도 노랫소리 그대 느끼다 싶다 부탁
  New Found Glory  ,Connected,
  Halsey  ,Young God,
  김지영 (메스그램)  ,Sweetie,그대 사랑 항상 그대 그대 나르다 보다 오늘 내리다 바로 달려가다 보고 싶다 갖다 싶다 생각 만약 있다 바로 달려가다 그대 사랑 사랑 우리 사랑 그대 사랑 항상 그대 그대 나르다 보다 오늘 내리다 바로 달려가다 보고 있다 안고 있다 사랑 싶다 오늘이 지나다 지나다 사랑 그대 사랑 사랑 우리 사랑 그대 사랑 항상 그대 그대 나르다 보다 오늘 내리다 바로 달려가다
  Frightened Rabbit  ,Still Want To Be Here,
  White Lion  ,Broken Heart,
  가이즈  ,Liar,다가오다 나르다 집다 삼키다 하나 밀지 않다 비정하다 속이다 다른 만들어지다 다가오다 느끼다 있다 거짓 모든 다가오다 나르다 집다 삼키다 하나 밀지 않다 비정하다 믿다 없다 어느 잊혀지다 느끼다 있다 거짓 모든 차라리 보지 없다 진실 조금씩 갇히다 모습 멈추다 버리다 시계 다르다 흘러가다 시간 아무 믿다 하나 무감각 믿다 느끼다 있다 거짓 모든 차라리 보지
  아이유  ,을의 연애 (With 박주원),보다 답장 얼마나 바쁘다 끝나다 얼굴 보다 오늘 우리 얘기 패턴 연애 초기 그것 달라 모르다 해도 이건 이상 밀고 기기 알다 미묘하다 경전 필요 않다 사이 늘어지다 대로 늘어지다 눈칠 살피 시간 끌다 태우다 유통 기한 끝나다 지다 오래 상해 한참 지나다 벌써 지루하다 버리다 이름 애인 불다 보다 다시 끓다 식히다 기도 뜨다 온도 보이다 않다 눈치 게임 하루 그렇다 지다 라이 비겁하다 남자
  Saliva  ,Open Eyes,
  Tommee Profitt  ,You Made Me Do It (Feat. Ruby Amanfu),
  Daughtry  ,One Last Chance,
  별  ,너의 뒤통수,뒤통수 알다 그림자 살다 없이 고백 사랑 사랑 진짜 사랑 친구 알다 어쩜 그렇다 둔하다 둔하다 빼다 모두 눈치 채다 얼레 꼴레리 꼴레리 얼레 우리 강아지 알다 매일 끼다 생각 연습 해주다 멍멍멍 왈왈왈 듣다 말다 핸드폰 알다 전화번호 누르다 지우다 하루 넘다 그렇다 전화하다 싶다 사랑 사랑 진짜 사랑 얼레 꼴레리 꼴레리 얼레 멍멍멍 왈왈왈 듣다 말다 전화하다 싶다
  Cash Cash  ,Breakout (Album Ver.),
  Daughtry  ,What About Now,
  임재범  ,Blue,
  자우림  ,어른아이,오다 이제 거의 오다 믿다 알다 언제 안다 그렇다 그렇다 언제 커서 있다 모르다 아직 어르다 고맙다 말로 바랬 마르다 울음 멀리 버리다 그렇다 언제 커서 있다 모르다 아직 어르다 그때 모두 너무나 커다랗다 비웃다 있다 언제 그렇다 보이지 아무 나르다 있다 그렇다 언제 커서 있다 모르다 아직 어르다 어련하다 알다 어련하다 있다 어련하다 알다 어련하다 있다
  한대수  ,아무리 봐도 안 보여,귀엽다 야기 기여 기여 아무리 보다 안보 아무리 보다 안보 안보 안보 아무리 보다 안보
  Manceau  ,I Wanna,
  Rialto  ,Hard Candy,
  이승환  ,못 말리는 봉팔이,우리 명물 자다 팔이 항상 너무 심해 대다 쥐어박다 싶다 시선 절대 의식 용감하다 말리다 팔이 오늘 귀찮다 지다 멋지다 참다 아니다 마구 쫓아오다 있다 각고 노력 필요하다 준수 용모 세련되다 화술 어디 하나 빠지다 없다 시선 물다 내리다 깔다 주다 들어가다 어깨 쭈욱 피고 느끼하다 말투 기본 사양 라지 너무 신경 쓰이다 오늘 귀찮다 지다 멋지다 참다 아니다 마구 쫓아오다 있다 각고 노력 필요하다 준수 용모 세련되다 화술 어디 하나 빠지다 없다 그렇다 아니다 이승환 저렇게 들다 아우성 가사 받다 그렇다 없다 웃기다 보다 한번 그렇다 보다
  넥스트  ,Hope,세월 이렇게 힘드다 없다 이르다 아니다 그렇게 자르다 있다 사람 언제나 힘들다 어디 사라지다 혼자 느끼다 그게 세상 원망하다 그렇다 그렇게 절망 아프다 떨어지다 이제 이상 잃다 없다 크다 소리 외치 흐릿하 눈물 너머 이제 서다 잡히다 다가오다 희망 느끼다 언젠가 멀다 훗날 반드시 웃다 지나가다 일이 이제 이상 흘리다 눈물 남다 않다 바로 망설이다 그냥 뛰다 가다 흐릿하 눈물 너머 이제 서다 잡히다 다가오다 희망 느끼다 언젠가 멀다 훗날 반드시 웃다 지나가다 일이 흐릿하 눈물 너머 이제 서다 잡히다 다가오다 희망 느끼다 언젠가 멀다 훗날 반드시 웃다 지나가다 일이
  Bad Brains  ,With The Quickness,
  Elvis Presley  ,"I Want You, I Need You, I Love You",
