,index,song_gn_dtl_gnr_basket,issue_date,album_name,album_id,artist_id_basket,song_name,song_gn_gnr_basket,artist_name_basket,id
52,53,"['GN2102', 'GN2101']",20080530,항상 기쁨 주는 찬양,382576,[2727],내가 그리스도와 함께,GN2100,['Various Artists'],53
76,77,"['GN2102', 'GN2101']",20170404,Get Back,10051393,[965741],Get Back,GN2100,['Daytime'],77
111,112,"['GN2102', 'GN2101']",20131024,The Nucleus (MR),2212238,[641452],Blessed Assurance (예수를 나의 구주삼고) (MR),GN2100,['The Nucleus'],112
135,136,"['GN2107', 'GN2101']",20160330,Orchestral Hymns (오케스트라 찬송가),2676194,"[749206, 959602]","Lord, Im Coming Home (나 주를 멀리 떠났다)",GN2100,"['Prague Symphony Orchestra', 'Eden Symphony']",136
176,177,"['GN2102', 'GN2101']",20180810,홀리원 4집 - 다시 봄처럼 (Inst.),10193225,[227715],답이 있는 곳으로 (Inst.),GN2100,['홀리원'],177
250,251,"['GN2102', 'GN2101']",20160704,춤추는 예배자,2695179,[925749],"춤추는 예배자 (Feat. 이규라, W.RHINO)",GN2100,['주다 (JuDa)'],251
257,258,"['GN2102', 'GN2101']",20070702,크리스챤을 위한 복음성가 베스트,355026,[2727],가서 제자 삼으라,GN2100,['Various Artists'],258
262,263,"['GN2105', 'GN2101']",20170324,예수 그리스도 묵상 찬송가 2,10048759,[526961],예수님의 귀한 사랑,GN2100,['Andy Joshua'],263
291,292,"['GN2103', 'GN2101']",20190405,God`s Not Done with You,10269837,[1246631],God`s Not Done with You,GN2100,['Tauren Wells'],292
358,359,"['GN2102', 'GN2101']",20190321,"Want,Wait,Pray",10263633,[2634926],"Want,Wait,Pray",GN2100,['프로젝트 폰티펙스'],359
439,441,"['GN2106', 'GN2101']",20130206,최수종 하희라의 `예...사랑합니다`,2174579,[539],나 주를 멀리 떠났다,GN2100,['조하문'],441
554,556,"['GN2103', 'GN2101']",19960625,Beyond The Veil,326947,[182899],Beyond The Veil (Reprise),GN2100,['Daryl Coley'],556
