,index,song_gn_dtl_gnr_basket,issue_date,album_name,album_id,artist_id_basket,song_name,song_gn_gnr_basket,artist_name_basket,id
17,17,"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20160226,Melting,2669407,[750053],Girl Crush,GN0200,['마마무 (Mamamoo)'],17
29,30,"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN1501', 'GN0201', 'GN1504']",20190519,A-TEEN2 Part.2,10286928,[861436],9-TEEN,GN0200,['세븐틴'],30
57,58,['GN0201'],20060407,Warming Up (Digital Single),316690,[160459],국화꽃 향기 (Feat. 김세찬 & DJ Jenifer),GN0200,['디제이 버디'],58
194,195,"['GN0204', 'GN0201']",20010705,Look,2518,[100786],봐,GN0200,['To-Ya'],195
234,235,"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20120323,The Return,2097929,[100078],Move With Me,GN0200,['신화'],235
238,239,['GN0201'],20140925,Magazine,2283510,[629831],손대지마 (Inst.),GN0200,['에일리'],239
322,323,['GN0201'],20140725,회는 안 사줬다 (Sushi Is Expensive),2269321,[779591],회는 안 사줬다 (Sushi Is Expensive),GN0200,['후니와 뽀빠이 (Hoonie & Popeye)'],323
337,338,"['GN0205', 'GN0201']",20190807,Run Away,10315130,[2005441],Run Away,GN0200,['IN2IT (인투잇)'],338
340,341,"['GN0204', 'GN0201']",20060922,The First Album,327350,[24982],It`s Groove,GN0200,['배슬기'],341
384,385,"['GN0202', 'GN0201']",19851120,3집,40225,[43],하얀 느낌,GN0200,['이문세'],385
411,413,"['GN1501', 'GN0204', 'GN0201', 'GN1504']",20060718,투명인간 최장수 OST,322386,[175155],Can`t Stop Loving You,GN0200,['먼데이 키즈 (Monday Kiz)'],413
435,437,"['GN0205', 'GN0201']",20141212,Second Chance,2294983,[786697],Second Chance,GN0200,['마마'],437
445,447,"['GN2502', 'GN2501', 'GN0201']",20180306,REMATCH,10143693,[1865245],LOVE ME NOW,GN0200,['MXM'],447
453,455,"['GN2503', 'GN1501', 'GN2501', 'GN2506', 'GN0201']",20160215,초코뱅크 OST Part.1,2666643,[839579],두근두근 러브 (Inst.),GN0200,['CLC'],455
522,524,"['GN0203', 'GN0201']",19960000,Young Turks Club,308947,[100045],훔쳐보기,GN0200,['영턱스클럽'],524
523,525,"['GN2502', 'GN2506', 'GN2501', 'GN0203', 'GN0201']",19971101,Welcome To The Sechskies Land,5371,[100052],미성년자 관람불가,GN0200,['젝스키스'],525
609,611,['GN0201'],20170906,Be Natural,10093806,[957132],Be Natural (Orginal Edit),GN0200,['RETRO MAMA'],611
640,642,"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20171030,twicetagram,10107114,[905701],LIKEY,GN0200,['TWICE (트와이스)'],642
643,645,"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20151210,크리스마스잖아요,2655844,[535440],크리스마스잖아요,GN0200,['B1A4'],645
661,663,"['GN0601', 'GN0203', 'GN0605']",20050422,Pianissimo,67258,[2076],Tamptation,GN0200,['서문탁'],663
680,682,"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20190618,Pink Magic,10297668,[261447],Pink Magic,GN0200,['예성 (YESUNG)'],682
742,744,['GN0201'],20030623,2003 Summer Vacation In SMTown.Com,31809,[160139],Dear My Friend..,GN0200,['다나 (DANA)'],744
813,816,"['GN0205', 'GN1501', 'GN0201', 'GN1504']",20110715,로맨스 타운 OST,1339751,[499462],잘될 거야,GN0200,['김그림'],816
916,919,['GN0201'],20031122,Un-Touch-Able,33209,[1742],비야,GN0200,['M (이민우)'],919
927,930,"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20180702,ONE & SIX,10181013,[534360],I Like That Kiss,GN0200,['Apink (에이핑크)'],930
942,945,"['GN2502', 'GN2501', 'GN0204', 'GN2506', 'GN0201']",20070618,The 2nd Asia Tour Concert `O` Live Album,352834,[108316],Spokes Man - 유노개인기 (Feat. Super Junior - 동해),GN0200,['동방신기 (TVXQ!)'],945
1037,1040,"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20120201,The 1st Asia Tour Concert Album `SHINee WORLD`,2072846,[247639],누난 너무 예뻐 (Replay),GN0200,['SHINee (샤이니)'],1040
1103,1107,"['GN0203', 'GN0201']",19961000,Performer Debut,7738,[102767],쉽지,GN0200,['Performer'],1107
1248,1252,"['GN0401', 'GN2503', 'GN2501', 'GN0204']",20060302,Your Story,314376,[181694],Timing,GN0200,['브라운아이드걸스'],1252
1251,1255,"['GN0501', 'GN0201', 'GN0509']",20190129,Headlights,10246667,[2622031],헤드라이트,GN0200,['김산'],1255
1253,1257,"['GN2502', 'GN2501', 'GN2506', 'GN0201']",20120315,FACE,2093307,[640891],"NU, Establish, Style, Tempo",GN0200,['뉴이스트'],1257
1309,1313,"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20140818,The Fourth Single `나처럼 해봐요`,2275066,[477632],나처럼 해봐요,GN0200,['오렌지 캬라멜'],1313
1367,1371,"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20131106,Hush,2214670,[481481],(Mama) I`m Good,GN0200,['미쓰에이'],1371
1459,1463,"['GN0204', 'GN0201']",20030813,Luxurious Singles,32101,[16237],화려한 싱글 (Clubmix Ver.),GN0200,['양혜승'],1463
1505,1509,['GN0201'],20131010,Who Are You?,2209924,[520900],Hey Boy (Feat. Dok2),GN0200,['가희'],1509
1513,1517,"['GN2502', 'GN2501', 'GN0204', 'GN2506', 'GN0201']",20050912,Rising Sun,307424,[108316],Love After Love,GN0200,['동방신기 (TVXQ!)'],1517
1515,1519,"['GN0205', 'GN0201']",20170119,행보 2016 윤종신 / 작사가 윤종신 Live Part.2,10032455,[437],Empty City (With 개코),GN0200,['윤종신'],1519
1533,1537,"['GN0204', 'GN0201']",20080821,못다한 이야기,394374,[101463],싱랄라,GN0200,['거북이'],1537
1547,1551,"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20131014,Prima Donna,2210554,[465680],핑,GN0200,['나인뮤지스'],1551
1587,1591,['GN0201'],20171023,순애몽 (純愛夢),10104750,[2005280],허망로맨스,GN0200,['쵸쵸우'],1591
1614,1618,"['GN0205', 'GN0201']",20190208,20th ANNIVERSARY `REborn`,10249601,[100022],순정,GN0200,['KYT (코요태)'],1618
1627,1631,['GN0201'],20171016,11월 생일축하노래,10102390,[914177],11월7일 생일축하노래,GN0200,['축하사절단'],1631
1635,1639,['GN0201'],20061212,손난로,335908,[182234],The First Noel,GN0200,['투앤비 (2NB)'],1639
1649,1653,"['GN2502', 'GN2501', 'GN0204', 'GN2506', 'GN0201']",20060602,동방의 투혼,319560,[108316],동방의 투혼 (2 Step Remix Ver.),GN0200,['동방신기 (TVXQ!)'],1653
1668,1672,['GN0201'],20130611,The Third Single Album,2188403,[559585],블랙팅커벨,GN0200,['쇼콜라'],1672
1671,1675,"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20150226,WE,2305495,[100078],Alright,GN0200,['신화'],1675
1692,1696,"['GN0205', 'GN0201']",20170309,퍼펙트,10044205,[1625259],퍼펙트,GN0200,['이스트원'],1696
1770,1774,"['GN0203', 'GN0201']",19961100,The Second Coming...,5332,[101640],이럴수가,GN0200,['아이돌'],1774
1781,1785,"['GN2503', 'GN2501', 'GN2506', 'GN0201']",20171204,Lip & Hip,10116876,[449401],Lip & Hip (Inst.),GN0200,['현아'],1785
1810,1814,"['GN2502', 'GN2501', 'GN2506', 'GN0201']",20121126,The First Collage,2168099,[510565],그대는 모르죠,GN0200,['양요섭'],1814
1812,1816,['GN0201'],20070913,뒷모습 후(後),358200,[58979],Bellucia,GN0200,['나윤권'],1816
1851,1855,"['GN0204', 'GN0201']",20060918,London Koyote,327342,[100022],사랑할수 없어,GN0200,['KYT (코요태)'],1855
1878,1882,"['GN0204', 'GN0201']",20040326,Koyote 6,34267,[100022],Moon Night,GN0200,['KYT (코요태)'],1882
1909,1913,"['GN2503', 'GN2501', 'GN2506', 'GN0201']",20101230,The 1st Asia Tour Concert `Into The New World`,1123351,[228069],Touch The Sky,GN0200,['소녀시대 (GIRLS` GENERATION)'],1913
1923,1927,"['GN0205', 'GN0201']",20120810,SM BEST ALBUM 3,2139909,[228069],The Boys,GN0200,['소녀시대 (GIRLS` GENERATION)'],1927
1938,1942,"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20180628,SUMMER DREAM,10180157,[1704756],찰랑찰랑 (Will be mine),GN0200,['엘리스 (ELRIS)'],1942
1984,1988,"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20180605,To. Day,10173752,[2019210],FIRST LOVE,GN0200,['프로미스나인'],1988
2027,2031,"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20150707,Girl`s Day Love Second Album,2327866,[482762],휘파람,GN0200,['걸스데이'],2031
2036,2040,"['GN0203', 'GN0201']",19901201,삐에로는 우릴 보고 웃지,1277851,[5185],잃어버린 도시,GN0200,['김완선'],2040
2162,2166,['GN0201'],20130826,최신 댄스 가요 베스트,2198497,[2727],붉은 노을,GN0200,['Various Artists'],2166
2187,2191,"['GN0205', 'GN0201']",20150916,MAGIC - SUPER JUNIOR SPECIAL ALBUM PART.2,2640433,[175404],Devil,GN0200,['SUPER JUNIOR (슈퍼주니어)'],2191
2220,2224,"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20121015,Independent Women pt.Ⅲ,2153096,[481481],남자 없이 잘 살아,GN0200,['미쓰에이'],2224
2251,2255,"['GN0204', 'GN0201']",20020810,바람의 아들,16558,[4263],자존심,GN0200,['박명수'],2255
2297,2301,['GN0201'],20130901,"열정 (Passion) 3, 4",2315209,[974],짝사랑,GN0200,['임성은'],2301
2302,2306,"['GN2503', 'GN2501', 'GN2506', 'GN0201']",20100322,`Run Devil Run` The 2nd Album (Repackage),830051,[228069],무조건 해피엔딩 (Stick Wit U),GN0200,['소녀시대 (GIRLS` GENERATION)'],2306
2318,2322,"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20190723,밤의 공원(THE PARK IN THE NIGHT) part three,10310108,[2295762],밤의 비행 (The Interpretation of Dreams),GN0200,['공원소녀 (Girls in the Park)'],2322
2483,2487,"['GN0204', 'GN0201']",20090818,Attitude,632951,[426860],"Invisible (인비져블) (Feat. 손담비, 별들의전쟁)",GN0200,['용감한 형제'],2487
2495,2499,"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20121113,있기 없기,2166681,[514619],유리인형 (DON`T TOUCH),GN0200,['달샤벳'],2499
2503,2507,['GN0201'],20061017,Fantastic Girl,328358,[3895],니 남자를 줘,GN0200,['이정현'],2507
2512,2516,"['GN0204', 'GN0201']",20010704,Cool 6ix,2651,[100004],친구가 된다는 건,GN0200,['쿨 (COOL)'],2516
2544,2548,"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20160425,A New Trilogy,2681331,[789331],마음 (*취급주의),GN0200,['러블리즈'],2548
2615,2620,['GN0201'],20051118,DJ처리와 함께 아자아자 진품명작 4,310712,[2727],뭐야 뭐야 (DJ처리 Remix Ver.),GN0200,['Various Artists'],2620
