,index,song_gn_dtl_gnr_basket,issue_date,album_name,album_id,artist_id_basket,song_name,song_gn_gnr_basket,artist_name_basket,id
255,256,"['GN2701', 'GN2703', 'GN2704']",20080610,In Search Of Sunrise 7 - Asia,583168,[32887],Reason To Believe,GN2700,['Tiesto'],256
345,346,"['GN2701', 'GN2703']",20180911,Amnesia,10202580,"[1865687, 2297429]",Amnesia,GN2700,"['WATEVA', 'Alia']",346
511,513,"['GN2701', 'GN2703']",20181123,IAMREADY,10225216,"[503115, 2144129]",Far Away,GN2700,"['ReOrder', 'Susie Ledge']",513
737,739,"['GN2701', 'GN2703']",20190927,Find You (NCS),10334185,"[1273080, 1661646]",Find You (NCS),GN2700,"['Mynerva', 'Nytrix']",739
1070,1073,"['GN2701', 'GN2703', 'GN2704']",20190114,Zombie Remixes,10241626,[719166],Zombie (Gammer Flip),GN2700,['Ran-D'],1073
1294,1298,"['GN2701', 'GN2703']",20190905,15 Years,10325675,[524660],Autumn,GN2700,['Bobina'],1298
1782,1786,"['GN2701', 'GN2704']",20041214,Guetta Blaster,326961,[182123],The World Is Mine,GN2700,['David Guetta'],1786
3066,3071,['GN2701'],20191004,Artillery (Streaming Ver.),10338682,"[196545, 749009]",Artillery,GN2700,"['Skazi', 'Jetfire']",3071
3342,3347,"['GN2701', 'GN2703']",20190103,Collide,10238549,"[1221416, 994871]",Collide (Feat. Nevve),GN2700,"['JayKode', 'Tascione']",3347
4731,4740,['GN2701'],20191115,Sorrento,10351808,[1702631],Sorrento,GN2700,['Alexenn'],4740
6217,6227,"['GN2701', 'GN2704']",20181221,Don`t Sleep (feat. French Montana & Stefflon Don) [EDX`s Miami Sunset Remix],10234943,[257403],Don`t Sleep (feat. French Montana & Stefflon Don) [EDX`s Miami Sunset Remix],GN2700,['Chromeo'],6227
7903,7914,"['GN2701', 'GN2703', 'GN2704']",20181019,Find Your Harmony Radioshow #125,10213567,[569092],Rave Culture (FYH 125),GN2700,['W&W'],7914
9596,9608,['GN2701'],20200403,Holy Water (Steff da Campo Remix),10414151,[743961],Holy Water (Steff da Campo Remix),GN2700,['Galantis'],9608
