,index,song_gn_dtl_gnr_basket,issue_date,album_name,album_id,artist_id_basket,song_name,song_gn_gnr_basket,artist_name_basket,id
19,19,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20150205,내가 부른 그림 2,2303168,[230399],무얼 기다리나 (Feat. 조원선),GN0800,['이영훈'],19
34,35,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20120629,남몰래 듣기,2133128,[681291],찾고 있니,GN0800,['이호석'],35
42,43,"['GN1403', 'GN1401']",20131125,The Essential,2959115,"[27326, 14433]",St. Louis Blues,GN1400,"['Bessie Smith', 'Louis Armstrong']",43
47,48,"['GN0801', 'GN0803']",20051212,김광석 Best,311488,[2960],나의 노래,GN0800,['김광석'],48
95,96,"['GN0805', 'GN0801']",20140407,PLAY,2249127,[712452],가르마,GN0800,['AKMU (악동뮤지션)'],96
109,110,"['GN1403', 'GN1401']",20180907,20th Century Masters: The Millennium Collection: Best Of Roy Buchanan,5643752,[30262],Wayfaring Pilgrim,GN1400,['Roy Buchanan'],110
175,176,"['GN1403', 'GN1401', 'GN1406']",19940913,From The Cradle,21140,[1992],Five Long Years,GN1400,['Eric Clapton'],176
198,199,"['GN0805', 'GN0801']",20141217,힘이 돼줄게,2295616,[499462],힘이 돼줄게 (My Angel),GN0800,['김그림'],199
202,203,"['GN1401', 'GN1404']",20010804,Chet Atkins - The Master And His Music,97676,[15054],Black Mountain Rag,GN1400,['Chet Atkins'],203
224,225,"['GN1401', 'GN1404']",20121119,Together,2172344,[104368],Whiskey Lady,GN1400,['The Oak Ridge Boys'],225
228,229,"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20140924,존재의 온도,2283214,[661852],걸리지마,GN0800,['빨간의자'],229
253,254,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20130215,작은앨범 1.3,2175312,[409364],어디가나요,GN0800,['낭만유랑악단'],254
281,282,"['GN1402', 'GN1401', 'GN1407']",20040323,Our Endless Numbered Days,2199275,[223484],Sunset Soon Forgotten (Album),GN1400,['iron & wine'],282
290,291,"['GN1402', 'GN1401']",20010424,Natural Woman The Very Best Of Carole King,907,[12039],Up On The Roof (Live),GN1400,['Carole King'],291
338,339,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20110426,28,1257355,[452902],Dalmoon,GN0800,['옥상달빛'],339
362,363,"['GN0509', 'GN0502', 'GN0801', 'GN0501']",20170414,Save Me,10054763,[747594],Save Me,GN0800,['헤이즈문 (Haze Moon)'],363
