artist,title,lyric
  김희재  ,사랑은 어디에,아 아무도 모르게 살아온 지난 날 후회도 미련도 없네 지나온 날들 뒤돌아 보니 머나먼 고향 같구나 덧없는 인생길에 때로는 방황도 했지만 아 외로움이 스치면 한 잔 술에 씻어 버렸네 아 사랑이 그리워지면 노래를 불러 보리라 이젠 미움도 그리움도 모두 다 흘러갔네 사랑을 찾아서 노래를 찾아서 바람처럼 구름처럼 살아가리라 하늘이여 하늘이여 당신이 주신 사랑은 어디에 사랑은 어디에 아 사랑이 그리워지면 노래를 불러 보리라 이젠 미움도 그리움도 모두 다 흘러갔네 사랑을 찾아서 노래를 찾아서 바람처럼 구름처럼 살아가리라 하늘이여 하늘이여 당신이 주신 사랑은 어디에 사랑은 어디에 아 아
  펄 시스터즈  ,비,눈물같은 비가 눈물같은 비가 긴 긴날 흐느껴 울어도 빛나던 태양 빛나던 태양이 가리워도 정다운 눈 마주보며 하염없는 빗속을 걸어가자 La pioggia 너와 나의 가슴속의 사랑을 La pioggia 그 누구도 볼 수 없게 가리고 하염없는 빗속을 걸어가자 사랑의 꽃 피워보자 눈물같은 비가 눈물같은 비가 긴 긴날 흐느껴 울어도 빛나던 태양 빛나던 태양이 가리워도 정다운 눈 마주보며 하염없는 빗속을 걸어가자 불타는 너와 나의 가슴속의 사랑을 우산 속에 그 누구도 볼 수 없게 가리고 하염없는 빗속을 걸어가자 우산 속에 그 누구도 볼 수 없게 가리고 하염없는 빗속을 걸어가자 가슴속엔 아름다운 사랑의 꽃 피어나 행복이 오네
  설운도  ,나만의 여인,사랑에 한번 빠지고 싶어요 아주 멋진 여자를 만나 바다가 있는 아름다운 해변을 둘이서 걷고 싶어요 가슴벅차 올라요 눈물마저 핑 도네요 지금까지 살아오면서 나를 위해 무엇을 했나 세월이 다가기 전에 내 모습 변하기 전에 그대와 둘이 밤을 지새며 지난날을 잊고 싶어요  사랑을 한번 해보고 싶어요 매력있는 여자를 만나 아무도 없는 무인도에서 그녀와 함께 있고 싶어요 가슴이 벅차올라요 눈물마저 핑 도네요 지금까지 살아오면서 나를 위해 무엇을 했나 세월이 다가기 전에 내 모습 변하기 전에 사랑하는 그대 그대와 둘이 지난날을 잊고 싶어요
  천명훈  ,가라지,간다면 누가 너를 못 보낼 줄 알고 가라지 누가 너를 잡을 줄 알고 이렇게 나 울리고 가면 발걸음 꽤나 가볍겠다 이렇게 날 버리고 가면 마음 꽤나 편하겠다 너 괴롭고 나 괴로운 것을 왜 왜 너는 모르니 너 떠나면 나 외로운 것을 넌 넌 뻔히 알잖니 간다면 누가 너를 못 보낼 줄 알고 가라지 누가 너를 잡을 줄 알고 너 괴롭고 나 괴로운 것을 왜 왜 너는 모르니 너 떠나면 나 외로운 것을 넌 넌 뻔히 알잖니 간다면 누가 너를 못 보낼 줄 알고 가라지 누가 너를 잡을 줄 알고
  최정자  ,희망가,이풍진 세상을 만났으니 너의 희망이 무엇이냐.. 부귀와 영화를 누렸으면 희망이 족할까 푸른하늘 밝은 달아래 곰곰히 생각하니 세상만사가 춘몽중에 또 다시 꿈같구다  부귀와 영화를 누릴지라도 봄동산위에 꿈과같고 백년장수를 할지라도 아침에 안개구나 담소화락에 엄벙덤벙 주색잡기에 침몰하여 세상만사를 잊었으니 희망이 족할까 희망이 족할까
  이한중  ,착한 아내 (New Ver.),내가 여기에 선 것이 모두가 당신의 덕이야 지난 날 나 때문에 수많은 눈물을 당신은 흘렸었지 괴로워도 혼자서 참아온 당신이기에 내 어깨 무거울 때 힘내라 말하던 당신에게 고맙다 말해요 지금까지 남편 위해 자식을 위해 평생을 희생하며 살아온 당신 강하기만 한 당신 이제 울지 말아요 당신을 사랑해요 당신 위해서라면 백 년이고 천 년이고 사랑하겠소 이것이 모두가 사랑하는 당신과 나와의 운명입니다 지금까지 남편 위해 자식을 위해 평생을 희생하며 살아온 당신 강하기만 한 당신 이제 울지 말아요 당신을 사랑해요 당신 위해서라면 백 년이고 천 년이고 사랑하겠소 이것이 모두가 사랑하는 당신과 나와의 운명입니다 당신 위해서라면 백 년이고 천 년이고 사랑하겠소 이것이 모두가 사랑하는 당신과 나와의 운명입니다
  문희옥  ,천상재회,그대는 오늘밤도 내게 올순 없겠지 목메어 애타게 불러도 대답없는 그대여 못다한 이야기는 눈물이 되겠지요 나만을 사랑했다는 말 바람결에 남았어요 끊을수 없는 그대와 나의 인연은 운명이라 생각했지요 가슴에 묻은 추억의 작은 조각들 되돌아 회상하면서 천상에서 다시 만나면 그대를 다시 만나면 세상에서 못다했던 그사랑을 영원히 함께할래요  끊을수 없는 그대와 나의 인연은 운명이라 생각했지요 가슴에 묻은 추억의 작은 조각들 되돌아 회상하면서 천상에서 다시 만나면 그대를 다시 만나면 세상에서 못다했던 그사랑을 영원히 함께할래요
  홍진영  ,엄지 척,엄지 엄지 척 엄지 엄지 척 자상하고 다정다감해 보면 볼수록 알면 알수록 매력이 넘쳐요 엄지 엄지 척 엄지 엄지 척 천생연분 내 사랑이에요 그냥 좋아요 왠지 좋아요 엄지 척 평범하고 편안한 속이 깊은 이 남자 사람 냄새가 풍겨서 좋아요 성실하고 진실한 믿음직한 내 남자 당신을 정말로 사랑해 엄지 엄지 척 엄지 엄지 척 자상하고 다정다감해 보면 볼수록 알면 알수록 매력이 넘쳐요 엄지 엄지 척 엄지 엄지 척 천생연분 내 사랑이에요 그냥 좋아요 왠지 좋아요 엄지 척 오늘보다 내일을 약속하고 싶어요 꿈과 희망이 있어서 좋아요 평생토록 나만을 지켜준다 말해요 당신을 영원히 사랑해 엄지 엄지 척 엄지 엄지 척 자상하고 다정다감해 보면 볼수록 알면 알수록 매력이 넘쳐요 엄지 엄지 척 엄지 엄지 척 천생연분 내 사랑이에요 그냥 좋아요 왠지 좋아요 엄지 척 엄지 엄지 척 엄지 엄지 척 자상하고 다정다감해 보면 볼수록 알면 알수록 매력이 넘쳐요 엄지 엄지 척 엄지 엄지 척 천생연분 내 사랑이에요 그냥 좋아요 왠지 좋아요 엄지 척 사랑해요 내 사랑 엄지 척 엄지 척
  현철  ,봉선화 연정,손대면 톡하고 터질것만 같은 그대 봉선화라 부르리 더이상 참지못할 그리움울 가슴깊이 물들이고 수줍은 너의 고백에 내 가슴이 뜨거워 터지는 화산처럼 막을수 없는 봉선화 연정 손대면 톡하고 터질것만 같은 그대 봉선화라 부르리 더이상 참지못할 외로움에 젖은 가슴 태우네 울면서 혼자 울면서 사랑한다 말해도 무정한 너는 너는 알지 못하네 봉선화 연정 봉선화 연정
  강승모  ,무정부르스,이제는 애원해도 소용없겠지 변해 버린 당신이기에 내 곁에 있어 달라 말도 못하고 떠나야 할 이 마음 추억 같은 불빛들이 흐느껴 우는 이 밤에 상처만 남겨 두고 떠나 갈 길을 무엇하러 왔던가  자꾸만 바라 보면 미워지겠지 믿어 왔던 당신이기에 쏟아져 흐른 눈물 가슴에 안고 돌아서는 이 발길 사랑했던 기억들이 갈 길을 막아서지만 추억이 아름답게 남아 있을때 미련 없이 가야지
  김학래  ,내가,이 세상에 기쁜 꿈 있으니 가득한 사랑의 눈을 내리고 우리 사랑에 노래 있다면 아름다운 생 찾으리다  이 세상에 슬픈 꿈 있으니 외로운 마음의 비를 적시고 우리 그리움에 날개 있다면 상념의 방랑자 되리다  이 내 마음 다하도록 사랑한다면 슬픔과 이별 뿐이네 이 내 온정 다하도록 사랑한다면 진실과 믿음 뿐이네  내가 말 없는 방랑자라면 이 세상의 돌이 되겠소 내가 님 찾는 떠돌이라면 이 세상 끝까지 가겠소  이 세상에 기쁜 꿈 있으니 가득한 사랑의 눈을 내리고 우리 사랑에 노래 있다면 아름다운 생 찾으리다  내가 말 없는 방랑자라면 이 세상의 돌이 되겠소 내가 님 찾는 떠돌이라면 이 세상 끝까지 가겠소  이 세상 끝까지 가겠소 이 세상 끝까지 가겠소
  현인  ,신라의 달밤,1절 아~~~~신라의 밤이여 불국사의 종소리 들리어 온다 지1절 아~~~~신라의 밤이여 불국사의 종소리 들리어 온다 지나가는 나그네야 걸음을 멈추어라 고요한 달빛 어린 금옥산 기슭에서 노래를 불러본다 신라의 밤 노래를  2절 아~~~~신라의 밤이여 아름다운 궁녀들 그리워라 대궐 뒤 숲속에서 사랑을 맺었던가 님들의 치맛소리 귓속에 들으면서 노래를 불러본다 신라의 밤 노래를  나가는 나그네야 걸음을 멈추어라 고요한 달빛 어린 금옥산 기슭에서 노래를 불러본다 신라의 밤 노래를  2절 아~~~~신라의 밤이여 아름다운 궁녀들 그리웁구나 대궐 뒤에 숲속에서 사랑을 맺었던가 님들의 치맛소리 귓속에 들으면서 노래를 불러본다 신라의 밤 노래를
  정미애  ,수은등,어스름 저녁길에 하나 둘 수은등 꽃이 피며는 그대와 단둘이서 거닐던 이 길을 서성입니다 수은등 은은한 빛 변함 없어도 당신은 변했구려 보이질 않네 아 수은등 불빛아래 이 발길은 떠날 줄 몰라 어두운 밤 거리에 하나 둘 오색불 깜빡거리면 그대의 웃음소리 들려 올듯 내 가슴은 설레이네 바람부는 이 거리는 변함이 없건만 당신은 변했구려 보이질 않네 아오색불 깜빡이는 이 거리를 잊으셨구려 이 거리를 잊으셨구려
  정훈희  ,그 사람 바보야,단 한번 윙크로 내 마음 줄까봐 살짝쿵 윙크한 그 사람 떠났네 다시 한번 윙크하면 웃어 줄텐데 다시 한번 윙크하면 사랑할텐데 아 나는 몰라 그 사람 바보야 그 사람 바보야요 아 나는 몰라 그 사람 바보야 그 사람 바보야요 단 한번 윙크로 내 마음 줄까봐 살짝쿵 윙크한 그 사람 떠났네 다시 한번 윙크하면 웃어 줄텐데 다시 한번 윙크하면 사랑할텐데 아 나는 몰라 그 사람 바보야 그 사람 바보야요 아 나는 몰라 그 사람 바보야 그 사람 바보야요 단 한번 윙크로 내 마음 줄까봐 살짝쿵 윙크한 그 사람 떠났네 살짝쿵 윙크한 그 사람 떠났네 살짝쿵 윙크한 그 사람 떠났네
  패티김  ,하얀 집 (Casabianca),꿈꾸는 casabianca언덕위에 하얀집은 당신이 돌아오는 날은 오늘도 기다리네 잊지못할 사랑의 추억만을 넘겨놓고 어느 하늘밑에서 당신은 살고 잇나 성당의 종소리가 산마을에 울리면 허전한 이마음은 가눌길 이 없어라  꿈꾸는 casabianca해저문 언덕을 넘어 을러가는 희구름아 내마음 전해다오 tuttibimbi come hanno qualchecosa che didolor li fa tremare e non sanno che cose  꿈꾸는 casabianca언덕위에 하얀집은 당신이 돌아오는 날은 오늘도 기다리네 꿈꾸는 casabianca
"  주현미 ,  김준규  ",용두산 엘레지,용두산아 용두산아 너만은 변치말자  한발 올려 맹세하고 두발 딛어 언약하던  한계단 두계단 일백구십사 계단에  사랑심어 다져놓은 그 사람은 어디가고  나만 홀로 쓸쓸히도 그 시절 못잊어  아- 못잊어 운다    용두산아 용두산아 그리운 용두산아  세월따라 변하는게 사람들의 마음이냐  둘이서 거닐던 일백구십사 계단에  즐거웠던 그 시절은 그 어디로 가버렸나  잘있거라 나는 간다 꽃피던 용두산  아-용두산 엘레지
  하춘화  ,물새한마리,1. 외로이 흐느끼며 혼자 서있는 싸늘한 호숫가에 물새 한마리 짝을 지어 놀던 님은 어디로 떠났기에 외로이 서서 머나먼 저 하늘만 바라보고 울고 있나 아~아아아아아아아아~못난 님은 못난 님은 못오는데~  2. 갈 곳이 없어서 홀로 서있나 날저문 호숫가에 물새 한마리 다정하게 놀던 님은 간 곳이 어디기에 눈물지으며 어두운 먼 하늘만 지켜보고 있을까요 아~아아아아아아아아~ 기다렸던 기다려도 안오는데~
  이애란  ,황혼이 미워,1절  세월아 가지말고 거기 섯거라  잡는 내가 어리석었나  세월아 속은 인생  거울을 보니  아직은 빛나는 청춘이라고  생각만해도 설레이는 내 마음  당신에게 안기고 싶어  세월은 가자하고 내등을 밀지만  유수같은 세월 황혼이 미워  이내마음 청춘이란다    세월은 가자고 내등을 밀지만  유수같은 세월 황혼이 미워  이내마음 청춘이란다(한번더)  1.2절 가사
  장하온  ,나나 너너너,한번의 정을 준 것이 내 맘을 애태우나요 여자의 고운 순정을 다 뺏어가 버리고 오실땐 그냥 왔지만 가실땐 그냥 못가요 사랑이 장난 인가요 나를 책임져요 한번만 딱 한번 한번 생각해줘 그대 나를 버리고 떠나간다면 평생 후회할거야 나나나나나 너너너너너 더 뭐가 필요해 사랑 사랑해 좋아 좋아해 너 없인 못살아 나나나나나 너너너너너 내 눈엔 그대뿐 나랑 너랑 사랑해 사랑해 한번만 딱 한번 한번 생각해줘 그대 나를 버리고 떠나간다면 평생 후회할거야 나나나나나 너너너너너 더 뭐가 필요해 사랑 사랑해 좋아 좋아해 너 없인 못살아 나나나나나 너너너너너 내 눈엔 그대뿐 가지마요 내 곁에 있어요 내 눈을 봐요 내 맘을 봐요 내 진심을 알아줘 그대도 내가 싫진 않잖아 난 다 알고 있었어 눈물 날 만큼 사랑해줄게 사랑해줘 가지마요 내 곁에 있어요 한번의 정을 준 것이 사랑이 되어버렸어 내 모든 걸 줄거야 그대는 내 사랑 그대는 내 사랑이야
  효성  ,치마바위,인왕산 아래 사직골로 내 님이 돌아간다네 나는 무슨 영화를 위해 내 님을 돌려 보내나 경회루 올라 인왕산 기슭 바라보며 눈물 지을 때 저 멀리에 붉은 치마는 날 오란 듯 손짓을 하네 내 발로는 갈 수 없는 곳 내 마음이 간 곳 내 님인가 바위인가 저 높이 붉은 치마바위 구중궁궐이 이별 터인걸 칠 일에 알게 되었네 이리 짧은 인연이라면 차라리 맺지 말 것을 경회루 올라 인왕산 기슭 바라보며 눈물 지을 때 저 멀리에 붉은 치마는 날 오란 듯 손짓을 하네 내 발로는 갈 수 없는 곳 내 맘이 간 곳 내 님인가 바위인가 저 높이 붉은 치마바위 저 높이 붉은 치마바위
  권윤경  ,청춘,이 세상의 부모마음 다 같은 마음 아들 딸이 잘 되라고 행복하라고 마음으로 빌어주는 박영감인데 노랭이라 비웃으며 욕하지마라 나에게도 아직까지 청춘은 있다 헤이 원더풀 원더풀 아빠의 청춘 부라보 부라보 아빠의 인생 세상구경 서울구경 참 좋다마는 돈 있어야 제일이지 없으면 산통 마음 착한 며느리를 내 몰라보고 황소고집 부리다가 큰 코 다쳤네 나에게도 아직까지 꿈이야 있다 헤이 원더풀 원더풀 아빠의 청춘 부라보 부라보 아빠의 인생
  노사연  ,님 그림자,저만치 앞서가는 님 뒤로 그림자 길게 드린 밤 님의 그림자 밟으려 하니 서러움이 가슴에 이네 님은 나의 마음 헤아릴까 별만 헤듯 걷는 밤 휘황한 달빛아래 님 뒤로 긴 그림자 밟은 날 없네  저만치 앞서가는 님뒤로 그림자 길게 드린 밤 님의 그림자 밟으려 하니 서러움이 가슴에 이네 님은 나의 마음 헤아릴까 별만 헤듯 걷는 밤 휘황한 달빛아래 님 뒤로 긴 그림자 밟을 날 없네
  나훈아  ,사랑만은 않겠어요,이렇게도 사랑이 괴로울줄 알았다면 차라리 당신만을 만나지나 말것을 이제와서 후회해도 소용없는 일이지만 그시절 그추억이 또다시 온다해도 사랑만은 않겠어요  이렇게도 사랑이 괴로울줄 알았다면 차라리 당신만을 만나지나 말것을 이제와서 후회해도 소용없는 일이지만 그시절 그추억이 또 다시 온다해도 사랑만은 않겠어요
