artist,title,lyric
  Tory Lanez  ,Freaky,All this drip you gon' need a umbrella Ooh ooh ayy Rich I got two hoes light skin the chocolate What Throw the gang when I walk in through my block lit Block lit Got my ex tryna put me on the block list On the block list It's always somebody ex tryna pop shit Woo It was flat then she got ass shots Ass shots Now they cheer for it she got mascots What And she hit the club baby throw that ass up Swear that ass on me baby I'ma pass out Pass out You could talk to me I'ma talk back I got sauce bae ain't no salt bae I just walked in check the walk mane Woo Jeans Balmain bitch I'm ballin' Yeah If I fuck a shawty I ain't gotta answer Answer She a scorpio and fuck me like a cancer Like a cancer Fuckin' nigga's hoes I ain't gotta answer What Pussy good and I had to double mans up Shawty say she rock bottom so I'm rockin' for what Couple million on the gram but you poppin' for what Tryna play me like a bird bitch you down in the dirt All in my section ain't fuckin' but drinkin' bottles for what I'm a rich ass nigga you a bitch ass nigga I'm a put face in it Nigga quick fast nigga Got a stick grrragh Hit your bitch ass nigga Better talk to me nice when you hit that nigga yeah Heard my mama workin' with some ass yeah Heard my mama like to keep in nasty Nasty Strip club throw a lot of racks yeah Shawty gettin' freaky and nasty Woo Ayy ayy ayy ayy Shawty gettin' freaky and nasty What Ayy ayy ayy ayy Woo Shawty gettin' freaky and nasty Ayy ayy ayy ayy Shawty gettin' freaky and nasty What Ayy ayy ayy ayy Woo Shawty gettin' freaky and nasty I'm the reason lil mama got that ass so thick She done heard lotta stories' bout this cash I get She done heard lotta stories' bout this dick I slang She wanna suck a nigga ding-a-ling-a-ling-a-ling yeah Shit I pop through the block with my ice I walk Shit I fuck through your block with the icey drop I might let your friend hit it gotta share the rock I done hit every bitch in your hair salon I'm a freak in the sheets I'm a dog lil' bitch I hit the windows and to the walls lil' bitch I know you got a man you need to pause lil' bitch I'ma hit that shit until he calls lil' bitch Yeah Okay y'all tell me niggas all jelly You don't call me then my off celly Off celly If you wan' fuck me tonight I said it already I need ID ain't no R Kelly I'm a rich ass nigga you a bitch ass nigga I'm a put face in it NIgga quick fast nigga Got a stick grrragh Hit your bitch ass nigga Better talk to me nice when you hit that nigga yeah Heard my mama workin' with some ass yeah Heard my mama like to keep it nasty Strip club throw a lot of racks yeah Shawty gettin' freaky and nasty Woo Ayy ayy ayy ayy Shawty gettin' freaky and nasty What Ayy ayy ayy ayy Woo Shawty gettin' freaky and nasty Ayy ayy ayy ayy Shawty gettin' freaky and nasty Ooh she nasty Ayy ayy ayy ayy Shawty gettin' freaky and nasty Ooh she nasty
  Wiz Khalifa  ,"Do It Again (Feat. Terrace Martin, Kendrick Lamar)","Yo, this ya man Wiz Khalifa, yo La Leakers, where the fuck did y'all find this one I had that one zipped up with the good shit  Verse 1 - Kendrick Lamar Everyday I try to escape the realities of this world So I tell a disc jockey press play while I press up on a girl In the midst of the smoke in the air The reflection of lights that glare She'll be out of control like a hydroplane in plain sight I might have to stare And that's power steering, a power trip will see my appearance Pile of hundreds all on a prowl like vampires in the darkest dungeon Speakers bumpin', drinks is pouring We in the house, we paid the mortgage, tyrannosaurus That's real big, pop my collar, pop that lid  Hook - Terrace Martin Flashin' lights, model types, vixen show me much love Put the bottles on that ice, drink like we supposed to Fire burning, heads is turning, all I see is energy So eventually we'll do this 'til the sun come up the sun We'll do this 'til the sun come up the sun Smoke like this 'til the sun come up the sun We'll do this 'til the moon is dropping day break watching Then do it again  Verse 2 - Wiz Khalifa Some people stay home and sleep, me I go out at night All seven days of the week, I live the party life I got my dogs with me, you can bring some of your friends We going hard 'til the sun come up and do it again I got a drink in my hand they playing my favorite song This girl that's dancing on me ain't got no panties on And she gonna come back to my hotel, don't tell Anyone about us, I'm here to party all night  Hook - Terrace Martin  Bridge - Wiz Khalifa Come to my section my section And down some of this liquor Then tell me what it hit for Gon' be some things I don't remember So take some camera phone pictures  Bridge - Kendrick Lamar  Hook - Terrace Martin  Outro - Kendrick Lamar Los Angeles Leakers Hol' up, hol' up, hol' up, hol' up Where the fuck did y'all get this record from, homie"
  키네틱 플로우  ,사랑… 그 시작은 늘 아름답다. (Feat. 남예지),uhm yeah 사랑 그 시작은 늘 아름답다 하지만 늘 우리 함께했던 우리 함께앉던 그 창가에 똑같은 자리에 날 떠나버린 그대 대신에 새로운 그대와 똑같은 말투로 똑같은 옷을입고 똑같은 농담으로 사랑을 시작해 새로운 그대와 새로운 기대와 사랑 그 시작은 늘 아름답다 하지만 그끝에 남는 두마디를 기억해 행복을 바란다 정말로 사랑했다 그 말이 나는 슬퍼 사랑의 마지막 대사 연극의 파장후에는 박수가 남지만 사랑의 끝에는 정적만이 남아 알록달록한 달콤한 기억은 멜로영화 자막처럼 사라져가 김이서린 창가에 너의 이름을 끄적여 본다 난 사랑하던 그대와 같이 듣던 노래와 같이 걷던 거리가 오늘도 같은데 새로운 그대와 같이 듣던 노래와 같이걷던 거리가 어제와 같은데 똑딱대는 시계처럼 늘 똑같은 사랑공식 시작과 끝을 잇는 인연의 끈 첫 매듭을 묶을 때에는 대부분 생각 하곤해 떼 묻은 사진 속 옛사람을 현재를 함께하는 사람과 비교하며 편견의 색안경으로 안봐도 비디오 라는 부적절한 단정을 내리고 오해를 붙여가며 자꾸 떠오르는 얼굴 비밀에 붙여놔 난 두렵다 조금은 뚜렷한 감정 때문에 무력한 인간이 될지 모른다 좀 늘었다 너무나 뚜렷한 기억들을 다 마취하려 술에취해 잠든 날 불타버릴걸 알면서 또 어리석게도 뛰어들게 되네 끝이 뻔한 드라마라 해도 재가 되버린 감정을 쓸어담은 다음 추억이란 이름표를 새겨 넣는다 사랑하던 그대와 같이 듣던 노래와 같이 걷던 거리가 오늘도 같은데 새로운 그대와 같이 듣던 노래와 같이걷던 거리가 어제와 같은데 그대를 잊기위해 새로운 그대와 사랑이란 감정에 나 또 목을 매 사랑 그 시작은 늘 아름답다 하지만 그대를 잊기위해 새로운 그대와 사랑이란 감정에 나 또 목을 매 사랑 그 시작은 늘 아름답다 하지만 사랑하던 그대와 같이 듣던 노래와 같이 걷던 거리가 오늘도 같은데 새로운 그대와 같이 듣던 노래와 같이걷던 거리가 어제와 같은데 사랑하던 그대와 같이 듣던 노래와 같이 걷던 거리가 오늘도 같은데 새로운 그대와 같이 듣던 노래와 같이걷던 거리가 어제와 같은데 love is pain and pain is love but still i love you yes only you
  거리의 시인  ,"안돼 (Feat. 더 원, 유리)",널 사랑해 정말 싫지는 않지만 거짓과 위선은 안돼 좋았던 니가 멀게만 느껴져 사랑은 점점 날 버려 안돼안돼안돼 너 정말 안돼 안돼안돼안돼 너 그럼 짜증나 안돼안돼안돼 너 진짜 끝이야 안돼안돼안돼 너 안돼 모두 지웠다구 생각했어 너의 흔적 가끔씩 들려오는 니 소식에 다시 원점 오늘처럼 비라도 오는 밤이라면 너와 함께 보낸 시간들이 아련하게 점점 서랍속에 간직했던 기념일 사진 그리고 편지 넌 이런 내가 보이는지 한통의 문자 안부를 묻지 대답없는 내가 밉겠지만 나도 잘 안돼 널 사랑해 정말 싫지는 않지만 거짓과 위선은 안돼 좋았던 니가 멀게만 느껴져 사랑은 점점 날 버려 내가 너를 사랑한다 말을 했잖아 그런데도 너는 내말 듣지 않잖아 니가 답답해 나도 답답해 순수한 내마음을 몰라 주는 너 키가 작다고 돈이 없다고 루저라고 말을 하며 놀리지는 마라 놀땐 나랑 놀고 사귈땐 다른놈 화가나서 더이상은 보고싶지 않아 널 사랑해 정말 싫지는 않지만 거짓과 위선은 안돼 좋았던 니가 멀게만 느껴져 사랑은 점점 날 버려 안돼안돼안돼 너 정말 안돼 안돼안돼안돼 너진짜 끝이야 행복한 시간과 사랑은 다 끝났는데 난 널 잊지못해 바보같이 울고있네 어 다 끝났는데 어 다시 사랑 않겠다며 닫혀 버린 심장 시간이 점점 지나 오지않는 긴 잠 영원히 깰것같지 않던 나를 깨운 그녀 아름 답고 사랑스런 완벽한 나의그녀 영원할 것 같던 우리 사랑이 조금씩 멀어져 소문에 틀어져 짐작이 맞았어 하나 둘이 아닌 니옆에 남자 결국 그 중에 나도 하나 행복해 왜 안되는걸까 난 힘들어 사랑은 힘든 걸까 너 행복해 왜 안되는걸까 그래도 난 웃어야지
  Logic  ,100 Miles and Running (Feat. Wale & John Lindahl),Woo woo yeah Alright here we go Yeah yeah yeah Money on my mind so I'm too paid Real all the time never Kool-Aid Sippin' on Duse sike Came a long way from G'burg Puttin' in work like Ferg New York to L.A. Hawaii and Japan I'm the motherfuckin' man 'least I'm feelin' like I am Got the whole wide world in the palm of my hand But don't give a goddamn I'm Sam I am What that even mean I don't know what you talkin' 'bout Why nowadays everybody got a palm out PLP yeah that be me and that be what I rhyme 'bout I have arrived all you rappers are in timeout RattPack where you at everywhere worldwide I know you been waitin' for this world to collide B. O. double B. Y. H. A. L. L. and Folarin 'Bout to take it back like Doc and Marty inside the DeLorean I am no historian but here to make my predecessors proud All you bitch niggas is not allowed I put it on everything I really want a cop out But I did good for a drop out Hop out the coupe chicken heads go crazy Gotta sound swag when the flow get lazy What up What good Where you at What you been on Anybody steppin' to me I promise they get shit on Better hop up on the train 'fore you miss the chance to Hop up on the hop up on the train 'fore you miss the chance to get on Mixtape Bobby that's the type of shit I spit on Whew And it's on now Everybody know that it's on now I'll be damned Get in the zone now ohh no no no I'll be damned I said it's on now Everybody know that it's on now I'll be damned Get in the zone now ohh no no no Everybody alive everybody alive Everybody listening to this right now alive Come on now feel the vibe come on now feel the vibe Come on now come on now Come on now you gotta survive Everybody alive everybody alive Everybody that's listening to this feeling alive Come on now feel the vibe come on now feel the vibe Come on now come on now Come on now you gotta survive I said you gotta survive Gotta survive gotta survive I said you gotta survive Gotta survive gotta survive Gotta survive I said you gotta survive Smooth criminal Mike Jack Throw a subliminal put your women in black dress They was in Timberlands I was reppin' them Nike boots Remember them nights that momma couldn't come right back I'm on the path right now put the plight on the mic If I write mine down I incite my crowd I put Solbiato down Old time old time Used to go to Mark Twain Mo County co-signed me Got many flows that any ho would vouch for I Got many foes 'cause many hoes be out for Had the Penny Foams remember those was copper Had so many homies talkin' 'bout how you got those I'm Phil Knight in real life I'm real Nike Flight club in my house they not like me More than likely they ain't got the heart to fight me It's a lie somebody seein' me needs some Visine yeah Let me let it breathe Saint Laurent level worry never worry me I'm well aware they be wilding when they talkin' me They're bitches in the ballot whenever I be on the scene oh Hammers in the Uber I be limousine though Diamonds lookin' fluke but I got the same glow And I got a juice back around the way though My chain like a penguin's Pellegrino We cold we cold Used to be in Lake Forrest with the Kobe fro Eddie Bauer coat Foams and a load of dope Boat load of white hoes I sold it to nigga I was tryna survive tryna survive I was tryna survive yeah yeah I was tryna provide I was tryna survive I put 'em down every time I got some niggas alive I got some niggas that not Pour a little of brown liquor and look in the sky Been the talk of the town nigga Virginia Maryland Did it all for the capital hope you haven't forgot Hoes love me a lot niggas hate me a lil Anybody can hear me for real give me their props Hookin' up with a couple models nobody's gon' try to play us The motto is get your paper and make you a lot Pulling up with the Young Sinatra I'm looking like Sammy Davis The MGM or the Vegas to shake up the rocks And the Stadium poppin' the Palladium poppin' It's a fifty a place nigga she thinkin' about it I'll be damned And it's on now Everybody know that it's on now I'll be damned Get in the zone now ohh no no no I'll be damned I said it's on now Everybody know that it's on now I'll be damned Get in the zone now ohh no no no Everybody alive everybody alive Everybody listening to this right now alive Come on now feel the vibe come on now feel the vibe Come on now come on now Come on now you gotta survive Everybody alive everybody alive Everybody that's listening to this feeling alive Come on now feel the vibe come on now feel the vibe Come on now come on now Come on now you gotta survive I said you gotta survive Gotta survive gotta survive I said you gotta survive Gotta survive gotta survive gotta survive I said you gotta survive Goddammit I'm back at it Never had a breath like an asthmatic I done had it Feel this shit I'm an addict back in Maryland livin' in the attic Flowin' erratic bringin' the static bustin' like an automatic I'm badder than the baddest and madder than the maddest My flow the fattest hotter than the desert in Nevada And in the end fuck all of the chitter and chatter none of it matter Pull the trigger and listen to the pitter and patter let 'em shatter 'Cause I'm rippin' and livin' and strivin' to kill it The Ripper he callin' and we'll go and he'll flow and you know He pursuin' it doin' it movin' it groovin' it stoppin' it rockin' it talkin' it walkin' it flippin' it rippin' it No no no no no no no Goddammit I'm back at it Never had a breath like an asthmatic I done had it Feel this shit I'm an addict back in Maryland livin' in this attic Flowin' erratic bringin' the static bustin' like an automatic I'm badder than the baddest and madder than the maddest My flow the fattest hotter than the desert in Nevada And in the end fuck all of the chitter and chatter none of it matter Pull the trigger and listen to the pitter and patter let 'em shatter 'Cause I'm rippin' and livin' and strivin' to kill it The Ripper he callin' and we'll go and he'll flow and you know He pursuin' it doin' it movin' it groovin' it stoppin' it rockin' it talkin' it walkin' it flippin' it rippin' it no motherfuckin' scribble I'm rippin' and livin' strivin' to kill em' The Ripper he callin' we'll go and he'll flow Listen rippin' and livin' and strivin' to kill em' Alright we gon' do this one more time Listen Listen I'm rippin' and livin' and strivin' to kill em' The Ripper he callin' and we'll go and he'll flow And you know he pursuin' it doin' it movin' it groovin' it stoppin' it rockin' it talkin' it walkin' it flippin' it rippin' it no mother to fuck up his script oh no no no no no no This what we gon' do right now I'ma test my syllable ability You know what I'm sayin' I like to call this shit my syllablability I've been sippin' on this tequila right now This one of the last songs we recorded for this motherfucker so I'ma go off on y'all right now We gon' do this shit in one breath alright This ain't no bullshit This ain't nah nah nah nah This ain't no editin' We gon' do it like this Are y'all ready Yeah No no no no Are y'all ready Yeah I'm rippin' and livin' and strivin' to kill em' The ripper he callin' we'll go and he'll flow and you know he pursuin' and doin' and movin' and groovin' and stoppin' and rockin' it talkin' it walkin' it flippin' it rip it like the motherfuckers scribbled it and I'm ready to go when I buy it then break it then roll it then lick it and smoke it and choke on it later yeah Slicin' MCs like Darth Vader Decapitate a hater the second I spit it Say hell yeah Hell yeah Say hell yeah Hell yeah Say hell yeah Hell yeah Say hell yeah Hell yeah Say hell yeah
  CJ Fly  ,"THE PROS (feat. T`nah, Chuck Strangers, Dessy Hinds, Dirty Sanchez, Rokamouth & Nyck Caution)","Y'all don't know what's it like living your whole life knowing that your nice You may doubt yourself sometimes Like pay per view, put up a fight Skin ain't light, but my future bright Said that I would shine without ice I just write these honest lines Of what I saw with two eyes No one knows what I went through and the entry fee I paid Ain't a superstar, yet still wanna to go the VMAs Gonna manifest it can't til we see the day Gotta go to court so let's pray that I beat the case Coffin or cell, why they wanna see us in a box Tryna climb the charts until they see us on the top I let you live, I hope my kindness kill my opps Motto ain't change, it's middle fingers to cops Love our freedom but they wanna keep us locked Wanna try shootin' us, they want us to get popped Love my bodegas, get my fronto from the ock Do this for all my niggas hustlin' on the block Yeah, yeah, yeah  Verse 2: Chuck Strangers Mommie told me, Bring the pain, these niggas is tame Honestly, I feel exact same Divin' in these pussies, bitch, it's Max Payne I'm just a dark skin nigga in a sold-out crowd Blowin' loud where he ain't allowed Shit been lookin' up, I'm gettin' sucked down Hoes be tryna duck, hittin' me up now See, he is a miracle, he still shine Though he said his rhymes is unbearable, Fly dropped a classic I done dwelled in the Hell, these little niggas false claimin' So I'm the big homie, guess it goes without sayin' Hollowed jokes and the game, I been past it Suckin' in your LA accent Gimme face and I'm flaccid, the fuck is you sayin' I look up to God and it's Lil Wayne, so it's money over bitches Keep my mind on my motherfuckin' ventures Stayin' level-headed 'cause the game vicious, uh  Verse 3: Dessy Hinds I should be goin' outside of my comfort zone I left the room to places I could be like some honeycomb Greener the grass, sweeter the ass Let's get blown on the front lawn Took a shorter time to pay 'em back for one loan Made myself aware since Jigga had Roc-A-Wear Balancin' double shifts like there ride to the fair In any motion, my grind, it well paired and devoted As I float by, often floats, three wheel motion Used to be on Ocean Ave, three people, one bag, no room Or space for my thoughts and body while they both grew Ain't no role models in school, only Ice Cubes With jewels or niggas that could ride and make moves That I made to, played to, innocent in grade school Every day I had a new demon or an angel Stay true on both of my sides Now the bar on top shelf, soap level This is days of our lives, yeah  Verse 4: Dirty Sanchez Yeah, I said, I been at the bottom, that's been why I'm gettin' high, bro Ripped all forty-seven pages out the fuckin' Bube I don't have a stylist, but they stealin' on my style I always knew I'd be a rich nigga since the snotty nose I know my momma prayin' for me, actin' like a diablo Pop, pop, pop, pop, pop another bottle You see me get distant 'cause I'm not the type to follow Fuck you, pay me, that's my new motto Labels all fables, they ain't ever on your side, bro Niggas only love you when you pop or you die, bro I put my heart in the game, my chest became hollow You need the bad guy, so label me a This world ain't have nothin' to offer us We was pushin' work, we was the boss of us Only way to win is if I fuckin' quit Me, I been legit since the little jit Fuck the law and the government I ain't see no justice served while my niggas out here servin' If I see some funny shit then I'm the first one swervin' 'Bout my capital, fuck the capital Rest in peace to King Capital Why these lil' niggas cappin' for  Verse 5: Rokamouth Uh, yeah, yeah Gotta keep my focus, can't repeat on that old shit Gotta sound and make it soul shift And hold you high when you're hopeless People pick you up like two-year olds And while I been sick of these posers Whom they get to notice, know this way, we in the show biz Movin' they don't notice, only gon' repost it if I pour up for those pics Can't count on who's closest When it comes to takin' more risks it's the same who's boastin' But they know 'em, gon' ignore this Put bane into the poems, gotta show 'em we're the artists My scuffed shoes polished, had to go and get some dollars Still rock and get a hollow from your girl on your momma Schooled by old-timers, back when I had the liners Makin' sure we ain't have our minds to come and run through these times with, nothing's easier Keep a watch on who's been teachin' ya's More of them movies and medias We should really help the needy first But instead they turn them to see them skirts Should it be selfish to sell this merch Converse with my profits, commerce with the verses When my pocket's lookin' hurt, yeah  Verse 6: Nyck Caution & T'nah Apex Yeah, and so the story came and go Beware of all the fakes who don't got it but they just paint it gold Everything that shine is not a precious stone But ignorance is bliss, so it's fine, I guess the less you know The better it is, the era of kids Who sure they got their shit together better than him, yeah I used to think that I was meant for this shit But I missed too many shots, I mighta emptied the clip We make goals in our head that we set for a year That we forget in a month just to boast with our peers So you seem like you got life figured out, but when you look in a mirror The reflection isn't clear, I'm stressin', I'm feelin' weird Stressin', I'm feelin' weird Uh, I confess, I'm a little scared Ah, yeah Ayy, I tell everyone I'm okay, I'm stuck in my ways But I just wish someone would interfere Wish someone would interfere, yeah Ayy, days are long but years are short Oh, yeah How the Hell did I get here How the Hell did I get here Uh, aybe it's just a phase, or one of those days Won't be a victim to the fear, yeah Ah, yeah  Verse 7: T'nah Apex Don't know the Hell that we been through, yeah I'm stressin' but I'm gonna get through it We learned the hard way, now lemme think straight We ain't in Hell yet but we gettin' there Don't know the Hell that we been through, yeah I'm stressin' but I'm gonna get through it We learned the hard way, now lemme think straight We ain't in Hell yet but we gettin' there"
  Sam Ock  ,I Believe,won't you keep telling me that it will be alright cause all i seem to hear is the steady beat of this lone heart i'm surrounded by people but still my soul inquires of this desire for more of what i’m still here for my mind and heart tell me these different things oh the answers i want to know what it means to be a child of the Light i believe there is more than meets the eye more to my own life there is a perfect peace and i am on my way i believe in the neverending song and that's where i belong i'll never stop for i am on my way well aren't you sick and aren't you tired of the sinful choices that you make all the time are you wishing for a steadfast mind and you know that you know that you're running out of places to hide away the things you hold inside my mind and heart tell me these different things oh the answers i want to know what it means to be a child of the Light your mind and heart tell you these different things oh the answers you want to know what it means to be a child of the Light i believe there is more than meets the eye more to my own life there is a perfect peace and i am on my way i believe in the neverending song and that's where i belong i'll never stop for i am on my way i believe there is more than meets the eye more to my own life there is a perfect peace and i am on my way i believe in the neverending song and that's where i belong i'll never stop for i am on my way
  JUSTHIS & Paloalto (저스디스 & 팔로알토)  ,Bro,난 절대 안 해 배신 날 믿어 brother 걘 했지만 배신 세상은 그렇지 않어 라는 뻔한 말 대신 나는 그렇지 않어 난 절대 안 해 배신 날 믿어 brother my brother brother My bro 함께 끝까지 가자고 My bro 멀리 떨어져 있어도 My bro you know you’re the only one My bro 날 믿어 brother my brother brother My bro 그냥 내가 좋은 거겠지 날 의심한다면 사랑한다면 그냥 의심하지 말어 의심한다면 웃으며 전화를 받고 첫 마디를 떼 뭐하냐고 다음 관심 없는 대답을 들은 뒤 본론을 끄내 그냥 너 그 날 뭐하냐고 시간 비냐고 다음 어쩌고저쩌고 익숙해져 버린 익숙하기 싫은 걸 겪어 JUSTHIS로 independent로 다른 사람들관 공유하지 못할 것들이 늘고 들려 글고 이거에 대해서 나눌 수 있는 건 딱 두 개 내 형제 글고 이 비트 위에 삶이란 건 모두에게 Independent 내 경험이 지혜가 되길 원해 모두에게 근데 내 가산 어렵지 왜냠 모두에게 열려 있지만 들을 수 있는 건 My bro My bro 함께 끝까지 가자고 My bro My bro 멀리 떨어져 있어도 My bro My bro You know you’re the only one My bro My bro 날 믿어 brother my brother 우리 감정은 경직돼있어 결핍돼있어 많은 사람들이 변심해서 상처가 됐어 다른 걸로 메꿔보려 해도 채울 수 없어 화를 내고 또 성질 냈어 쌍욕을 했어 그게 화근이 돼서 거리가 느껴져 솔직하고 싶어 도피하기 싫어 존심 부리며 소심하긴 싫어 먼저 마음 열었지 너가 그건 우리 사이에 큰 변화 져준 거겠지만 내가 진 거야 난 절대로 절대 안 떠나 사소한 일이 불씨가 되는 건 당연한 거야 그게 방치되는 동안 속이 썩는 거라 병이 돼 미움 전염돼 이미 경험했어 괜히 어색해질 필요 없어 my man My bro 함께 끝까지 가자고 My bro My bro 멀리 떨어져 있어도 My bro My bro You know you’re the only one My bro My bro 날 믿어 brother my brother 난 절대 안 해 배신 날 믿어 brother 걘 했지만 배신 세상은 그렇지 않어 라는 뻔한 말 대신 나는 그렇지 않어 난 절대 안 해 배신 날 믿어 brother my brother brother My bro
"  제이에이 (JA) ,  자이언  ",파티가 끝난 후 (Feat. 엄지희),"파티가 끝난 후 Feat. 엄지희      Produced by JA  Lyric by JA/GIANT for SALON 01  Mixed by JA  Mastered by JA at Strange Point  Recorded by JA, GIANT    GIANT>    모두 화려한 조명 아래 춤 추고 있어    모두 알고 있어 이게 마지막 곡    이미 취할 만큼 취해 비틀거리는 몸    알코올에 의지해서 너를 잊고    길었던 이밤 이제 모두 끝나가    새벽 향기가 괴로움도 가져가    너는 혹시 잊기 위해 왔는지    슬쩍 스치는 몸의 감촉이 차갑지    조금씩 나는 네게 다가가 힘들었던 시간 좀 더 가까이 와바    눈가에 번진 아이 라인, 매력적인 몸의 싸인    운명적인 연결에 알 수 있어 널 원해    하나 둘 씩 조명이 꺼져 갈때 사람들도 모두 다 떠나 가는데    이 노래가 끝나기 전에 봐봐 얘기해봐 내게    나의 손을 잡아      엄지희>    I Can't Leave Without You    이렇게 잊을 수 없는 밤을    파티가 끝난 후 마지막이 아닌듯    다시 기약하는 날을. 오늘을 기억해 언제나 그 자리에    우리 맘속에 남게 될 이 추억을. 다시 만날때 모두 웃을 수 있게    마지막 잔을 비워내고 슬퍼지는 날      JA>    Party Is Over Now    뜨겁게도 달아오른 스테이지를 떠나    수없이 하나 둘 비워낸 술잔  우리 함께 했던 추억의 밤    어김없이 아침은 밝아와 선선한 바람에 식어가는 땀    외로이 빛나는 마지막 조명아래    가시지 않은 취기 이렇게 텅빈 공간    모두가 외로운 사람    또 다시 공허한 혼자의 시간    아쉬움의 감정 남기고서 이대로 돌아가야 하겠지    짙은 화장, 벽에 기댄 소녀    표정안엔 지친 기색이 보여    아름다운 널 보내려 하지만    붙잡고 싶은 맘 가려지지 않아      엄지희>    I Can't Leave Without You    이렇게 잊을 수 없는 밤을    파티가 끝난 후 마지막이 아닌듯      다시 기약하는 날을. 오늘을 기억해 언제나 그 자리에    우리 맘속에 남게 될 이 추억을. 다시 만날때 모두 웃을 수 있게    마지막 잔을 비워내고 슬퍼지는 날"
  알앤피  ,세번째 이별 (Feat. 하현),또 전화하지 마 바라보지 마 그렇게 웃지 마 날 힘들게 떠난 널 다시 안 보려고 얼마나 애를 썼는데 또 전화하지 마 바라보지 마 그렇게 웃지 마 날 힘들게 떠난 널 다시 안 보려고 얼마나 애를 썼는데 너도 지금 많이 아파하고 있을 거야 나도 지금 그래 찢어질듯 가슴 아파 죽을 것만 같아 지금 숨도 제대로 못 쉬어 잠깐이라도 나와 얘기를 할 순 없어 집 앞에서 서성인지 벌써 일주일째 아무 말도 못한 내 가슴이 송두리째 갈기갈기 찢어져 깊은 숨이 막혀 아무것도 못하고 너만 이렇게 불러 너는 지금 행복하니 그러진 마 너는 지금 웃고 있니 그럴 수는 없어 전화를 좀 받아봐 잠깐이라도 내말을 좀 들어봐 한마디라도 얼마나 울었는지 눈물조차 말라 얼마나 답답한지 심장마저 빨라 올가미에 걸려버린 말 못하는 짐승 하루 종일 구속된 고통스런 기분 또 전화하지 마 바라보지 마 그렇게 웃지 마 날 힘들게 떠난 널 다시 안 보려고 얼마나 애를 썼는데 그냥 무슨 사정이 있어 그랬거나 혼자 있고 싶어 이별을 말했거나 그냥 기다리다 보면 돌아온다고 그때까지 그 자리만 비워두라고 함께해 온 추억들이 그게 얼만데 쉽게 잊혀지냐고 다들 말들 해 그런데 아무 것도 안한 채 널 기다리보면 꼭 너를 잃을 것만 같아 불안해져 처음 너와 이별할 때 그때도 그래 그냥 아는 동생과 함께 영활 본건데 아무 말도 없이 내 전화를 받지를 않고 일주일째 잠수를 타서 속만 태우고 두 번째 너와 이별할 때도 그래 난 술이 너무 약해 그런데도 늘 미련하게 주는 술 다 받아먹고 필름이 끊겼어 아무 일도 없었는데 넌 믿질 않았어 제발 모든 것이 꿈이라고 내게 말해줘 이젠 모든 것이 끝이라고 하진 말아줘 안아줘 이 꿈에서 깨어날 수 있게 알아줘 너 없이는 살아갈 수 없데 세 번째 너와 이별하게 된 지금 아직 난 모르겠어 내가 어떻게 하든 모든 것이 너의 마음에 닿지를 않아 이번에도 하염없이 기다려야하나 봐 또 전화하지 마 바라보지 마 그렇게 웃지 마 날 힘들게 떠난 널 다시 안 보려고 얼마나 애를 썼는데 또 전화하지 마 바라보지 마 그렇게 웃지 마 날 힘들게 떠난 널 다시 안 보려고 얼마나 애를 썼는데 또 전화하지 마 바라보지 마 그렇게 웃지 마 날 힘들게 떠난 널 다시 안 보려고 얼마나 애를 썼는데
